RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
21,Claudio Bravo,cl CHI,PO,Betis,es La Liga,39,1983,12.0,9.0,1.0,0.0,1.0,0.0,11.0,0.24,2.0,0.17,75,225,33.3,288.0,42,51.7,39.6,101.0,75.2,52.5,213.0,4.0,1.9,6.0,0.5,12.1
22,Fabian Bredlow,de GER,PO,Stuttgart,de Bundesliga,27,1995,15.0,23.0,5.0,0.0,3.0,1.0,20.1,0.26,-1.9,-0.13,55,129,42.6,503.0,86,20.3,27.6,91.0,29.7,33.5,203.0,12.0,5.9,15.0,1.0,15.2
23,Marcin Bułka,pl POL,PO,Nice,fr Ligue 1,22,1999,2.0,2.0,0.0,0.0,0.0,0.0,3.1,0.52,1.1,0.56,8,20,40.0,49.0,11,20.4,28.1,18.0,55.6,44.2,26.0,2.0,7.7,3.0,1.5,13.8
24,Juan Carlos,es ESP,PO,Girona,es La Liga,34,1988,10.0,18.0,2.0,2.0,1.0,0.0,16.7,0.35,-1.3,-0.13,23,64,35.9,278.0,51,17.6,28.7,62.0,24.2,30.3,120.0,6.0,5.0,21.0,2.1,16.9
25,Marco Carnesecchi,it ITA,PO,Cremonese,it Serie A,22,2000,27.0,47.0,2.0,3.0,7.0,1.0,44.2,0.28,-1.8,-0.07,157,523,30.0,745.0,135,52.2,41.4,203.0,66.0,53.1,402.0,29.0,7.2,29.0,1.07,14.1
26,Matis Carvalho,pt POR,PO,Montpellier,fr Ligue 1,23,1999,1.5,3.0,0.0,0.0,0.0,0.0,1.9,0.24,-1.1,-0.7,14,43,32.6,38.0,4,78.9,49.4,14.0,92.9,61.4,38.0,2.0,5.3,0.0,0.0,8.3
27,Koen Casteels,be BEL,PO,Wolfsburg,de Bundesliga,30,1992,34.0,48.0,4.0,0.0,5.0,3.0,43.9,0.27,-1.1,-0.03,257,588,43.7,1326.0,183,33.3,33.7,258.0,57.0,47.5,489.0,29.0,5.9,51.0,1.5,16.5
28,Michele Cerofolini,it ITA,PO,Fiorentina,it Serie A,23,1999,5.0,3.0,1.0,0.0,0.0,0.0,3.4,0.22,0.4,0.09,24,70,34.3,167.0,27,34.7,33.3,28.0,42.9,38.1,29.0,1.0,3.4,3.0,0.6,13.8
29,Lucas Chevalier,fr FRA,PO,Lille,fr Ligue 1,20,2001,32.0,31.0,2.0,2.0,1.0,3.0,30.5,0.27,2.5,0.08,76,282,27.0,903.0,121,26.2,29.4,105.0,42.9,37.2,317.0,22.0,6.9,25.0,0.78,13.5
30,Oliver Christensen,dk DEN,PO,Hertha BSC,de Bundesliga,23,1999,33.0,68.0,5.0,4.0,8.0,0.0,57.9,0.33,-10.1,-0.31,204,586,34.8,977.0,166,42.5,35.9,235.0,72.8,54.3,486.0,33.0,6.8,70.0,2.12,18.8
31,Andrea Consigli,it ITA,PO,Sassuolo,it Serie A,35,1987,35.0,55.0,3.0,0.0,5.0,2.0,38.5,0.31,-14.5,-0.41,176,436,40.4,1140.0,187,30.4,33.3,285.0,31.2,32.5,467.0,28.0,6.0,28.0,0.8,14.2
32,Alex Cordaz,it ITA,PO,Inter,it Serie A,39,1983,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.26,0.5,1.77,1,7,14.3,15.0,3,26.7,33.5,5.0,60.0,52.0,7.0,0.0,0.0,0.0,0.0,
33,Benoît Costil,fr FRA,PO,Auxerre,fr Ligue 1,35,1987,19.0,41.0,3.0,0.0,3.0,0.0,34.0,0.33,-7.0,-0.37,132,292,45.2,454.0,72,41.9,36.8,137.0,74.5,51.7,285.0,3.0,1.1,11.0,0.58,13.1
34,Thibaut Courtois,be BEL,PO,Real Madrid,es La Liga,30,1992,31.0,29.0,4.0,0.0,1.0,0.0,29.7,0.22,0.7,0.02,83,214,38.8,982.0,194,18.4,27.7,152.0,21.7,29.5,366.0,32.0,8.7,40.0,1.29,15.4
35,Alessio Cragno,it ITA,PO,Monza,it Serie A,28,1994,1.0,3.0,0.0,0.0,0.0,0.0,1.7,0.35,-1.3,-1.33,2,4,50.0,25.0,4,12.0,22.6,6.0,16.7,33.3,7.0,0.0,0.0,2.0,2.0,25.7
36,Finn Dahmen,de GER,PO,Mainz 05,de Bundesliga,24,1998,8.0,16.0,1.0,0.0,3.0,0.0,13.5,0.25,-2.5,-0.32,48,139,34.5,226.0,38,42.9,36.6,54.0,77.8,54.5,158.0,17.0,10.8,8.0,1.0,13.8
37,Rémy Descamps,fr FRA,PO,Nantes,fr Ligue 1,26,1996,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.25,0.5,0.48,5,9,55.6,20.0,9,25.0,33.2,6.0,66.7,46.5,11.0,1.0,9.1,0.0,0.0,7.0
38,Michele Di Gregorio,it ITA,PO,Monza,it Serie A,25,1997,37.0,49.0,3.0,1.0,4.0,1.0,48.7,0.28,0.7,0.02,166,476,34.9,1265.0,236,30.4,32.2,247.0,37.2,34.9,541.0,14.0,2.6,32.0,0.86,13.4
39,Mory Diaw,sn SEN,PO,Clermont Foot,fr Ligue 1,29,1993,37.0,47.0,8.0,0.0,5.0,0.0,55.4,0.28,8.4,0.23,235,601,39.1,1209.0,173,40.0,37.0,255.0,45.9,40.4,464.0,34.0,7.3,25.0,0.68,11.5
40,Stole Dimitrievski,mk MKD,PO,Rayo Vallecano,es La Liga,28,1993,36.9,49.0,4.0,0.0,9.0,4.0,44.2,0.3,-0.8,-0.02,152,537,28.3,816.0,199,45.0,38.6,299.0,56.9,46.7,500.0,24.0,4.8,52.0,1.41,16.1
41,Yehvann Diouf,fr FRA,PO,Reims,fr Ligue 1,22,1999,31.0,31.0,1.0,2.0,2.0,1.0,37.0,0.27,7.0,0.22,136,308,44.2,874.0,191,28.3,31.8,185.0,33.0,34.3,430.0,40.0,9.3,35.0,1.13,12.7
42,Ouparine Djoco,gw GNB,PO,Clermont Foot,fr Ligue 1,24,1998,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.34,-1.0,-0.97,3,17,17.6,30.0,4,40.0,33.6,10.0,50.0,31.7,14.0,1.0,7.1,5.0,5.0,21.3
43,Marko Dmitrović,rs SRB,PO,Sevilla,es La Liga,30,1992,14.1,13.0,0.0,0.0,2.0,1.0,12.2,0.23,0.2,0.02,103,326,31.6,372.0,44,58.1,44.0,131.0,84.0,62.4,216.0,12.0,5.6,10.0,0.71,12.2
44,Gianluigi Donnarumma,it ITA,PO,Paris S-G,fr Ligue 1,23,1999,37.9,40.0,2.0,1.0,3.0,1.0,43.3,0.26,4.3,0.11,54,148,36.5,728.0,167,15.0,23.9,207.0,18.8,24.1,436.0,33.0,7.6,27.0,0.71,12.1
45,Bartłomiej Drągowski,pl POL,PO,Spezia,it Serie A,24,1997,32.7,54.0,4.0,1.0,7.0,3.0,46.1,0.25,-4.9,-0.15,151,482,31.3,975.0,159,37.6,34.6,196.0,58.7,46.5,472.0,13.0,2.8,32.0,0.98,14.1
46,Martin Dúbravka,sk SVK,PO,Newcastle Utd,eng Premier League,33,1989,1.7,1.0,0.0,0.0,0.0,1.0,1.9,0.21,1.9,1.07,6,10,60.0,39.0,14,10.3,20.7,15.0,40.0,35.3,30.0,1.0,3.3,0.0,0.0,12.4
47,Maxime Dupé,fr FRA,PO,Toulouse,fr Ligue 1,29,1993,38.0,57.0,4.0,2.0,8.0,3.0,54.2,0.28,0.2,0.01,136,363,37.5,1006.0,176,24.4,29.5,264.0,44.7,37.2,517.0,30.0,5.8,21.0,0.55,10.1
48,Ederson,br BRA,PO,Manchester City,eng Premier League,28,1993,35.0,32.0,3.0,1.0,4.0,1.0,26.2,0.3,-4.8,-0.14,117,263,44.5,1104.0,147,19.6,28.0,152.0,30.9,32.3,286.0,19.0,6.6,33.0,0.94,15.7
49,Tjark Ernst,de GER,PO,Hertha BSC,de Bundesliga,19,2003,1.0,1.0,0.0,0.0,0.0,0.0,2.5,0.36,1.5,1.52,5,13,38.5,22.0,6,27.3,31.2,13.0,53.8,43.1,18.0,0.0,0.0,0.0,0.0,3.5
50,Łukasz Fabiański,pl POL,PO,West Ham,eng Premier League,37,1985,34.6,48.0,2.0,0.0,3.0,1.0,45.9,0.28,-1.1,-0.03,198,516,38.4,677.0,153,54.2,39.3,249.0,59.8,44.8,513.0,29.0,5.7,25.0,0.72,13.0
51,Ralf Fährmann,de GER,PO,Schalke 04,de Bundesliga,33,1988,11.4,13.0,1.0,0.0,1.0,1.0,12.4,0.21,0.4,0.04,99,217,45.6,358.0,50,45.0,36.8,83.0,67.5,48.9,162.0,11.0,6.8,9.0,0.79,11.6
52,Wladimiro Falcone,it ITA,PO,Lecce,it Serie A,27,1995,38.0,46.0,5.0,2.0,6.0,3.0,43.2,0.24,0.2,0.01,194,721,26.9,876.0,143,56.8,42.1,282.0,79.1,53.5,534.0,23.0,4.3,42.0,1.11,14.1
53,Aitor Fernández,es ESP,PO,Osasuna,es La Liga,31,1991,21.0,19.0,0.0,0.0,0.0,1.0,17.7,0.24,-0.3,-0.01,191,438,43.6,615.0,87,50.9,41.1,174.0,71.8,54.2,319.0,14.0,4.4,37.0,1.76,16.3
54,Álvaro Fernández,es ESP,PO,Espanyol,es La Liga,24,1998,11.0,18.0,0.0,0.0,4.0,1.0,15.2,0.31,-1.8,-0.17,104,221,47.1,253.0,37,55.7,42.5,103.0,77.7,54.8,153.0,5.0,3.3,15.0,1.36,16.3
55,Fernando,es ESP,PO,Almería,es La Liga,32,1990,36.5,61.0,4.0,1.0,4.0,1.0,60.5,0.29,0.5,0.01,199,557,35.7,967.0,211,39.1,36.9,341.0,52.5,42.9,614.0,39.0,6.4,26.0,0.71,12.4
56,Vincenzo Fiorillo,it ITA,PO,Salernitana,it Serie A,32,1990,1.0,2.0,0.0,0.0,0.0,0.0,1.9,0.49,-0.1,-0.05,7,15,46.7,19.0,3,57.9,37.9,5.0,80.0,56.2,7.0,1.0,14.3,0.0,0.0,6.0
57,Mark Flekken,nl NED,PO,Freiburg,de Bundesliga,29,1993,34.0,44.0,5.0,0.0,4.0,0.0,46.4,0.28,2.4,0.07,271,665,40.8,1231.0,121,40.2,37.6,231.0,73.6,58.0,434.0,32.0,7.4,43.0,1.26,15.0
58,Yahia Fofana,ci CIV,PO,Angers,fr Ligue 1,21,2000,11.0,19.0,1.0,0.0,3.0,1.0,16.4,0.27,-1.6,-0.14,33,125,26.4,256.0,70,35.2,33.6,69.0,50.7,41.7,143.0,17.0,11.9,9.0,0.82,11.8
59,Fraser Forster,eng ENG,PO,Tottenham,eng Premier League,34,1988,13.5,24.0,2.0,1.0,4.0,0.0,21.3,0.34,-2.7,-0.2,36,124,29.0,269.0,71,29.0,30.2,93.0,49.5,37.6,193.0,5.0,2.6,16.0,1.19,15.2
60,Gauthier Gallon,fr FRA,PO,Troyes,fr Ligue 1,29,1993,29.6,65.0,5.0,0.0,8.0,2.0,54.9,0.29,-8.1,-0.27,107,391,27.4,707.0,144,35.2,33.2,241.0,58.9,44.4,496.0,33.0,6.7,9.0,0.3,8.8
61,Joan García,es ESP,PO,Espanyol,es La Liga,21,2001,1.0,3.0,1.0,0.0,0.0,0.0,1.8,0.21,-1.2,-1.16,2,6,33.3,27.0,4,14.8,21.7,3.0,66.7,47.3,16.0,2.0,12.5,1.0,1.0,13.0
62,Paulo Gazzaniga,ar ARG,PO,Girona,es La Liga,30,1992,28.0,37.0,4.0,0.0,4.0,0.0,45.3,0.33,8.3,0.3,146,400,36.5,822.0,141,31.1,32.4,242.0,59.5,47.9,477.0,37.0,7.8,38.0,1.36,15.1
63,David de Gea,es ESP,PO,Manchester Utd,eng Premier League,31,1990,38.0,43.0,2.0,2.0,6.0,1.0,41.3,0.27,-0.7,-0.02,141,449,31.4,1032.0,128,32.6,32.3,179.0,63.1,47.1,526.0,15.0,2.9,32.0,0.84,14.8
64,Rafał Gikiewicz,pl POL,PO,Augsburg,de Bundesliga,34,1987,23.0,41.0,1.0,1.0,4.0,0.0,41.3,0.28,0.3,0.01,185,452,40.9,916.0,127,33.3,33.0,234.0,62.8,48.9,363.0,21.0,5.8,45.0,1.96,16.7
65,David Gil,es ESP,PO,Cádiz,es La Liga,28,1994,4.0,5.0,1.0,0.0,1.0,0.0,6.3,0.23,1.3,0.32,34,94,36.2,93.0,15,64.5,46.4,36.0,94.4,65.1,56.0,2.0,3.6,4.0,1.0,13.6
66,Pierluigi Gollini,it ITA,PO,Fiorentina,it Serie A,27,1995,3.0,2.0,0.0,0.0,1.0,0.0,1.7,0.21,-0.3,-0.1,13,38,34.2,115.0,17,27.0,32.4,11.0,63.6,49.3,24.0,1.0,4.2,0.0,0.0,9.3
67,Pierluigi Gollini,it ITA,PO,Napoli,it Serie A,27,1995,4.0,4.0,0.0,0.0,1.0,0.0,3.1,0.19,-0.9,-0.23,15,36,41.7,128.0,24,20.3,29.6,31.0,32.3,32.2,56.0,2.0,3.6,4.0,1.0,18.8
68,Antonio Gomis,es ESP,PO,Atlético Madrid,es La Liga,19,2003,0.1,1.0,0.0,0.0,0.0,0.0,0.6,0.64,-0.4,-5.35,0,3,0.0,2.0,0,100.0,58.5,1.0,100.0,94.0,3.0,0.0,0.0,0.0,0.0,1.0
69,Ivo Grbić,hr CRO,PO,Atlético Madrid,es La Liga,26,1996,10.2,12.0,3.0,0.0,4.0,0.0,13.8,0.23,1.8,0.17,46,148,31.1,230.0,50,37.4,34.1,99.0,62.6,47.4,214.0,23.0,10.7,7.0,0.68,9.2
70,Dominik Greif,sk SVK,PO,Mallorca,es La Liga,25,1997,1.0,3.0,0.0,0.0,0.0,0.0,2.2,0.28,-0.8,-0.76,19,34,55.9,23.0,2,87.0,54.9,15.0,93.3,64.5,19.0,2.0,10.5,0.0,0.0,4.0
71,Lennart Grill,de GER,PO,Union Berlin,de Bundesliga,23,1999,5.0,11.0,2.0,0.0,1.0,0.0,9.0,0.28,-2.0,-0.41,48,108,44.4,197.0,28,48.2,37.1,17.0,76.5,55.2,47.0,8.0,17.0,7.0,1.4,15.1
72,Vicente Guaita,es ESP,PO,Crystal Palace,eng Premier League,35,1987,27.0,34.0,2.0,0.0,4.0,2.0,32.4,0.26,0.4,0.01,115,320,35.9,635.0,140,34.5,32.3,206.0,49.0,37.4,410.0,26.0,6.3,26.0,0.96,13.1
73,Péter Gulácsi,hu HUN,PO,RB Leipzig,de Bundesliga,32,1990,6.0,10.0,1.0,0.0,2.0,1.0,10.1,0.37,1.1,0.19,11,37,29.7,179.0,37,15.6,26.4,36.0,25.0,29.6,61.0,3.0,4.9,10.0,1.67,19.4
74,Samir Handanović,si SVN,PO,Inter,it Serie A,38,1984,13.7,18.0,1.0,0.0,1.0,1.0,15.0,0.27,-2.0,-0.14,45,87,51.7,508.0,71,15.6,24.7,71.0,11.3,25.5,149.0,2.0,1.3,10.0,0.73,15.4
75,Dean Henderson,eng ENG,PO,Nott'ham Forest,eng Premier League,25,1997,18.0,31.0,2.0,1.0,5.0,0.0,26.9,0.28,-4.1,-0.23,108,334,32.3,513.0,107,47.2,38.5,156.0,59.0,45.3,291.0,20.0,6.9,27.0,1.5,15.6
76,Wayne Hennessey,wls WAL,PO,Nott'ham Forest,eng Premier League,35,1987,3.0,5.0,0.0,0.0,1.0,0.0,3.9,0.28,-1.1,-0.36,23,58,39.7,72.0,13,54.2,43.2,25.0,76.0,54.5,35.0,1.0,2.9,2.0,0.66,17.0
77,Sergio Herrera,es ESP,PO,Osasuna,es La Liga,29,1993,17.0,23.0,1.0,1.0,3.0,1.0,21.4,0.28,-0.6,-0.04,151,351,43.0,475.0,58,56.0,42.7,135.0,63.0,48.3,215.0,16.0,7.4,20.0,1.18,18.5
78,Lukáš Hrádecký,fi FIN,PO,Leverkusen,de Bundesliga,32,1989,33.0,47.0,7.0,1.0,5.0,2.0,41.3,0.25,-3.7,-0.11,117,373,31.4,899.0,148,31.3,32.0,202.0,45.5,38.7,404.0,27.0,6.7,26.0,0.79,14.1
79,Daniel Iversen,dk DEN,PO,Leicester City,eng Premier League,25,1997,12.0,22.0,2.0,2.0,2.0,1.0,18.9,0.29,-2.1,-0.18,38,194,19.6,261.0,49,47.1,37.2,114.0,62.3,46.2,203.0,16.0,7.9,6.0,0.5,10.3
80,Léo Jardim,br BRA,PO,Lille,fr Ligue 1,27,1995,6.0,13.0,2.0,0.0,2.0,0.0,8.6,0.4,-4.4,-0.73,6,34,17.6,138.0,27,21.7,26.8,15.0,26.7,26.7,65.0,5.0,7.7,9.0,1.5,16.0
81,Sam Johnstone,eng ENG,PO,Crystal Palace,eng Premier League,29,1993,9.0,10.0,2.0,0.0,4.0,1.0,10.0,0.24,1.0,0.11,30,99,30.3,233.0,41,31.8,31.8,46.0,54.3,42.8,104.0,2.0,1.9,11.0,1.22,15.4
82,Filip Jørgensen,dk DEN,PO,Villarreal,es La Liga,20,2002,2.0,3.0,0.0,0.0,0.0,0.0,2.3,0.39,-0.7,-0.34,0,4,0.0,44.0,9,9.1,22.8,11.0,0.0,17.5,18.0,2.0,11.1,4.0,2.0,13.3
83,Bingourou Kamara,sn SEN,PO,Montpellier,fr Ligue 1,25,1996,4.5,11.0,1.0,0.0,2.0,0.0,9.1,0.29,-1.9,-0.41,18,57,31.6,95.0,19,42.1,35.4,35.0,48.6,39.9,52.0,3.0,5.8,2.0,0.44,11.2
84,Caoimhín Kelleher,ie IRL,PO,Liverpool,eng Premier League,23,1998,1.0,4.0,0.0,0.0,0.0,0.0,2.9,0.34,-1.1,-1.06,2,2,100.0,22.0,7,9.1,24.3,2.0,0.0,20.5,3.0,0.0,0.0,0.0,0.0,9.0
85,Gregor Kobel,ch SUI,PO,Dortmund,de Bundesliga,24,1997,27.0,32.0,1.0,0.0,5.0,1.0,33.8,0.29,2.8,0.1,100,252,39.7,855.0,122,20.9,28.9,192.0,38.0,36.5,295.0,15.0,5.1,37.0,1.37,17.1
86,Tomáš Koubek,cz CZE,PO,Augsburg,de Bundesliga,29,1992,11.0,22.0,0.0,1.0,0.0,2.0,22.0,0.36,2.0,0.19,77,225,34.2,414.0,48,37.9,36.5,96.0,70.8,52.5,176.0,10.0,5.7,22.0,2.0,16.8
87,Alban Lafont,fr FRA,PO,Nantes,fr Ligue 1,23,1999,37.0,54.0,9.0,1.0,6.0,4.0,54.8,0.26,4.8,0.13,189,516,36.6,942.0,202,37.2,35.5,247.0,67.2,49.3,493.0,42.0,8.5,39.0,1.05,12.3
88,Jean-Louis Leca,fr FRA,PO,Lens,fr Ligue 1,36,1985,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.4,0.6,0.6,9,14,64.3,29.0,5,44.8,36.8,10.0,10.0,20.4,20.0,1.0,5.0,0.0,0.0,8.2
89,Benjamin Lecomte,fr FRA,PO,Espanyol,es La Liga,31,1991,10.0,14.0,0.0,0.0,2.0,1.0,10.4,0.26,-2.6,-0.26,72,160,45.0,192.0,25,57.3,43.1,80.0,62.5,47.0,146.0,4.0,2.7,11.0,1.1,15.3
90,Benjamin Lecomte,fr FRA,PO,Montpellier,fr Ligue 1,31,1991,19.0,22.0,2.0,0.0,2.0,0.0,29.5,0.29,7.5,0.4,116,322,36.0,475.0,72,46.9,37.8,165.0,60.0,44.2,273.0,15.0,5.5,13.0,0.68,10.8
91,Jeremías Ledesma,ar ARG,PO,Cádiz,es La Liga,29,1993,34.0,48.0,8.0,1.0,6.0,0.0,47.1,0.22,-0.9,-0.03,236,735,32.1,824.0,135,58.5,44.9,285.0,88.8,64.1,595.0,42.0,7.1,26.0,0.76,10.8
92,Bernd Leno,de GER,PO,Fulham,eng Premier League,30,1992,36.0,51.0,7.0,1.0,8.0,2.0,58.0,0.27,9.0,0.25,124,391,31.7,1153.0,190,26.0,30.0,242.0,37.6,36.0,464.0,35.0,7.5,46.0,1.28,15.0
93,Donovan Léon,gf GUF,PO,Auxerre,fr Ligue 1,29,1992,2.0,2.0,1.0,0.0,0.0,0.0,1.9,0.13,-0.1,-0.03,19,57,33.3,55.0,8,63.6,46.4,24.0,91.7,66.1,41.0,0.0,0.0,2.0,1.0,12.9
94,Benjamin Leroy,fr FRA,PO,Ajaccio,fr Ligue 1,33,1989,31.1,60.0,8.0,1.0,10.0,1.0,47.7,0.3,-11.3,-0.36,213,522,40.8,657.0,77,52.4,38.5,212.0,84.0,52.1,389.0,18.0,4.6,54.0,1.74,16.9
95,Alexandre Letellier,fr FRA,PO,Paris S-G,fr Ligue 1,31,1990,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,,3.0,0,0.0,19.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,
96,Mateusz Lis,pl POL,PO,Troyes,fr Ligue 1,25,1997,8.3,16.0,2.0,0.0,2.0,0.0,16.4,0.28,0.4,0.05,39,127,30.7,235.0,41,38.7,35.2,78.0,46.2,37.4,154.0,12.0,7.8,13.0,1.56,14.4
97,Hugo Lloris,fr FRA,PO,Tottenham,eng Premier League,35,1986,24.5,39.0,1.0,0.0,3.0,1.0,33.9,0.29,-4.1,-0.17,77,218,35.3,539.0,109,31.7,31.4,186.0,25.3,25.8,322.0,20.0,6.2,29.0,1.18,13.8
98,Anthony Lopes,pt POR,PO,Lyon,fr Ligue 1,31,1990,31.3,39.0,7.0,2.0,5.0,2.0,41.4,0.27,4.4,0.14,114,317,36.0,838.0,134,31.3,31.9,183.0,30.1,31.8,358.0,19.0,5.3,25.0,0.8,13.9
99,Diego López,es ESP,PO,Rayo Vallecano,es La Liga,40,1981,1.1,4.0,0.0,0.0,2.0,0.0,1.7,0.33,-2.3,-2.19,2,8,25.0,21.0,5,28.6,30.3,8.0,25.0,35.3,12.0,0.0,0.0,2.0,1.88,17.0
