RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
67,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,28,1950.0,70.0,63.7,21.7,21,81.0,14,7,35.0,3,1.04,22.0,29.0,-7.0,-0.32,-0.16,26.8,30.6,-3.8,-0.17,-0.23
68,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,23,1838.0,80.0,53.7,20.4,21,86.0,16,2,19.0,3,2.3,49.0,18.0,31.0,1.52,1.06,43.8,21.5,22.3,1.09,0.28
69,Ángel Alarcón,es ESP,DL,Barcelona,es La Liga,18,2004,4,25.0,6.0,0.7,0.3,0,0.0,0,4,6.0,10,2.25,0.0,0.0,0.0,0.0,-1.33,0.0,0.0,0.0,0.0,0.0
70,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,23,1999,4,223.0,56.0,6.5,2.5,2,83.0,1,2,29.0,4,0.0,0.0,7.0,-7.0,-2.83,-2.37,1.2,5.4,-4.2,-1.7,-1.26
71,Lucas Alario,ar ARG,"DL,CC",Eint Frankfurt,de Bundesliga,29,1992,20,331.0,17.0,10.8,3.7,2,78.0,1,18,10.0,9,1.25,5.0,9.0,-4.0,-1.09,-1.42,6.1,3.5,2.6,0.69,0.49
72,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,24,1419.0,59.0,41.5,15.8,14,83.0,6,10,26.0,12,2.17,27.0,8.0,19.0,1.21,-0.19,30.7,13.3,17.5,1.11,-0.01
73,Luis Alberto,es ESP,CC,Lazio,it Serie A,29,1992,35,2442.0,70.0,71.4,27.1,27,82.0,16,8,27.0,2,1.94,49.0,19.0,30.0,1.11,1.11,39.6,27.7,11.9,0.44,0.63
74,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,25,2119.0,85.0,62.0,23.5,24,88.0,22,1,15.0,2,1.52,29.0,23.0,6.0,0.25,-0.64,33.8,28.2,5.6,0.24,-0.16
75,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,32,1989,6,237.0,40.0,6.9,2.6,1,67.0,0,5,34.0,13,1.67,4.0,3.0,1.0,0.38,0.89,4.9,4.3,0.6,0.24,0.62
76,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,31,1991,18,1254.0,70.0,36.7,13.9,14,82.0,9,4,25.0,0,1.72,22.0,23.0,-1.0,-0.07,-1.28,24.4,20.7,3.7,0.26,-0.49
