Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Duelos aéreos,Duelos aéreos,Duelos aéreos,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
119,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,32,1990,20.3,2,0,0,28,44,12,35,5,7,0,1,0,43,50,88,36.2,Partidos
120,Antony,br BRA,DL,Manchester Utd,eng Premier League,22,2000,20.0,5,0,0,15,25,2,32,11,9,0,0,0,99,5,19,20.8,Partidos
121,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,2,0,0,4,2,0,2,4,5,0,0,0,24,6,11,35.3,Partidos
122,Christopher Antwi-Adjei,gh GHA,"DL,CC",Bochum,de Bundesliga,28,1994,22.0,2,0,0,24,40,15,63,5,15,1,0,0,109,16,45,26.2,Partidos
123,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,27,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6,Partidos
124,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,24,1998,5.8,2,0,0,7,5,0,6,8,5,0,0,0,35,6,4,60.0,Partidos
125,Adil Aouchiche,fr FRA,CC,Lorient,fr Ligue 1,20,2002,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
126,Dennis Appiah,fr FRA,"DF,CC",Nantes,fr Ligue 1,30,1992,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0,Partidos
127,Stredair Appuah,fr FRA,"DF,CC",Nantes,fr Ligue 1,18,2004,0.7,0,0,0,0,2,0,2,1,1,0,0,0,5,1,3,25.0,Partidos
128,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6,Partidos
129,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,33,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2,Partidos
130,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0,Partidos
131,Cameron Archer,eng ENG,"DL,CC",Aston Villa,eng Premier League,21,2001,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,,Partidos
132,Taïryk Arconte,fr FRA,DL,Brest,fr Ligue 1,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0,Partidos
133,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,29,1993,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,Partidos
134,Adu Ares,es ESP,"DL,CC",Athletic Club,es La Liga,20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0,Partidos
135,Joe Aribo,ng NGA,"CC,DL",Southampton,eng Premier League,26,1996,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.1,Partidos
136,Adam Armstrong,eng ENG,"DL,CC",Southampton,eng Premier League,25,1997,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.2,Partidos
137,Stuart Armstrong,sct SCO,"CC,DL",Southampton,eng Premier League,30,1992,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.9,Partidos
138,Marko Arnautović,at AUT,DL,Bologna,it Serie A,33,1989,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5,Partidos
139,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,28,1994,30.7,5,0,0,33,64,0,154,26,31,0,0,1,225,30,30,50.0,Partidos
140,Mohamed El Arouch,fr FRA,CC,Lyon,fr Ligue 1,18,2004,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,Partidos
141,Sergio Arribas,es ESP,"CC,DL",Real Madrid,es La Liga,20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Partidos
142,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,27,1994,28.5,1,0,0,0,8,0,0,1,2,0,0,0,42,11,1,91.7,Partidos
143,Roberto Arroyo,es ESP,CC,Valladolid,es La Liga,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Partidos
144,Tolgay Arslan,de GER,CC,Udinese,it Serie A,31,1990,13.5,3,0,0,15,35,0,28,12,18,0,0,0,78,8,4,66.7,Partidos
145,Ricard Artero,es ESP,"CC,DL",Girona,es La Liga,19,2003,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0,Partidos
146,Arthur,br BRA,DL,Fiorentina,it Serie A,24,1998,15.9,4,0,0,26,18,2,4,1,2,0,1,0,39,49,49,50.0,Partidos
147,Santiago Arzamendia,py PAR,"DF,CC",Cádiz,es La Liga,24,1998,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0,Partidos
148,Takuma Asano,jp JPN,"DL,CC",Bochum,de Bundesliga,27,1994,19.0,1,0,0,10,24,7,28,8,9,0,0,0,82,19,28,40.4,Partidos
149,Santiago Ascacíbar,ar ARG,CC,Cremonese,it Serie A,25,1997,8.1,1,0,0,11,9,0,5,13,14,0,0,0,62,10,20,33.3,Partidos
150,Sergio Asenjo,es ESP,PO,Valladolid,es La Liga,33,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,,Partidos
