Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,PJ2017-2018,Titular2017-2018,Mín2017-2018,90 s2017-2018,GC2017-2018,GC902017-2018,DaPC2017-2018,Salvadas2017-2018,% Salvadas2017-2018,PG2017-2018,PE2017-2018,PP2017-2018,PaC2017-2018,PaC%2017-2018,TPint2017-2018,PD2017-2018,PD.12017-2018,PC2017-2018,% Salvadas.12017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,GC2018-2019,GC902018-2019,DaPC2018-2019,Salvadas2018-2019,% Salvadas2018-2019,PG2018-2019,PE2018-2019,PP2018-2019,PaC2018-2019,PaC%2018-2019,TPint2018-2019,PD2018-2019,PD.12018-2019,PC2018-2019,% Salvadas.12018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,PJ2019-2020,Titular2019-2020,Mín2019-2020,90 s2019-2020,GC2019-2020,GC902019-2020,DaPC2019-2020,Salvadas2019-2020,% Salvadas2019-2020,PG2019-2020,PE2019-2020,PP2019-2020,PaC2019-2020,PaC%2019-2020,TPint2019-2020,PD2019-2020,PD.12019-2020,PC2019-2020,% Salvadas.12019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,PJ2020-2021,Titular2020-2021,Mín2020-2021,90 s2020-2021,GC2020-2021,GC902020-2021,DaPC2020-2021,Salvadas2020-2021,% Salvadas2020-2021,PG2020-2021,PE2020-2021,PP2020-2021,PaC2020-2021,PaC%2020-2021,TPint2020-2021,PD2020-2021,PD.12020-2021,PC2020-2021,% Salvadas.12020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,PJ2021-2022,Titular2021-2022,Mín2021-2022,90 s2021-2022,GC2021-2022,GC902021-2022,DaPC2021-2022,Salvadas2021-2022,% Salvadas2021-2022,PG2021-2022,PE2021-2022,PP2021-2022,PaC2021-2022,PaC%2021-2022,TPint2021-2022,PD2021-2022,PD.12021-2022,PC2021-2022,% Salvadas.12021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Titular2022-2023,Mín2022-2023,90 s2022-2023,GC2022-2023,GC902022-2023,DaPC2022-2023,Salvadas2022-2023,% Salvadas2022-2023,PG2022-2023,PE2022-2023,PP2022-2023,PaC2022-2023,PaC%2022-2023,TPint2022-2023,PD2022-2023,PD.12022-2023,PC2022-2023,% Salvadas.12022-2023,Position,Market Value,Transfer Type,Fee
207,Francesco Bardi,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,50,6,26.0,1992.0,3.0,3.0,270.0,3.0,5.0,1.67,12.0,7.0,58.3,0.0,1.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,19,6,29.0,1992.0,2.0,2.0,177.0,2.0,2.0,1.02,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,19,6,30.0,1992.0,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,
208,Paul Bernardoni,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,100,5,21.0,1997.0,38.0,38.0,3420.0,38.0,58.0,1.53,180.0,122.0,70.0,15.0,8.0,15.0,10.0,26.3,5.0,4.0,1.0,0.0,20.0,46,12,100,5,22.0,1997.0,25.0,25.0,2204.0,24.5,38.0,1.55,108.0,71.0,68.5,7.0,4.0,14.0,6.0,24.0,4.0,4.0,0.0,0.0,0.0,46,12,5,5,23.0,1997.0,38.0,38.0,3420.0,38.0,58.0,1.53,139.0,82.0,63.3,12.0,8.0,18.0,9.0,23.7,8.0,7.0,1.0,0.0,12.5,46,12,5,5,24.0,1997.0,32.0,32.0,2880.0,32.0,56.0,3.41,139.0,85.0,130.8,9.0,10.0,13.0,7.0,46.6,8.0,8.0,0.0,0.0,0.0,46,12,5,5,25.0,1997.0,27.0,27.0,2430.0,27.0,62.0,2.3,143.0,84.0,62.2,1.0,5.0,21.0,3.0,11.1,9.0,8.0,0.0,1.0,0.0,,,,
209,Dimitry Bertaud,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,91,5,20.0,1998.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,46,12,91,5,21.0,1998.0,3.0,3.0,196.0,2.2,3.0,1.38,5.0,2.0,40.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,91,5,22.0,1998.0,9.0,7.0,745.0,8.3,11.0,1.33,42.0,31.0,76.2,4.0,2.0,1.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,46,12,91,5,23.0,1998.0,11.0,9.0,833.0,9.3,20.0,2.16,57.0,37.0,68.4,2.0,3.0,4.0,2.0,22.2,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
210,Marcus Bettinelli,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,51,3,26.0,1992.0,7.0,7.0,630.0,7.0,20.0,2.86,40.0,19.0,52.5,1.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
211,Artur Boruc,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,12,21,3,38.0,1980.0,12.0,12.0,1080.0,12.0,18.0,1.5,56.0,38.0,73.2,4.0,3.0,5.0,4.0,33.3,3.0,3.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
212,Zacharie Boucher,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,5,5,26.0,1992.0,2.0,2.0,180.0,2.0,1.0,0.5,4.0,3.0,75.0,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
213,Fabian Bredlow,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,101,2,23.0,1995.0,14.0,12.0,1127.0,12.5,28.0,2.24,61.0,32.0,54.1,2.0,3.0,7.0,2.0,16.7,2.0,0.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,125,2,25.0,1995.0,1.0,1.0,90.0,1.0,1.0,1.0,9.0,8.0,88.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,125,2,26.0,1995.0,4.0,4.0,360.0,4.0,7.0,1.75,24.0,17.0,70.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,125,2,27.0,1995.0,15.0,15.0,1350.0,15.0,23.0,1.53,59.0,37.0,69.5,4.0,5.0,6.0,1.0,6.7,5.0,5.0,0.0,0.0,0.0,,,,
214,David Button,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,25,3,29.0,1989.0,4.0,4.0,360.0,4.0,5.0,1.25,18.0,13.0,83.3,1.0,1.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,139,3,31.0,1989.0,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
215,Rafael Cabral,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,12,116,6,28.0,1990.0,2.0,2.0,180.0,2.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
216,Marc-Aurèle Caillard,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,57,5,24.0,1994.0,21.0,21.0,1890.0,21.0,34.0,1.62,93.0,58.0,64.5,4.0,7.0,10.0,6.0,28.6,2.0,1.0,1.0,0.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,88,5,26.0,1994.0,5.0,4.0,361.0,4.0,10.0,2.49,23.0,13.0,69.6,0.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,46,12,88,5,27.0,1994.0,19.0,17.0,1542.0,17.1,30.0,1.75,87.0,57.0,67.8,4.0,5.0,8.0,5.0,29.4,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
217,Joel Coleman,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,63,3,22.0,1995.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
218,Javier Díaz,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,119,4,21.0,1997.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,119,4,24.0,1997.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
219,Stole Dimitrievski,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,12,107,4,24.0,1993.0,21.0,21.0,1890.0,21.0,35.0,1.67,95.0,59.0,69.5,5.0,4.0,12.0,3.0,14.3,7.0,6.0,1.0,0.0,14.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,12,107,4,27.0,1993.0,31.0,30.0,2772.0,30.8,37.0,1.2,126.0,88.0,76.2,11.0,8.0,11.0,9.0,30.0,9.0,7.0,2.0,0.0,22.2,90,12,107,4,28.0,1993.0,37.0,37.0,3324.0,36.9,49.0,1.33,139.0,94.0,67.6,13.0,10.0,14.0,9.0,24.3,5.0,4.0,0.0,1.0,0.0,,,,
220,Jaroslav Drobný,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,12,40,2,38.0,1979.0,2.0,2.0,180.0,2.0,3.0,1.5,9.0,6.0,66.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
221,Neil Etheridge,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,12,29,3,28.0,1990.0,38.0,38.0,3420.0,38.0,69.0,1.82,207.0,135.0,68.6,10.0,4.0,24.0,10.0,26.3,7.0,4.0,3.0,0.0,42.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
222,Fabricio,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,51,3,30.0,1987.0,2.0,2.0,180.0,2.0,5.0,2.5,21.0,16.0,76.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,84,4,31.0,1987.0,2.0,2.0,90.0,1.0,3.0,3.0,6.0,3.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
223,Aitor Fernández,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,76,4,27.0,1991.0,16.0,16.0,1440.0,16.0,24.0,1.5,83.0,60.0,75.9,4.0,5.0,7.0,2.0,12.5,4.0,4.0,0.0,0.0,0.0,43,12,76,4,28.0,1991.0,36.0,36.0,3240.0,36.0,51.0,1.42,205.0,153.0,76.6,12.0,7.0,17.0,5.0,13.9,5.0,3.0,2.0,0.0,40.0,43,12,76,4,29.0,1991.0,29.0,29.0,2610.0,29.0,44.0,1.52,120.0,78.0,65.8,8.0,11.0,10.0,3.0,10.3,3.0,3.0,0.0,0.0,0.0,43,12,76,4,30.0,1991.0,13.0,13.0,1166.0,13.0,29.0,2.24,81.0,51.0,65.4,1.0,5.0,7.0,2.0,15.4,2.0,1.0,1.0,0.0,50.0,43,12,102,4,31.0,1991.0,21.0,21.0,1890.0,21.0,19.0,0.9,77.0,59.0,75.3,10.0,5.0,6.0,8.0,38.1,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,
224,Mark Flekken,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,12,49,2,25.0,1993.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,12,49,2,26.0,1993.0,10.0,10.0,900.0,10.0,14.0,1.4,69.0,55.0,79.7,4.0,3.0,3.0,3.0,30.0,1.0,0.0,0.0,1.0,0.0,101,12,49,2,27.0,1993.0,3.0,3.0,270.0,3.0,6.0,2.0,18.0,12.0,77.8,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,101,12,49,2,28.0,1993.0,32.0,32.0,2880.0,32.0,39.0,1.22,141.0,103.0,73.8,15.0,9.0,8.0,10.0,31.3,2.0,2.0,0.0,0.0,0.0,101,12,49,2,29.0,1993.0,34.0,34.0,3060.0,34.0,44.0,1.29,150.0,106.0,74.0,17.0,8.0,9.0,13.0,38.2,6.0,5.0,0.0,1.0,0.0,,,,
225,Pierluigi Frattali,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,105,6,32.0,1985.0,1.0,1.0,90.0,1.0,2.0,2.0,8.0,7.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
226,Alberto García,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,107,4,33.0,1985.0,17.0,17.0,1530.0,17.0,35.0,2.06,87.0,50.0,60.9,3.0,4.0,10.0,4.0,23.5,4.0,1.0,3.0,0.0,75.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
227,Fabian Giefer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,12,2,28.0,1990.0,4.0,4.0,360.0,4.0,7.0,1.75,19.0,12.0,63.2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
228,Mauro Goicoechea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,12,129,5,30.0,1988.0,8.0,7.0,712.0,7.9,12.0,1.52,35.0,23.0,68.6,2.0,3.0,2.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,130,12,129,5,31.0,1988.0,2.0,2.0,180.0,2.0,5.0,2.5,13.0,8.0,61.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
