Fee,Market Value,npxG+xAG2020-2021,npxG2020-2021,PrgP2020-2021,G+A2020-2021,npxG+xAG2021-2022,Ass2020-2021,G-TP2020-2021,xAG2021-2022,xG2020-2021,PrgP2021-2022,PrgC2020-2021,G+A2021-2022,xG2021-2022,Gls.2020-2021,Titular2020-2021,PrgC2021-2022,npxG2021-2022,Mín2020-2021,90 s2020-2021,PrgR2021-2022,Gls.2021-2022,xAG2020-2021,G-TP2021-2022,TA2020-2021,Titular2021-2022,Mín2021-2022,90 s2021-2022,PrgR2020-2021,Ass2021-2022,TP2021-2022,npxG2019-2020,npxG+xAG2019-2020,TPint2021-2022,G-TP2019-2020,PJ2020-2021,G+A-TP2020-2021,G-TP.12020-2021,PrgP2019-2020,PrgC2019-2020,TA2021-2022,G+A.12020-2021,xG2019-2020,Gls..12020-2021,PJ2021-2022,Gls.2019-2020,PrgR2019-2020,G+A2019-2020,npxG.12020-2021,xG.12020-2021,Jugador
,,0.9,0.1,39.0,1.0,0.8,1.0,0.0,0.7,0.1,57.0,11.0,1.0,0.2,0.0,16.0,15.0,0.2,1558.0,17.3,40.0,0.0,0.7,0.0,1.0,17.0,1616.0,18.0,36.0,1.0,0.0,0.8,1.5,0.0,1.0,26.0,0.06,0.0,56.0,26.0,4.0,0.06,0.8,0.0,24.0,1.0,49.0,2.0,0.01,0.01,Martin Agirregabiria
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Imanol Agirretxe
,,3.1,1.9,12.0,5.0,1.1,1.0,3.0,0.1,3.5,3.0,12.0,1.0,1.0,4.0,7.0,4.0,1.0,559.0,6.2,13.0,1.0,1.2,1.0,0.0,2.0,151.0,1.7,39.0,0.0,0.0,12.1,14.4,0.0,14.0,12.0,0.64,0.48,34.0,35.0,0.0,0.81,14.5,0.64,4.0,16.0,105.0,19.0,0.31,0.56,Sergio Agüero
,,5.6,0.9,101.0,4.0,1.2,3.0,1.0,0.9,0.9,157.0,74.0,2.0,0.3,1.0,27.0,61.0,0.3,2225.0,24.7,101.0,0.0,4.7,0.0,6.0,22.0,2140.0,23.8,231.0,2.0,0.0,0.2,2.0,0.0,0.0,33.0,0.16,0.04,52.0,32.0,4.0,0.16,0.2,0.04,28.0,0.0,80.0,2.0,0.03,0.03,Ruben Aguilar
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matías Aguirregaray
3.0,3.0,3.5,2.2,93.0,4.0,2.7,2.0,2.0,0.8,2.4,38.0,27.0,2.0,1.9,2.0,26.0,16.0,1.9,2182.0,24.2,39.0,1.0,1.3,1.0,9.0,11.0,1004.0,11.2,25.0,1.0,0.0,0.7,1.2,0.0,1.0,29.0,0.17,0.08,34.0,14.0,2.0,0.17,0.7,0.08,25.0,1.0,15.0,2.0,0.32,0.33,Jean-Eudes Aholou
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ailton
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,47.0,6.0,0.0,0.0,0.1,0.0,0.0,0.0,6.0,1.0,0.0,0.0,Youssef Aït Bennasser
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arlind Ajeti
17.5,30.0,2.0,1.7,159.0,2.0,2.0,0.0,2.0,0.1,1.7,115.0,26.0,1.0,1.9,2.0,26.0,18.0,1.9,2350.0,26.1,8.0,1.0,0.3,1.0,4.0,25.0,2261.0,25.1,7.0,0.0,0.0,0.4,0.9,0.0,0.0,28.0,0.08,0.08,104.0,18.0,3.0,0.08,0.4,0.08,26.0,0.0,6.0,1.0,0.06,0.06,Manuel Akanji
,,0.3,0.3,52.0,1.0,1.2,0.0,1.0,0.6,0.3,57.0,12.0,2.0,0.7,1.0,9.0,12.0,0.7,797.0,8.9,8.0,2.0,0.0,2.0,4.0,10.0,923.0,10.3,6.0,0.0,0.0,3.0,5.1,0.0,2.0,10.0,0.11,0.11,81.0,12.0,0.0,0.11,3.0,0.11,14.0,2.0,7.0,4.0,0.03,0.03,Nathan Aké
