RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,10.6,8.3,7.0,15.3,21,69,217,0.39,0.26,0.66,0.30,0.56,0.35,0.23,0.58,0.27,0.50
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2.0,18,115,8,0.04,0.00,0.04,0.04,0.04,0.08,0.00,0.08,0.08,0.08
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.2,12,57,8,0.20,0.00,0.20,0.20,0.20,0.07,0.06,0.12,0.07,0.12
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0.00,0.00,0.00,0.00,0.00,0.11,0.43,0.54,0.11,0.54
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,7,0,54,0.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,2,5,7,0.00,0.00,0.00,0.00,0.00,0.24,0.06,0.30,0.24,0.30
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,3,30,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,10,4,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,5,3,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
46,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26,1995,26,19,1527,17.0,2,2,4,2,0,0,5,0,1.2,1.2,2.6,3.8,36,87,40,0.12,0.12,0.24,0.12,0.24,0.07,0.15,0.22,0.07,0.22
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.10,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13
48,Sofiane Alakouch,ma MAR,"DF,CC",Metz,fr Ligue 1,23,1998,4,0,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
49,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6,55,13,0.00,0.06,0.06,0.00,0.06,0.07,0.07,0.14,0.07,0.14
50,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6.0,5.2,1.0,6.2,6,10,44,0.82,0.00,0.82,0.82,0.82,0.82,0.14,0.96,0.71,0.85
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29
52,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13
53,Luis Alberto,es ESP,CC,Lazio,it Serie A,28,1992,34,27,2353,26.1,5,9,14,5,0,0,5,0,3.3,3.3,7.8,11.1,84,223,89,0.19,0.34,0.54,0.19,0.54,0.12,0.30,0.42,0.12,0.42
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02
55,Marc Albrighton,eng ENG,"DL,DF",Leicester City,eng Premier League,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.5,2.0,2.5,21,26,56,0.08,0.16,0.24,0.08,0.24,0.04,0.16,0.20,0.04,0.20
56,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63
57,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,30,1991,25,17,1534,17.0,1,4,5,1,0,0,2,0,1.9,1.9,2.3,4.2,24,214,45,0.06,0.23,0.29,0.06,0.29,0.11,0.14,0.25,0.11,0.25
58,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,1.3,1.3,0.9,2.3,26,87,21,0.16,0.00,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.8,0.8,0.1,1.0,17,89,3,0.07,0.00,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
60,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,1.4,1.4,1.8,3.2,63,25,88,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27
61,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18,2002,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Carles Aleñá,es ESP,CC,Getafe,es La Liga,23,1998,33,30,2320,25.8,1,2,3,1,0,0,6,1,1.8,1.8,1.3,3.1,33,81,65,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,2.4,2.4,12.0,14.4,53,267,201,0.06,0.38,0.44,0.06,0.44,0.07,0.38,0.46,0.07,0.46
64,Mohamed Ali Cho,fr FRA,DL,Angers,fr Ligue 1,17,2004,32,21,1837,20.4,4,1,5,4,0,0,6,2,6.4,6.4,2.7,9.1,60,22,150,0.20,0.05,0.24,0.20,0.24,0.31,0.13,0.44,0.31,0.44
65,Alisson,br BRA,PO,Liverpool,eng Premier League,28,1992,36,36,3240,36.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
66,Allan,br BRA,CC,Everton,eng Premier League,30,1991,28,25,2183,24.3,0,2,2,0,0,0,7,1,0.2,0.2,0.8,1.1,26,130,18,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04
