RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
1477,Armand Lauriente,fr FRA,"DL,CC",Lorient,fr Ligue 1,22,1998,35,28,2477,27.5,6,2,8,5,1,1,5,0,7.5,6.7,4.0,10.8,89,66,194,0.22,0.07,0.29,0.18,0.25,0.27,0.15,0.42,0.24,0.39
1478,Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,30,1990,34,32,2766,30.7,1,7,8,1,0,0,2,0,2.9,2.9,6.3,9.2,101,174,243,0.03,0.23,0.26,0.03,0.26,0.09,0.20,0.30,0.09,0.30
1479,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,27,1993,31,16,1665,18.5,3,3,6,3,0,0,3,0,0.8,0.8,2.1,2.8,80,50,107,0.16,0.16,0.32,0.16,0.32,0.04,0.11,0.15,0.04,0.15
1480,Théo Le Bris,fr FRA,CC,Lorient,fr Ligue 1,18,2002,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1481,Jérémy Le Douaron,fr FRA,"DL,CC",Brest,fr Ligue 1,23,1998,32,16,1446,16.1,5,3,8,5,0,0,0,0,3.7,3.7,2.6,6.3,39,18,127,0.31,0.19,0.50,0.31,0.50,0.23,0.16,0.39,0.23,0.39
1482,Enzo Le Fée,fr FRA,"CC,DL",Lorient,fr Ligue 1,21,2000,36,25,2194,24.4,2,3,5,2,0,0,2,0,1.9,1.9,2.6,4.5,63,136,105,0.08,0.12,0.21,0.08,0.21,0.08,0.11,0.18,0.08,0.18
1483,Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34,34,3060,34.0,1,1,2,1,0,0,1,0,1.4,1.4,1.9,3.3,62,166,147,0.03,0.03,0.06,0.03,0.06,0.04,0.06,0.10,0.04,0.10
1484,Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,31,1989,12,9,860,9.6,1,1,2,1,0,0,4,0,0.3,0.3,0.1,0.4,2,28,1,0.10,0.10,0.21,0.10,0.21,0.03,0.01,0.04,0.03,0.04
1485,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,24,1996,37,37,3330,37.0,1,1,2,1,0,0,6,0,1.5,1.5,0.5,2.0,27,115,4,0.03,0.03,0.05,0.03,0.05,0.04,0.01,0.05,0.04,0.05
1486,Patrick Leal,us USA,DL,Venezia,it Serie A,18,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1487,Rafael Leão,pt POR,DL,Milan,it Serie A,22,1999,34,31,2605,28.9,11,10,21,11,0,0,4,0,8.8,8.8,6.8,15.5,161,101,218,0.38,0.35,0.73,0.38,0.73,0.30,0.23,0.54,0.30,0.54
1488,Jean-Louis Leca,fr FRA,PO,Lens,fr Ligue 1,35,1985,27,27,2313,25.7,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1489,Jeremías Ledesma,ar ARG,PO,Cádiz,es La Liga,28,1993,38,38,3420,38.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1490,Pierre Lees-Melou,fr FRA,CC,Norwich City,eng Premier League,28,1993,33,27,2265,25.2,1,0,1,1,0,0,5,0,1.6,1.6,1.9,3.6,33,114,60,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
1491,Wu Lei,cn CHN,"DL,CC",Espanyol,es La Liga,29,1991,23,4,474,5.3,1,0,1,1,0,0,0,0,1.1,1.1,0.9,1.9,8,6,21,0.19,0.00,0.19,0.19,0.19,0.20,0.17,0.37,0.20,0.37
1492,Maxim Leitsch,de GER,DF,Bochum,de Bundesliga,23,1998,19,17,1538,17.1,1,0,1,1,0,0,2,0,1.1,1.1,0.5,1.6,11,43,1,0.06,0.00,0.06,0.06,0.06,0.06,0.03,0.09,0.06,0.09
1493,Lucas Leiva,br BRA,CC,Lazio,it Serie A,34,1987,35,19,1697,18.9,0,0,0,0,0,0,9,0,0.1,0.1,0.3,0.4,10,84,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
1494,Florian Lejeune,fr FRA,DF,Alavés,es La Liga,30,1991,30,30,2699,30.0,0,0,0,0,0,0,9,1,1.5,1.5,0.2,1.7,6,74,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06
1495,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,28,1993,25,22,1925,21.4,0,2,2,0,0,0,3,0,0.1,0.1,2.3,2.5,52,84,72,0.00,0.09,0.09,0.00,0.09,0.01,0.11,0.11,0.01,0.11
1496,Thomas Lemar,fr FRA,CC,Atlético Madrid,es La Liga,25,1995,24,17,1440,16.0,4,5,9,4,0,0,2,0,3.4,3.4,3.3,6.8,54,95,92,0.25,0.31,0.56,0.25,0.56,0.21,0.21,0.42,0.21,0.42
1497,Félix Lemaréchal,fr FRA,CC,Monaco,fr Ligue 1,17,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1498,Mario Lemina,ga GAB,CC,Nice,fr Ligue 1,27,1993,32,24,1967,21.9,2,0,2,2,0,0,7,1,2.0,2.0,0.4,2.3,35,93,30,0.09,0.00,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11
1499,Fabien Lemoine,fr FRA,CC,Lorient,fr Ligue 1,34,1987,21,13,1117,12.4,0,1,1,0,0,0,5,0,0.2,0.2,0.5,0.7,13,81,12,0.00,0.08,0.08,0.00,0.08,0.02,0.04,0.06,0.02,0.06
1500,Tim Lemperle,de GER,"DL,CC",Köln,de Bundesliga,19,2002,13,0,149,1.7,2,0,2,2,0,0,0,0,1.4,1.4,0.7,2.2,8,4,19,1.21,0.00,1.21,1.21,1.21,0.87,0.45,1.32,0.87,1.32
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
1501,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,18,2003,4,1,137,1.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
1502,Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,26,1995,21,7,826,9.2,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,19,80,1,0.00,0.11,0.11,0.00,0.11,0.02,0.04,0.05,0.02,0.05
1503,Aaron Lennon,eng ENG,"CC,DL",Burnley,eng Premier League,34,1987,28,17,1551,17.2,2,0,2,2,0,0,2,0,1.1,1.1,0.5,1.6,38,19,77,0.12,0.00,0.12,0.12,0.12,0.06,0.03,0.09,0.06,0.09
1504,Bernd Leno,de GER,PO,Arsenal,eng Premier League,29,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1505,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,26,1994,15,6,664,7.4,0,1,1,0,0,0,6,0,0.1,0.1,1.0,1.1,14,35,36,0.00,0.14,0.14,0.00,0.14,0.02,0.13,0.15,0.02,0.15
1506,Léo Leroy,fr FRA,CC,Montpellier,fr Ligue 1,21,2000,24,7,626,7.0,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,4,24,8,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
1507,Alexandre Letellier,fr FRA,PO,Paris S-G,fr Ligue 1,30,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1508,Robert Lewandowski,pl POL,DL,Bayern Munich,de Bundesliga,32,1988,34,34,2946,32.7,35,3,38,30,5,5,2,0,33.2,29.3,4.4,33.7,46,81,268,1.07,0.09,1.16,0.92,1.01,1.01,0.13,1.15,0.90,1.03
1509,Jamie Leweling,de GER,"DL,CC",Greuther Fürth,de Bundesliga,20,2001,33,22,1959,21.8,5,1,6,5,0,0,3,0,4.0,4.0,1.7,5.8,76,34,153,0.23,0.05,0.28,0.23,0.28,0.18,0.08,0.26,0.18,0.26
1510,Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1511,Luca Lezzerini,it ITA,PO,Venezia,it Serie A,26,1995,6,6,495,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1512,Ben Lhassine Kone,ci CIV,CC,Torino,it Serie A,21,2000,1,0,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10
1513,Yanis Lhery,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,18,2003,5,0,72,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,3,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
1514,Dimitri Liénard,fr FRA,"DF,CC",Strasbourg,fr Ligue 1,33,1988,33,23,2044,22.7,2,3,5,2,0,0,8,0,1.4,1.4,3.0,4.4,44,114,166,0.09,0.13,0.22,0.09,0.22,0.06,0.13,0.19,0.06,0.19
1515,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,25,1996,32,32,2870,31.9,5,0,5,5,0,0,2,0,3.3,3.3,0.7,3.9,16,101,6,0.16,0.00,0.16,0.16,0.16,0.10,0.02,0.12,0.10,0.12
1516,Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,21,1999,31,29,2674,29.7,3,1,4,3,0,0,4,1,1.6,1.6,1.0,2.6,18,68,6,0.10,0.03,0.13,0.10,0.13,0.05,0.03,0.09,0.05,0.09
1517,Isaac Lihadji,fr FRA,"CC,DL",Lille,fr Ligue 1,19,2002,13,2,238,2.6,1,3,4,1,0,0,1,0,0.9,0.9,1.2,2.2,15,13,23,0.38,1.13,1.51,0.38,1.51,0.35,0.47,0.82,0.35,0.82
1518,Anderson Lima,br BRA,CC,Lazio,it Serie A,21,1999,4,0,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,3,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
1519,Andreas Linde,se SWE,PO,Greuther Fürth,de Bundesliga,28,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1520,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,27,1994,28,26,2355,26.2,0,2,2,0,0,0,4,0,0.2,0.2,0.6,0.8,14,72,3,0.00,0.08,0.08,0.00,0.08,0.01,0.02,0.03,0.01,0.03
1521,Jesper Lindstrøm,dk DEN,"CC,DL",Eint Frankfurt,de Bundesliga,21,2000,29,26,1976,22.0,5,4,9,5,0,0,0,0,8.0,8.0,5.5,13.5,80,43,154,0.23,0.18,0.41,0.23,0.41,0.37,0.25,0.62,0.37,0.62
1522,Karol Linetty,pl POL,"CC,DL",Torino,it Serie A,26,1995,16,11,896,10.0,0,0,0,0,0,0,2,0,0.7,0.7,1.5,2.2,10,22,37,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.23,0.07,0.23
1523,Jesse Lingard,eng ENG,"DL,CC",Manchester Utd,eng Premier League,28,1992,16,2,367,4.1,2,0,2,2,0,0,1,0,0.6,0.6,0.3,1.0,9,13,22,0.49,0.00,0.49,0.49,0.49,0.16,0.08,0.24,0.16,0.24
1524,Pol Lirola,es ESP,"DF,DL",Marseille,fr Ligue 1,23,1997,34,19,1770,19.7,1,2,3,1,0,0,1,0,1.4,1.4,2.8,4.2,74,82,205,0.05,0.10,0.15,0.05,0.15,0.07,0.14,0.21,0.07,0.21
1525,Valentino Livramento,eng ENG,DF,Southampton,eng Premier League,18,2002,28,25,2202,24.5,1,1,2,1,0,0,2,0,1.4,1.4,2.7,4.1,79,80,118,0.04,0.04,0.08,0.04,0.08,0.06,0.11,0.17,0.06,0.17
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
1526,Dejan Ljubicic,at AUT,"CC,DL",Köln,de Bundesliga,23,1997,30,22,1969,21.9,3,1,4,3,0,0,4,0,1.8,1.8,2.7,4.5,60,97,136,0.14,0.05,0.18,0.14,0.18,0.08,0.13,0.21,0.08,0.21
1527,Javier Llabrés,es ESP,"DL,CC",Mallorca,es La Liga,18,2002,5,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,5,15,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17
1528,Diego Llorente,es ESP,DF,Leeds United,eng Premier League,27,1993,28,28,2340,26.0,3,0,3,3,0,0,7,0,1.0,1.0,0.1,1.0,20,97,1,0.12,0.00,0.12,0.12,0.12,0.04,0.00,0.04,0.04,0.04
1529,Marcos Llorente,es ESP,"CC,DF",Atlético Madrid,es La Liga,26,1995,29,29,2447,27.2,0,2,2,0,0,0,5,0,0.7,0.7,2.6,3.3,63,81,181,0.00,0.07,0.07,0.00,0.07,0.02,0.10,0.12,0.02,0.12
1530,Hugo Lloris,fr FRA,PO,Tottenham,eng Premier League,34,1986,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
1531,Giovani Lo Celso,ar ARG,"CC,DL",Tottenham,eng Premier League,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,10,8,15,0.00,0.00,0.00,0.00,0.00,0.23,0.26,0.49,0.23,0.49
1532,Giovani Lo Celso,ar ARG,"DL,CC",Villarreal,es La Liga,25,1996,16,11,994,11.0,1,1,2,1,0,0,3,0,1.1,1.1,2.4,3.5,33,68,71,0.09,0.09,0.18,0.09,0.18,0.10,0.22,0.32,0.10,0.32
1533,Julen Lobete,es ESP,"DL,CC",Real Sociedad,es La Liga,20,2000,13,2,284,3.2,2,0,2,2,0,0,0,0,1.0,1.0,0.0,1.0,3,4,29,0.63,0.00,0.63,0.63,0.63,0.33,0.01,0.33,0.33,0.33
1534,Stanislav Lobotka,sk SVK,CC,Napoli,it Serie A,26,1994,23,19,1686,18.7,1,0,1,1,0,0,2,0,0.1,0.1,0.7,0.8,25,93,13,0.05,0.00,0.05,0.05,0.05,0.01,0.04,0.04,0.01,0.04
1535,Jürgen Locadia,nl NED,"CC,DL",Brighton,eng Premier League,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61
1536,Jürgen Locadia,nl NED,"DL,CC",Bochum,de Bundesliga,27,1993,11,4,444,4.9,2,1,3,1,1,1,0,0,1.7,0.9,0.8,1.7,6,16,25,0.41,0.20,0.61,0.20,0.41,0.35,0.16,0.51,0.19,0.35
1537,Manuel Locatelli,it ITA,CC,Juventus,it Serie A,23,1998,31,23,2160,24.0,3,3,6,3,0,0,6,0,2.2,2.2,1.3,3.5,15,147,32,0.12,0.12,0.25,0.12,0.25,0.09,0.06,0.15,0.09,0.15
1538,Bradley Locko,fr FRA,"CC,DF",Reims,fr Ligue 1,19,2002,24,11,1011,11.2,1,1,2,1,0,0,4,0,0.2,0.2,0.3,0.5,30,39,40,0.09,0.09,0.18,0.09,0.18,0.02,0.02,0.04,0.02,0.04
1539,Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,23,1998,29,13,1181,13.1,2,2,4,2,0,0,4,0,0.7,0.7,1.8,2.5,39,32,88,0.15,0.15,0.30,0.15,0.30,0.05,0.14,0.19,0.05,0.19
1540,Ruben Loftus-Cheek,eng ENG,"CC,DF",Chelsea,eng Premier League,25,1996,24,13,1394,15.5,0,2,2,0,0,0,1,0,1.2,1.2,2.4,3.6,69,108,53,0.00,0.13,0.13,0.00,0.13,0.08,0.16,0.24,0.08,0.24
1541,Kevin Long,ie IRL,DF,Burnley,eng Premier League,30,1990,6,4,410,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
1542,Shane Long,ie IRL,DL,Southampton,eng Premier League,34,1987,13,3,308,3.4,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1.0,5,3,24,0.29,0.00,0.29,0.29,0.29,0.25,0.04,0.30,0.25,0.30
1543,Sean Longstaff,eng ENG,CC,Newcastle Utd,eng Premier League,23,1997,24,15,1464,16.3,1,1,2,1,0,0,1,0,0.7,0.7,0.8,1.6,2,43,15,0.06,0.06,0.12,0.06,0.12,0.05,0.05,0.10,0.05,0.10
1544,Ademola Lookman,ng NGA,"DL,CC",Leicester City,eng Premier League,23,1997,26,16,1453,16.1,6,0,6,6,0,0,2,0,4.5,4.5,1.9,6.4,43,54,139,0.37,0.00,0.37,0.37,0.37,0.28,0.11,0.40,0.28,0.40
1545,Anthony Lopes,pt POR,PO,Lyon,fr Ligue 1,30,1990,34,34,2982,33.1,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1546,David López,es ESP,"CC,DF",Espanyol,es La Liga,31,1989,18,8,743,8.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,2,23,6,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10
1547,Diego López,es ESP,PO,Espanyol,es La Liga,39,1981,36,36,3177,35.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1548,Javi López,es ESP,DF,Alavés,es La Liga,19,2002,9,4,462,5.1,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,6,13,18,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
1549,Maxime Lopez,fr FRA,CC,Sassuolo,it Serie A,23,1997,35,33,2938,32.6,2,1,3,2,0,0,14,0,1.5,1.5,2.4,3.9,77,236,41,0.06,0.03,0.09,0.06,0.09,0.05,0.07,0.12,0.05,0.12
1550,Pau López,es ESP,PO,Marseille,fr Ligue 1,26,1994,29,29,2610,29.0,0,1,1,0,0,0,4,0,0.0,0.0,0.7,0.7,0,1,0,0.00,0.03,0.03,0.00,0.03,0.00,0.02,0.02,0.00,0.02
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
1551,Unai López,es ESP,CC,Rayo Vallecano,es La Liga,25,1995,27,13,1160,12.9,0,0,0,0,0,0,5,0,1.1,1.1,1.4,2.6,16,68,36,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20
1552,Dion Lopy,sn SEN,CC,Reims,fr Ligue 1,19,2002,26,19,1642,18.2,0,0,0,0,0,0,4,0,1.0,1.0,0.3,1.3,16,50,31,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
1553,Samuel Loric,fr FRA,DF,Lorient,fr Ligue 1,21,2000,3,3,269,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,6,20,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
1554,Anthony Losilla,fr FRA,CC,Bochum,de Bundesliga,35,1986,33,33,2935,32.6,2,0,2,2,0,0,5,0,2.2,2.2,0.7,2.9,14,96,25,0.06,0.00,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09
1555,Jonas Lössl,dk DEN,PO,Brentford,eng Premier League,32,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1556,Marcel Lotka,pl POL,PO,Hertha BSC,de Bundesliga,20,2001,10,9,885,9.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1557,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,22,1998,30,19,1782,19.8,0,0,0,0,0,0,4,0,0.8,0.8,1.2,2.0,50,79,101,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
1558,Johaneko Louisjean,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1559,Imran Louza,ma MAR,CC,Watford,eng Premier League,22,1999,20,17,1416,15.7,0,0,0,0,0,0,6,0,1.2,1.2,1.1,2.3,17,67,24,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15
1560,Matteo Lovato,it ITA,DF,Atalanta,it Serie A,21,2000,6,3,305,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,2,10,4,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
1561,Matteo Lovato,it ITA,DF,Cagliari,it Serie A,21,2000,16,14,1238,13.8,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.7,3,21,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
1562,Eduard Löwen,de GER,CC,Bochum,de Bundesliga,24,1997,26,15,1416,15.7,2,2,4,1,1,1,0,0,2.9,2.1,4.1,6.2,20,67,64,0.13,0.13,0.25,0.06,0.19,0.20,0.27,0.47,0.14,0.42
1563,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,32,1989,25,20,1772,19.7,1,2,3,1,0,0,3,1,0.7,0.7,2.1,2.8,21,74,39,0.05,0.10,0.15,0.05,0.15,0.03,0.11,0.14,0.03,0.14
1564,Anthony Lozano,hn HON,"DL,CC",Cádiz,es La Liga,28,1993,31,21,1672,18.6,7,2,9,7,0,0,8,0,5.1,5.0,0.9,5.9,43,25,84,0.38,0.11,0.48,0.38,0.48,0.27,0.05,0.32,0.27,0.32
1565,Hirving Lozano,mx MEX,DL,Napoli,it Serie A,26,1995,30,20,1613,17.9,5,5,10,5,0,0,3,0,5.9,5.7,2.2,7.9,82,53,179,0.28,0.28,0.56,0.28,0.56,0.33,0.12,0.45,0.32,0.44
1566,Jean Lucas,br BRA,CC,Monaco,fr Ligue 1,23,1998,28,18,1445,16.1,1,1,2,1,0,0,3,1,2.5,2.5,1.8,4.3,42,81,71,0.06,0.06,0.12,0.06,0.12,0.15,0.11,0.27,0.15,0.27
1567,Anderson Lucoqui,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,13,9,743,8.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,9,15,25,0.12,0.00,0.12,0.12,0.12,0.09,0.03,0.12,0.09,0.12
1568,Florentino Luís,pt POR,CC,Getafe,es La Liga,21,1999,22,9,992,11.0,0,1,1,0,0,0,2,0,0.1,0.1,0.3,0.4,3,33,11,0.00,0.09,0.09,0.00,0.09,0.01,0.03,0.03,0.01,0.03
1569,José Luis Gayà,es ESP,DF,Valencia,es La Liga,26,1995,24,22,1871,20.8,2,4,6,2,0,0,8,2,1.2,1.2,2.6,3.8,36,67,92,0.10,0.19,0.29,0.10,0.29,0.06,0.12,0.18,0.06,0.18
1570,José Luis Morales,es ESP,"DL,CC",Levante,es La Liga,34,1987,35,31,2719,30.2,13,7,20,10,3,5,7,0,14.3,10.4,5.2,15.6,100,97,241,0.43,0.23,0.66,0.33,0.56,0.47,0.17,0.65,0.34,0.52
1571,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,31,1990,34,30,2672,29.7,1,0,1,1,0,0,9,0,2.1,2.1,0.4,2.4,15,113,8,0.03,0.00,0.03,0.03,0.03,0.07,0.01,0.08,0.07,0.08
1572,Luismi,es ESP,"DL,CC",Sevilla,es La Liga,20,2001,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1573,Douglas Luiz,br BRA,CC,Aston Villa,eng Premier League,23,1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,2.0,2.0,2.5,4.4,28,105,44,0.07,0.10,0.17,0.07,0.17,0.07,0.08,0.15,0.07,0.15
1574,Romelu Lukaku,be BEL,DL,Chelsea,eng Premier League,28,1993,26,16,1589,17.7,8,0,8,7,1,1,1,0,6.6,5.8,3.0,8.8,29,19,125,0.45,0.00,0.45,0.40,0.40,0.38,0.17,0.54,0.33,0.50
1575,Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,18,2002,24,24,2095,23.3,2,0,2,2,0,0,1,0,1.7,1.7,0.2,1.9,12,80,0,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG
1576,Dodi Lukebakio,be BEL,DL,Hertha BSC,de Bundesliga,23,1997,3,2,176,2.0,1,0,1,0,1,1,0,0,1.2,0.4,0.0,0.4,5,2,7,0.51,0.00,0.51,0.00,0.00,0.59,0.00,0.59,0.19,0.19
1577,Dodi Lukebakio,be BEL,"DL,CC",Wolfsburg,de Bundesliga,23,1997,19,7,882,9.8,1,2,3,1,0,0,2,0,2.6,2.6,2.4,5.1,38,23,80,0.10,0.20,0.31,0.10,0.31,0.27,0.25,0.52,0.27,0.52
1578,Saša Lukić,rs SRB,CC,Torino,it Serie A,24,1996,35,34,2982,33.1,5,4,9,2,3,3,10,0,4.7,2.3,4.0,6.3,68,148,57,0.15,0.12,0.27,0.06,0.18,0.14,0.12,0.26,0.07,0.19
