RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
763,Kieran Dowell,eng ENG,"DL,CC",Norwich City,eng Premier League,23,1997,10.1,415.0,6.0,60.0,171.0,189.0,13.0,415.0,14.0,7.0,50.0,7.0,50.0,218.0,1086.0,437.0,14.0,8.0,3.0,13.0,15.0,284.0,49.0
764,Bartłomiej Drągowski,pl POL,PO,Fiorentina,it Serie A,23,1997,6.2,366.0,251.0,363.0,4.0,0.0,0.0,366.0,0.0,0.0,,0.0,,236.0,1236.0,618.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0
765,Radu Drăgușin,ro ROU,DF,Sampdoria,it Serie A,19,2002,6.9,337.0,44.0,154.0,142.0,45.0,2.0,337.0,1.0,1.0,100.0,0.0,0.0,140.0,719.0,280.0,6.0,4.0,0.0,2.0,4.0,132.0,10.0
766,Radu Drăgușin,ro ROU,DF,Salernitana,it Serie A,19,2002,5.4,215.0,36.0,109.0,102.0,9.0,2.0,215.0,1.0,0.0,0.0,1.0,100.0,107.0,569.0,194.0,1.0,3.0,2.0,3.0,0.0,96.0,1.0
767,Cody Drameh,eng ENG,"DF,CC",Leeds United,eng Premier League,19,2001,1.4,101.0,4.0,40.0,42.0,19.0,2.0,101.0,4.0,2.0,50.0,2.0,50.0,37.0,216.0,78.0,3.0,2.0,0.0,5.0,0.0,45.0,3.0
768,Julian Draxler,de GER,"DL,CC",Paris S-G,fr Ligue 1,27,1993,6.1,346.0,5.0,30.0,182.0,138.0,19.0,346.0,16.0,10.0,62.5,6.0,37.5,247.0,1201.0,514.0,14.0,20.0,2.0,6.0,7.0,293.0,48.0
769,Matthieu Dreyer,fr FRA,PO,Lorient,fr Ligue 1,32,1989,16.0,452.0,391.0,449.0,3.0,0.0,0.0,452.0,0.0,0.0,,0.0,,224.0,1088.0,694.0,0.0,1.0,0.0,0.0,0.0,156.0,0.0
770,Domingos Duarte,pt POR,DF,Granada,es La Liga,26,1995,18.7,906.0,139.0,490.0,397.0,24.0,15.0,906.0,3.0,2.0,66.7,1.0,33.3,409.0,1938.0,1008.0,4.0,4.0,0.0,6.0,1.0,485.0,3.0
771,Óscar Duarte,cr CRC,DF,Levante,es La Liga,32,1989,19.7,1175.0,206.0,686.0,465.0,31.0,25.0,1175.0,2.0,1.0,50.0,1.0,50.0,585.0,2568.0,1365.0,1.0,0.0,0.0,5.0,1.0,702.0,1.0
772,Rubén Duarte,es ESP,DF,Alavés,es La Liga,25,1995,29.1,1676.0,101.0,535.0,737.0,415.0,16.0,1676.0,9.0,5.0,55.6,4.0,44.4,679.0,2885.0,1414.0,35.0,31.0,2.0,20.0,7.0,695.0,46.0
773,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,26,1994,19.4,1552.0,56.0,373.0,786.0,408.0,24.0,1552.0,24.0,12.0,50.0,12.0,50.0,946.0,4571.0,2336.0,44.0,36.0,5.0,21.0,11.0,1030.0,124.0
774,Martin Dúbravka,sk SVK,PO,Newcastle Utd,eng Premier League,32,1989,26.0,895.0,688.0,887.0,9.0,0.0,0.0,895.0,0.0,0.0,,0.0,,462.0,2679.0,1338.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0
775,Ondrej Duda,sk SVK,"CC,DL",Köln,de Bundesliga,26,1994,17.9,902.0,17.0,85.0,487.0,343.0,52.0,902.0,66.0,37.0,56.1,29.0,43.9,538.0,2596.0,923.0,25.0,15.0,10.0,66.0,24.0,600.0,81.0
776,Jeremy Dudziak,tn TUN,"CC,DL",Greuther Fürth,de Bundesliga,25,1995,12.6,465.0,4.0,57.0,226.0,190.0,31.0,465.0,33.0,14.0,42.4,19.0,57.6,242.0,1442.0,593.0,18.0,17.0,8.0,29.0,23.0,273.0,62.0
777,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,29,1992,16.0,1218.0,189.0,678.0,492.0,52.0,31.0,1218.0,1.0,1.0,100.0,0.0,0.0,627.0,2379.0,1312.0,3.0,7.0,0.0,7.0,0.0,851.0,3.0
778,Unai Dufur,es ESP,DF,Osasuna,es La Liga,22,1999,1.0,61.0,6.0,16.0,42.0,3.0,2.0,61.0,0.0,0.0,,0.0,,36.0,146.0,56.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
779,Denzel Dumfries,nl NED,DF,Inter,it Serie A,25,1996,22.5,1088.0,35.0,200.0,376.0,523.0,127.0,1088.0,30.0,15.0,50.0,15.0,50.0,568.0,3136.0,1540.0,55.0,24.0,27.0,39.0,23.0,683.0,204.0
780,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,29,1991,2.2,96.0,9.0,33.0,51.0,12.0,0.0,96.0,0.0,0.0,,0.0,,33.0,128.0,36.0,0.0,1.0,0.0,1.0,0.0,37.0,2.0
781,Alfred Duncan,gh GHA,CC,Fiorentina,it Serie A,28,1993,21.5,1103.0,18.0,168.0,645.0,311.0,29.0,1103.0,23.0,13.0,56.5,10.0,43.5,685.0,3131.0,1559.0,29.0,27.0,6.0,26.0,16.0,808.0,71.0
782,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,29,1991,28.6,2197.0,281.0,1180.0,949.0,76.0,37.0,2197.0,4.0,4.0,100.0,0.0,0.0,1306.0,5934.0,2863.0,14.0,7.0,2.0,11.0,3.0,1575.0,3.0
783,Erik Durm,de GER,DF,Eint Frankfurt,de Bundesliga,29,1992,5.3,334.0,13.0,83.0,181.0,72.0,4.0,334.0,1.0,0.0,0.0,1.0,100.0,162.0,911.0,470.0,14.0,11.0,1.0,6.0,4.0,167.0,20.0
784,Hugo Duro,es ESP,"DF,CC",Getafe,es La Liga,21,1999,0.1,7.0,0.0,0.0,1.0,6.0,4.0,7.0,0.0,0.0,,0.0,,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
785,Hugo Duro,es ESP,"DL,CC",Valencia,es La Liga,21,1999,20.4,623.0,24.0,85.0,251.0,290.0,60.0,623.0,25.0,13.0,52.0,12.0,48.0,332.0,1196.0,454.0,12.0,15.0,8.0,57.0,32.0,413.0,87.0
786,Jean-Kevin Duverne,ht HAI,DF,Brest,fr Ligue 1,24,1997,33.4,2151.0,126.0,698.0,1036.0,429.0,31.0,2151.0,42.0,19.0,45.2,23.0,54.8,1174.0,6682.0,3680.0,76.0,49.0,6.0,46.0,21.0,1205.0,107.0
787,Paulo Dybala,ar ARG,"DL,CC",Juventus,it Serie A,27,1993,22.9,1451.0,5.0,155.0,690.0,628.0,86.0,1449.0,79.0,47.0,59.5,32.0,40.5,909.0,4692.0,1859.0,50.0,42.0,24.0,70.0,28.0,1100.0,155.0
788,Edin Džeko,ba BIH,DL,Inter,it Serie A,35,1986,27.4,1139.0,49.0,121.0,503.0,524.0,178.0,1139.0,41.0,17.0,41.5,24.0,58.5,614.0,3167.0,1454.0,47.0,26.0,23.0,78.0,31.0,891.0,207.0
789,Enzo Ebosse,cm CMR,DF,Angers,fr Ligue 1,22,1999,21.0,1246.0,86.0,536.0,638.0,84.0,6.0,1246.0,15.0,9.0,60.0,6.0,40.0,856.0,4677.0,2469.0,26.0,15.0,0.0,21.0,2.0,844.0,18.0
790,Tyronne Ebuehi,ng NGA,DF,Venezia,it Serie A,25,1995,12.6,655.0,50.0,279.0,225.0,158.0,16.0,655.0,20.0,11.0,55.0,9.0,45.0,293.0,1804.0,924.0,29.0,20.0,3.0,15.0,5.0,330.0,52.0
791,Ederson,br BRA,PO,Manchester City,eng Premier League,27,1993,37.0,1169.0,906.0,1159.0,10.0,0.0,0.0,1169.0,0.0,0.0,,0.0,,795.0,3425.0,2214.0,0.0,0.0,0.0,0.0,0.0,714.0,0.0
792,Éderson,br BRA,CC,Salernitana,it Serie A,22,1999,12.7,547.0,21.0,122.0,293.0,145.0,26.0,547.0,38.0,19.0,50.0,19.0,50.0,341.0,1867.0,948.0,25.0,27.0,4.0,24.0,17.0,353.0,39.0
793,Odsonne Édouard,fr FRA,DL,Crystal Palace,eng Premier League,23,1998,17.4,679.0,20.0,71.0,303.0,316.0,82.0,678.0,67.0,30.0,44.8,37.0,55.2,381.0,2143.0,1122.0,42.0,24.0,16.0,62.0,27.0,479.0,109.0
794,CJ Egan-Riley,eng ENG,DF,Manchester City,eng Premier League,18,2003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
795,Maximilian Eggestein,de GER,CC,Freiburg,de Bundesliga,24,1996,24.4,1208.0,53.0,241.0,662.0,315.0,34.0,1208.0,19.0,7.0,36.8,12.0,63.2,520.0,2303.0,1208.0,23.0,19.0,0.0,42.0,22.0,689.0,52.0
796,Lilian Egloff,de GER,"CC,DF",Stuttgart,de Bundesliga,18,2002,0.3,16.0,0.0,2.0,7.0,7.0,1.0,16.0,0.0,0.0,,0.0,,11.0,16.0,1.0,0.0,0.0,0.0,5.0,0.0,12.0,4.0
797,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,26,1995,7.6,483.0,30.0,195.0,206.0,86.0,4.0,483.0,15.0,5.0,33.3,10.0,66.7,235.0,1275.0,727.0,22.0,12.0,2.0,13.0,6.0,235.0,22.0
798,Julian Eitschberger,de GER,DF,Hertha BSC,de Bundesliga,17,2004,0.5,40.0,5.0,18.0,18.0,4.0,1.0,40.0,0.0,0.0,,0.0,,20.0,74.0,57.0,2.0,0.0,0.0,0.0,0.0,19.0,1.0
799,Albin Ekdal,se SWE,CC,Sampdoria,it Serie A,32,1989,18.2,941.0,51.0,279.0,547.0,126.0,24.0,941.0,23.0,15.0,65.2,8.0,34.8,455.0,2192.0,914.0,10.0,11.0,1.0,13.0,11.0,511.0,20.0
800,Hugo Ekitike,fr FRA,DL,Reims,fr Ligue 1,19,2002,14.1,603.0,20.0,73.0,269.0,273.0,66.0,601.0,47.0,23.0,48.9,24.0,51.1,365.0,2120.0,1006.0,35.0,28.0,19.0,66.0,22.0,439.0,87.0
801,Jurgen Ekkelenkamp,nl NED,"CC,DL",Hertha BSC,de Bundesliga,21,2000,8.0,339.0,3.0,44.0,176.0,123.0,26.0,339.0,12.0,6.0,50.0,6.0,50.0,170.0,676.0,318.0,9.0,7.0,3.0,27.0,11.0,221.0,48.0
802,Caleb Ekuban,gh GHA,"DL,CC",Genoa,it Serie A,27,1994,19.1,687.0,16.0,70.0,327.0,299.0,83.0,687.0,52.0,26.0,50.0,26.0,50.0,394.0,2076.0,817.0,31.0,17.0,21.0,73.0,38.0,483.0,133.0
803,Anthony Elanga,se SWE,DL,Manchester Utd,eng Premier League,19,2002,13.5,619.0,11.0,111.0,214.0,296.0,56.0,619.0,31.0,11.0,35.5,20.0,64.5,354.0,2063.0,993.0,32.0,24.0,10.0,37.0,15.0,447.0,114.0
804,Alberth Elis,hn HON,"DL,CC",Bordeaux,fr Ligue 1,25,1996,15.7,517.0,11.0,63.0,189.0,271.0,76.0,516.0,45.0,16.0,35.6,29.0,64.4,338.0,2284.0,1101.0,42.0,23.0,18.0,54.0,31.0,373.0,118.0
805,Harvey Elliott,eng ENG,CC,Liverpool,eng Premier League,18,2003,3.8,302.0,1.0,23.0,130.0,151.0,19.0,302.0,9.0,2.0,22.2,7.0,77.8,174.0,882.0,486.0,10.0,15.0,2.0,8.0,0.0,226.0,38.0
806,Elif Elmas,mk MKD,"DL,CC",Napoli,it Serie A,21,1999,18.0,986.0,27.0,115.0,512.0,370.0,50.0,986.0,35.0,24.0,68.6,11.0,31.4,669.0,3968.0,1950.0,59.0,45.0,19.0,23.0,23.0,804.0,96.0
807,Mohamed Elneny,eg EGY,CC,Arsenal,eng Premier League,29,1992,9.0,630.0,33.0,145.0,391.0,97.0,3.0,630.0,1.0,0.0,0.0,1.0,100.0,365.0,1508.0,713.0,5.0,4.0,1.0,4.0,3.0,467.0,2.0
808,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,27,1994,23.4,1392.0,162.0,679.0,647.0,75.0,14.0,1392.0,7.0,6.0,85.7,1.0,14.3,755.0,4470.0,2496.0,20.0,14.0,0.0,11.0,1.0,819.0,12.0
809,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24,1996,27.0,1992.0,204.0,1074.0,888.0,41.0,23.0,1992.0,7.0,6.0,85.7,1.0,14.3,1177.0,5347.0,2774.0,13.0,8.0,0.0,9.0,6.0,1323.0,3.0
810,Mohamed Elyounoussi,no NOR,"CC,DL",Southampton,eng Premier League,26,1994,22.7,933.0,37.0,133.0,370.0,443.0,84.0,933.0,45.0,28.0,62.2,17.0,37.8,485.0,3240.0,1513.0,59.0,52.0,13.0,63.0,38.0,594.0,124.0
811,Adri Embarba,es ESP,"DL,CC",Espanyol,es La Liga,29,1992,22.1,1099.0,35.0,191.0,362.0,563.0,46.0,1099.0,80.0,41.0,51.3,39.0,48.8,562.0,3761.0,1805.0,75.0,49.0,17.0,56.0,38.0,635.0,134.0
812,Breel Embolo,ch SUI,DL,M'Gladbach,de Bundesliga,24,1997,24.1,833.0,15.0,36.0,428.0,378.0,102.0,833.0,76.0,42.0,55.3,34.0,44.7,514.0,2762.0,1110.0,38.0,35.0,19.0,90.0,60.0,665.0,158.0
813,Emerson,br BRA,"DF,CC",Tottenham,eng Premier League,22,1999,25.4,1765.0,98.0,579.0,666.0,530.0,56.0,1765.0,34.0,17.0,50.0,17.0,50.0,911.0,4344.0,2277.0,68.0,28.0,8.0,27.0,18.0,1019.0,175.0
814,Emerson,br BRA,DF,Barcelona,es La Liga,22,1999,1.0,78.0,1.0,17.0,48.0,13.0,0.0,78.0,1.0,0.0,0.0,1.0,100.0,42.0,184.0,73.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0
815,Renaud Emond,be BEL,"DL,CC",Nantes,fr Ligue 1,29,1991,2.1,48.0,2.0,5.0,25.0,18.0,2.0,48.0,0.0,0.0,,0.0,,18.0,41.0,4.0,0.0,0.0,0.0,4.0,0.0,31.0,4.0
816,Youssef En-Nesyri,ma MAR,DL,Sevilla,es La Liga,24,1997,14.2,331.0,22.0,49.0,145.0,140.0,58.0,330.0,14.0,4.0,28.6,10.0,71.4,142.0,492.0,171.0,7.0,3.0,4.0,25.0,12.0,214.0,57.0
817,Keita Endo,jp JPN,CC,Union Berlin,de Bundesliga,23,1997,0.6,36.0,0.0,4.0,12.0,20.0,5.0,36.0,1.0,0.0,0.0,1.0,100.0,24.0,108.0,50.0,1.0,0.0,0.0,2.0,0.0,28.0,12.0
