RL2021-2022,Jugador2021-2022,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Cmp2021-2022,Int.2021-2022,% Cmp2021-2022,Dist. tot.2021-2022,Dist. prg.2021-2022,Cmp.12021-2022,Int..12021-2022,% Cmp.12021-2022,Cmp.22021-2022,Int..22021-2022,% Cmp.22021-2022,Cmp.32021-2022,Int..32021-2022,% Cmp.32021-2022,Ass2021-2022,xAG2021-2022,xA2021-2022,A-xAG2021-2022,PC2021-2022,1/32021-2022,PPA2021-2022,CrAP2021-2022,PrgP2021-2022
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,1959.0,2204.0,88.9,40414.0,15329.0,613.0,660.0,92.9,1050.0,1106.0,94.9,277.0,398.0,69.6,2,0.3,0.3,1.7,4.0,118.0,2.0,0.0,101.0
27,Sergio Agüero,ar ARG,DL,Barcelona,es La Liga,33,1988,1.7,30.0,42.0,71.4,396.0,45.0,14.0,20.0,70.0,12.0,15.0,80.0,0.0,0.0,0.0,0,0.1,0.2,-0.1,1.0,3.0,0.0,0.0,3.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1435.0,1728.0,83.0,23194.0,8766.0,745.0,806.0,92.4,559.0,658.0,85.0,93.0,178.0,52.2,2,0.9,2.9,1.1,12.0,124.0,32.0,5.0,157.0
29,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21,2000,0.1,3.0,3.0,100.0,35.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19,2002,0.7,28.0,32.0,87.5,501.0,62.0,14.0,15.0,93.3,10.0,11.0,90.9,4.0,6.0,66.7,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,766.0,858.0,89.3,14146.0,4562.0,310.0,333.0,93.1,353.0,381.0,92.7,89.0,120.0,74.2,1,0.9,0.4,0.1,11.0,39.0,5.0,1.0,63.0
32,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27,1994,11.2,339.0,412.0,82.3,5149.0,1077.0,164.0,191.0,85.9,131.0,147.0,89.1,21.0,37.0,56.8,1,0.8,1.0,0.2,6.0,23.0,9.0,1.0,38.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1270.0,1567.0,81.0,26020.0,8332.0,359.0,420.0,85.5,740.0,830.0,89.2,159.0,278.0,57.2,0,0.3,0.5,-0.3,6.0,101.0,5.0,1.0,110.0
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,535.0,755.0,70.9,8693.0,3540.0,272.0,316.0,86.1,202.0,280.0,72.1,44.0,93.0,47.3,0,1.8,1.4,-1.8,16.0,43.0,20.0,4.0,68.0
35,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20,2001,20.3,763.0,1025.0,74.4,12151.0,4064.0,418.0,472.0,88.6,273.0,361.0,75.6,54.0,141.0,38.3,2,1.6,1.1,0.4,17.0,28.0,14.0,10.0,49.0
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,627.0,892.0,70.3,10133.0,4740.0,303.0,372.0,81.5,255.0,342.0,74.6,47.0,105.0,44.8,3,1.7,1.8,1.3,8.0,41.0,13.0,2.0,82.0
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,30.4,653.0,906.0,72.1,9171.0,1389.0,386.0,506.0,76.3,172.0,239.0,72.0,43.0,61.0,70.5,8,7.0,4.0,1.0,46.0,30.0,23.0,4.0,69.0
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1819.0,2013.0,90.4,36320.0,13836.0,585.0,629.0,93.0,973.0,1018.0,95.6,235.0,314.0,74.8,0,0.1,0.7,-0.1,2.0,122.0,2.0,0.0,115.0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,611.0,832.0,73.4,10222.0,3920.0,291.0,341.0,85.3,246.0,322.0,76.4,52.0,109.0,47.7,0,0.3,1.1,-0.3,7.0,38.0,14.0,11.0,51.0
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,0.9,12.0,16.0,75.0,184.0,58.0,7.0,8.0,87.5,1.0,2.0,50.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,796.0,878.0,90.7,13200.0,4534.0,373.0,399.0,93.5,384.0,416.0,92.3,29.0,42.0,69.0,0,0.6,0.5,-0.6,2.0,63.0,3.0,0.0,57.0
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,1.4,45.0,55.0,81.8,581.0,186.0,29.0,32.0,90.6,13.0,15.0,86.7,1.0,2.0,50.0,0,0.6,0.8,-0.6,4.0,4.0,7.0,2.0,11.0
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,0.6,20.0,22.0,90.9,254.0,86.0,15.0,15.0,100.0,4.0,6.0,66.7,1.0,1.0,100.0,0,0.0,0.1,0.0,1.0,3.0,3.0,0.0,5.0
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,5.7,284.0,325.0,87.4,4724.0,1363.0,142.0,156.0,91.0,121.0,136.0,89.0,17.0,24.0,70.8,0,0.1,0.3,-0.1,3.0,32.0,2.0,1.0,30.0
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,3.5,89.0,106.0,84.0,1077.0,154.0,61.0,68.0,89.7,24.0,25.0,96.0,1.0,1.0,100.0,0,0.0,0.1,0.0,2.0,6.0,1.0,0.0,3.0
46,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26,1995,17.0,691.0,917.0,75.4,11479.0,4667.0,332.0,384.0,86.5,289.0,358.0,80.7,52.0,111.0,46.8,2,2.6,2.0,-0.6,11.0,57.0,11.0,2.0,87.0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,1788.0,1968.0,90.9,29585.0,10903.0,831.0,870.0,95.5,804.0,859.0,93.6,102.0,161.0,63.4,3,2.2,3.0,0.8,21.0,143.0,15.0,3.0,154.0
48,Sofiane Alakouch,ma MAR,"DF,CC",Metz,fr Ligue 1,23,1998,1.8,83.0,103.0,80.6,1154.0,309.0,52.0,56.0,92.9,27.0,33.0,81.8,2.0,5.0,40.0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.0
49,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,22,1999,15.8,398.0,572.0,69.6,7977.0,2385.0,159.0,193.0,82.4,139.0,185.0,75.1,82.0,143.0,57.3,1,1.1,1.4,-0.1,14.0,41.0,7.0,4.0,55.0
50,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,28,1992,7.3,115.0,171.0,67.3,1392.0,257.0,68.0,92.0,73.9,30.0,44.0,68.2,3.0,6.0,50.0,0,1.0,1.5,-1.0,7.0,5.0,5.0,0.0,10.0
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2334.0,2795.0,83.5,36392.0,12699.0,1218.0,1329.0,91.6,868.0,995.0,87.2,154.0,273.0,56.4,10,7.1,5.8,2.9,58.0,212.0,60.0,18.0,291.0
52,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,5.0,6.0,83.3,62.0,35.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Luis Alberto,es ESP,CC,Lazio,it Serie A,28,1992,26.1,1626.0,1970.0,82.5,25002.0,8252.0,896.0,986.0,90.9,553.0,631.0,87.6,115.0,235.0,48.9,9,7.8,6.7,1.2,65.0,235.0,44.0,5.0,223.0
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1339.0,1560.0,85.8,28053.0,9682.0,355.0,392.0,90.6,780.0,850.0,91.8,186.0,277.0,67.1,0,0.1,0.2,-0.1,4.0,63.0,1.0,0.0,90.0
55,Marc Albrighton,eng ENG,"DL,DF",Leicester City,eng Premier League,31,1989,12.6,347.0,558.0,62.2,5152.0,2040.0,220.0,258.0,85.3,86.0,145.0,59.3,26.0,94.0,27.7,2,2.0,1.0,0.0,11.0,23.0,8.0,6.0,26.0
56,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,27,1993,8.7,123.0,175.0,70.3,1444.0,197.0,73.0,99.0,73.7,25.0,33.0,75.8,5.0,8.0,62.5,3,1.6,1.2,1.4,7.0,4.0,5.0,0.0,10.0
57,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,30,1991,17.0,1340.0,1508.0,88.9,24737.0,7150.0,573.0,624.0,91.8,594.0,640.0,92.8,150.0,190.0,78.9,4,2.3,1.7,1.7,29.0,211.0,26.0,1.0,214.0
58,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,30,1991,12.3,556.0,667.0,83.4,10541.0,3267.0,247.0,267.0,92.5,201.0,226.0,88.9,91.0,138.0,65.9,0,0.9,1.2,-0.9,14.0,85.0,12.0,3.0,87.0
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,580.0,961.0,60.4,13798.0,6805.0,153.0,200.0,76.5,276.0,378.0,73.0,141.0,350.0,40.3,0,0.1,0.5,-0.1,4.0,78.0,7.0,0.0,89.0
60,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,26,1995,11.8,193.0,329.0,58.7,3129.0,1194.0,103.0,129.0,79.8,54.0,85.0,63.5,23.0,76.0,30.3,2,1.8,2.1,0.2,20.0,19.0,23.0,23.0,25.0
61,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18,2002,12.0,287.0,391.0,73.4,7942.0,5718.0,48.0,48.0,100.0,149.0,151.0,98.7,89.0,191.0,46.6,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
62,Carles Aleñá,es ESP,CC,Getafe,es La Liga,23,1998,25.8,683.0,869.0,78.6,11604.0,2454.0,330.0,382.0,86.4,266.0,309.0,86.1,62.0,106.0,58.5,2,1.3,1.4,0.7,20.0,66.0,14.0,5.0,81.0
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2039.0,2757.0,74.0,40112.0,15683.0,841.0,964.0,87.2,811.0,1048.0,77.4,344.0,636.0,54.1,12,12.0,13.0,0.0,90.0,245.0,85.0,25.0,267.0
64,Mohamed Ali Cho,fr FRA,DL,Angers,fr Ligue 1,17,2004,20.4,220.0,314.0,70.1,2951.0,510.0,132.0,159.0,83.0,63.0,92.0,68.5,9.0,21.0,42.9,1,2.7,2.4,-1.7,14.0,17.0,10.0,2.0,22.0
65,Alisson,br BRA,PO,Liverpool,eng Premier League,28,1992,36.0,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9,1,0.2,0.0,0.8,1.0,16.0,1.0,0.0,1.0
66,Allan,br BRA,CC,Everton,eng Premier League,30,1991,24.3,778.0,982.0,79.2,12868.0,4192.0,356.0,405.0,87.9,337.0,402.0,83.8,57.0,102.0,55.9,2,0.8,1.0,1.2,15.0,103.0,20.0,3.0,130.0
67,Jim Allevinah,ga GAB,DL,Clermont Foot,fr Ligue 1,26,1995,16.5,416.0,545.0,76.3,6103.0,1306.0,245.0,287.0,85.4,123.0,164.0,75.0,29.0,44.0,65.9,2,1.9,1.4,0.1,15.0,44.0,10.0,2.0,56.0
137,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,25,1996,11.1,291.0,385.0,150.2,4049.0,997.0,168.0,205.0,162.5,79.0,98.0,160.5,19.0,32.0,125.0,0,0.7,0.8,-0.7,9.0,24.0,7.0,2.0,31.0
70,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,27,1994,19.1,402.0,511.0,78.7,5720.0,1254.0,229.0,264.0,86.7,118.0,149.0,79.2,23.0,38.0,60.5,0,0.9,0.6,-0.9,16.0,26.0,5.0,0.0,46.0
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1142.0,1486.0,76.9,17781.0,5763.0,624.0,709.0,88.0,387.0,478.0,81.0,84.0,194.0,43.3,4,4.5,3.4,-0.5,43.0,67.0,34.0,15.0,93.0
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,531.0,799.0,66.5,10947.0,4885.0,175.0,221.0,79.2,250.0,330.0,75.8,100.0,208.0,48.1,0,0.6,0.6,-0.6,8.0,50.0,6.0,3.0,71.0
73,Hugo Álvarez,es ESP,DL,Celta Vigo,es La Liga,18,2003,0.1,1.0,3.0,33.3,12.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,832.0,1019.0,81.6,16426.0,6655.0,290.0,322.0,90.1,436.0,484.0,90.1,98.0,180.0,54.4,0,0.1,0.3,-0.1,4.0,49.0,2.0,0.0,64.0
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,915.0,1089.0,84.0,13852.0,4399.0,545.0,580.0,94.0,264.0,313.0,84.3,75.0,141.0,53.2,3,2.3,3.1,0.7,22.0,85.0,27.0,15.0,72.0
76,Steven Alzate,co COL,CC,Brighton,eng Premier League,22,1998,4.5,204.0,233.0,87.6,3213.0,865.0,105.0,116.0,90.5,72.0,78.0,92.3,17.0,24.0,70.8,0,0.2,0.2,-0.2,2.0,18.0,1.0,0.0,21.0
77,Ibrahim Amadou,fr FRA,"DF,CC",Metz,fr Ligue 1,28,1993,9.0,384.0,439.0,87.5,7290.0,2224.0,127.0,138.0,92.0,203.0,224.0,90.6,43.0,60.0,71.7,0,0.1,0.0,-0.1,3.0,10.0,0.0,0.0,21.0
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,26.0,39.0,66.7,425.0,161.0,11.0,15.0,73.3,12.0,18.0,66.7,2.0,4.0,50.0,1,0.1,0.0,0.9,1.0,1.0,0.0,0.0,4.0
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1399.0,1546.0,90.5,25246.0,8400.0,508.0,550.0,92.4,769.0,810.0,94.9,103.0,140.0,73.6,0,0.2,0.4,-0.2,4.0,71.0,1.0,0.0,62.0
80,Amath,sn SEN,"DL,CC",Mallorca,es La Liga,25,1996,9.8,159.0,202.0,78.7,2044.0,508.0,89.0,107.0,83.2,44.0,54.0,81.5,7.0,8.0,87.5,1,0.9,0.5,0.1,6.0,11.0,5.0,1.0,19.0
163,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,6.0,343.0,405.0,170.3,5688.0,1738.0,182.0,199.0,180.7,125.0,144.0,178.5,32.0,48.0,133.4,0,0.1,0.2,-0.1,2.0,34.0,5.0,1.0,37.0
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,20.0,29.0,69.0,419.0,59.0,8.0,9.0,88.9,7.0,10.0,70.0,4.0,8.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,887.0,1133.0,78.3,13080.0,5926.0,525.0,593.0,88.5,286.0,367.0,77.9,53.0,97.0,54.6,1,1.3,1.5,-0.3,12.0,53.0,7.0,2.0,64.0
171,Nadiem Amiri,de GER,"CC,DL",Genoa,it Serie A,24,1996,11.7,405.0,521.0,156.60000000000002,6093.0,1546.0,219.0,249.0,177.10000000000002,133.0,165.0,161.5,28.0,61.0,94.6,1,2.4,1.7999999999999998,-1.4000000000000001,23.0,26.0,17.0,1.0,54.0
87,Ethan Ampadu,wls WAL,"CC,DF",Venezia,it Serie A,20,2000,25.4,867.0,1165.0,74.4,15853.0,6627.0,385.0,445.0,86.5,359.0,443.0,81.0,103.0,209.0,49.3,3,1.6,1.5,1.4,15.0,96.0,12.0,7.0,112.0
88,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,24,1996,10.5,645.0,716.0,90.1,12507.0,3260.0,238.0,264.0,90.2,321.0,336.0,95.5,78.0,95.0,82.1,0,0.2,0.7,-0.2,8.0,74.0,9.0,1.0,63.0
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,1911.0,2351.0,81.3,44144.0,15836.0,410.0,480.0,85.4,1138.0,1224.0,93.0,349.0,604.0,57.8,3,1.7,1.9,1.3,20.0,151.0,11.0,2.0,100.0
90,Felipe Anderson,br BRA,DL,Lazio,it Serie A,28,1993,32.1,1118.0,1436.0,77.9,16074.0,3918.0,652.0,765.0,85.2,341.0,420.0,81.2,60.0,106.0,56.6,8,6.5,5.2,1.5,50.0,60.0,61.0,13.0,123.0
91,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,30,1991,14.0,147.0,234.0,62.8,1595.0,243.0,108.0,149.0,72.5,22.0,38.0,57.9,2.0,4.0,50.0,1,1.0,0.9,0.0,12.0,5.0,7.0,1.0,14.0
92,Florin Andone,ro ROU,DL,Cádiz,es La Liga,28,1993,2.0,25.0,38.0,65.8,283.0,21.0,14.0,19.0,73.7,7.0,11.0,63.6,0.0,1.0,0.0,0,0.1,0.0,-0.1,3.0,2.0,0.0,0.0,2.0
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,350.0,535.0,65.4,5920.0,2921.0,164.0,214.0,76.6,144.0,212.0,67.9,32.0,69.0,46.4,0,0.1,0.5,-0.1,4.0,32.0,2.0,1.0,44.0
94,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,30,1990,30.6,1404.0,1766.0,79.5,22765.0,6915.0,691.0,804.0,85.9,524.0,623.0,84.1,113.0,187.0,60.4,1,1.3,1.3,-0.3,15.0,145.0,12.0,2.0,178.0
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,133.0,166.0,80.1,1794.0,844.0,81.0,86.0,94.2,46.0,59.0,78.0,1.0,8.0,12.5,0,0.0,0.2,0.0,2.0,7.0,5.0,2.0,18.0
96,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,24,1996,10.8,122.0,184.0,66.3,1764.0,430.0,63.0,81.0,77.8,46.0,65.0,70.8,6.0,14.0,42.9,3,2.6,1.2,0.4,13.0,12.0,6.0,0.0,20.0
97,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,26,1994,20.2,811.0,1011.0,80.2,13041.0,4189.0,384.0,444.0,86.5,331.0,400.0,82.8,54.0,91.0,59.3,2,1.5,1.7,0.5,12.0,88.0,9.0,0.0,100.0
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,590.0,785.0,75.2,12280.0,5279.0,242.0,278.0,87.1,228.0,298.0,76.5,117.0,191.0,61.3,1,1.5,1.8,-0.5,8.0,72.0,23.0,13.0,98.0
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1082.0,1516.0,71.4,17957.0,6443.0,546.0,608.0,89.8,381.0,519.0,73.4,109.0,291.0,37.5,5,5.2,8.4,-0.2,52.0,68.0,54.0,36.0,73.0
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,4.0,11.0,36.4,51.0,17.0,3.0,4.0,75.0,1.0,5.0,20.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,285.0,407.0,70.0,5390.0,2749.0,121.0,140.0,86.4,107.0,143.0,74.8,46.0,100.0,46.0,3,2.1,2.1,0.9,17.0,40.0,16.0,12.0,41.0
