RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive.1,PassDead.1,HASTA.1,Dis.1,FR.1,Def.1
54,Paul Akouokou,ci CIV,"CC,DF",Betis,es La Liga,24,1997,5.0,2.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Jean-Daniel Akpa-Akpro,ci CIV,"CC,DL",Empoli,it Serie A,29,1992,15.1,28.0,1.86,18.0,0.0,3.0,2.0,2.0,3.0,5.0,0.33,3.0,0.0,1.0,1.0,0.0,0.0
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,17.0,0.79,14.0,0.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,27.0,1.32,23.0,3.0,0.0,1.0,0.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0
58,Ángel Alarcón,es ESP,DL,Barcelona,es La Liga,18,2004,0.3,,,,,,,,,,,,,,,,
59,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,23,1999,2.5,4.0,1.61,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Lucas Alario,ar ARG,"DL,CC",Eint Frankfurt,de Bundesliga,29,1992,3.7,8.0,2.17,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.54,1.0,0.0,0.0,1.0,0.0,0.0
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,59.0,3.74,52.0,5.0,1.0,1.0,0.0,0.0,6.0,0.38,5.0,1.0,0.0,0.0,0.0,0.0
62,Luis Alberto,es ESP,CC,Lazio,it Serie A,29,1992,27.1,115.0,4.24,80.0,30.0,0.0,4.0,0.0,1.0,15.0,0.55,13.0,2.0,0.0,0.0,0.0,0.0
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,12.0,0.51,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,32,1989,2.6,7.0,2.66,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,31,1991,13.9,41.0,2.94,33.0,0.0,3.0,1.0,1.0,3.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
66,Carlos Alcaraz,ar ARG,"CC,DL",Southampton,eng Premier League,19,2002,11.4,22.0,1.92,14.0,0.0,2.0,3.0,2.0,1.0,4.0,0.35,3.0,0.0,0.0,1.0,0.0,0.0
67,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,31,1991,22.7,47.0,2.07,34.0,9.0,1.0,1.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,24.0,1.06,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0
69,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,27,1995,14.6,40.0,2.75,27.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,19,2002,4.5,1.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,24,1998,23.5,44.0,1.87,30.0,2.0,1.0,2.0,9.0,0.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,124.0,3.82,81.0,34.0,3.0,5.0,1.0,0.0,17.0,0.52,14.0,2.0,1.0,0.0,0.0,0.0
73,Alejandro Alfaro,es ESP,CC,Elche,es La Liga,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Ángel Algobia,es ESP,CC,Getafe,es La Liga,23,1999,12.6,16.0,1.27,13.0,0.0,1.0,2.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
75,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,es La Liga,18,2004,6.5,19.0,2.9,12.0,1.0,2.0,2.0,1.0,1.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0
76,Faride Alidou,de GER,"DF,CC",Eint Frankfurt,de Bundesliga,21,2001,2.0,8.0,3.87,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0
77,Alisson,br BRA,PO,Liverpool,eng Premier League,29,1992,37.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
78,Jim Allevinah,ga GAB,"DF,DL",Clermont Foot,fr Ligue 1,27,1995,24.9,48.0,1.93,39.0,1.0,3.0,2.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0
79,Dele Alli,eng ENG,CC,Everton,eng Premier League,26,1996,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Domingos André Ribeiro Almeida,pt POR,CC,Valencia,es La Liga,22,2000,28.2,91.0,3.22,67.0,17.0,1.0,1.0,2.0,3.0,5.0,0.18,3.0,2.0,0.0,0.0,0.0,0.0
81,Miguel Almirón,py PAR,DL,Newcastle Utd,eng Premier League,28,1994,27.7,87.0,3.14,63.0,2.0,10.0,9.0,3.0,0.0,13.0,0.47,5.0,1.0,5.0,2.0,0.0,0.0
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,14.0,1.08,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,19.0,1.25,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Éder Álvarez Balanta,co COL,"CC,DL",Schalke 04,de Bundesliga,29,1993,2.6,8.0,3.03,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0
85,Carlos Álvarez,es ESP,CC,Sevilla,es La Liga,18,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,16.0,0.96,9.0,5.0,0.0,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
87,Julián Álvarez,ar ARG,"DL,CC",Manchester City,eng Premier League,22,2000,16.3,52.0,3.2,39.0,0.0,6.0,5.0,2.0,0.0,5.0,0.31,2.0,0.0,1.0,1.0,1.0,0.0
88,Agustín Álvarez Martínez,uy URU,"DL,CC",Sassuolo,it Serie A,21,2001,4.1,9.0,2.2,3.0,0.0,2.0,3.0,1.0,0.0,2.0,0.49,1.0,0.0,0.0,1.0,0.0,0.0
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,28.0,1.08,24.0,1.0,0.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
90,Ibrahim Amadou,fr FRA,"DF,CC",Angers,fr Ligue 1,29,1993,4.7,3.0,0.64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Selim Amallah,ma MAR,"CC,DL",Valladolid,es La Liga,25,1996,3.0,11.0,3.69,5.0,0.0,4.0,0.0,0.0,2.0,2.0,0.67,1.0,0.0,1.0,0.0,0.0,0.0
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,15.0,0.84,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
93,Amath,sn SEN,"CC,DL",Mallorca,es La Liga,26,1996,13.6,24.0,1.76,11.0,0.0,5.0,4.0,3.0,1.0,3.0,0.22,1.0,0.0,1.0,0.0,1.0,0.0
94,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,2.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
95,Lukáš Ambros,cz CZE,CC,Wolfsburg,de Bundesliga,18,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,45.0,1.71,34.0,3.0,2.0,4.0,0.0,2.0,3.0,0.11,1.0,0.0,0.0,2.0,0.0,0.0
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,12.0,0.52,6.0,1.0,0.0,4.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0
99,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,25,1996,10.9,36.0,3.32,23.0,4.0,4.0,1.0,4.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0
100,Samuel Amo-Ameyaw,eng ENG,CC,Southampton,eng Premier League,16,2006,0.0,1.0,22.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Ethan Ampadu,wls WAL,"DF,CC",Spezia,it Serie A,21,2000,29.3,40.0,1.36,33.0,0.0,0.0,4.0,2.0,1.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
102,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,25,1996,22.2,44.0,1.98,38.0,0.0,0.0,0.0,2.0,4.0,4.0,0.18,3.0,0.0,0.0,0.0,0.0,1.0
103,Ayoub Amraoui,ma MAR,"DF,DL",Nice,fr Ligue 1,18,2004,3.3,4.0,1.22,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,25.0,0.81,20.0,3.0,0.0,0.0,1.0,1.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0
105,Elliot Anderson,sct SCO,"CC,DL",Newcastle Utd,eng Premier League,19,2002,4.6,22.0,4.83,16.0,0.0,2.0,0.0,4.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0
106,Felipe Anderson,br BRA,DL,Lazio,it Serie A,29,1993,32.9,99.0,3.01,79.0,1.0,10.0,6.0,3.0,0.0,15.0,0.46,8.0,0.0,4.0,2.0,1.0,0.0
107,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,31,1990,32.4,70.0,2.16,62.0,0.0,0.0,3.0,3.0,2.0,6.0,0.19,5.0,0.0,0.0,0.0,1.0,0.0
108,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,25,1996,5.0,12.0,2.42,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Komnen Andrić,rs SRB,DL,Clermont Foot,fr Ligue 1,27,1995,16.1,32.0,1.99,26.0,0.0,2.0,2.0,2.0,0.0,4.0,0.25,2.0,0.0,0.0,2.0,0.0,0.0
110,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,27,1994,26.7,45.0,1.68,37.0,0.0,0.0,4.0,1.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0
111,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,88.0,3.03,61.0,20.0,1.0,2.0,3.0,1.0,10.0,0.34,8.0,1.0,0.0,1.0,0.0,0.0
112,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,5.0,0.77,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.31,1.0,0.0,0.0,0.0,0.0,1.0
113,Jaidon Anthony,eng ENG,"CC,DL",Bournemouth,eng Premier League,22,1999,14.0,38.0,2.72,28.0,3.0,4.0,1.0,1.0,1.0,4.0,0.29,2.0,0.0,1.0,0.0,1.0,0.0
114,Janis Antiste,fr FRA,DL,Sassuolo,it Serie A,19,2002,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,39.0,1.2,28.0,4.0,2.0,5.0,0.0,0.0,5.0,0.15,3.0,0.0,0.0,2.0,0.0,0.0
116,Josep Antoni Gayá,es ESP,"DF,CC",Mallorca,es La Liga,22,2000,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,José Antonio,es ESP,"CC,DF",Cádiz,es La Liga,18,2004,0.5,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.91,1.0,0.0,0.0,0.0,0.0,0.0
118,Marcos Antônio,br BRA,CC,Lazio,it Serie A,22,2000,6.6,9.0,1.37,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.46,2.0,0.0,1.0,0.0,0.0,0.0
119,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,32,1990,20.3,39.0,1.92,24.0,0.0,6.0,4.0,5.0,0.0,9.0,0.44,6.0,0.0,2.0,1.0,0.0,0.0
120,Antony,br BRA,DL,Manchester Utd,eng Premier League,22,2000,20.0,74.0,3.69,61.0,0.0,5.0,3.0,4.0,1.0,7.0,0.35,6.0,0.0,1.0,0.0,0.0,0.0
121,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0
122,Christopher Antwi-Adjei,gh GHA,"DL,CC",Bochum,de Bundesliga,28,1994,22.0,79.0,3.59,46.0,16.0,5.0,3.0,9.0,0.0,12.0,0.54,7.0,1.0,2.0,0.0,2.0,0.0
123,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,27,1995,2.3,4.0,1.71,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0
124,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,24,1998,5.8,15.0,2.57,9.0,0.0,3.0,3.0,0.0,0.0,2.0,0.34,2.0,0.0,0.0,0.0,0.0,0.0
125,Adil Aouchiche,fr FRA,CC,Lorient,fr Ligue 1,20,2002,2.8,5.0,1.8,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Dennis Appiah,fr FRA,"DF,CC",Nantes,fr Ligue 1,30,1992,8.8,11.0,1.25,8.0,1.0,2.0,0.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
127,Stredair Appuah,fr FRA,"DF,CC",Nantes,fr Ligue 1,18,2004,0.7,6.0,8.18,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.36,1.0,0.0,0.0,0.0,0.0,0.0
