Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
35,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17,2001,3,57,19,1.7,0.6,0,,0,3,19,16,0.33,1,3,-2,-3.16,-3.08,0.9,2.0,-1.1,-1.77,-1.87,Partidos
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24,1994,25,1531,61,44.8,17.0,18,78,6,7,17,3,1.20,22,25,-3,-0.18,-0.80,17.6,23.3,-5.7,-0.33,-0.13,Partidos
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,2205,88,72.1,24.5,25,88,24,0,,0,2.28,60,35,+25,+1.02,-0.24,43.2,30.3,+12.9,+0.52,-0.39,Partidos
38,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,1023,79,29.9,11.4,12,84,10,1,21,5,0.62,9,16,-7,-0.62,-0.05,12.5,15.9,-3.4,-0.31,-0.08,Partidos
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,3411,90,99.7,37.9,38,90,37,0,,0,1.18,56,70,-14,-0.37,-0.37,53.3,57.1,-3.9,-0.10,-0.02,Partidos
40,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.28,1.8,2.6,-0.7,-0.36,-0.06,Partidos
41,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23,1995,16,525,33,17.2,5.8,5,66,0,11,18,5,0.94,7,12,-5,-0.86,+0.31,6.4,8.5,-2.2,-0.37,+0.26,Partidos
42,Paul Akouokou,ci CIV,CC,Betis,es La Liga,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
43,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,499,62,16.3,5.5,5,86,4,3,24,2,1.63,11,12,-1,-0.18,-0.85,9.9,12.3,-2.4,-0.44,-1.34,Partidos
44,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,313,78,10.2,3.5,4,78,3,0,,0,0.75,1,9,-8,-2.30,-1.25,2.3,7.1,-4.7,-1.36,-0.51,Partidos
