Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
57,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,7.1,587,572,12,3,3,2,3,8,1,1,0,0,536,3,9,Partidos
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25.0,871,573,295,82,0,0,0,0,0,0,0,0,623,3,5,Partidos
59,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,0.1,8,6,2,1,0,0,3,0,1,0,1,0,4,0,0,Partidos
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2236,1774,449,51,3,40,201,324,74,28,31,3,1644,13,51,Partidos
61,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,13.9,383,363,18,0,1,3,19,5,0,0,0,0,266,2,5,Partidos
62,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38.0,1290,984,304,88,0,3,0,0,0,0,0,0,1075,2,2,Partidos
63,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13.0,458,281,177,52,0,0,0,0,0,0,0,0,292,0,0,Partidos
64,Allan,br BRA,CC,Napoli,it Serie A,27,1991,29.1,2231,2107,110,70,7,13,14,18,0,0,0,0,1979,14,32,Partidos
65,Allan,br BRA,CC,Eint Frankfurt,de Bundesliga,21,1997,2.0,64,63,1,1,0,1,3,0,0,0,0,0,42,0,2,Partidos
66,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,20.3,1056,1005,43,13,18,4,10,10,3,0,0,0,836,8,33,Partidos
67,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,8.4,263,261,2,0,1,2,21,1,1,0,1,0,188,0,12,Partidos
68,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,6.0,319,278,39,4,0,3,12,35,0,0,0,0,233,2,8,Partidos
