Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Niels Nkounkou,22,8,France,2.5,Saint-Étienne,Ligue 2,France,1,
Brian Oliván,28,8,Spain,2.5,Espanyol,LaLiga,Spain,0,
Dani Gómez,24,3,Spain,2.5,Espanyol,LaLiga,Spain,1,
José Carlos Lazo,26,7,Spain,2.5,Espanyol,LaLiga,Spain,0,
Alberto Grassi,27,4,Italy,2.5,FC Empoli,Serie A,Italy,1,
Bruno Gomes,21,1,Brazil,2.5,Coritiba FC,Série A,Brazil,1,
Loïc Mbe Soh,21,2,France,2.5,Guingamp,Ligue 2,France,1,
Emiliano Martínez,23,4,Uruguay,2.5,FC Midtjylland,Superligaen,Denmark,1,
Francisco Ginella,23,1,Uruguay,2.5,Nacional,Primera División Clausura,Uruguay,1,
CJ Egan-Riley,20,2,England,2.5,Hibernian FC,Premiership,Scotland,1,
Martin Boyle,29,10,Australia,2.5,Hibernian FC,Premiership,Scotland,3,
Shane Duffy,31,2,Ireland,2.5,Fulham,Premier League,England,3,
Ivan,25,5,Brazil,2.5,Zenit S-Pb,Premier Liga,Russia,1,
Robson Bambu,25,2,Brazil,2.5,Vasco da Gama,Série A,Brazil,1,
Nathaniel Chalobah,28,4,England,2.5,West Brom,Championship,England,3,
Jonathan Panzo,21,2,England,2.5,Coventry,Championship,England,1,
Keinan Davis,24,3,England,2.5,Watford,Championship,England,1,
Jamie Shackleton,22,1,England,2.5,Millwall,Championship,England,1,
Tim Iroegbunam,19,1,England,2.5,QPR,Championship,England,1,
Cesc Fàbregas,35,1,Spain,2.5,Como,Serie B,Italy,0,
Ryan Nyambe,24,11,Namibia,2.5,Wigan,Championship,England,0,
Víctor Gómez,22,11,Spain,2.5,SC Braga,Liga Portugal,Portugal,1,
Diego Lainez,22,10,Mexico,2.5,SC Braga,Liga Portugal,Portugal,1,
Jonas Martin,32,4,France,2.5,LOSC Lille,Ligue 1,France,0,
Tiago Dantas,21,1,Portugal,2.5,PAOK Salonika,Super League 1,Greece,1,
Asier Villalibre,25,3,Spain,2.5,Alavés,LaLiga2,Spain,1,
Tomas Vaclik,33,5,Czech Republic,2.5,Huddersfield,Championship,England,0,
Alexis Peña,26,2,Mexico,2.5,Necaxa,Liga MX Clausura,Mexico,3,
José Esquivel,24,4,Mexico,2.5,Necaxa,Liga MX Clausura,Mexico,0,
Ben Mee,32,2,England,2.5,Brentford,Premier League,England,0,
Gédéon Kalulu,24,11,DR Congo,2.5,FC Lorient,Ligue 1,France,0,
Emerson Rodríguez,22,9,Colombia,2.5,Santos Laguna,Liga MX Clausura,Mexico,1,
Jérémy Gélin,25,2,France,2.5,Amiens SC,Ligue 2,France,0,
Yan Valery,23,11,Tunisia,2.5,Angers SCO,Ligue 1,France,3,
João Carvalho,25,0,Portugal,2.5,Estoril Praia,Liga Portugal,Portugal,1,
Isaac Atanga,22,10,Ghana,2.5,Göztepe,1.Lig,Turkey,1,
Lisandro Magallán,29,2,Argentina,2.5,Elche CF,LaLiga,Spain,0,
Andriy Yarmolenko,32,10,Ukraine,2.5,Al-Ain FC,UAE Pro League,United Arab Emirates,0,
Pere Pons,29,4,Spain,2.5,AEK Larnaca,Protathlima Cyta,Cyprus,0,
Gonzalo Escalante,29,1,Argentina,2.5,Cremonese,Serie A,Italy,1,
Gabriel Silva,20,10,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,1,
Matheus Babi,25,3,Brazil,2.5,Santa Clara,Liga Portugal,Portugal,1,
Filip Stevanovic,19,7,Serbia,2.5,Santa Clara,Liga Portugal,Portugal,1,
Marcelo,34,8,Brazil,2.5,Fluminense,Série A,Brazil,0,
Raúl Moro,20,7,Spain,2.5,Real Oviedo,LaLiga2,Spain,1,
Achraf Bencharki,27,7,Morocco,2.5,Al-Jazira,UAE Pro League,United Arab Emirates,0,
Roger Martí,32,3,Spain,2.5,Cádiz CF,LaLiga,Spain,3,
Sergi Guardiola,31,3,Spain,2.5,Cádiz CF,LaLiga,Spain,1,
Alfie Mawson,28,2,England,2.5,Wycombe,League One,England,0,
Marley Aké,22,7,France,2.5,Dijon,Ligue 2,France,1,
Ryan Woods,28,4,England,2.5,Hull City,Championship,England,3,
Michael Ngadeu,32,2,Cameroon,2.5,BJ Guoan,Super League,China,0,
Souza,34,4,Brazil,2.5,BJ Guoan,Super League,China,0,
Martín Aguirregabiria,26,11,Spain,2.5,Famalicão,Liga Portugal,Portugal,0,
Santiago Colombatto,25,4,Argentina,2.5,Famalicão,Liga Portugal,Portugal,1,
Mathias Pereira Lage,25,9,France,2.5,Stade Brestois,Ligue 1,France,0,
Javier Eduardo López,27,0,Mexico,2.5,Pachuca,Liga MX Clausura,Mexico,3,
Adel Taarabt,33,1,Morocco,2.5,Al-Nasr SC,UAE Pro League,United Arab Emirates,0,
Alessandro Schöpf,28,9,Austria,2.5,Vancouver,MLS,Canada,0,
Magomed Ozdoev,29,1,Russia,2.5,Karagümrük,Süper Lig,Turkey,0,
Diego Lainez,22,10,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,1,
Vladimir Loroña,23,11,Mexico,2.5,Tigres UANL,Liga MX Clausura,Mexico,3,
Joe Lolley,29,10,England,2.5,Sydney FC,A-League Men,Australia,0,
Idekel Domínguez,22,11,Mexico,2.5,Atlas,Liga MX Clausura,Mexico,3,
Edison Flores,28,7,Peru,2.5,Atlas,Liga MX Clausura,Mexico,3,
Mauro Manotas,26,3,Colombia,2.5,Atlas,Liga MX Clausura,Mexico,3,
Chase Gasper,27,8,United States,2.5,Houston,MLS,United States,0,
Mariusz Stepinski,27,3,Poland,2.5,Aris Limassol,Protathlima Cyta,Cyprus,1,
Richie Laryea,27,11,Canada,2.5,Toronto,MLS,Canada,1,
Mamadou Mbacke,19,2,Senegal,2.5,Villarreal CF B,LaLiga2,Spain,1,
Toni Villa,27,7,Spain,2.5,Girona,LaLiga,Spain,0,
Nico Serrano,19,7,Spain,2.5,CD Mirandés,LaLiga2,Spain,1,
Darlan,24,4,Brazil,2.5,Chapecoense,Série B,Brazil,1,
Álvaro González,32,2,Spain,2.5,Al-Nassr FC,Saudi Pro League,Saudi Arabia,0,
Sebastián Lomónaco,24,3,Argentina,2.5,La Calera,Primera División,Chile,0,
Valon Berisha,29,1,Kosovo,2.5,Melbourne City,A-League Men,Australia,1,
Deyverson,31,3,Brazil,2.5,Cuiabá-MT,Série A,Brazil,0,
Morgan Schneiderlin,33,4,France,2.5,Western Sydney,A-League Men,Australia,1,
Daniel Bessa,29,1,Italy,2.5,Ittihad Kalba,UAE Pro League,United Arab Emirates,0,
Aké Loba,24,3,Cote d'Ivoire,2.5,Mazatlán FC,Liga MX Clausura,Mexico,1,
Jorge Meré,25,2,Spain,2.5,Mazatlán FC,Liga MX Clausura,Mexico,1,
Juan José Perea,22,3,Colombia,1.2,VfB Stuttgart,Bundesliga,Germany,2,2.4
Arthur Chaves,21,2,Brazil,0.5,Académico Viseu,Liga Sabseg,Portugal,2,2.4
Ernesto Torregrossa,30,3,Venezuela,2.4,Pisa,Serie B,Italy,2,1.8
Matías Cóccaro,24,3,Uruguay,2.4,Huracán,Liga Profesional,Argentina,2,4.65
Luca Mazzitelli,26,4,Italy,2.4,Frosinone,Serie B,Italy,1,
Antonino La Gumina,26,3,Italy,2.4,Benevento,Serie B,Italy,1,
Georgios Koutsias,19,3,Greece,1.2,Chicago,MLS,United States,2,2.36
Pedro Pereira,24,11,Portugal,2.3,Monza,Serie A,Italy,2,2.87
Daniel Ballard,22,2,Northern Ireland,2.0,Sunderland,Championship,England,2,2.3
Josh Bowler,23,10,England,2.0,Nottm Forest,Premier League,England,2,2.3
Julien Le Cardinal,25,11,France,1.0,Lens,Ligue 1,France,2,2.3
Mees de Wit,24,8,Netherlands,1.5,AZ Alkmaar,Eredivisie,Netherlands,2,2.3
Gabriel Rojas,25,8,Argentina,1.2,Racing Club,Copa de la Liga,Argentina,2,2.3
Eden Karzev,22,4,Israel,2.0,Basaksehir,Süper Lig,Turkey,2,2.3
Henry Mosquera,21,7,Colombia,4.0,RB Bragantino,Série A,Brazil,2,2.3
David Nemeth,21,2,Austria,2.3,FC St. Pauli,2. Bundesliga,Germany,2,1.3
Andi Zeqiri,23,3,Switzerland,2.3,FC Basel,Super League,Switzerland,1,
Danny da Costa,28,11,Germany,2.3,1.FSV Mainz 05,Bundesliga,Germany,0,
Ángel Romero,30,7,Paraguay,2.3,Corinthians,Série A,Brazil,0,
Benjamin Tetteh,25,3,Ghana,2.3,Hull City,Championship,England,0,
Mehrdad Mohammadi,28,10,Iran,2.3,Al-Sailiya SC,Stars League,Qatar,3,
Ángel González,28,10,Argentina,2.3,LDU Quito,Serie A Segunda Etapa,Ecuador,3,
Günay Güvenc,31,5,Turkey,2.3,Kasimpasa,Süper Lig,Turkey,1,
Jure Balkovec,27,8,Slovenia,2.3,Alanyaspor,Süper Lig,Turkey,0,
Pedro Pereira,24,11,Portugal,2.3,Alanyaspor,Süper Lig,Turkey,1,
Javier Salas,28,4,Mexico,2.3,FC Juárez,Liga MX Clausura,Mexico,3,
Wilfried Kanga,24,3,Cote d'Ivoire,2.2,Hertha BSC,Bundesliga,Germany,2,5.0
Tolu Arokodare,22,3,Nigeria,2.2,Amiens SC,Ligue 2,France,2,2.5
Gastón Brugman,29,4,Uruguay,2.0,Los Angeles,MLS,United States,2,2.2
Ousmane Camara,19,2,France,2.0,Angers SCO,Ligue 1,France,2,2.2
Pieros Sotiriou,29,3,Cyprus,2.2,Sanf. Hiroshima,J1 League,Japan,2,2.0
Léo Duarte,25,2,Brazil,2.2,Basaksehir,Süper Lig,Turkey,2,2.0
Erik,28,10,Brazil,2.2,Machida Zelvia,J2 League,Japan,2,1.86
Sebastian Polter,31,3,Germany,2.2,FC Schalke 04,Bundesliga,Germany,2,1.5
Bryan Linssen,31,3,Netherlands,2.2,Urawa Reds,J1 League,Japan,2,1.3
Jean-Luc Dompé,27,7,France,2.2,Hamburger SV,2. Bundesliga,Germany,2,1.1
Lorenzo Pirola,20,2,Italy,2.2,Salernitana,Serie A,Italy,1,
Florian Niederlechner,32,3,Germany,2.2,Hertha BSC,Bundesliga,Germany,2,8.0
Samuel Bastien,25,1,DR Congo,2.2,Burnley,Championship,England,2,8.0
Rafael Pérez,33,2,Colombia,2.2,San Lorenzo,Copa de la Liga,Argentina,2,6.44
Kristijan Bistrovic,24,1,Croatia,2.2,Lecce,Serie A,Italy,1,
Alexander Jeremejeff,29,3,Sweden,2.2,Panathinaikos,Super League 1,Greece,2,2.7
Facundo Altamirano,26,5,Argentina,2.2,San Lorenzo,Copa de la Liga,Argentina,1,
Alex Vigo,23,11,Argentina,2.2,Red Star,Super liga Srbije,Serbia,1,
Paul Seguin,27,1,Germany,2.2,Union Berlin,Bundesliga,Germany,0,
Milos Pantovic,25,0,Serbia,2.2,Union Berlin,Bundesliga,Germany,0,
Josep Martínez,24,5,Spain,2.2,Genoa,Serie B,Italy,1,
Yassine Benrahou,24,0,Morocco,2.2,Hajduk Split,SuperSport HNL,Croatia,0,
Leo Stulac,27,4,Slovenia,2.2,Palermo,Serie B,Italy,1,
Landry Dimata,24,3,Belgium,2.2,NEC Nijmegen,Eredivisie,Netherlands,1,
Kjell Scherpen,22,5,Netherlands,2.2,Vitesse,Eredivisie,Netherlands,1,
Josh Laurent,27,1,England,2.2,Stoke City,Championship,England,0,
Niels Nkounkou,21,8,France,2.2,Cardiff,Championship,Wales,1,
Marlon,25,8,Brazil,2.2,Cruzeiro,Série A,Brazil,0,
André Ayew,33,7,Ghana,2.2,Nottm Forest,Premier League,England,0,
Koni De Winter,20,2,Belgium,2.2,FC Empoli,Serie A,Italy,1,
Paulo Victor,21,8,Brazil,2.2,Vasco da Gama,Série B,Brazil,1,
Charalampos Lykogiannis,28,8,Greece,2.2,Bologna,Serie A,Italy,0,
Abdul-Rahman Baba,28,8,Ghana,2.2,Reading,Championship,England,1,
Damián Batallini,26,10,Argentina,2.2,Necaxa,Liga MX Clausura,Mexico,1,
Domingos Quina,22,1,Portugal,2.2,Elche CF,LaLiga,Spain,1,
Alexander Jeremejeff,29,3,Sweden,2.2,APO Levadiakos,Super League 1,Greece,1,
Fredrik Gulbrandsen,29,3,Norway,2.2,Adana Demirspor,Süper Lig,Turkey,0,
Ishak Belfodil,30,3,Algeria,2.2,Al-Gharafa SC,Stars League,Qatar,0,
Borja Sainz,21,7,Spain,2.2,Giresunspor,Süper Lig,Turkey,3,
Pietro Beruatto,23,8,Italy,2.0,Pisa,Serie B,Italy,2,2.1
Sergio Córdova,25,3,Venezuela,1.2,Vancouver,MLS,Canada,2,2.1
Ibrahim Aliyu,21,3,Nigeria,1.3,Houston,MLS,United States,2,2.1
Sofian Kiyine,24,6,Morocco,2.1,OH Leuven,Jupiler Pro League,Belgium,2,1.6
Jerónimo Cacciabue,24,1,Argentina,2.1,Miedz Legnica,Ekstraklasa,Poland,1,
Jens Odgaard,23,10,Denmark,2.0,AZ Alkmaar,Eredivisie,Netherlands,2,3.59
Emil Konradsen Ceide,20,7,Norway,2.0,Sassuolo,Serie A,Italy,2,2.85
Enrico Del Prato,22,11,Italy,2.0,Parma,Serie B,Italy,2,2.75
Gabriel Florentín,23,0,Argentina,2.0,Orenburg,Premier Liga,Russia,2,2.2
Gustavo Puerta,19,1,Colombia,3.5,B. Leverkusen,Bundesliga,Germany,2,2.0
Oscar Fraulo,18,1,Denmark,3.5,Bor. M'gladbach,Bundesliga,Germany,2,2.0
Emre Mor,24,10,Turkey,1.7,Fenerbahce,Süper Lig,Turkey,2,2.0
Delano Burgzorg,23,7,Netherlands,2.0,1.FSV Mainz 05,Bundesliga,Germany,2,2.0
Alexi Pitu,20,7,Romania,1.4,G. Bordeaux,Ligue 2,France,2,2.0
Jessic Ngankam,21,3,Germany,2.0,Hertha BSC,Bundesliga,Germany,2,2.0
Emrecan Uzunhan,21,2,Turkey,5.25,Besiktas,Süper Lig,Turkey,2,2.0
Tomás Tavares,21,11,Portugal,2.0,Spartak Moscow,Premier Liga,Russia,2,2.0
Mateusz Praszelik,22,0,Poland,1.2,Hellas Verona,Serie A,Italy,2,2.0
Michel Vlap,25,0,Netherlands,2.0,Twente FC,Eredivisie,Netherlands,2,2.0
Mikael,23,3,Brazil,2.0,Salernitana,Serie A,Italy,2,2.0
Leonardo Buta,20,8,Portugal,4.5,Udinese Calcio,Serie A,Italy,2,2.0
Zakaria Aboukhlal,22,10,Morocco,2.0,Toulouse,Ligue 1,France,2,2.0
Marcin Bulka,22,5,Poland,2.0,OGC Nice,Ligue 1,France,2,2.0
Diego Hernández,22,7,Uruguay,2.0,Botafogo,Série A,Brazil,2,2.0
Boubacar Traoré,21,4,Mali,1.8,Wolves,Premier League,England,1,
Oleksandr Zubkov,26,10,Ukraine,1.8,Shakhtar D.,Premier Liga,Ukraine,2,2.0
Doron Leidner,20,8,Israel,1.2,Olympiacos,Super League 1,Greece,2,2.0
Nuraly Alip,23,2,Kazakhstan,1.2,Zenit S-Pb,Premier Liga,Russia,2,2.0
Daniel Samek,18,4,Czech Republic,2.0,Lecce,Serie A,Italy,2,2.0
Lameck Banda,21,7,Zambia,3.0,Lecce,Serie A,Italy,2,2.0
Carlton Morris,26,3,England,1.0,Luton,Championship,England,2,2.0
Veton Berisha,28,3,Norway,1.3,Hammarby,Allsvenskan,Sweden,2,2.0
Alexsandro,22,2,Brazil,8.0,LOSC Lille,Ligue 1,France,2,2.0
Dominik Kotarski,22,5,Croatia,1.5,PAOK Salonika,Super League 1,Greece,2,2.0
Anouar Ait El Hadj,20,0,Belgium,2.0,KRC Genk,Jupiler Pro League,Belgium,2,2.0
Amir Richardson,20,1,Morocco,1.3,Stade Reims,Ligue 1,France,2,2.0
Vlad Chiriches,32,2,Romania,1.8,Cremonese,Serie A,Italy,2,2.0
Giacomo Quagliata,22,8,Italy,8.0,Cremonese,Serie A,Italy,2,2.0
Willyan Rocha,27,2,Brazil,1.5,CSKA Moscow,Premier Liga,Russia,2,2.0
Emre Demir,18,0,Turkey,1.8,Barça Atlètic,Primera Federación - Gr. II,Spain,2,2.0
Victor Boniface,21,3,Nigeria,7.0,Union SG,Jupiler Pro League,Belgium,2,2.0
Stefano Moreo,29,3,Italy,1.0,Pisa,Serie B,Italy,2,2.0
Riccardo Ciervo,20,7,Italy,1.5,Sassuolo,Serie A,Italy,2,2.0
Ahmed Touba,24,2,Algeria,1.0,Basaksehir,Süper Lig,Turkey,2,2.0
Roggerio Nyakossi,18,2,Switzerland,1.0,Marseille B,N3 - Corse-Méditer.,France,2,2.0
Douglas Mendes,18,2,Brazil,2.0,RB Bragantino,Série A,Brazil,2,2.0
Diego Rosa,20,1,Brazil,7.0,EC Bahia,Série A,Brazil,2,2.0
Tommaso Mancini,18,3,Italy,5.0,Juventus U19,Primavera 1,Italy,2,2.0
Kady Borges,26,0,Brazil,1.2,Krasnodar,Premier Liga,Russia,2,2.0
Facundo Waller,25,6,Uruguay,1.8,San Luis,Liga MX Clausura,Mexico,2,2.0
Joao Rojas,24,7,Ecuador,2.0,Monterrey,Liga MX Clausura,Mexico,2,1.9
Brian Ocampo,23,7,Uruguay,2.0,Cádiz CF,LaLiga,Spain,2,1.9
Cedric Itten,25,3,Switzerland,2.0,BSC Young Boys,Super League,Switzerland,2,1.82
José Luis Rodríguez,25,11,Uruguay,2.0,Vasco da Gama,Série A,Brazil,2,1.8
Rayan Raveloson,25,4,Madagascar,2.0,AJ Auxerre,Ligue 1,France,2,1.75
Osame Sahraoui,21,7,Norway,2.0,Heerenveen,Eredivisie,Netherlands,2,1.7
Biel,21,7,Brazil,2.0,EC Bahia,Série A,Brazil,2,1.6
Jessic Ngankam,21,3,Germany,2.0,Greuther Fürth,2. Bundesliga,Germany,2,1.5
Khaled Narey,27,10,Germany,2.0,PAOK Salonika,Super League 1,Greece,2,1.5
Andreas Bruus,23,11,Denmark,2.0,Troyes,Ligue 1,France,2,1.5
Lucas Vera,25,1,Argentina,2.0,Orenburg,Premier Liga,Russia,2,1.5
Moustapha Name,27,1,Senegal,2.0,Pafos FC,Protathlima Cyta,Cyprus,2,1.5
Ohi Omoijuanfo,28,3,Norway,2.0,Bröndby IF,Superligaen,Denmark,2,1.35
Ramiro Carrera,29,9,Argentina,2.0,CD Cruz Azul,Liga MX Clausura,Mexico,2,1.3
Andrés Andrade,23,2,Panama,2.0,Arm. Bielefeld,2. Bundesliga,Germany,2,1.25
Oscar Vilhelmsson,18,3,Sweden,2.0,Darmstadt 98,2. Bundesliga,Germany,2,1.2
Dogucan Haspolat,22,4,Turkey,2.0,Trabzonspor,Süper Lig,Turkey,2,1.2
Matías Segovia,20,0,Paraguay,2.0,Botafogo,Série A,Brazil,2,1.2
Krzysztof Kubica,22,1,Poland,2.0,Benevento,Serie B,Italy,2,1.2
João Lucas,24,11,Brazil,2.0,Santos,Série A,Brazil,2,1.1
Srdjan Babic,26,2,Serbia,2.0,UD Almería,LaLiga,Spain,2,1.1
Dan Barlaser,26,1,England,2.0,Middlesbrough,Championship,England,2,1.03
Gil Dias,26,10,Portugal,2.0,VfB Stuttgart,Bundesliga,Germany,2,1.0
Genki Haraguchi,31,0,Japan,2.0,VfB Stuttgart,Bundesliga,Germany,2,1.0
Amer Gojak,25,0,Bosnia-Herzegovina,2.0,Ferencváros,NB I.,Hungary,2,1.0
Francesco Di Mariano,26,7,Italy,2.0,Palermo,Serie B,Italy,2,1.0
Pipa,24,11,Spain,2.0,Olympiacos,Super League 1,Greece,2,1.0
Bruno Gomes,21,1,Brazil,2.0,Coritiba FC,Série A,Brazil,2,1.0
Lucas Pérez,34,3,Spain,2.0,Dep. La Coruña,Primera Federación - Gr. I,Spain,2,1.0
Zidan Sertdemir,17,1,Denmark,2.0,Nordsjaelland,Superligaen,Denmark,2,1.0
Milan Pavkov,28,3,Serbia,2.0,Al-Fayha,Saudi Pro League,Saudi Arabia,2,1.0
Yanis Hamache,23,8,Algeria,2.0,SK Dnipro-1,Premier Liga,Ukraine,2,1.0
Eduard Löwen,25,1,Germany,2.0,St. Louis CITY,United States,United States,2,1.0
Sergio Santos,27,3,Brazil,2.0,Cincinnati,MLS,United States,2,8.41
András Németh,20,3,Hungary,2.0,Hamburger SV,2. Bundesliga,Germany,2,7.5
Tommaso Milanese,19,1,Italy,2.0,Cremonese,Serie A,Italy,2,7.5
Renato Steffen,30,10,Switzerland,2.0,FC Lugano,Super League,Switzerland,2,7.5
Fernando Sobral,28,1,Brazil,2.0,Cuiabá-MT,Série A,Brazil,2,7.5
William Mikelbrencis,18,11,France,2.0,Hamburger SV,2. Bundesliga,Germany,2,7.0
Hamidou Traore,25,4,Mali,2.0,Partizan,Super liga Srbije,Serbia,2,7.0
Jean Evrard Kouassi,27,7,Cote d'Ivoire,2.0,Karagümrük,Süper Lig,Turkey,1,
Adam Gnezda Cerin,22,1,Slovenia,2.0,Panathinaikos,Super League 1,Greece,2,6.5
Andreas Maxsö,28,2,Denmark,2.0,Colorado,MLS,United States,2,6.5
Kanya Fujimoto,23,0,Japan,2.0,Gil Vicente,Liga Portugal,Portugal,2,6.0
Isidro Pitta,23,3,Paraguay,2.0,Cuiabá-MT,Série A,Brazil,2,6.0
Irfan Can Egribayat,24,5,Turkey,2.0,Fenerbahce,Süper Lig,Turkey,1,
László Kleinheisler,28,0,Hungary,2.0,Panathinaikos,Super League 1,Greece,2,5.0
Nicolò Cambiaghi,21,7,Italy,2.0,FC Empoli,Serie A,Italy,1,
Rodrigo Pinho,31,3,Brazil,2.0,Coritiba FC,Série A,Brazil,2,5.0
Federico Di Francesco,28,7,Italy,2.0,Lecce,Serie A,Italy,2,5.0
Samuel Umtiti,28,2,France,2.0,Lecce,Serie A,Italy,1,
Cenk Özkacar,21,2,Turkey,2.0,Valencia,LaLiga,Spain,1,
Silvije Begic,29,2,Croatia,2.0,Ural,Premier Liga,Russia,2,5.0
Mailson,25,5,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,2,5.0
Aarón Herrera,25,11,Guatemala,2.0,Montréal,MLS,Canada,2,4.71
Joaquín Torres,25,10,Argentina,2.0,Philadelphia,MLS,United States,2,4.6
Carlitos,32,3,Spain,2.0,Legia Warszawa,Ekstraklasa,Poland,2,4.0
Alef Manga,28,7,Brazil,2.0,Coritiba FC,Série A,Brazil,2,4.0
Marrony,23,10,Brazil,2.0,Fluminense,Série A,Brazil,1,
Héber,31,3,Brazil,2.0,Seattle,MLS,United States,2,3.75
Cristian Dájome,29,7,Colombia,2.0,D.C. United,MLS,United States,2,3.18
Anthony Kalik,24,0,Australia,2.0,Hajduk Split,SuperSport HNL,Croatia,2,3.0
Isaac Atanga,22,10,Ghana,2.0,Aalesund,Eliteserien,Norway,2,3.0
Jacob Shaffelburg,22,7,Canada,2.0,Nashville,MLS,United States,2,3.0
Jacob Shaffelburg,22,7,Canada,2.0,Nashville,MLS,United States,1,
Sebastien Thill,28,1,Luxembourg,2.0,Hansa Rostock,2. Bundesliga,Germany,2,2.0
David,27,7,Brazil,2.0,São Paulo,Série A,Brazil,1,
Jorman Campuzano,26,4,Colombia,2.0,Giresunspor,Süper Lig,Turkey,1,
Flávio,26,1,Brazil,2.0,Al-Taawoun,Saudi Pro League,Saudi Arabia,1,
Paul Nardi,28,5,France,2.0,KAA Gent,Jupiler Pro League,Belgium,2,1.5
Darijan Bojanic,28,1,Sweden,2.0,Ulsan Hyundai,K League 1,"Korea, South",2,1.0
Matous Trmal,23,5,Czech Republic,2.0,Marítimo,Liga Portugal,Portugal,1,
Florian Flick,22,4,Germany,2.0,1.FC Nuremberg,2. Bundesliga,Germany,1,
Mateo Klimowicz,22,0,Germany,2.0,Arm. Bielefeld,2. Bundesliga,Germany,1,
Mile Svilar,22,5,Serbia,2.0,AS Roma,Serie A,Italy,0,
Pablo Rodríguez,21,12,Spain,2.0,Brescia,Serie B,Italy,1,
Zeki Amdouni,21,3,Switzerland,2.0,FC Basel,Super League,Switzerland,1,
Zuriko Davitashvili,21,10,Georgia,2.0,G. Bordeaux,Ligue 2,France,1,
Jan Vertonghen,35,2,Belgium,2.0,RSC Anderlecht,Jupiler Pro League,Belgium,0,
Pierre Kunde,27,1,Cameroon,2.0,VfL Bochum,Bundesliga,Germany,1,
Philipp Hofmann,29,3,Germany,2.0,VfL Bochum,Bundesliga,Germany,0,
Cenk Tosun,31,3,Turkey,2.0,Besiktas,Süper Lig,Turkey,0,
Eli Dasa,29,11,Israel,2.0,Dynamo Moscow,Premier Liga,Russia,0,
Luca Zanimacchia,24,10,Italy,2.0,Parma,Serie B,Italy,1,
Sam Adekugbe,28,8,Canada,2.0,Galatasaray,Süper Lig,Turkey,1,
Fraser Forster,34,5,England,2.0,Tottenham,Premier League,England,0,
Jakub Swierczok,30,3,Poland,2.0,Zaglebie Lubin,Ekstraklasa,Poland,3,
Denso Kasius,20,11,Netherlands,2.0,Rapid Vienna,Bundesliga,Austria,1,
Salomón Rondón,33,3,Venezuela,2.0,River Plate,Copa de la Liga,Argentina,0,
Luan,29,0,Brazil,2.0,Santos,Série A,Brazil,1,
Mateusz Zukowski,20,11,Poland,2.0,Lech Poznan,Ekstraklasa,Poland,1,
Denis Dragus,23,3,Romania,2.0,Genoa,Serie B,Italy,1,
Ole Selnaes,27,4,Norway,2.0,FC Zürich,Super League,Switzerland,0,
Viktor Fischer,28,7,Denmark,2.0,AIK,Allsvenskan,Sweden,1,
Francesco Vicari,27,2,Italy,2.0,Bari,Serie B,Italy,3,
Auston Trusty,23,2,United States,2.0,Birmingham,Championship,England,1,
Tom Edwards,23,11,England,2.0,Barnsley FC,League One,England,1,
Luke Mbete,19,2,England,2.0,Bolton,League One,England,1,
Salvi Sánchez,31,10,Spain,2.0,Rayo Vallecano,LaLiga,Spain,0,
Florian Lejeune,31,2,France,2.0,Rayo Vallecano,LaLiga,Spain,1,
Moses Usor,20,10,Nigeria,2.0,LASK,Bundesliga,Austria,1,
Robert Zulj,30,0,Austria,2.0,LASK,Bundesliga,Austria,0,
Gabriel Suazo,25,8,Chile,2.0,Toulouse,Ligue 1,France,0,
Arnaud Souquet,30,11,France,2.0,Chicago,MLS,United States,0,
Mamady Diambou,20,4,Mali,2.0,FC Luzern,Super League,Switzerland,1,
Lovre Kalinic,32,5,Croatia,2.0,Hajduk Split,SuperSport HNL,Croatia,0,
Lazar Markovic,28,10,Serbia,2.0,Trabzonspor,Süper Lig,Turkey,1,
Jens Stryger Larsen,31,11,Denmark,2.0,Trabzonspor,Süper Lig,Turkey,0,
Davide Bettella,22,2,Italy,2.0,Palermo,Serie B,Italy,1,
Álvaro Fernandez,19,8,Spain,2.0,Preston,Championship,England,1,
Philippe Sandler,25,2,Netherlands,2.0,NEC Nijmegen,Eredivisie,Netherlands,0,
Sidnei,32,2,Brazil,2.0,UD Las Palmas,LaLiga2,Spain,0,
Anton Tinnerholm,31,11,Sweden,2.0,Malmö FF,Allsvenskan,Sweden,0,
Will Smallbone,22,1,Ireland,2.0,Stoke City,Championship,England,1,
Tariqe Fosu,26,7,Ghana,2.0,Stoke City,Championship,England,1,
Antoine Bernede,23,1,France,2.0,Lausanne-Sport,Challenge League,Switzerland,1,
Maximiliano Lovera,23,7,Argentina,2.0,Ionikos Nikeas,Super League 1,Greece,1,
Pedrinho,23,7,Brazil,2.0,São Paulo,Série A,Brazil,1,
Helton Leite,32,5,Brazil,2.0,Antalyaspor,Süper Lig,Turkey,0,
Emrecan Uzunhan,21,2,Turkey,2.0,Antalyaspor,Süper Lig,Turkey,1,
Christian Luyindama,28,2,DR Congo,2.0,Antalyaspor,Süper Lig,Turkey,1,
Sheyi Ojo,25,10,England,2.0,Cardiff,Championship,Wales,0,
