Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Carlos Rotondi,25,7,Argentina,3.5,CD Cruz Azul,Liga MX Clausura,Mexico,2,3.9
Gennaro Tutino,25,3,Italy,3.8,Parma,Serie B,Italy,2,5.0
Michele Di Gregorio,24,5,Italy,3.8,Monza,Serie A,Italy,2,4.15
Charles Pickel,25,4,Switzerland,2.5,Cremonese,Serie A,Italy,2,3.8
Ozan Tufan,27,1,Turkey,3.8,Hull City,Championship,England,2,3.0
Adam Maher,28,4,Netherlands,3.8,Damac FC,Saudi Pro League,Saudi Arabia,2,1.8
Eduardo Salvio,31,10,Argentina,3.8,UNAM Pumas,Liga MX Clausura,Mexico,0,
Craig Dawson,32,2,England,2.5,Wolves,Premier League,England,2,3.75
Samet Akaydin,28,2,Turkey,2.5,Fenerbahce,Süper Lig,Turkey,2,3.7
Felipe Carballo,26,1,Uruguay,2.0,Grêmio,Série A,Brazil,2,3.7
Josh Doig,20,8,Scotland,3.0,Hellas Verona,Serie A,Italy,2,3.6
Eren Elmali,21,8,Turkey,3.2,Trabzonspor,Süper Lig,Turkey,2,3.6
Bruma,28,7,Portugal,3.6,SC Braga,Liga Portugal,Portugal,1,
André Franco,24,0,Portugal,3.5,FC Porto,Liga Portugal,Portugal,2,4.07
Emiliano Rigoni,29,10,Argentina,3.5,Austin,MLS,United States,2,3.65
Lukas Lerager,28,1,Denmark,3.0,FC Copenhagen,Superligaen,Denmark,2,3.5
Robin Olsen,32,5,Sweden,2.0,Aston Villa,Premier League,England,2,3.5
Karim Konaté,18,3,Cote d'Ivoire,6.0,RB Salzburg,Bundesliga,Austria,2,3.5
Pedrinho,22,7,Brazil,1.8,Loko Moscow,Premier Liga,Russia,2,3.5
Rodrigão,26,2,Brazil,3.5,Zenit S-Pb,Premier Liga,Russia,2,3.5
Lewis Ferguson,22,1,Scotland,2.0,Bologna,Serie A,Italy,2,3.5
Francesco Caputo,34,3,Italy,2.5,Sampdoria,Serie A,Italy,2,3.5
Jackson Porozo,21,2,Ecuador,3.0,Troyes,Ligue 1,France,2,3.5
Darko Churlinov,22,7,North Macedonia,1.3,Burnley,Championship,England,2,3.5
Emanuel Aiwu,21,2,Austria,3.0,Cremonese,Serie A,Italy,2,3.5
Marko Milovanovic,18,3,Serbia,1.2,UD Almería,LaLiga,Spain,2,3.5
Anton Zinkovskiy,26,7,Russia,3.5,Spartak Moscow,Premier Liga,Russia,2,3.2
Daniil Utkin,22,1,Russia,3.5,Rostov,Premier Liga,Russia,2,3.0
Marin Ljubicic,20,3,Croatia,3.5,LASK,Bundesliga,Austria,2,2.9
Hjalmar Ekdal,24,2,Sweden,3.5,Burnley,Championship,England,2,2.8
Kevin Agudelo,23,0,Colombia,3.5,Spezia Calcio,Serie A,Italy,2,2.8
Sergey Pinyaev,18,7,Russia,3.5,Loko Moscow,Premier Liga,Russia,2,2.6
Andreas Hanche-Olsen,25,2,Norway,3.5,1.FSV Mainz 05,Bundesliga,Germany,2,2.5
Ivan Provedel,28,5,Italy,3.5,Lazio,Serie A,Italy,2,2.38
Omar Colley,30,2,The Gambia,3.5,Besiktas,Süper Lig,Turkey,2,2.3
Ramón Sosa,23,10,Paraguay,3.5,CA Talleres,Copa de la Liga,Argentina,2,2.12
Wesley Hoedt,28,2,Netherlands,3.5,Watford,Championship,England,2,2.0
Dejan Lovren,33,2,Croatia,3.5,Olympique Lyon,Ligue 1,France,2,2.0
Maxime Busi,22,11,Belgium,3.5,Stade Reims,Ligue 1,France,2,2.0
