Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Tkl2017-2018,TklG2017-2018,3.º def.2017-2018,3.º cent.2017-2018,3.º ataq.2017-2018,Tkl.12017-2018,Att2017-2018,Tkl%2017-2018,Pérdida2017-2018,Bloqueos2017-2018,Dis2017-2018,Pases2017-2018,Int2017-2018,Tkl+Int2017-2018,Desp.2017-2018,Err2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Tkl2018-2019,TklG2018-2019,3.º def.2018-2019,3.º cent.2018-2019,3.º ataq.2018-2019,Tkl.12018-2019,Att2018-2019,Tkl%2018-2019,Pérdida2018-2019,Bloqueos2018-2019,Dis2018-2019,Pases2018-2019,Int2018-2019,Tkl+Int2018-2019,Desp.2018-2019,Err2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Tkl2019-2020,TklG2019-2020,3.º def.2019-2020,3.º cent.2019-2020,3.º ataq.2019-2020,Tkl.12019-2020,Att2019-2020,Tkl%2019-2020,Pérdida2019-2020,Bloqueos2019-2020,Dis2019-2020,Pases2019-2020,Int2019-2020,Tkl+Int2019-2020,Desp.2019-2020,Err2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Tkl2020-2021,TklG2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Tkl.12020-2021,Att2020-2021,Tkl%2020-2021,Pérdida2020-2021,Bloqueos2020-2021,Dis2020-2021,Pases2020-2021,Int2020-2021,Tkl+Int2020-2021,Desp.2020-2021,Err2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Tkl2021-2022,TklG2021-2022,3.º def.2021-2022,3.º cent.2021-2022,3.º ataq.2021-2022,Tkl.12021-2022,Att2021-2022,Tkl%2021-2022,Pérdida2021-2022,Bloqueos2021-2022,Dis2021-2022,Pases2021-2022,Int2021-2022,Tkl+Int2021-2022,Desp.2021-2022,Err2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Tkl2022-2023,TklG2022-2023,3.º def.2022-2023,3.º cent.2022-2023,3.º ataq.2022-2023,Tkl.12022-2023,Att2022-2023,Tkl%2022-2023,Pérdida2022-2023,Bloqueos2022-2023,Dis2022-2023,Pases2022-2023,Int2022-2023,Tkl+Int2022-2023,Desp.2022-2023,Err2022-2023
2788,Yassin Fekir,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,8,81,5,21.0,1997.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2789,Aitor Fernández,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,76,4,27.0,1991.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,1.0,43,12,76,4,28.0,1991.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,18.0,3.0,43,12,76,4,29.0,1991.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,17.0,1.0,43,12,76,4,30.0,1991.0,13.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,43,12,102,4,31.0,1991.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,17.0,0.0
2790,Borja Fernández,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2,134,4,37.0,1981.0,9.3,17.0,12.0,7.0,9.0,1.0,6.0,16.0,37.5,10.0,14.0,2.0,12.0,14.0,31.0,25.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2791,Joaquín Fernández,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,5,134,4,22.0,1996.0,9.3,16.0,9.0,14.0,1.0,1.0,8.0,16.0,50.0,8.0,9.0,7.0,2.0,17.0,33.0,45.0,0.0,43,2,134,4,23.0,1996.0,18.4,30.0,24.0,17.0,10.0,3.0,9.0,30.0,30.0,21.0,14.0,10.0,4.0,32.0,62.0,57.0,0.0,43,4,134,4,24.0,1996.0,23.0,30.0,16.0,21.0,8.0,1.0,12.0,21.0,57.1,9.0,24.0,15.0,9.0,43.0,73.0,113.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4,134,4,26.0,1996.0,24.0,35.0,28.0,20.0,11.0,4.0,19.0,30.0,63.3,11.0,31.0,22.0,9.0,27.0,62.0,98.0,1.0
2792,Valery Fernández,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,6,54,4,18.0,1999.0,9.9,20.0,15.0,13.0,6.0,1.0,10.0,17.0,58.8,7.0,15.0,1.0,14.0,8.0,28.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,2,54,4,22.0,1999.0,10.7,12.0,6.0,4.0,6.0,2.0,5.0,9.0,55.6,4.0,8.0,1.0,7.0,10.0,22.0,9.0,1.0
2793,Juan Ferney Otero,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,9,4,5,23.0,1995.0,24.2,29.0,13.0,11.0,12.0,6.0,13.0,46.0,28.3,33.0,23.0,3.0,20.0,22.0,51.0,18.0,0.0,28,9,4,5,24.0,1995.0,13.4,17.0,10.0,6.0,9.0,2.0,8.0,24.0,33.3,16.0,12.0,1.0,11.0,19.0,36.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2794,David Ferreiro,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,3,64,4,30.0,1988.0,25.3,36.0,22.0,13.0,19.0,4.0,11.0,64.0,17.2,53.0,27.0,1.0,26.0,24.0,60.0,14.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,3,64,4,32.0,1988.0,28.1,25.0,12.0,12.0,8.0,5.0,8.0,49.0,16.3,41.0,21.0,1.0,20.0,25.0,50.0,15.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2795,Facundo Ferreyra,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,46,4,27.0,1991.0,2.3,5.0,2.0,0.0,4.0,1.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,0.0,5.0,5.0,0.0,6,9,46,4,28.0,1991.0,6.4,9.0,4.0,4.0,5.0,0.0,3.0,10.0,30.0,7.0,4.0,0.0,4.0,2.0,11.0,5.0,0.0,6,8,30,4,29.0,1991.0,3.3,4.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,2.0,6.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2796,Oliver Fink,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1,40,2,36.0,1982.0,11.7,38.0,22.0,17.0,17.0,4.0,12.0,38.0,31.6,26.0,20.0,3.0,17.0,13.0,51.0,19.0,0.0,35,3,40,2,37.0,1982.0,7.5,21.0,12.0,7.0,11.0,3.0,5.0,16.0,31.3,11.0,12.0,1.0,11.0,15.0,36.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2797,Mark Flekken,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,12,49,2,25.0,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,12,49,2,26.0,1993.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,101,12,49,2,27.0,1993.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101,12,49,2,28.0,1993.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,10.0,1.0,101,12,49,2,29.0,1993.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,5.0
2798,Wesley Fofana,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,4,114,5,17.0,2000.0,1.8,7.0,6.0,5.0,2.0,0.0,6.0,13.0,46.2,7.0,1.0,0.0,1.0,4.0,11.0,9.0,0.0,46,4,114,5,18.0,2000.0,13.5,25.0,15.0,16.0,9.0,0.0,12.0,18.0,66.7,6.0,10.0,5.0,5.0,36.0,61.0,55.0,4.0,46,4,74,3,19.0,2000.0,28.6,57.0,41.0,33.0,22.0,2.0,34.0,50.0,142.4,16.0,31.0,19.0,12.0,69.0,126.0,108.0,1.0,46,4,74,3,20.0,2000.0,7.0,12.0,8.0,11.0,1.0,0.0,7.0,11.0,63.6,4.0,5.0,2.0,3.0,12.0,24.0,26.0,1.0,46,4,74,3,21.0,2000.0,15.1,34.0,20.0,20.0,9.0,5.0,14.0,29.0,83.3,15.0,18.0,11.0,7.0,29.0,63.0,38.0,2.0
2799,Youssouf Fofana,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1,124,5,19.0,1999.0,10.1,28.0,20.0,5.0,20.0,3.0,9.0,27.0,33.3,18.0,7.0,0.0,7.0,11.0,39.0,8.0,0.0,46,1,124,5,20.0,1999.0,18.0,41.0,26.0,16.0,22.0,3.0,21.0,45.0,96.6,24.0,23.0,2.0,21.0,22.0,63.0,16.0,0.0,46,1,90,5,21.0,1999.0,31.9,90.0,51.0,31.0,51.0,8.0,42.0,82.0,51.2,40.0,43.0,7.0,36.0,34.0,124.0,14.0,2.0,46,1,90,5,22.0,1999.0,24.3,69.0,43.0,19.0,41.0,9.0,29.0,56.0,51.8,27.0,29.0,7.0,22.0,32.0,101.0,22.0,2.0,46,1,90,5,23.0,1999.0,34.3,81.0,41.0,31.0,42.0,8.0,38.0,74.0,51.4,36.0,50.0,6.0,44.0,56.0,137.0,32.0,1.0
2800,Thomas Foket,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4,110,5,23.0,1994.0,32.0,91.0,52.0,55.0,23.0,13.0,42.0,69.0,60.9,27.0,30.0,4.0,26.0,49.0,140.0,80.0,1.0,10,4,110,5,24.0,1994.0,27.0,61.0,36.0,31.0,23.0,7.0,30.0,48.0,62.5,18.0,15.0,4.0,11.0,39.0,100.0,59.0,1.0,10,4,110,5,25.0,1994.0,36.9,77.0,43.0,50.0,20.0,7.0,40.0,69.0,58.0,29.0,28.0,7.0,21.0,69.0,146.0,92.0,2.0,10,6,110,5,26.0,1994.0,24.8,28.0,19.0,12.0,13.0,3.0,18.0,40.0,45.0,22.0,26.0,4.0,22.0,33.0,61.0,35.0,0.0,10,4,110,5,27.0,1994.0,22.0,35.0,22.0,18.0,11.0,6.0,17.0,46.0,37.0,29.0,21.0,7.0,14.0,33.0,68.0,29.0,2.0
2801,Thomas Fontaine,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,5,110,5,27.0,1991.0,4.7,6.0,3.0,5.0,0.0,1.0,2.0,5.0,40.0,3.0,6.0,2.0,4.0,7.0,13.0,28.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,4,80,5,29.0,1991.0,3.6,5.0,2.0,5.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,2.0,1.0,5.0,10.0,14.0,0.0,89,4,80,5,30.0,1991.0,1.9,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,4.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2802,Rui Fonte,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,9,78,5,28.0,1990.0,7.0,25.0,12.0,4.0,16.0,5.0,6.0,11.0,54.5,5.0,4.0,0.0,4.0,2.0,27.0,8.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2803,Juan Foyth,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,128,3,20.0,1998.0,9.9,31.0,17.0,20.0,11.0,0.0,14.0,19.0,73.7,5.0,12.0,5.0,7.0,10.0,41.0,50.0,1.0,6,4,128,3,21.0,1998.0,0.8,7.0,3.0,5.0,2.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,1.0,8.0,3.0,1.0,6,5,136,4,22.0,1998.0,13.0,40.0,22.0,22.0,14.0,4.0,12.0,29.0,41.4,17.0,21.0,6.0,15.0,19.0,59.0,24.0,1.0,6,4,136,4,23.0,1998.0,21.4,69.0,49.0,35.0,28.0,6.0,35.0,47.0,74.5,12.0,29.0,7.0,22.0,20.0,89.0,50.0,0.0,6,4,136,4,24.0,1998.0,21.8,73.0,48.0,49.0,22.0,2.0,41.0,57.0,71.9,16.0,32.0,11.0,21.0,20.0,93.0,68.0,0.0
2804,Pierluigi Frattali,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,105,6,32.0,1985.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2805,Fred,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,86,3,25.0,1993.0,11.6,29.0,17.0,12.0,16.0,1.0,15.0,33.0,45.5,18.0,26.0,2.0,24.0,16.0,45.0,14.0,2.0,17,1,86,3,26.0,1993.0,24.0,60.0,32.0,33.0,22.0,5.0,25.0,100.0,25.0,75.0,44.0,8.0,36.0,38.0,98.0,32.0,0.0,17,1,86,3,27.0,1993.0,26.6,81.0,39.0,39.0,38.0,4.0,29.0,89.0,32.6,60.0,49.0,9.0,40.0,45.0,126.0,26.0,1.0,17,1,86,3,28.0,1993.0,22.5,63.0,27.0,32.0,24.0,7.0,22.0,79.0,27.8,57.0,38.0,11.0,27.0,32.0,95.0,24.0,0.0,17,1,86,3,29.0,1993.0,13.9,47.0,30.0,24.0,20.0,3.0,15.0,38.0,39.5,23.0,38.0,2.0,36.0,19.0,66.0,19.0,0.0
2806,Ryan Fredericks,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,140,3,25.0,1992.0,12.1,38.0,23.0,33.0,5.0,0.0,21.0,32.0,65.6,11.0,15.0,5.0,10.0,13.0,51.0,49.0,1.0,42,4,140,3,26.0,1992.0,24.9,82.0,56.0,59.0,18.0,5.0,41.0,64.0,64.1,23.0,20.0,10.0,10.0,24.0,106.0,73.0,1.0,42,6,140,3,27.0,1992.0,6.3,9.0,5.0,5.0,4.0,0.0,3.0,7.0,42.9,4.0,6.0,2.0,4.0,11.0,20.0,20.0,0.0,42,4,140,3,28.0,1992.0,3.4,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,6.0,6.0,0.0,42,4,21,3,29.0,1992.0,5.9,3.0,2.0,2.0,0.0,1.0,1.0,4.0,25.0,3.0,7.0,2.0,5.0,1.0,4.0,27.0,0.0
2807,Nicolas Frey,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,4,32,6,34.0,1984.0,2.5,3.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,7.0,10.0,18.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,Alexander Fuchs,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,3,101,2,21.0,1997.0,7.3,14.0,12.0,5.0,7.0,2.0,5.0,15.0,33.3,10.0,9.0,1.0,8.0,5.0,19.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2809,Gianluca Gaetano,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,3,95,6,18.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,1,95,6,21.0,2000.0,0.2,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,69,1,95,6,22.0,2000.0,0.8,5.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
2810,Riccardo Gagliolo,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,4,105,6,28.0,1990.0,33.8,69.0,45.0,52.0,15.0,2.0,33.0,68.0,48.5,35.0,60.0,33.0,27.0,66.0,135.0,213.0,2.0,115,4,105,6,29.0,1990.0,28.9,57.0,32.0,37.0,12.0,8.0,30.0,60.0,50.0,30.0,35.0,18.0,17.0,53.0,110.0,100.0,0.0,115,4,105,6,30.0,1990.0,21.7,45.0,18.0,35.0,8.0,2.0,28.0,45.0,62.2,17.0,34.0,7.0,27.0,36.0,81.0,64.0,1.0,115,4,115,6,31.0,1990.0,12.6,23.0,12.0,16.0,4.0,3.0,16.0,27.0,59.3,11.0,15.0,8.0,7.0,28.0,51.0,52.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2811,Javi Galán,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,6,64,4,23.0,1994.0,16.0,61.0,39.0,36.0,23.0,2.0,34.0,59.0,57.6,25.0,22.0,1.0,21.0,19.0,80.0,52.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4,64,4,25.0,1994.0,34.1,88.0,54.0,47.0,35.0,6.0,46.0,72.0,63.9,26.0,30.0,4.0,26.0,39.0,127.0,61.0,0.0,43,4,30,4,26.0,1994.0,36.6,108.0,66.0,60.0,37.0,11.0,42.0,99.0,42.4,57.0,48.0,8.0,40.0,45.0,153.0,52.0,0.0,43,4,30,4,27.0,1994.0,35.1,104.0,72.0,60.0,40.0,4.0,48.0,98.0,49.0,50.0,54.0,5.0,49.0,41.0,145.0,63.0,1.0
