Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,1,0,1,0,0,0,0,,0,2,0,2,0,1,0,0,Partidos
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,2,1,1,1,0,1,4,25.0,3,1,0,1,0,2,0,0,Partidos
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,14,9,5,7,2,3,17,17.6,14,4,1,3,1,15,3,0,Partidos
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,3,Partidos
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,55,34,35,17,3,36,78,46.2,42,27,9,18,45,100,84,3,Partidos
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Partidos
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,8,5,0,7,1,2,13,15.4,11,3,0,3,2,10,9,0,Partidos
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,13,3,Partidos
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,50,27,20,21,9,18,54,33.3,36,19,3,16,16,66,11,1,Partidos
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,34,16,11,20,3,13,37,35.1,24,35,3,32,17,51,17,2,Partidos
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,60,39,32,20,8,19,52,36.5,33,25,1,24,31,91,25,0,Partidos
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,28,16,20,6,2,14,33,42.4,19,18,2,16,20,48,32,0,Partidos
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,39,25,26,12,1,23,37,62.2,14,19,3,16,17,56,64,0,Partidos
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,37,22,11,24,2,8,24,33.3,16,16,2,14,17,54,26,1,Partidos
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Partidos
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36,19,28,7,1,17,30,56.7,13,33,22,11,62,98,138,2,Partidos
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,17,11,12,5,0,8,13,61.5,5,30,21,9,25,42,150,2,Partidos
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,33,19,20,11,2,17,27,63.0,10,18,3,15,14,47,13,0,Partidos
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,18,11,9,8,1,3,11,27.3,8,8,5,3,16,34,55,1,Partidos
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,16,9,5,9,2,4,11,36.4,7,5,0,5,12,28,6,0,Partidos
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,43,27,18,21,4,21,61,34.4,40,23,9,14,36,79,14,2,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,2,1,1,1,0,0,5,0.0,5,2,0,2,0,2,0,0,Partidos
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,55,29,31,19,5,31,64,48.4,33,27,6,21,56,111,97,0,Partidos
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,7,5,2,2,3,2,7,28.6,5,3,0,3,3,10,3,0,Partidos
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,21,21,5,1,14,25,56.0,11,14,7,7,18,45,56,0,Partidos
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,26,16,7,15,4,16,34,47.1,18,12,2,10,14,40,8,1,Partidos
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,4,3,2,0,1,1,100.0,0,3,1,2,1,6,3,0,Partidos
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,9,4,3,4,2,3,12,25.0,9,3,0,3,4,13,5,0,Partidos
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,58,36,26,21,11,26,55,47.3,29,29,10,19,31,89,15,1,Partidos
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,17,9,15,2,0,7,19,36.8,12,16,12,4,10,27,74,2,Partidos
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,0,0,0,0,0,0,0,,0,1,0,1,3,3,3,0,Partidos
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,46,32,20,21,5,11,47,23.4,36,19,1,18,22,68,11,0,Partidos
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,20,10,0,12,8,4,19,21.1,15,19,3,16,5,25,36,0,Partidos
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,1,0,Partidos
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,72,44,31,35,6,29,74,39.2,45,32,9,23,59,131,40,1,Partidos
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Partidos
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,52,27,28,18,6,19,60,31.7,41,27,7,20,47,99,36,0,Partidos
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,23,18,11,11,1,11,24,45.8,13,9,2,7,8,31,5,0,Partidos
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,1,0,0,1,0,1,10,10.0,9,4,0,4,2,3,4,0,Partidos
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,54,31,26,25,3,26,43,60.5,17,23,7,16,33,87,61,1,Partidos
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,2,Partidos
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,5,2,3,1,1,5,7,71.4,2,1,0,1,9,14,15,0,Partidos
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,15,9,7,5,3,5,15,33.3,10,14,1,13,19,34,24,0,Partidos
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Partidos
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,16,4,7,7,2,4,13,30.8,9,19,5,14,9,25,25,1,Partidos
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,37,25,24,7,6,19,34,55.9,15,23,3,20,14,51,20,4,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,13,9,5,4,4,4,14,28.6,10,17,2,15,9,22,5,0,Partidos
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,26,18,19,7,0,12,20,60.0,8,9,0,9,15,41,20,1,Partidos
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,4,3,1,0,3,3,3,100.0,0,2,0,2,2,6,1,0,Partidos
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Partidos
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,25,16,13,9,3,9,33,27.3,24,29,2,27,15,40,14,0,Partidos
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,4,2,1,2,1,2,6,33.3,4,7,3,4,5,9,0,0,Partidos
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,28,12,6,18,4,10,35,28.6,25,15,1,14,13,41,11,0,Partidos
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,3,2,1,2,0,2,4,50.0,2,3,0,3,0,3,0,0,Partidos
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,58,35,32,20,6,28,52,53.8,24,9,3,6,23,81,34,0,Partidos
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,72,33,24,40,8,31,69,44.9,38,52,5,47,43,115,40,2,Partidos
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,4,4,1,3,0,3,5,60.0,2,0,0,0,2,6,0,0,Partidos
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,56,37,19,29,8,27,74,36.5,47,27,6,21,22,78,21,1,Partidos
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,20,11,3,8,9,5,31,16.1,26,14,0,14,4,24,6,0,Partidos
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,44,27,35,8,1,22,36,61.1,14,26,18,8,52,96,142,0,Partidos
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,3,2,2,1,0,1,1,100.0,0,6,2,4,0,3,9,0,Partidos
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33,20,23,8,2,16,34,47.1,18,20,4,16,29,62,82,0,Partidos
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Partidos
