,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,TA2017-2018,TR2017-2018,2a amarilla2017-2018,Fls2017-2018,FR2017-2018,PA2017-2018,Pcz2017-2018,Int2017-2018,TklG2017-2018,Penal ejecutado2017-2018,Penal concedido2017-2018,GC2017-2018,Recup.2017-2018,Ganados2017-2018,Perdidos2017-2018,% de ganados2017-2018,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,90 s2019-2020,TA2019-2020,TR2019-2020,2a amarilla2019-2020,Fls2019-2020,FR2019-2020,PA2019-2020,Pcz2019-2020,Int2019-2020,TklG2019-2020,Penal ejecutado2019-2020,Penal concedido2019-2020,GC2019-2020,Recup.2019-2020,Ganados2019-2020,Perdidos2019-2020,% de ganados2019-2020,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,90 s2020-2021,TA2020-2021,TR2020-2021,2a amarilla2020-2021,Fls2020-2021,FR2020-2021,PA2020-2021,Pcz2020-2021,Int2020-2021,TklG2020-2021,Penal ejecutado2020-2021,Penal concedido2020-2021,GC2020-2021,Recup.2020-2021,Ganados2020-2021,Perdidos2020-2021,% de ganados2020-2021,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,90 s2021-2022,TA2021-2022,TR2021-2022,2a amarilla2021-2022,Fls2021-2022,FR2021-2022,PA2021-2022,Pcz2021-2022,Int2021-2022,TklG2021-2022,Penal ejecutado2021-2022,Penal concedido2021-2022,GC2021-2022,Recup.2021-2022,Ganados2021-2022,Perdidos2021-2022,% de ganados2021-2022,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,90 s2022-2023,TA2022-2023,TR2022-2023,2a amarilla2022-2023,Fls2022-2023,FR2022-2023,PA2022-2023,Pcz2022-2023,Int2022-2023,TklG2022-2023,Penal ejecutado2022-2023,Penal concedido2022-2023,GC2022-2023,Recup.2022-2023,Ganados2022-2023,Perdidos2022-2023,% de ganados2022-2023
2906,Samuel Kalu,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Bordeaux,fr Ligue 1,20.0,14.2,3.0,1.0,0.0,18.0,38.0,2.0,96.0,8.0,18.0,1.0,0.0,0.0,90.0,21.0,32.0,39.6,"DF,DL",Bordeaux,fr Ligue 1,21.0,15.1,4.0,0.0,0.0,30.0,30.0,4.0,30.0,24.0,17.0,0.0,0.0,0.0,76.0,19.0,32.0,37.3,"DL,CC",Bordeaux,fr Ligue 1,22.0,10.7,3.0,0.0,0.0,16.0,36.0,5.0,28.0,9.0,12.0,0.0,0.0,0.0,61.0,14.0,12.0,53.8,DL,Watford,eng Premier League,23.0,6.1,1.0,0.0,0.0,3.0,11.0,3.0,27.0,6.0,7.0,0.0,0.0,0.0,24.0,3.0,10.0,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2907,Aboubakar Kamara,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Fulham,eng Premier League,23.0,7.7,2.0,0.0,0.0,24.0,4.0,7.0,18.0,1.0,4.0,1.0,0.0,0.0,28.0,12.0,14.0,46.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DL,CC",Fulham,eng Premier League,25.0,9.7,2.0,2.0,0.0,23.0,20.0,1.0,23.0,1.0,3.0,0.0,1.0,0.0,31.0,26.0,29.0,99.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2908,Hassane Kamara,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DF,DL",Reims,fr Ligue 1,24.0,10.3,1.0,0.0,0.0,12.0,10.0,0.0,15.0,14.0,21.0,0.0,1.0,0.0,61.0,10.0,17.0,37.0,"DF,DL",Reims,fr Ligue 1,25.0,19.0,5.0,0.0,0.0,20.0,22.0,3.0,57.0,58.0,47.0,0.0,0.0,0.0,134.0,26.0,17.0,60.5,"DF,DL",Nice,fr Ligue 1,26.0,32.9,3.0,0.0,0.0,22.0,31.0,1.0,112.0,55.0,39.0,0.0,0.0,0.0,178.0,36.0,38.0,48.6,DF,Watford,eng Premier League,27.0,24.0,7.0,1.0,1.0,32.0,20.0,3.0,39.0,78.0,44.0,0.0,1.0,0.0,194.0,32.0,28.0,80.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2909,Patrick Kammerbauer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Freiburg,de Bundesliga,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2910,Lee Kang-in,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CC,DL",Valencia,es La Liga,17.0,0.3,1.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"CC,DL",Valencia,es La Liga,18.0,5.0,1.0,2.0,0.0,8.0,8.0,0.0,22.0,3.0,1.0,0.0,0.0,0.0,15.0,2.0,5.0,28.6,"DL,CC",Valencia,es La Liga,19.0,14.0,1.0,0.0,0.0,14.0,42.0,2.0,39.0,2.0,11.0,0.0,0.0,0.0,59.0,4.0,29.0,12.1,"CC,DL",Mallorca,es La Liga,20.0,15.7,4.0,1.0,1.0,23.0,36.0,1.0,73.0,5.0,6.0,0.0,0.0,1.0,77.0,16.0,39.0,29.1,"CC,DL",Mallorca,es La Liga,21.0,31.4,10.0,0.0,0.0,51.0,61.0,2.0,201.0,11.0,24.0,0.0,0.0,0.0,146.0,23.0,57.0,28.8
2911,Stefanos Kapino,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,Werder Bremen,de Bundesliga,24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PO,Werder Bremen,de Bundesliga,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,Arminia,de Bundesliga,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2912,Wilfrid Kaptoum,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Betis,es La Liga,22.0,8.6,2.0,0.0,0.0,16.0,12.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,37.0,7.0,5.0,58.3,CC,Betis,es La Liga,23.0,2.2,1.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,12.0,1.0,4.0,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2913,Ibrahim Karamoko,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Chievo,it Serie A,17.0,0.7,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2914,Grigoris Kastanos,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Juventus,it Serie A,20.0,0.7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CC,DL",Salernitana,it Serie A,23.0,15.0,4.0,1.0,0.0,28.0,35.0,2.0,52.0,22.0,19.0,1.0,0.0,0.0,85.0,18.0,11.0,62.1,"CC,DF",Salernitana,it Serie A,24.0,14.3,4.0,0.0,0.0,22.0,42.0,0.0,26.0,8.0,23.0,0.0,0.0,0.0,70.0,23.0,24.0,48.9
2915,Neeskens Kebano,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DL,CC",Fulham,eng Premier League,26.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,57.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DL,CC",Fulham,eng Premier League,28.0,1.3,0.0,0.0,0.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Fulham,eng Premier League,30.0,8.5,0.0,0.0,0.0,8.0,16.0,2.0,24.0,1.0,9.0,0.0,0.0,0.0,47.0,2.0,12.0,14.3
2916,Jules Keita,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DL,CC",Dijon,fr Ligue 1,20.0,5.1,3.0,0.0,0.0,12.0,8.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,16.0,2.0,8.0,20.0,"CC,DL",Dijon,fr Ligue 1,21.0,1.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
