,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,90 s2018-2019,Int.2018-2019,Balón vivo2018-2019,Balón muerto2018-2019,FK2018-2019,PL2018-2019,Camb.2018-2019,Pcz2018-2019,Lanz.2018-2019,SE2018-2019,Dentro2018-2019,Fuera2018-2019,Rect.2018-2019,Cmp2018-2019,PA2018-2019,Bloqueos2018-2019,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,90 s2019-2020,Int.2019-2020,Balón vivo2019-2020,Balón muerto2019-2020,FK2019-2020,PL2019-2020,Camb.2019-2020,Pcz2019-2020,Lanz.2019-2020,SE2019-2020,Dentro2019-2020,Fuera2019-2020,Rect.2019-2020,Cmp2019-2020,PA2019-2020,Bloqueos2019-2020,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,90 s2020-2021,Int.2020-2021,Balón vivo2020-2021,Balón muerto2020-2021,FK2020-2021,PL2020-2021,Camb.2020-2021,Pcz2020-2021,Lanz.2020-2021,SE2020-2021,Dentro2020-2021,Fuera2020-2021,Rect.2020-2021,Cmp2020-2021,PA2020-2021,Bloqueos2020-2021,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,90 s2021-2022,Int.2021-2022,Balón vivo2021-2022,Balón muerto2021-2022,FK2021-2022,PL2021-2022,Camb.2021-2022,Pcz2021-2022,Lanz.2021-2022,SE2021-2022,Dentro2021-2022,Fuera2021-2022,Rect.2021-2022,Cmp2021-2022,PA2021-2022,Bloqueos2021-2022,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,90 s2022-2023,Int.2022-2023,Balón vivo2022-2023,Balón muerto2022-2023,FK2022-2023,PL2022-2023,Camb.2022-2023,Pcz2022-2023,Lanz.2022-2023,SE2022-2023,Dentro2022-2023,Fuera2022-2023,Rect.2022-2023,Cmp2022-2023,PA2022-2023,Bloqueos2022-2023
1210,Beram Kayal,il ISR,CC,Brighton,eng Premier League,29.0,1988.0,8.3,235.0,224.0,9.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,182.0,2.0,5.0,CC,Brighton,eng Premier League,30.0,10.4,283.0,269.0,12.0,0.0,1.0,2.0,10.0,0.0,2.0,0.0,1.0,1.0,194.0,2.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1211,Joris Kayembe,cd COD,"DL,CC",Nantes,fr Ligue 1,22.0,1994.0,1.0,23.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,Olarenwaju Kayode,ng NGA,"DL,CC",Girona,es La Liga,24.0,1993.0,4.3,58.0,54.0,4.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213,Moise Kean,it ITA,DL,Hellas Verona,it Serie A,17.0,2000.0,12.6,207.0,184.0,20.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,0.0,0.0,149.0,3.0,12.0,DL,Juventus,it Serie A,18.0,6.0,86.0,86.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,3.0,DL,Everton,eng Premier League,19.0,9.5,138.0,132.0,6.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,99.0,0.0,8.0,"DL,CC",Everton,eng Premier League,20.0,19.1,321.0,292.0,28.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,249.0,1.0,12.0,DL,Everton,eng Premier League,21.0,12.2,229.0,221.0,8.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,175.0,0.0,3.0,DL,Juventus,it Serie A,22.0,11.1,187.0,176.0,9.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,130.0,2.0,11.0
1214,Michael Keane,eng ENG,DF,Everton,eng Premier League,24.0,1993.0,28.4,1170.0,1148.0,18.0,13.0,0.0,17.0,4.0,5.0,0.0,0.0,0.0,0.0,905.0,4.0,17.0,DF,Everton,eng Premier League,25.0,33.0,1606.0,1560.0,41.0,38.0,0.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,1292.0,5.0,16.0,DF,Everton,eng Premier League,26.0,28.4,1458.0,1410.0,42.0,35.0,2.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,1203.0,6.0,9.0,DF,Everton,eng Premier League,27.0,33.2,1943.0,1890.0,50.0,40.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1691.0,3.0,13.0,DF,Everton,eng Premier League,28.0,31.0,1214.0,1180.0,32.0,32.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,927.0,2.0,9.0,DF,Everton,eng Premier League,29.0,10.9,441.0,429.0,9.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,305.0,3.0,8.0
1215,Thilo Kehrer,de GER,DF,Schalke 04,de Bundesliga,20.0,1996.0,26.3,1230.0,1170.0,56.0,27.0,0.0,11.0,3.0,29.0,0.0,0.0,0.0,0.0,1018.0,4.0,10.0,DF,Paris S-G,fr Ligue 1,21.0,21.1,1393.0,1325.0,67.0,20.0,2.0,9.0,8.0,47.0,0.0,0.0,0.0,0.0,1284.0,1.0,9.0,DF,Paris S-G,fr Ligue 1,22.0,5.3,401.0,377.0,24.0,7.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,374.0,0.0,3.0,DF,Paris S-G,fr Ligue 1,23.0,18.0,1263.0,1201.0,62.0,16.0,0.0,1.0,10.0,46.0,0.0,0.0,0.0,0.0,1162.0,0.0,9.0,DF,Paris S-G,fr Ligue 1,24.0,16.8,1209.0,1153.0,56.0,14.0,0.0,5.0,5.0,41.0,0.0,0.0,0.0,0.0,1142.0,0.0,6.0,DF,West Ham,eng Premier League,25.0,24.8,1112.0,992.0,116.0,24.0,1.0,6.0,23.0,91.0,0.0,0.0,0.0,0.0,927.0,4.0,14.0
1216,Cheick Keita,ml MLI,DF,Bologna,it Serie A,21.0,1996.0,1.4,33.0,26.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1217,Naby Keïta,gn GUI,CC,RB Leipzig,de Bundesliga,22.0,1995.0,21.8,1242.0,1190.0,41.0,33.0,12.0,0.0,18.0,3.0,5.0,0.0,3.0,0.0,995.0,11.0,34.0,"CC,DL",Liverpool,eng Premier League,23.0,15.4,1011.0,1003.0,7.0,4.0,7.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,889.0,1.0,14.0,CC,Liverpool,eng Premier League,24.0,9.1,690.0,681.0,7.0,1.0,5.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,605.0,2.0,8.0,CC,Liverpool,eng Premier League,25.0,5.8,361.0,352.0,8.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,315.0,1.0,3.0,CC,Liverpool,eng Premier League,26.0,13.0,757.0,741.0,14.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,643.0,2.0,16.0,CC,Liverpool,eng Premier League,27.0,3.3,168.0,161.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,129.0,1.0,7.0
1218,Keko,es ESP,"CC,DL",Málaga,es La Liga,25.0,1991.0,13.4,395.0,382.0,9.0,2.0,0.0,4.0,41.0,7.0,0.0,0.0,0.0,0.0,271.0,4.0,20.0,"CC,DL",Valladolid,es La Liga,26.0,17.0,537.0,506.0,29.0,5.0,0.0,10.0,103.0,16.0,8.0,0.0,5.0,0.0,340.0,2.0,36.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1219,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,27.0,1990.0,13.3,394.0,344.0,48.0,5.0,0.0,1.0,6.0,43.0,0.0,0.0,0.0,0.0,284.0,2.0,5.0,DF,Crystal Palace,eng Premier League,28.0,12.3,359.0,349.0,10.0,10.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,4.0,DF,Crystal Palace,eng Premier League,29.0,17.2,710.0,576.0,132.0,14.0,0.0,2.0,20.0,118.0,0.0,0.0,0.0,0.0,500.0,2.0,13.0,DF,Crystal Palace,eng Premier League,30.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220,Marc-Oliver Kempf,de GER,DF,Freiburg,de Bundesliga,22.0,1995.0,10.0,516.0,492.0,22.0,20.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,412.0,2.0,4.0,DF,Stuttgart,de Bundesliga,23.0,22.5,1036.0,988.0,45.0,31.0,0.0,14.0,8.0,14.0,0.0,0.0,0.0,0.0,836.0,3.0,7.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Stuttgart,de Bundesliga,25.0,30.3,1897.0,1744.0,145.0,78.0,0.0,25.0,10.0,67.0,0.0,0.0,0.0,0.0,1545.0,8.0,24.0,DF,Hertha BSC,de Bundesliga,26.0,21.0,1022.0,966.0,53.0,47.0,2.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,793.0,3.0,14.0,DF,Hertha BSC,de Bundesliga,27.0,30.1,1303.0,1230.0,68.0,67.0,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1011.0,5.0,15.0
1221,Kenedy,br BRA,"CC,DF",Newcastle Utd,eng Premier League,21.0,1996.0,11.4,408.0,361.0,46.0,6.0,2.0,3.0,38.0,18.0,22.0,12.0,4.0,1.0,297.0,1.0,19.0,"CC,DF",Newcastle Utd,eng Premier League,22.0,15.0,533.0,482.0,49.0,3.0,1.0,7.0,28.0,41.0,5.0,2.0,3.0,0.0,374.0,2.0,22.0,CC,Getafe,es La Liga,23.0,6.5,194.0,181.0,11.0,3.0,2.0,2.0,33.0,2.0,6.0,2.0,3.0,0.0,126.0,2.0,10.0,"DL,CC",Granada,es La Liga,24.0,16.3,318.0,267.0,49.0,15.0,2.0,2.0,62.0,6.0,28.0,17.0,7.0,0.0,201.0,2.0,7.0,DF,Chelsea,eng Premier League,25.0,0.6,50.0,47.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,"DL,DF",Valladolid,es La Liga,26.0,3.1,86.0,80.0,5.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,57.0,1.0,4.0
