RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,24.0,16,20.0,4.0,0.0,13.0,24.0,54.2,11.0,21.0,11.0,10.0,13,37.0,48.0,0.0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,30.0,17,14.0,15.0,1.0,16.0,25.0,64.0,9.0,19.0,10.0,9.0,29,59.0,40.0,0.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,45.0,26,25.0,13.0,7.0,25.0,48.0,52.1,23.0,13.0,2.0,11.0,23,68.0,39.0,3.0
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,6.0,3,0.0,4.0,2.0,1.0,8.0,12.5,7.0,12.0,2.0,10.0,1,7.0,9.0,0.0
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,20.0,13,9.0,7.0,4.0,6.0,27.0,22.2,21.0,12.0,3.0,9.0,37,57.0,40.0,0.0
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,50.0,30,21.0,19.0,10.0,27.0,82.0,32.9,55.0,32.0,1.0,31.0,21,71.0,9.0,1.0
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,43.0,23,27.0,16.0,0.0,18.0,27.0,66.7,9.0,29.0,21.0,8.0,42,85.0,175.0,2.0
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,24.0,17,10.0,13.0,1.0,9.0,30.0,30.0,21.0,19.0,2.0,17.0,10,34.0,8.0,0.0
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,3.0,3,2.0,1.0,0.0,1.0,7.0,14.3,6.0,4.0,1.0,3.0,2,5.0,10.0,0.0
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,2.0,2,0.0,2.0,0.0,1.0,5.0,20.0,4.0,4.0,1.0,3.0,2,4.0,3.0,0.0
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,45.0,26,17.0,23.0,5.0,12.0,33.0,36.4,21.0,12.0,3.0,9.0,45,90.0,13.0,1.0
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,61.0,30,37.0,20.0,4.0,30.0,63.0,47.6,33.0,46.0,15.0,31.0,15,76.0,41.0,0.0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,40.0,29,24.0,13.0,3.0,11.0,24.0,45.8,13.0,48.0,32.0,16.0,31,71.0,172.0,2.0
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,36.0,16,25.0,9.0,2.0,18.0,43.0,41.9,25.0,33.0,10.0,23.0,34,70.0,59.0,1.0
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,1.0,0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,0,1.0,0.0,0.0
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,2.0,1,1.0,1.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,0,2.0,0.0,0.0
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,14.0,9,5.0,7.0,2.0,3.0,17.0,17.6,14.0,4.0,1.0,3.0,1,15.0,3.0,0.0
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,3.0,3.0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,55.0,34,35.0,17.0,3.0,36.0,78.0,46.2,42.0,27.0,9.0,18.0,45,100.0,84.0,3.0
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,8.0,5,0.0,7.0,1.0,2.0,13.0,15.4,11.0,3.0,0.0,3.0,2,10.0,9.0,0.0
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,13.0,3.0
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,50.0,27,20.0,21.0,9.0,18.0,54.0,33.3,36.0,19.0,3.0,16.0,16,66.0,11.0,1.0
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,34.0,16,11.0,20.0,3.0,13.0,37.0,35.1,24.0,35.0,3.0,32.0,17,51.0,17.0,2.0
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,60.0,39,32.0,20.0,8.0,19.0,52.0,36.5,33.0,25.0,1.0,24.0,31,91.0,25.0,0.0
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,28.0,16,20.0,6.0,2.0,14.0,33.0,42.4,19.0,18.0,2.0,16.0,20,48.0,32.0,0.0
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,39.0,25,26.0,12.0,1.0,23.0,37.0,62.2,14.0,19.0,3.0,16.0,17,56.0,64.0,0.0
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,37.0,22,11.0,24.0,2.0,8.0,24.0,33.3,16.0,16.0,2.0,14.0,17,54.0,26.0,1.0
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,36.0,19,28.0,7.0,1.0,17.0,30.0,56.7,13.0,33.0,22.0,11.0,62,98.0,138.0,2.0
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,17.0,11,12.0,5.0,0.0,8.0,13.0,61.5,5.0,30.0,21.0,9.0,25,42.0,150.0,2.0
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,33.0,19,20.0,11.0,2.0,17.0,27.0,63.0,10.0,18.0,3.0,15.0,14,47.0,13.0,0.0
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,18.0,11,9.0,8.0,1.0,3.0,11.0,27.3,8.0,8.0,5.0,3.0,16,34.0,55.0,1.0
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,16.0,9,5.0,9.0,2.0,4.0,11.0,36.4,7.0,5.0,0.0,5.0,12,28.0,6.0,0.0
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,43.0,27,18.0,21.0,4.0,21.0,61.0,34.4,40.0,23.0,9.0,14.0,36,79.0,14.0,2.0
