RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
209,Leonardo Balerdi,ar ARG,"DF,CC",Dortmund,de Bundesliga,20.0,1999.0,7,133.0,19.0,4.3,1.5,1,64.0,0,6,12.0,17,2.57,3.0,4.0,-1.0,-0.68,-2.03,3.0,4.4,-1.4,-0.94,-1.6
210,Marco Ballarini,it ITA,CC,Udinese,it Serie A,18.0,2001.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,11,3.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.31
211,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,22.0,1997.0,21,1679.0,80.0,66.6,18.7,18,90.0,18,3,19.0,4,1.24,29.0,38.0,-9.0,-0.48,-1.45,34.5,31.1,3.5,0.19,-0.1
212,Florent Balmont,fr FRA,CC,Dijon,fr Ligue 1,39.0,1980.0,11,401.0,36.0,15.9,4.5,4,74.0,2,7,15.0,13,1.45,2.0,4.0,-2.0,-0.45,-0.11,4.6,4.5,0.1,0.02,0.37
213,Botond Balogh,hu HUN,DF,Parma,it Serie A,17.0,2002.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
214,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,31.0,1988.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
215,Mario Balotelli,it ITA,DL,Brescia,it Serie A,28.0,1990.0,19,1404.0,74.0,41.1,15.6,16,83.0,10,3,27.0,0,0.53,14.0,31.0,-17.0,-1.09,0.12,18.2,26.6,-8.4,-0.54,0.48
216,Tudor Băluță,ro ROU,"DF,CC",Brighton,eng Premier League,20.0,1999.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
217,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,29.0,1990.0,7,554.0,79.0,22.0,6.2,6,90.0,6,1,13.0,7,2.14,9.0,3.0,6.0,0.97,1.48,6.0,5.5,0.5,0.08,0.06
218,Jonathan Bamba,ci CIV,"DL,CC",Lille,fr Ligue 1,23.0,1996.0,26,1937.0,75.0,76.9,21.5,22,85.0,13,4,17.0,1,1.77,27.0,20.0,7.0,0.33,0.17,30.3,24.1,6.2,0.29,-0.12
219,Éver Banega,ar ARG,CC,Sevilla,es La Liga,31.0,1988.0,33,2475.0,75.0,72.4,27.5,28,83.0,16,5,30.0,2,1.67,34.0,29.0,5.0,0.18,-1.25,37.1,28.2,8.9,0.32,-0.46
220,Mattia Bani,it ITA,DF,Bologna,it Serie A,25.0,1993.0,27,2207.0,82.0,64.5,24.5,26,84.0,21,1,26.0,2,1.26,36.0,40.0,-4.0,-0.16,0.5,36.8,32.7,4.0,0.16,0.31
221,Beni Baningime,cd COD,CC,Everton,eng Premier League,20.0,1998.0,0,,,,,0,,0,0,,10,,,,,,,,,,,
222,Antonín Barák,cz CZE,"CC,DL",Udinese,it Serie A,24.0,1994.0,8,194.0,24.0,5.7,2.2,1,69.0,0,7,18.0,13,0.63,0.0,3.0,-3.0,-1.39,-1.08,1.5,4.5,-3.0,-1.38,-1.14
