RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
14,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,17,2001,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.05,-0.9,-0.9,1.0,2,50.0,11,4.0,0.0,18.1,8,25.0,28.8,12,0.0,0.0,5.0,5.0,27.2
15,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,29,1990,30.0,49.0,5.0,0.0,4.0,2.0,48.5,0.29,1.5,0.05,137.0,391,35.0,1019,174.0,28.8,29.9,262,37.4,34.5,485,18.0,3.7,27.0,0.9,13.9
16,Asmir Begović,ba BIH,PO,Milan,it Serie A,32,1987,1.4,3.0,1.0,0.0,0.0,0.0,4.0,0.43,1.0,0.73,3.0,10,30.0,26,5.0,26.9,30.5,12,25.0,33.1,16,0.0,0.0,0.0,0.0,
17,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,26,1993,26.0,36.0,4.0,0.0,6.0,2.0,41.1,0.28,7.1,0.27,52.0,150,34.7,574,139.0,16.6,24.4,214,25.7,28.9,421,11.0,2.6,17.0,0.65,13.3
18,Etrit Berisha,al ALB,PO,SPAL,it Serie A,30,1989,26.0,44.0,6.0,1.0,2.0,2.0,45.4,0.27,3.4,0.13,164.0,389,42.2,642,142.0,39.6,34.0,233,57.9,44.1,419,12.0,2.9,21.0,0.81,14.3
19,Paul Bernardoni,fr FRA,PO,Nîmes,fr Ligue 1,22,1997,24.5,38.0,4.0,0.0,2.0,1.0,30.7,0.26,-6.3,-0.26,130.0,379,34.3,530,80.0,47.4,37.1,175,73.1,50.7,265,11.0,4.2,26.0,1.06,15.6
20,Dimitry Bertaud,fr FRA,PO,Montpellier,fr Ligue 1,21,1998,2.2,3.0,0.0,0.0,1.0,0.0,1.7,0.35,-1.3,-0.58,12.0,19,63.2,49,18.0,26.5,30.9,18,33.3,37.3,19,2.0,10.5,3.0,1.38,18.4
21,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,24,1995,32.9,43.0,5.0,3.0,3.0,0.0,41.1,0.28,-1.9,-0.06,184.0,518,35.5,691,122.0,46.2,37.4,292,68.2,49.6,523,19.0,3.6,11.0,0.33,9.8
22,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,28,1991,5.5,3.0,1.0,0.0,0.0,0.0,4.7,0.19,1.7,0.31,34.0,75,45.3,123,24.0,36.6,33.7,45,66.7,47.6,73,1.0,1.4,1.0,0.18,11.7
23,Federico Brancolini,it ITA,PO,Fiorentina,it Serie A,18,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1,100.0,2,0.0,0.0,24.0,1,100.0,66.0,0,0.0,,0.0,0.0,18.0
24,Claudio Bravo,cl CHI,PO,Manchester City,eng Premier League,36,1983,3.9,7.0,0.0,0.0,0.0,0.0,4.5,0.3,-2.5,-0.66,18.0,44,40.9,108,17.0,26.9,28.0,28,53.6,39.7,63,1.0,1.6,1.0,0.26,11.0
25,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,41,1978,9.0,10.0,1.0,0.0,0.0,0.0,7.6,0.2,-2.4,-0.27,12.0,26,46.2,154,42.0,13.6,25.1,54,9.3,21.5,109,3.0,2.8,7.0,0.78,13.6
26,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,28,1990,30.8,40.0,3.0,0.0,7.0,3.0,34.5,0.35,-2.5,-0.08,84.0,272,30.9,847,182.0,24.9,30.0,201,30.3,33.1,309,11.0,3.6,45.0,1.46,18.2
27,Ludovic Butelle,fr FRA,PO,Angers,fr Ligue 1,36,1983,26.0,32.0,3.0,2.0,1.0,0.0,26.7,0.29,-5.3,-0.2,119.0,342,34.8,494,116.0,39.5,35.9,203,72.4,50.6,319,15.0,4.7,22.0,0.85,15.1
28,Marcin Bułka,pl POL,PO,Paris S-G,fr Ligue 1,19,1999,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.0,0,,12,3.0,0.0,16.3,6,0.0,20.8,5,1.0,20.0,0.0,0.0,5.0
29,Willy Caballero,ar ARG,PO,Chelsea,eng Premier League,37,1981,5.0,7.0,0.0,0.0,2.0,1.0,3.8,0.23,-2.2,-0.45,19.0,52,36.5,136,17.0,30.9,31.4,28,35.7,32.9,46,1.0,2.2,3.0,0.6,16.0
30,Matis Carvalho,pt POR,PO,Montpellier,fr Ligue 1,20,1999,0.8,4.0,0.0,0.0,0.0,1.0,2.7,0.36,-0.3,-0.33,4.0,17,23.5,18,4.0,61.1,46.0,9,66.7,44.2,10,0.0,0.0,0.0,0.0,9.3
31,Koen Casteels,be BEL,PO,Wolfsburg,de Bundesliga,27,1992,26.0,38.0,4.0,1.0,4.0,0.0,34.3,0.29,-3.7,-0.14,187.0,420,44.5,792,122.0,39.9,35.5,178,58.4,45.3,356,18.0,5.1,34.0,1.31,16.6
32,Churripi,es ESP,PO,Valladolid,es La Liga,25,1994,2.7,3.0,0.0,0.0,2.0,0.0,3.4,0.27,0.4,0.16,19.0,76,25.0,73,8.0,75.3,49.5,24,87.5,64.0,49,3.0,6.1,3.0,1.11,10.5
33,Jasper Cillessen,nl NED,PO,Valencia,es La Liga,30,1989,23.3,30.0,6.0,2.0,1.0,1.0,29.1,0.2,0.1,0.01,116.0,366,31.7,549,133.0,41.0,35.1,205,68.8,51.3,385,6.0,1.6,13.0,0.56,13.8
34,Yannis Clementia,mq MTQ,PO,Nice,fr Ligue 1,22,1997,2.0,2.0,1.0,0.0,0.0,0.0,2.4,0.21,0.4,0.22,4.0,22,18.2,47,16.0,27.7,30.9,14,64.3,47.8,33,4.0,12.1,0.0,0.0,8.2
35,Simone Colombi,it ITA,PO,Parma,it Serie A,28,1991,4.0,4.0,1.0,0.0,0.0,0.0,6.2,0.28,2.2,0.56,9.0,24,37.5,59,14.0,28.8,29.3,42,16.7,23.1,61,1.0,1.6,0.0,0.0,7.8
36,Andrea Consigli,it ITA,PO,Sassuolo,it Serie A,32,1987,31.0,55.0,7.0,1.0,9.0,3.0,45.0,0.27,-7.0,-0.23,90.0,268,33.6,778,141.0,27.4,28.8,205,26.8,27.8,432,19.0,4.4,30.0,0.97,13.6
37,Angelo da Costa Júnior,br BRA,PO,Bologna,it Serie A,35,1983,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.1,-0.8,-0.79,0.0,2,0.0,22,4.0,9.1,27.0,4,0.0,15.8,8,0.0,0.0,1.0,1.0,33.0
38,Benoît Costil,fr FRA,PO,Bordeaux,fr Ligue 1,32,1987,28.0,34.0,2.0,0.0,4.0,1.0,32.7,0.28,-0.3,-0.01,159.0,394,40.4,637,99.0,40.2,34.8,246,56.1,40.9,434,17.0,3.9,28.0,1.0,15.2
39,Thibaut Courtois,be BEL,PO,Real Madrid,es La Liga,27,1992,34.0,20.0,0.0,0.0,4.0,0.0,26.7,0.28,6.7,0.2,76.0,280,27.1,865,200.0,23.4,30.6,217,35.9,37.7,403,21.0,5.2,33.0,0.97,14.5
40,Alessio Cragno,it ITA,PO,Cagliari,it Serie A,25,1994,16.0,21.0,1.0,0.0,2.0,1.0,21.6,0.22,1.6,0.1,68.0,224,30.4,314,74.0,45.5,37.0,156,51.9,39.9,274,12.0,4.4,7.0,0.44,10.6
41,Iván Cuéllar,es ESP,PO,Leganés,es La Liga,35,1984,27.0,33.0,1.0,1.0,7.0,0.0,30.7,0.3,-2.3,-0.09,213.0,598,35.6,605,107.0,66.0,46.1,217,91.7,63.2,396,11.0,2.8,38.0,1.41,16.2
42,Paul Delecroix,gw GNB,PO,Metz,fr Ligue 1,30,1988,1.5,4.0,1.0,0.0,0.0,0.0,2.2,0.21,-1.8,-1.2,14.0,30,46.7,33,5.0,66.7,43.8,11,72.7,54.1,11,0.0,0.0,2.0,1.32,26.5
43,Lucas Dias,fr FRA,PO,Nîmes,fr Ligue 1,20,1999,3.5,6.0,0.0,1.0,2.0,0.0,5.7,0.34,-0.3,-0.08,26.0,71,36.6,60,4.0,61.7,40.9,38,89.5,57.2,63,0.0,0.0,5.0,1.42,14.3
44,Marko Dmitrović,rs SRB,PO,Eibar,es La Liga,27,1992,35.0,51.0,4.0,2.0,3.0,1.0,45.8,0.35,-4.2,-0.12,266.0,822,32.4,815,88.0,72.1,51.6,244,95.9,70.9,419,24.0,5.7,75.0,2.14,17.9
45,Jaume Doménech,es ESP,PO,Valencia,es La Liga,28,1990,14.7,23.0,1.0,1.0,3.0,0.0,21.0,0.26,-2.0,-0.13,95.0,233,40.8,329,68.0,41.9,34.2,132,72.0,48.7,234,6.0,2.6,6.0,0.41,10.8
46,Gianluigi Donnarumma,it ITA,PO,Milan,it Serie A,20,1999,35.6,42.0,4.0,0.0,4.0,1.0,39.7,0.23,-1.3,-0.04,177.0,406,43.6,878,178.0,32.3,31.3,259,47.1,36.9,473,27.0,5.7,37.0,1.04,13.9
47,Bartłomiej Drągowski,pl POL,PO,Fiorentina,it Serie A,21,1997,31.0,43.0,6.0,2.0,5.0,0.0,42.7,0.25,-0.3,-0.01,109.0,338,32.2,677,196.0,34.9,33.6,221,46.2,39.1,440,13.0,3.0,30.0,0.97,14.2
48,Martin Dúbravka,sk SVK,PO,Newcastle Utd,eng Premier League,30,1989,38.0,58.0,2.0,3.0,8.0,2.0,63.0,0.32,7.0,0.18,288.0,750,38.4,749,119.0,60.7,42.0,340,86.8,58.3,686,21.0,3.1,26.0,0.68,11.6
49,Ederson,br BRA,PO,Manchester City,eng Premier League,25,1993,34.1,28.0,3.0,1.0,4.0,1.0,29.6,0.29,2.6,0.08,74.0,183,40.4,939,178.0,15.4,26.0,139,27.3,30.0,260,14.0,5.4,63.0,1.85,19.3
50,Aarón Escandell,es ESP,PO,Granada,es La Liga,23,1995,3.0,3.0,0.0,0.0,0.0,0.0,3.1,0.22,0.1,0.03,25.0,76,32.9,100,22.0,62.0,42.5,26,53.8,46.7,39,2.0,5.1,2.0,0.67,13.6
51,Łukasz Fabiański,pl POL,PO,West Ham,eng Premier League,34,1985,23.5,34.0,3.0,1.0,2.0,2.0,32.1,0.27,0.1,0.0,189.0,455,41.5,480,100.0,60.2,43.5,192,86.5,58.6,382,11.0,2.9,8.0,0.34,10.3
52,Fabricio,es ESP,PO,Mallorca,es La Liga,31,1987,1.0,3.0,1.0,0.0,1.0,0.0,2.3,0.23,-0.7,-0.74,6.0,14,42.9,24,6.0,41.7,38.0,9,44.4,40.1,7,0.0,0.0,0.0,0.0,8.3
53,Ralf Fährmann,de GER,PO,Norwich City,eng Premier League,30,1988,0.2,1.0,1.0,,,,1.2,0.08,,,,2,,7,2.0,,22.7,3,,15.7,5,1.0,20.0,,,11.3
54,Wladimiro Falcone,it ITA,PO,Sampdoria,it Serie A,24,1995,2.0,5.0,1.0,0.0,0.0,0.0,5.6,0.36,0.6,0.32,5.0,25,20.0,43,10.0,34.9,29.8,18,55.6,44.9,27,0.0,0.0,2.0,1.0,16.4
55,Aitor Fernández,es ESP,PO,Levante,es La Liga,28,1991,36.0,51.0,3.0,1.0,8.0,2.0,52.7,0.24,3.7,0.1,170.0,491,34.6,772,193.0,43.3,37.6,333,47.1,39.8,590,20.0,3.4,45.0,1.25,14.4
56,Andrés Fernández,es ESP,PO,Villarreal,es La Liga,32,1986,4.0,8.0,3.0,0.0,2.0,1.0,6.5,0.19,-0.5,-0.11,16.0,45,35.6,112,16.0,25.0,28.0,43,39.5,34.3,72,3.0,4.2,0.0,0.0,10.2
57,Mark Flekken,nl NED,PO,Freiburg,de Bundesliga,26,1993,10.0,14.0,0.0,0.0,1.0,0.0,19.7,0.28,5.7,0.57,64.0,180,35.6,324,38.0,37.0,35.9,108,55.6,47.8,160,5.0,3.1,8.0,0.8,12.6
58,Ben Foster,eng ENG,PO,Watford,eng Premier League,36,1983,38.0,64.0,8.0,3.0,7.0,3.0,62.6,0.31,1.6,0.04,302.0,923,32.7,912,118.0,71.7,46.9,295,91.2,62.2,581,30.0,5.2,55.0,1.45,15.9
59,Daniel Fuzato,br BRA,PO,Roma,it Serie A,22,1997,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.22,-0.6,-0.57,3.0,14,21.4,34,4.0,29.4,33.1,10,40.0,33.2,14,1.0,7.1,1.0,1.0,11.5
60,Gabriel,br BRA,PO,Lecce,it Serie A,26,1992,33.3,76.0,10.0,1.0,9.0,3.0,70.4,0.27,-2.6,-0.08,124.0,310,40.0,646,194.0,31.1,32.0,326,33.4,30.7,597,27.0,4.5,15.0,0.45,11.0
61,Paulo Gazzaniga,ar ARG,PO,Tottenham,eng Premier League,27,1992,17.9,26.0,3.0,1.0,2.0,1.0,22.6,0.23,-2.4,-0.13,62.0,232,26.7,377,63.0,37.1,33.3,142,64.8,48.5,262,7.0,2.7,16.0,0.89,17.6
62,David de Gea,es ESP,PO,Manchester Utd,eng Premier League,28,1990,38.0,36.0,3.0,1.0,8.0,1.0,34.7,0.25,-0.3,-0.01,83.0,262,31.7,672,153.0,28.4,30.6,268,26.5,29.0,489,10.0,2.0,22.0,0.58,15.0
63,Rafał Gikiewicz,pl POL,PO,Union Berlin,de Bundesliga,31,1987,33.0,54.0,3.0,0.0,7.0,1.0,48.9,0.29,-4.1,-0.12,374.0,823,45.4,1079,121.0,56.1,41.7,269,81.0,56.7,518,32.0,6.2,37.0,1.12,13.4
64,Mauro Goicoechea,uy URU,PO,Toulouse,fr Ligue 1,31,1988,2.0,5.0,0.0,0.0,0.0,0.0,4.1,0.32,-0.9,-0.43,16.0,41,39.0,44,4.0,54.5,40.3,20,85.0,49.8,15,0.0,0.0,2.0,1.0,15.6
65,Pierluigi Gollini,it ITA,PO,Atalanta,it Serie A,24,1995,32.0,42.0,6.0,2.0,4.0,3.0,36.7,0.26,-2.3,-0.07,165.0,381,43.3,766,161.0,32.1,34.0,208,64.9,50.0,314,5.0,1.6,57.0,1.78,18.1
66,Alfred Gomis,sn SEN,PO,Dijon,fr Ligue 1,25,1993,18.0,20.0,1.0,2.0,2.0,1.0,17.5,0.21,-1.5,-0.08,148.0,343,43.1,566,114.0,41.5,36.1,168,64.3,46.4,306,23.0,7.5,13.0,0.72,12.2
67,Vicente Guaita,es ESP,PO,Crystal Palace,eng Premier League,32,1987,35.0,42.0,0.0,0.0,3.0,2.0,47.4,0.33,7.4,0.21,202.0,625,32.3,783,173.0,51.3,38.8,274,81.4,56.8,591,23.0,3.9,24.0,0.69,12.3
68,Péter Gulácsi,hu HUN,PO,RB Leipzig,de Bundesliga,29,1990,32.0,34.0,2.0,0.0,7.0,0.0,36.5,0.3,2.5,0.08,117.0,333,35.1,1032,186.0,25.1,29.9,227,32.6,33.7,400,18.0,4.5,68.0,2.13,18.5
69,Angus Gunn,sct SCO,PO,Southampton,eng Premier League,23,1996,10.0,25.0,2.0,1.0,1.0,0.0,17.5,0.28,-7.5,-0.75,38.0,178,21.3,181,27.0,62.4,42.3,77,84.4,55.5,139,4.0,2.9,12.0,1.2,17.0
70,Régis Gurtner,fr FRA,PO,Amiens,fr Ligue 1,32,1986,28.0,50.0,1.0,1.0,12.0,1.0,40.8,0.29,-8.2,-0.29,194.0,462,42.0,562,93.0,47.7,38.4,255,76.1,51.0,425,10.0,2.4,10.0,0.36,11.8
71,Samir Handanović,si SVN,PO,Inter,it Serie A,35,1984,35.0,32.0,2.0,0.0,3.0,1.0,29.3,0.24,-1.7,-0.05,111.0,222,50.0,853,189.0,18.2,27.2,267,25.1,28.9,490,24.0,4.9,19.0,0.54,11.8
72,Tom Heaton,eng ENG,PO,Aston Villa,eng Premier League,33,1986,19.9,35.0,3.0,1.0,7.0,1.0,28.4,0.26,-5.6,-0.28,112.0,358,31.3,431,99.0,52.4,39.5,195,67.7,50.5,379,11.0,2.9,13.0,0.65,12.1
73,Dean Henderson,eng ENG,PO,Sheffield Utd,eng Premier League,22,1997,36.0,33.0,1.0,0.0,2.0,0.0,39.2,0.31,6.2,0.17,260.0,833,31.2,779,106.0,74.3,51.9,261,97.3,69.1,552,20.0,3.6,23.0,0.64,12.5
74,Wayne Hennessey,wls WAL,PO,Crystal Palace,eng Premier League,32,1987,3.0,8.0,0.0,1.0,2.0,0.0,8.3,0.36,0.3,0.1,35.0,85,41.2,65,7.0,78.5,48.9,39,87.2,61.3,60,0.0,0.0,3.0,1.0,13.2
75,Sergio Herrera,es ESP,PO,Osasuna,es La Liga,26,1993,18.4,27.0,1.0,2.0,4.0,0.0,27.4,0.33,0.4,0.02,149.0,453,32.9,462,73.0,69.3,47.1,147,90.5,59.2,235,16.0,6.8,31.0,1.69,16.4
76,Iago Herrerín,es ESP,PO,Athletic Club,es La Liga,31,1988,4.7,9.0,0.0,1.0,0.0,0.0,5.2,0.29,-3.8,-0.8,41.0,101,40.6,138,27.0,55.8,41.4,30,80.0,54.8,52,6.0,11.5,0.0,0.0,10.0
77,Marwin Hitz,ch SUI,PO,Dortmund,de Bundesliga,31,1987,3.2,1.0,0.0,0.0,0.0,0.0,3.4,0.49,2.4,0.75,8.0,22,36.4,75,14.0,17.3,28.2,25,36.0,38.3,35,1.0,2.9,4.0,1.24,15.4
78,Timo Horn,de GER,PO,Köln,de Bundesliga,26,1993,34.0,69.0,4.0,1.0,11.0,2.0,54.8,0.32,-12.2,-0.36,270.0,552,48.9,901,103.0,46.5,37.9,297,44.8,38.4,479,20.0,4.2,23.0,0.68,11.8
79,Lukáš Hrádecký,fi FIN,PO,Leverkusen,de Bundesliga,29,1989,34.0,44.0,2.0,1.0,4.0,0.0,48.1,0.33,4.1,0.12,180.0,498,36.1,1365,204.0,30.4,32.3,232,35.8,35.9,365,14.0,3.8,55.0,1.62,16.7
80,Jannik Huth,de GER,PO,Paderborn 07,de Bundesliga,25,1994,6.0,17.0,1.0,0.0,1.0,0.0,12.1,0.34,-4.9,-0.81,28.0,72,38.9,203,37.0,30.0,31.5,48,22.9,29.7,70,1.0,1.4,5.0,0.83,15.2
81,Rune Jarstein,no NOR,PO,Hertha BSC,de Bundesliga,34,1984,28.3,46.0,7.0,3.0,5.0,2.0,42.2,0.25,-1.8,-0.06,262.0,563,46.5,786,117.0,50.8,39.2,224,73.2,50.6,458,33.0,7.2,20.0,0.71,12.0
82,Jesse Joronen,fi FIN,PO,Brescia,it Serie A,26,1993,29.0,59.0,9.0,0.0,8.0,3.0,53.6,0.25,-2.4,-0.08,138.0,380,36.3,579,164.0,44.9,36.9,275,43.6,38.3,530,17.0,3.2,12.0,0.41,9.0
83,Lovre Kalinić,hr CRO,PO,Toulouse,fr Ligue 1,29,1990,3.4,4.0,0.0,0.0,0.0,0.0,2.9,0.24,-1.1,-0.32,25.0,82,30.5,79,12.0,60.8,43.3,38,89.5,57.7,65,8.0,12.3,3.0,0.88,14.1
84,Stefanos Kapino,gr GRE,PO,Werder Bremen,de Bundesliga,25,1994,1.0,2.0,0.0,0.0,0.0,0.0,0.9,0.19,-1.1,-1.06,7.0,16,43.8,26,8.0,38.5,33.8,9,66.7,43.0,21,0.0,0.0,1.0,1.0,12.0
85,Florian Kastenmeier,de GER,PO,Düsseldorf,de Bundesliga,22,1997,17.0,31.0,2.0,0.0,3.0,3.0,25.2,0.3,-2.8,-0.17,115.0,287,40.1,509,57.0,44.4,38.0,112,54.5,45.1,207,6.0,2.9,20.0,1.18,15.8
86,Tomáš Koubek,cz CZE,PO,Augsburg,de Bundesliga,26,1992,24.0,51.0,0.0,0.0,3.0,2.0,42.7,0.35,-6.3,-0.26,145.0,457,31.7,623,102.0,49.3,40.3,212,70.8,53.4,366,13.0,3.6,34.0,1.42,15.7
87,Thomas Kraft,de GER,PO,Hertha BSC,de Bundesliga,31,1988,4.0,9.0,0.0,0.0,2.0,0.0,6.0,0.31,-3.0,-0.76,34.0,82,41.5,95,14.0,58.9,39.5,33,78.8,54.9,75,2.0,2.7,6.0,1.5,22.8
88,Tim Krul,nl NED,PO,Norwich City,eng Premier League,31,1988,36.0,68.0,3.0,1.0,11.0,3.0,60.5,0.29,-4.5,-0.12,169.0,598,28.3,1248,198.0,35.8,34.6,332,45.5,39.0,653,29.0,4.4,23.0,0.64,12.7
89,Alban Lafont,fr FRA,PO,Nantes,fr Ligue 1,20,1999,27.0,29.0,3.0,0.0,2.0,1.0,26.6,0.23,-1.4,-0.05,147.0,452,32.5,695,131.0,44.6,36.5,187,75.9,51.5,379,9.0,2.4,31.0,1.15,15.5
90,Gautier Larsonneur,fr FRA,PO,Brest,fr Ligue 1,22,1997,26.6,34.0,3.0,0.0,4.0,0.0,41.4,0.28,7.4,0.28,128.0,373,34.3,783,152.0,35.9,35.2,235,39.1,35.2,454,19.0,4.2,28.0,1.05,13.5
91,Benjamin Lecomte,fr FRA,PO,Monaco,fr Ligue 1,28,1991,28.0,44.0,6.0,0.0,7.0,1.0,42.8,0.28,-0.2,-0.01,146.0,337,43.3,637,136.0,34.5,33.0,212,55.2,42.3,394,20.0,5.1,39.0,1.39,15.8
92,Nicolas Lemaître,fr FRA,PO,Reims,fr Ligue 1,22,1997,1.0,3.0,1.0,0.0,1.0,0.0,2.3,0.32,-0.7,-0.75,2.0,7,28.6,19,4.0,21.1,26.1,8,37.5,41.0,14,0.0,0.0,0.0,0.0,9.0
93,Bernd Leno,de GER,PO,Arsenal,eng Premier League,27,1992,29.4,39.0,6.0,0.0,6.0,0.0,40.0,0.22,1.0,0.04,64.0,266,24.1,732,185.0,23.4,27.9,253,37.5,34.4,468,17.0,3.6,38.0,1.29,15.6
94,Donovan Léon,gf GUF,PO,Brest,fr Ligue 1,26,1992,1.4,3.0,1.0,0.0,0.0,0.0,4.3,0.3,1.3,0.97,8.0,20,40.0,34,8.0,44.1,38.3,8,62.5,46.3,30,2.0,6.7,0.0,0.0,5.3
95,Karlo Letica,hr CRO,PO,SPAL,it Serie A,22,1997,10.0,29.0,0.0,2.0,1.0,1.0,18.9,0.28,-9.1,-0.91,55.0,155,35.5,219,54.0,44.7,37.2,95,60.0,45.4,168,5.0,3.0,3.0,0.3,10.3
96,Hugo Lloris,fr FRA,PO,Tottenham,eng Premier League,32,1986,20.1,21.0,2.0,0.0,2.0,1.0,30.4,0.28,10.4,0.52,105.0,252,41.7,421,97.0,42.0,35.3,150,50.0,35.2,312,16.0,5.1,8.0,0.4,10.2
97,Anthony Lopes,pt POR,PO,Lyon,fr Ligue 1,28,1990,26.0,25.0,2.0,1.0,2.0,3.0,22.9,0.24,0.9,0.03,97.0,222,43.7,634,147.0,24.1,28.6,187,36.9,34.1,313,11.0,3.5,20.0,0.77,14.6
98,Diego López,es ESP,PO,Espanyol,es La Liga,37,1981,35.9,58.0,6.0,0.0,4.0,2.0,53.9,0.31,-2.1,-0.06,218.0,661,33.0,834,118.0,54.1,41.1,302,69.5,49.8,474,26.0,5.5,50.0,1.39,15.9
99,Pau López,es ESP,PO,Roma,it Serie A,24,1994,32.0,45.0,8.0,1.0,4.0,0.0,44.3,0.27,-0.7,-0.02,143.0,317,45.1,838,175.0,29.1,31.4,208,35.1,34.9,373,9.0,2.4,44.0,1.38,18.2
100,Andreas Luthe,de GER,PO,Augsburg,de Bundesliga,32,1987,10.0,12.0,0.0,0.0,0.0,1.0,14.1,0.43,3.1,0.31,52.0,165,31.5,324,51.0,37.0,35.1,91,49.5,40.8,184,10.0,5.4,11.0,1.1,13.9
101,Mike Maignan,fr FRA,PO,Lille,fr Ligue 1,24,1995,28.0,27.0,4.0,1.0,1.0,3.0,25.0,0.25,1.0,0.04,130.0,390,33.3,563,137.0,44.0,37.2,200,71.0,52.4,323,11.0,3.4,24.0,0.86,17.0
