RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,15,3,5,0.0,0.0,0,32.0,23.0,18.0,56.1
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,12,18,21,0.0,1.0,0,84.0,21.0,21.0,50.0
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,114,14,16,1.0,0.0,0,140.0,9.0,17.0,34.6
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,1,4,0.0,0.0,0,3.0,1.0,0.0,100.0
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,14,4,4,0.0,0.0,0,27.0,3.0,9.0,25.0
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,25,31,36,1.0,0.0,0,219.0,20.0,42.0,32.3
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,3,0,0,17,3,0,1,10,9,0.0,1.0,0,84.0,50.0,22.0,69.4
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,3,0,0.0,0.0,0,12.0,1.0,2.0,33.3
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,1,0,0,17,24,2,34,22,32,0.0,0.0,0,112.0,6.0,19.0,24.0
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,62,40,21,31,5,10,0.0,0.0,0,89.0,243.0,207.0,54.0
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,0,0,1,0.0,0.0,0,6.0,4.0,1.0,80.0
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,12,59,44,0.0,0.0,0,178.0,80.0,48.0,62.5
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,3.0,0.0,100.0
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,65,37,0,39,47,27,1.0,0.0,0,189.0,46.0,33.0,58.2
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,0,0,0,18,26,0,3,8,18,0.0,0.0,0,87.0,8.0,9.0,47.1
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,4,2,0,0.0,0.0,0,13.0,23.0,42.0,35.4
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,148,33,31,0.0,1.0,0,181.0,50.0,29.0,63.3
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,1,0,0,1,0,0.0,0.0,0,26.0,2.0,0.0,100.0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,43,9,2,0.0,0.0,0,29.0,6.0,7.0,46.2
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,80,19,9,0.0,0.0,0,73.0,7.0,21.0,25.0
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,22,9,4,0.0,0.0,0,57.0,8.0,4.0,66.7
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,141,14,25,0.0,0.0,0,109.0,9.0,18.0,33.3
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,3,0,0,41,35,11,48,9,9,0.0,0.0,0,62.0,88.0,108.0,44.9
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,36,15,18,0.0,0.0,0,58.0,7.0,4.0,63.6
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,0,2,3,0.0,0.0,0,5.0,0.0,0.0,
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,17,39,4,69,15,16,0.0,0.0,0,132.0,22.0,39.0,36.1
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,5,2,0.0,0.0,0,16.0,3.0,7.0,30.0
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,24,13,12,0.0,0.0,0,120.0,17.0,12.0,58.6
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0.0,0.0,0,5.0,0.0,0.0,
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,32,23,35,0.0,0.0,0,100.0,19.0,17.0,52.8
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,45,43,33,0.0,0.0,0,201.0,71.0,69.0,50.7
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,4,2,4,0.0,0.0,0,7.0,0.0,0.0,
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,13,22,37,0.0,0.0,0,204.0,14.0,22.0,38.9
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,28,4,11,1.0,0.0,0,47.0,4.0,6.0,40.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,9,0,0,52,27,0.0,0.0,0,151.0,83.0,44.0,65.4
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,0,2,0.0,0.0,0,10.0,6.0,5.0,54.5
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,30,29,20,0.0,0.0,0,173.0,56.0,33.0,62.9
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,1,0,0,1,0,0,0,0,0,0.0,1.0,0,9.0,1.0,0.0,100.0
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,1,0,0,8,16,1,24,19,24,0.0,0.0,0,60.0,21.0,20.0,51.2
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,1.0,0.0
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,4,0,0,25,20,4,23,11,19,0.0,0.0,0,106.0,13.0,29.0,31.0
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,7,5,2,0.0,0.0,0,31.0,9.0,18.0,33.3
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,2,0,0,9,7,1,12,2,0,0.0,0.0,0,21.0,1.0,5.0,16.7
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,166,25,24,0.0,0.0,0,213.0,25.0,24.0,51.0
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,0,0,0,0,5,0,0,1,1,0.0,0.0,0,35.0,5.0,0.0,100.0
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,18,9,8,0.0,0.0,0,42.0,4.0,3.0,57.1
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,2,0,0,11,5,0,2,16,13,0.0,0.0,0,46.0,7.0,11.0,38.9
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,2,0,0,2,6,0,0,1,0,0.0,1.0,0,39.0,6.0,0.0,100.0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,11,1,3,0.0,0.0,0,16.0,2.0,4.0,33.3
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,1,1,0.0,0.0,0,3.0,0.0,2.0,0.0
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,26,22,19,2.0,0.0,0,108.0,29.0,58.0,33.3
133,Roger Assalé,ci CIV,"DL,CC",Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,2,3.0,0.0,0,16.0,3.0,9.0,25.0
134,Youcef Atal,dz ALG,"DL,DF",Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,24,11,1.0,1.0,0,46.0,16.0,9.0,64.0
135,Miguel Atienza,es ESP,CC,Eibar,es La Liga,20,1999,0.3,0,0,0,2,1,0,0,2,1,0.0,0.0,0,2.0,2.0,1.0,66.7
136,Christian Atsu,gh GHA,"CC,DL",Newcastle Utd,eng Premier League,27,1992,8.3,2,0,0,11,10,4,17,5,8,0.0,0.0,0,42.0,6.0,14.0,30.0
137,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,89,14,19,0.0,0.0,0,92.0,33.0,58.0,36.3
138,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36.0,1,0,0,0,5,0,0,0,1,0.0,0.0,1,32.0,4.0,1.0,80.0
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,6,4,1,82,15,9,0.0,0.0,0,87.0,13.0,5.0,72.2
140,Jean-Kévin Augustin,fr FRA,DL,Monaco,fr Ligue 1,22,1997,3.0,0,0,0,2,7,4,0,3,0,1.0,0.0,0,11.0,0.0,8.0,0.0
141,Ludwig Augustinsson,se SWE,"DF,CC",Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,57,10,12,0.0,0.0,0,41.0,16.0,15.0,51.6
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,4,1,1,41,22,6,137,47,69,0.0,2.0,1,165.0,70.0,64.0,52.2
143,Mathias Autret,fr FRA,"CC,DL",Brest,fr Ligue 1,28,1991,13.6,3,0,0,14,6,0,71,10,17,0.0,0.0,0,62.0,4.0,18.0,18.2
144,Ezequiel Ávila,ar ARG,DL,Osasuna,es La Liga,25,1994,17.7,6,0,0,45,43,24,23,3,12,1.0,0.0,0,52.0,56.0,93.0,37.6
145,Javier Avilés,es ESP,"CC,DL",Leganés,es La Liga,21,1997,2.0,1,0,0,5,2,2,17,3,7,0.0,0.0,0,12.0,2.0,4.0,33.3
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,22,14,2,8,28,22,0.0,0.0,0,105.0,42.0,54.0,43.8
147,Taiwo Awoniyi,ng NGA,"DL,CC",Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,0,0.0,1.0,0,21.0,15.0,22.0,40.5
148,Florian Ayé,fr FRA,"DL,CC",Brescia,it Serie A,22,1997,15.3,4,1,1,19,22,5,7,4,9,1.0,0.0,0,49.0,44.0,65.0,40.4
149,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,27,1991,35.0,6,0,0,59,105,9,25,15,30,0.0,0.0,0,147.0,77.0,169.0,31.3
