RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,26.0,22.0,4.0,1.0,0.0,0.0,4,0.0,3.0,2.0,0.0,0.0,20.0,0.0,0.0
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,571.0,530.0,38.0,17.0,6.0,2.0,39,2.0,19.0,12.0,6.0,0.0,448.0,3.0,8.0
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,311.0,217.0,94.0,24.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,1.0
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,57.0,56.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,972.0,739.0,225.0,10.0,0.0,4.0,81,215.0,0.0,0.0,0.0,0.0,691.0,8.0,42.0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1028.0,770.0,254.0,14.0,1.0,3.0,33,239.0,1.0,0.0,1.0,0.0,714.0,4.0,39.0
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,38.0,38.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,37.0,36.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,293.0,292.0,1.0,0.0,0.0,2.0,11,1.0,0.0,0.0,0.0,0.0,239.0,0.0,12.0
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,597.0,578.0,17.0,13.0,0.0,17.0,1,4.0,0.0,0.0,0.0,0.0,492.0,2.0,3.0
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,16.1,365.0,347.0,17.0,1.0,1.0,0.0,9,1.0,0.0,0.0,0.0,0.0,286.0,1.0,7.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,787.0,665.0,122.0,13.0,1.0,3.0,63,109.0,0.0,0.0,0.0,0.0,662.0,0.0,14.0
29,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,2.6,104.0,102.0,2.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0
30,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,7.0,310.0,304.0,4.0,4.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,260.0,2.0,2.0
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1250.0,1203.0,47.0,37.0,1.0,7.0,1,10.0,0.0,0.0,0.0,0.0,1078.0,0.0,14.0
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1185.0,936.0,243.0,14.0,1.0,5.0,62,225.0,4.0,0.0,0.0,0.0,862.0,6.0,27.0
33,Youssef Aït Bennasser,ma MAR,CC,Bordeaux,fr Ligue 1,23,1996,6.0,406.0,400.0,4.0,3.0,1.0,0.0,2,1.0,0.0,0.0,0.0,0.0,350.0,2.0,6.0
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,808.0,655.0,151.0,3.0,0.0,2.0,43,148.0,0.0,0.0,0.0,0.0,618.0,2.0,23.0
35,Albian Ajeti,ch SUI,DL,West Ham,eng Premier League,22,1997,1.5,15.0,13.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,22.9,516.0,493.0,18.0,0.0,4.0,5.0,13,3.0,0.0,0.0,0.0,0.0,354.0,5.0,5.0
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,1948.0,1871.0,74.0,43.0,2.0,20.0,2,31.0,0.0,0.0,0.0,0.0,1764.0,3.0,10.0
38,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,1.1,28.0,26.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1238.0,1183.0,52.0,32.0,1.0,3.0,5,20.0,0.0,0.0,0.0,0.0,1079.0,3.0,8.0
40,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,6.0,209.0,204.0,5.0,3.0,0.0,1.0,6,1.0,1.0,0.0,1.0,0.0,169.0,0.0,6.0
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,757.0,727.0,30.0,14.0,0.0,3.0,3,16.0,0.0,0.0,0.0,0.0,664.0,0.0,6.0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2516.0,2397.0,115.0,55.0,5.0,14.0,29,56.0,4.0,0.0,1.0,0.0,2263.0,4.0,19.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,798.0,601.0,196.0,13.0,0.0,4.0,29,183.0,0.0,0.0,0.0,0.0,648.0,1.0,20.0
