RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,Gls.2018-2019,Ass2018-2019,G+A2018-2019,G-TP2018-2019,TP2018-2019,TPint2018-2019,TA2018-2019,TR2018-2019,xG2018-2019,npxG2018-2019,xAG2018-2019,npxG+xAG2018-2019,PrgC2018-2019,PrgP2018-2019,PrgR2018-2019,Gls..12018-2019,Ast2018-2019,G+A.12018-2019,G-TP.12018-2019,G+A-TP2018-2019,xG.12018-2019,xAG.12018-2019,xG+xAG2018-2019,npxG.12018-2019,npxG+xAG.12018-2019
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,28,19,1510,16.8,2,0,2,2,0,0,4,0,1.4,1.4,0.8,2.2,58,91,76,0.12,0.0,0.12,0.12,0.12,0.09,0.05,0.13,0.09,0.13
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,10,8,721,8.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,1.1,19,64,12,0.0,0.25,0.25,0.0,0.25,0.01,0.13,0.13,0.01,0.13
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,10,8,645,7.2,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,35,11,40,0.0,0.28,0.28,0.0,0.28,0.04,0.21,0.25,0.04,0.25
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
16,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20,1998,5,3,270,3.0,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,4,19,0.33,0.0,0.33,0.33,0.33,0.24,0.02,0.26,0.24,0.26
17,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.0,0.0,0.0,0.0,0.0,0.01,0.34,0.34,0.01,0.34
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,7,8,11,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.2,0.13,0.2
19,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37,1981,20,10,943,10.5,2,0,2,0,2,2,5,0,3.3,1.8,0.7,2.5,8,15,57,0.19,0.0,0.19,0.0,0.0,0.32,0.07,0.38,0.17,0.23
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,26.5,1,3,4,1,0,0,6,2,1.1,1.1,2.4,3.5,51,90,136,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.13,0.04,0.13
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,0,4,0,0.0,0.0,0.5,0.5,36,89,56,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0.0,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14
23,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5.0,21.5,81,76,253,0.77,0.29,1.06,0.7,0.99,0.66,0.18,0.85,0.6,0.79
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12
25,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,8,21,2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14
26,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,5,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
27,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0.0,0.08,0.08,0.0,0.08,0.07,0.05,0.12,0.07,0.12
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,30,22,2160,24.0,1,3,4,1,0,0,5,1,1.4,1.4,2.5,4.0,62,97,96,0.04,0.12,0.17,0.04,0.17,0.06,0.11,0.17,0.06,0.17
61,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22,1996,26,23,2009,22.3,0,2,2,0,0,0,2,0,0.6,0.6,1.2000000000000002,1.8,27,153,25,0.0,0.17,0.17,0.0,0.17,0.04,0.11000000000000001,0.16,0.04,0.16
32,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17.0,9,1,10,9,0,0,5,0,5.7,5.7,1.0,6.7,11,25,126,0.53,0.06,0.59,0.53,0.59,0.34,0.06,0.4,0.34,0.4
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,1,0,1,1,0,0,1,0,0.5,0.5,0.6,1.1,24,122,11,0.04,0.0,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,33,34,28,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9,4,0,4,4,0,0,3,0,3.4,3.4,1.0,4.4,20,98,25,0.11,0.0,0.11,0.11,0.11,0.09,0.03,0.11,0.09,0.11
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,5,7,9,0.0,0.5,0.5,0.0,0.5,0.0,0.03,0.03,0.0,0.03
38,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23,1995,16,5,525,5.8,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,14,14,40,0.0,0.17,0.17,0.0,0.17,0.16,0.08,0.24,0.16,0.24
79,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,12,9,812,9.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,6,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,28.1,3,3,6,3,0,0,4,0,3.2,3.2,4.4,7.6,87,190,240,0.11,0.11,0.21,0.11,0.21,0.11,0.16,0.27,0.11,0.27
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,21.1,1,0,1,1,0,0,4,0,0.5,0.5,1.5,2.0,43,79,64,0.05,0.0,0.05,0.05,0.05,0.02,0.07,0.1,0.02,0.1
43,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25,1992,27,11,1265,14.1,9,3,12,9,0,0,1,0,6.7,6.7,1.4,8.1,12,22,86,0.64,0.21,0.85,0.64,0.85,0.47,0.1,0.57,0.47,0.57
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,33.2,2,8,10,2,0,0,6,0,1.8,1.8,6.7,8.5,63,207,372,0.06,0.24,0.3,0.06,0.3,0.05,0.2,0.25,0.05,0.25
45,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25,1992,27,25,1990,22.1,4,5,9,3,1,1,5,1,4.2,3.4,5.9,9.4,100,200,132,0.18,0.23,0.41,0.14,0.36,0.19,0.27,0.46,0.16,0.42
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,19.0,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,4,81,2,0.05,0.0,0.05,0.05,0.05,0.01,0.02,0.04,0.01,0.04
47,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27,1990,22,19,1660,18.4,1,3,4,1,0,0,3,1,0.3,0.3,1.5,1.8,34,71,75,0.05,0.16,0.22,0.05,0.22,0.02,0.08,0.1,0.02,0.1
48,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28,1989,27,18,1625,18.1,2,2,4,2,0,0,3,0,1.2,1.2,2.9,4.1,54,64,172,0.11,0.11,0.22,0.11,0.22,0.07,0.16,0.23,0.07,0.23
49,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24,1993,26,11,1211,13.5,18,0,18,17,1,1,0,0,9.5,8.8,1.6,10.4,12,17,70,1.34,0.0,1.34,1.26,1.26,0.71,0.12,0.83,0.65,0.77
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,20.8,1,1,2,1,0,0,9,0,1.0,1.0,0.6,1.6,13,47,3,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8,2,6,8,2,0,0,5,0,1.9,1.9,3.5,5.4,49,310,56,0.07,0.22,0.3,0.07,0.3,0.07,0.13,0.2,0.07,0.2
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27,1991,34,34,2976,33.1,3,2,5,3,0,1,13,0,3.5,2.7,0.9,3.6,45,181,21,0.09,0.06,0.15,0.09,0.15,0.1,0.03,0.13,0.08,0.11
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
54,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,4,5,7,0.0,0.0,0.0,0.0,0.0,0.16,0.24,0.4,0.16,0.4
55,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Iván Alejo,es ESP,CC,Getafe,es La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,0,2,1,0.0,0.0,0.6,0.6,7,3,10,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.36,0.02,0.36
57,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,17,6,637,7.1,2,0,2,2,0,0,2,0,1.3,1.3,0.7,2.0,18,65,38,0.28,0.0,0.28,0.28,0.28,0.18,0.1,0.28,0.18,0.28
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29
61,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9,5,0,5,5,0,0,1,0,5.4,5.4,1.2,6.6,24,22,79,0.36,0.0,0.36,0.36,0.36,0.39,0.08,0.48,0.39,0.48
62,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Allan,br BRA,CC,Napoli,it Serie A,27,1991,37,30,2792,31.1,1,3,4,1,0,0,11,0,1.1,1.1,2.5,3.7,53,240,48,0.03,0.1,0.14,0.03,0.14,0.08,0.09999999999999999,0.18,0.08,0.18
66,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,25,22,1825,20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153,0.25,0.15,0.39,0.25,0.39,0.23,0.15,0.39,0.23,0.39
67,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,31,25,45,0.0,0.0,0.0,0.0,0.0,0.18,0.07,0.25,0.17,0.24
68,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,9,6,536,6.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,6,21,19,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230,0.07,0.13,0.2,0.07,0.2,0.11,0.11,0.22,0.11,0.22
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,21,18,38,0.16,0.0,0.16,0.16,0.16,0.05,0.07,0.11,0.05,0.11
143,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,32,25,2239,24.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,29,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,29.0,0,0,0,0,0,0,10,0,1.3,1.0,0.1,1.1,18,93,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.03,0.04
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,32.5,4,1,5,4,0,0,9,1,2.2,2.2,1.0,3.2,4,72,5,0.12,0.03,0.15,0.12,0.15,0.07,0.03,0.1,0.07,0.1
75,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35,1983,23,19,1622,18.0,1,7,8,1,0,0,4,0,1.8,1.8,6.4,8.2,41,163,131,0.06,0.39,0.44,0.06,0.44,0.1,0.36,0.46,0.1,0.46
76,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59
77,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25,1993,17,7,762,8.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3,25,13,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
78,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28,1989,32,30,2522,28.0,0,0,0,0,0,0,3,1,0.7,0.7,0.9,1.6,44,134,62,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.02,0.06
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,8,34,8,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,30.7,0,0,0,0,0,0,9,0,0.5,0.5,0.4,0.9,22,95,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
81,Amath,sn SEN,CC,Getafe,es La Liga,22,1996,15,13,1002,11.1,1,2,3,1,0,0,4,0,1.2,1.2,1.5,2.7,30,30,72,0.09,0.18,0.27,0.09,0.27,0.11,0.14,0.25,0.11,0.25
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,24.2,0,2,2,0,0,0,7,2,0.8,0.8,2.0,2.8,74,82,98,0.0,0.08,0.08,0.0,0.08,0.03,0.08,0.11,0.03,0.11
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,32.0,0,1,1,0,0,0,6,0,0.6,0.6,0.8,1.4,46,106,59,0.0,0.03,0.03,0.0,0.03,0.02,0.02,0.04,0.02,0.04
84,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21,1996,13,10,754,8.4,3,1,4,3,0,0,1,0,2.2,2.2,1.4,3.5,22,50,36,0.36,0.12,0.48,0.36,0.48,0.26,0.16,0.42,0.26,0.42
85,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,32.0,0,1,1,0,0,0,7,0,1.0,1.0,0.7,1.7,25,154,3,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05
88,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,25,1993,36,36,3043,33.8,9,4,13,9,0,0,3,0,5.5,5.5,6.1,11.5,201,191,253,0.27,0.12,0.38,0.27,0.38,0.16,0.18,0.34,0.16,0.34
89,Florin Andone,ro ROU,DL,Brighton,eng Premier League,25,1993,23,8,881,9.8,3,0,3,3,0,0,5,0,2.5,2.5,0.1,2.6,13,4,62,0.31,0.0,0.31,0.31,0.31,0.25,0.01,0.26,0.25,0.26
90,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,27,1990,30,28,2495,27.7,3,1,4,3,0,0,8,1,3.0,3.0,0.8,3.9,52,185,86,0.11,0.04,0.14,0.11,0.14,0.11,0.03,0.14,0.11,0.14
183,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,11,8,752,8.4,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,1,14,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,33.6,1,1,2,1,0,0,10,0,0.7,0.7,5.7,6.4,78,195,75,0.03,0.03,0.06,0.03,0.06,0.02,0.17,0.19,0.02,0.19
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,31,1986,24,23,1807,20.1,3,2,5,3,0,0,3,0,1.4,1.4,2.9,4.3,96,93,108,0.15,0.1,0.25,0.15,0.25,0.07,0.14,0.21,0.07,0.21
97,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,33,1984,35,22,2133,23.7,5,0,5,4,1,2,0,0,6.6,5.0,1.6,6.5,41,50,172,0.21,0.0,0.21,0.17,0.17,0.28,0.07,0.34,0.21,0.28
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,34.0,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2.0,35,96,17,0.03,0.0,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,13,10,755,8.4,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,26,39,28,0.0,0.12,0.12,0.0,0.12,0.04,0.08,0.12,0.04,0.12
100,Mauro Antonio Burruchaga,ar ARG,CC,Chievo,it Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
101,Michail Antonio,jm JAM,"CC,DL",West Ham,eng Premier League,28,1990,33,22,2103,23.4,6,4,10,6,0,0,3,0,7.1,7.1,4.4,11.5,87,69,204,0.26,0.17,0.43,0.26,0.43,0.3,0.19,0.49,0.3,0.49
102,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,30,1987,30,18,1863,20.7,2,1,3,2,0,0,5,0,1.0,1.0,1.9,2.9,56,71,136,0.1,0.05,0.14,0.1,0.14,0.05,0.09,0.14,0.05,0.14
103,Vitorino Antunes,pt POR,"DF,CC",Getafe,es La Liga,31,1987,28,25,2181,24.2,1,3,4,1,0,0,5,0,1.0,1.0,3.1,4.1,45,99,54,0.04,0.12,0.17,0.04,0.17,0.04,0.13,0.17,0.04,0.17
104,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,23,1995,19,12,1081,12.0,1,0,1,1,0,0,6,0,2.7,2.7,0.1,2.7,15,35,15,0.08,0.0,0.08,0.08,0.08,0.22,0.01,0.23,0.22,0.23
105,Dennis Aogo,de GER,CC,Stuttgart,de Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.9,12,38,13,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17
106,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,20,1998,37,35,3061,34.0,7,7,14,7,0,0,2,0,6.8,6.8,4.7,11.5,96,274,163,0.21,0.21,0.41,0.21,0.41,0.2,0.14,0.34,0.2,0.34
107,Emmanuel Apeh,ng NGA,"DL,CC",Celta Vigo,es La Liga,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26
108,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,22,1995,33,32,2676,29.7,1,2,3,1,0,0,8,0,1.3,1.3,1.5,2.8,16,96,24,0.03,0.07,0.1,0.03,0.1,0.05,0.05,0.1,0.05,0.1
109,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,9,8,629,7.0,0,0,0,0,0,0,3,0,0.9,0.9,0.0,1.0,15,13,27,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14
