RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,GC2018-2019,GC902018-2019,DaPC2018-2019,Salvadas2018-2019,% Salvadas2018-2019,PG2018-2019,PE2018-2019,PP2018-2019,PaC2018-2019,PaC%2018-2019,TPint2018-2019,PD2018-2019,PD.12018-2019,PC2018-2019,% Salvadas.12018-2019
156,Francesco Rossi,it ITA,PO,Atalanta,it Serie A,27,1991,1,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
157,John Ruddy,eng ENG,PO,Wolves,eng Premier League,31,1986,1,1,90.0,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0
158,Stéphane Ruffier,fr FRA,PO,Saint-Étienne,fr Ligue 1,31,1986,37,37,3330.0,37.0,40,1.08,148,107,77.7,19,8,10,13,35.1,9,7,1,1,12.5
159,Gerónimo Rulli,ar ARG,PO,Real Sociedad,es La Liga,26,1992,27,27,2430.0,27.0,35,1.3,109,75,69.7,10,9,8,7,25.9,3,2,1,0,33.3
160,Mathew Ryan,au AUS,PO,Brighton,eng Premier League,26,1992,34,34,3060.0,34.0,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0
161,Frederik Rønnow,dk DEN,PO,Eint Frankfurt,de Bundesliga,25,1992,2,1,122.0,1.4,0,0.0,7,7,100.0,1,0,0,1,100.0,0,0,0,0,0.0
162,Samuel Şahin-Radlinger,at AUT,PO,Hannover 96,de Bundesliga,25,1992,1,1,90.0,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0
163,Brice Samba,fr FRA,PO,Caen,fr Ligue 1,24,1994,38,38,3420.0,38.0,54,1.42,193,139,75.1,7,12,19,9,23.7,8,6,2,0,25.0
164,Roberto Santamaría,es ESP,PO,Huesca,es La Liga,33,1985,20,20,1800.0,20.0,30,1.5,96,67,75.0,5,7,8,6,30.0,6,6,0,0,0.0
165,Kasper Schmeichel,dk DEN,PO,Leicester City,eng Premier League,31,1986,38,38,3420.0,38.0,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
166,Alexander Schwolow,de GER,PO,Freiburg,de Bundesliga,26,1992,33,33,2970.0,33.0,60,1.82,170,110,68.8,7,12,14,5,15.2,7,7,0,0,0.0
167,Simone Scuffet,it ITA,PO,Udinese,it Serie A,22,1996,9,9,810.0,9.0,13,1.44,38,25,68.4,2,2,5,2,22.2,1,1,0,0,0.0
168,Andrea Seculin,it ITA,PO,Chievo,it Serie A,28,1990,2,1,90.0,1.0,7,7.0,12,5,41.7,0,0,1,0,0.0,0,0,0,0,0.0
169,Matz Sels,be BEL,PO,Strasbourg,fr Ligue 1,26,1992,37,37,3330.0,37.0,48,1.3,148,99,72.3,10,16,11,8,21.6,9,7,2,0,22.2
170,Adrian Šemper,hr CRO,PO,Chievo,it Serie A,20,1998,6,6,540.0,6.0,8,1.33,32,24,75.0,1,3,2,2,33.3,0,0,0,0,0.0
171,Luigi Sepe,it ITA,PO,Parma,it Serie A,27,1991,37,37,3330.0,37.0,59,1.59,197,142,74.1,10,11,16,10,27.0,8,8,0,0,0.0
172,Unai Simón,es ESP,PO,Athletic Club,es La Liga,21,1997,7,7,630.0,7.0,13,1.86,33,20,66.7,1,4,2,0,0.0,2,2,0,0,0.0
173,Salvatore Sirigu,it ITA,PO,Torino,it Serie A,31,1987,36,36,3170.0,35.2,35,0.99,136,99,75.7,15,14,7,14,38.9,4,2,2,0,50.0
174,Antonio Sivera,es ESP,PO,Alavés,es La Liga,21,1996,3,3,270.0,3.0,4,1.33,13,9,69.2,2,0,1,0,0.0,0,0,0,0,0.0
175,Łukasz Skorupski,pl POL,PO,Bologna,it Serie A,27,1991,38,38,3420.0,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
176,Yann Sommer,ch SUI,PO,M'Gladbach,de Bundesliga,29,1988,34,34,3060.0,34.0,42,1.24,156,114,75.0,16,7,11,13,38.2,3,3,0,0,0.0
177,David Soria,es ESP,PO,Getafe,es La Liga,25,1993,37,37,3330.0,37.0,34,0.92,133,99,77.4,14,14,9,13,35.1,6,4,1,1,20.0
178,Juan Soriano,es ESP,PO,Sevilla,es La Liga,20,1997,4,4,359.0,4.0,2,0.5,11,9,90.9,4,0,0,2,50.0,1,1,0,0,0.0
179,Stefano Sorrentino,it ITA,PO,Chievo,it Serie A,39,1979,31,31,2790.0,31.0,60,1.94,167,107,65.3,1,11,19,5,16.1,4,2,2,0,50.0
180,Julián Speroni,ar ARG,PO,Crystal Palace,eng Premier League,39,1979,1,1,90.0,1.0,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,0.0
181,Marco Sportiello,it ITA,PO,Frosinone,it Serie A,26,1992,35,35,3150.0,35.0,64,1.83,201,138,70.6,5,9,21,8,22.9,5,5,0,0,0.0
182,Thomas Strakosha,al ALB,PO,Lazio,it Serie A,23,1995,35,35,3150.0,35.0,39,1.11,132,95,74.2,16,7,12,10,28.6,6,5,1,0,16.7
183,Danijel Subašić,hr CRO,PO,Monaco,fr Ligue 1,33,1984,14,14,1138.0,12.6,12,0.95,39,26,74.4,4,5,5,4,28.6,3,2,1,0,33.3
184,Seydou Sy,sn SEN,PO,Monaco,fr Ligue 1,22,1995,3,2,225.0,2.5,7,2.8,12,6,41.7,0,1,1,0,0.0,0,0,0,0,0.0
185,Wojciech Szczęsny,pl POL,PO,Juventus,it Serie A,28,1990,28,28,2520.0,28.0,20,0.71,81,61,76.5,22,5,1,11,39.3,3,1,1,1,50.0
186,Ciprian Tătărușanu,ro ROU,PO,Nantes,fr Ligue 1,32,1986,27,27,2391.0,26.6,30,1.13,95,62,69.5,8,6,13,7,25.9,4,1,3,0,75.0
187,Marc-André ter Stegen,de GER,PO,Barcelona,es La Liga,26,1992,35,35,3150.0,35.0,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0.0
377,Pietro Terracciano,it ITA,PO,Fiorentina,it Serie A,28,1990,10,10,900.0,10.0,13,2.75,46,34,144.10000000000002,1,3,6,2,25.0,0,0,0,0,0.0
