RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
66,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,20.3,4,0,0,23,20,3,10,19,19,0,0,0,124,20,20,50.0
67,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,8.4,0,0,0,6,17,4,21,8,12,0,0,0,61,1,9,10.0
68,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,6.0,2,0,0,6,2,1,12,5,9,0,0,0,33,18,7,72.0
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,6,0,0,28,37,2,98,39,46,2,1,0,212,66,54,55.0
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,0,0,0,9,10,0,22,9,5,0,0,0,27,14,3,82.4
143,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,24.9,2,0,0,20,6,1,0,17,25,0,1,0,94,39,20,163.6
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,10,0,0,31,24,0,4,63,30,0,0,0,138,93,66,58.5
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,9,1,1,31,12,0,17,29,8,0,1,1,129,102,38,72.9
75,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35,1983,18.0,4,0,0,43,23,4,61,8,22,0,0,1,121,11,18,37.9
76,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18,1999,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100.0
77,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25,1993,8.5,2,0,0,12,10,1,6,11,20,0,0,0,45,24,16,60.0
78,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28,1989,28.0,3,1,0,42,29,1,25,47,33,0,0,0,154,13,35,27.1
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,2,0,0,6,1,1,3,17,12,0,1,0,58,14,9,60.9
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,30.7,9,0,0,47,9,1,0,43,31,0,2,0,147,48,48,50.0
81,Amath,sn SEN,CC,Getafe,es La Liga,22,1996,11.1,4,0,0,27,21,3,11,10,13,0,0,0,55,12,22,35.3
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,7,2,0,46,33,1,82,46,50,0,1,0,110,71,31,69.6
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,6,0,0,38,11,3,21,36,45,0,1,0,148,47,49,49.0
84,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21,1996,8.4,1,0,0,14,14,0,11,7,9,0,0,0,44,3,8,27.3
85,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
86,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0
