RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Mín2018-2019,Mn/PJ2018-2019,% min2018-2019,90 s2018-2019,Titular2018-2019,Mn/arranque2018-2019,Compl2018-2019,Sup2018-2019,Mn/Sust2018-2019,Partidos como sustituto2018-2019,PPP2018-2019,onG2018-2019,onGA2018-2019,+/-2018-2019,+/-902018-2019,Dentro-Fuera2018-2019,onxG2018-2019,onxGA2018-2019,xG+/-2018-2019,xG+/-902018-2019,Dentro-Fuera.12018-2019
25,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22.0,1996.0,13,1050.0,81.0,30.7,11.7,12,87.0,10,1,3.0,7,0.85,11.0,17.0,-6.0,-0.51,0.36,11.1,15.9,-4.8,-0.41,0.11
26,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30.0,1988.0,33,2459.0,75.0,71.9,27.3,31,78.0,8,2,27.0,1,2.61,72.0,15.0,57.0,2.09,0.68,58.9,17.7,41.2,1.51,-0.22
27,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25.0,1993.0,29,2528.0,87.0,73.9,28.1,29,87.0,26,0,0.0,0,1.52,39.0,30.0,9.0,0.32,0.12,37.7,31.8,5.8,0.21,-0.04
28,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32.0,1985.0,6,344.0,57.0,10.1,3.8,4,64.0,1,2,45.0,20,0.17,1.0,5.0,-4.0,-1.05,-0.52,3.1,4.9,-1.8,-0.47,-0.24
29,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27.0,1990.0,4,161.0,40.0,4.7,1.8,2,69.0,0,2,12.0,7,1.5,2.0,5.0,-3.0,-1.68,-1.37,1.8,4.9,-3.2,-1.77,-1.38
30,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24.0,1994.0,17,1075.0,63.0,31.4,11.9,12,77.0,7,5,31.0,5,1.0,10.0,13.0,-3.0,-0.25,0.36,15.6,13.9,1.7,0.14,0.32
31,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17.0,2001.0,2,80.0,40.0,2.6,0.9,1,80.0,0,1,0.0,4,1.5,0.0,2.0,-2.0,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.4
32,Ola Aina,ng NGA,DF,Torino,it Serie A,21.0,1996.0,30,2160.0,72.0,63.2,24.0,22,86.0,15,8,34.0,2,1.63,31.0,23.0,8.0,0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08
67,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22.0,1996.0,26,2009.0,155.0,58.8,22.3,23,170.0,17,3,36.0,5,2.7,29.0,27.0,2.0,0.25000000000000006,0.39,27.3,31.0,-3.5999999999999996,-0.31,-0.5700000000000001
35,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,17.0,2001.0,3,57.0,19.0,1.7,0.6,0,0.0,0,3,19.0,16,0.33,1.0,3.0,-2.0,-3.16,-3.08,0.9,2.0,-1.1,-1.77,-1.87
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,24.0,1994.0,25,1531.0,61.0,44.8,17.0,18,78.0,6,7,17.0,3,1.2,22.0,25.0,-3.0,-0.18,-0.8,17.6,23.3,-5.7,-0.33,-0.13
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23.0,1995.0,25,2205.0,88.0,72.1,24.5,25,88.0,24,0,0.0,0,2.28,60.0,35.0,25.0,1.02,-0.24,43.2,30.3,12.9,0.52,-0.39
38,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25.0,1993.0,13,1023.0,79.0,29.9,11.4,12,84.0,10,1,21.0,5,0.62,9.0,16.0,-7.0,-0.62,-0.05,12.5,15.9,-3.4,-0.31,-0.08
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23.0,1995.0,38,3411.0,90.0,99.7,37.9,38,90.0,37,0,0.0,0,1.18,56.0,70.0,-14.0,-0.37,-0.37,53.3,57.1,-3.9,-0.1,-0.02
40,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20.0,1997.0,2,180.0,90.0,5.3,2.0,2,90.0,2,0,0.0,11,0.5,3.0,4.0,-1.0,-0.5,0.28,1.8,2.6,-0.7,-0.36,-0.06
41,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,23.0,1995.0,16,525.0,33.0,17.2,5.8,5,66.0,0,11,18.0,5,0.94,7.0,12.0,-5.0,-0.86,0.31,6.4,8.5,-2.2,-0.37,0.26
42,Paul Akouokou,ci CIV,CC,Betis,es La Liga,20.0,1997.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23.0,1995.0,12,812.0,140.0,26.5,9.0,9,164.0,7,3,24.0,2,2.38,12.0,21.0,-9.0,-2.48,-2.1,12.2,19.4,-7.1,-1.8,-1.85
45,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26.0,1992.0,31,2530.0,82.0,82.7,28.1,29,85.0,24,2,27.0,0,2.29,71.0,27.0,44.0,1.57,-0.47,68.4,23.6,44.9,1.6,-0.7
46,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20.0,1998.0,25,1895.0,76.0,55.4,21.1,23,80.0,14,2,26.0,3,1.24,28.0,36.0,-8.0,-0.38,-0.79,23.8,37.3,-13.6,-0.64,-1.06
47,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25.0,1992.0,27,1265.0,47.0,41.3,14.1,11,83.0,5,16,22.0,6,1.7,33.0,16.0,17.0,1.21,1.21,22.9,18.3,4.7,0.33,-0.15
48,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29.0,1989.0,36,2991.0,83.0,87.5,33.2,32,90.0,32,4,27.0,0,2.39,86.0,30.0,56.0,1.69,2.1,70.0,38.6,31.4,0.94,1.13
49,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25.0,1992.0,27,1990.0,74.0,58.2,22.1,25,78.0,9,2,21.0,4,1.44,30.0,22.0,8.0,0.36,0.24,35.0,23.3,11.7,0.53,0.42
50,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32.0,1985.0,20,1713.0,86.0,50.1,19.0,19,90.0,19,1,3.0,6,2.1,33.0,22.0,11.0,0.58,-0.85,30.4,21.2,9.3,0.49,-0.26
51,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27.0,1990.0,22,1660.0,75.0,54.2,18.4,19,85.0,16,3,15.0,6,0.55,19.0,44.0,-25.0,-1.36,-0.39,18.1,37.6,-19.6,-1.06,-0.35
52,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28.0,1989.0,27,1625.0,60.0,47.5,18.1,18,78.0,8,9,25.0,2,1.37,17.0,17.0,0.0,0.0,-0.15,19.9,23.1,-3.2,-0.18,-0.78
53,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24.0,1993.0,26,1211.0,47.0,39.6,13.5,11,78.0,3,15,23.0,2,2.35,42.0,21.0,21.0,1.56,0.78,27.1,12.6,14.5,1.08,0.74
54,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29.0,1989.0,25,1868.0,75.0,54.6,20.8,20,88.0,18,5,23.0,10,1.16,21.0,32.0,-11.0,-0.53,-0.24,23.7,28.1,-4.5,-0.21,0.06
55,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27.0,1991.0,30,2408.0,80.0,78.7,26.8,26,89.0,23,4,24.0,0,2.53,74.0,21.0,53.0,1.98,1.57,69.1,19.6,49.5,1.85,0.62
56,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27.0,1991.0,34,2976.0,88.0,87.0,33.1,34,88.0,31,0,0.0,1,1.18,29.0,43.0,-14.0,-0.42,0.59,34.7,49.6,-14.9,-0.45,0.06
57,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29.0,1989.0,34,2922.0,86.0,85.4,32.5,33,88.0,30,1,19.0,3,1.91,56.0,31.0,25.0,0.77,0.23,46.7,37.0,9.7,0.3,0.64
58,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25.0,1992.0,9,140.0,16.0,4.1,1.6,0,0.0,0,9,15.0,4,0.89,0.0,6.0,-6.0,-3.86,-3.23,1.8,3.3,-1.5,-0.97,-0.7
59,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21.0,1996.0,1,5.0,5.0,0.1,0.1,0,0.0,0,1,5.0,0,0.0,1.0,0.0,1.0,18.0,18.03,0.0,0.0,0.0,0.21,0.15
60,Iván Alejo,es ESP,CC,Getafe,es La Liga,23.0,1995.0,4,146.0,37.0,4.3,1.6,2,59.0,0,2,15.0,4,1.0,1.0,0.0,1.0,0.62,0.29,1.1,1.2,-0.1,-0.03,-0.11
61,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20.0,1998.0,17,637.0,37.0,18.6,7.1,6,78.0,1,11,15.0,10,2.06,16.0,8.0,8.0,1.13,-0.36,14.3,11.0,3.3,0.46,-0.42
62,Alex,es ESP,PO,Atlético Madrid,es La Liga,19.0,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23.0,1995.0,25,2250.0,90.0,65.8,25.0,25,90.0,25,0,0.0,12,1.04,24.0,43.0,-19.0,-0.76,0.01,29.2,37.9,-8.7,-0.35,0.4
64,Alexander,ar ARG,DL,Leganés,es La Liga,29.0,1988.0,1,10.0,10.0,0.3,0.1,0,0.0,0,1,9.0,0,0.0,0.0,1.0,-1.0,-9.0,-8.87,0.0,0.3,-0.3,-2.58,-2.58
65,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19.0,1998.0,29,2462.0,85.0,72.0,27.4,27,88.0,20,2,40.0,4,2.69,67.0,14.0,53.0,1.94,0.62,58.8,21.2,37.6,1.38,0.69
66,Abdallah Ali Mohamed,km COM,DF,Marseille,fr Ligue 1,19.0,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Marco Alia,al ALB,PO,Lazio,it Serie A,18.0,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26.0,1992.0,27,1252.0,46.0,36.6,13.9,11,86.0,9,16,19.0,4,1.52,23.0,21.0,2.0,0.14,0.27,19.7,20.0,-0.3,-0.02,0.24
69,Alisson,br BRA,PO,Liverpool,eng Premier League,25.0,1992.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,0.0,0,2.55,89.0,22.0,67.0,1.76,0.0,73.7,28.8,44.9,1.18,0.0
70,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26.0,1991.0,13,1170.0,90.0,34.2,13.0,13,90.0,13,0,0.0,25,0.62,7.0,17.0,-10.0,-0.77,-0.01,10.6,20.3,-9.7,-0.75,-0.4
143,Allan,br BRA,CC,Napoli,it Serie A,27.0,1991.0,37,2792.0,123.0,82.3,31.1,30,157.0,27,7,50.0,3,4.09,63.0,31.0,32.0,3.01,1.6400000000000001,49.699999999999996,33.3,16.3,1.06,-0.050000000000000044
73,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22.0,1996.0,25,1825.0,73.0,53.4,20.3,22,81.0,10,3,13.0,0,1.72,32.0,21.0,11.0,0.54,-0.42,28.7,22.1,6.5,0.32,0.25
74,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24.0,1994.0,10,759.0,76.0,22.2,8.4,9,82.0,4,1,18.0,0,1.7,11.0,11.0,0.0,0.0,0.2,11.3,9.2,2.0,0.24,0.8
75,Julio Alonso,es ESP,DF,Betis,es La Liga,19.0,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25.0,1993.0,9,536.0,60.0,15.7,6.0,6,82.0,4,3,14.0,5,1.11,8.0,8.0,0.0,0.0,0.28,6.2,7.3,-1.1,-0.18,0.24
77,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27.0,1990.0,31,2759.0,89.0,80.7,30.7,31,89.0,29,0,0.0,1,1.97,52.0,28.0,24.0,0.78,0.78,48.4,29.3,19.2,0.63,0.21
78,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29.0,1989.0,11,571.0,52.0,16.7,6.3,6,90.0,6,5,6.0,11,1.0,7.0,16.0,-9.0,-1.42,-0.79,6.6,10.2,-3.5,-0.55,-0.08
79,Diego Altamirano,es ESP,DL,Betis,es La Liga,21.0,1997.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26.0,1992.0,32,2239.0,146.0,65.5,24.9,25,174.0,22,7,9.0,42,2.45,30.0,36.0,-6.0,-0.51,-0.21999999999999997,24.3,35.7,-11.4,-0.9199999999999999,-1.13
82,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23.0,1995.0,30,2613.0,87.0,76.4,29.0,30,87.0,28,0,0.0,3,1.47,32.0,30.0,2.0,0.07,0.74,32.6,31.9,0.6,0.02,0.35
83,Bruno Alves,pt POR,DF,Parma,it Serie A,36.0,1981.0,33,2922.0,89.0,85.4,32.5,33,89.0,31,0,0.0,0,1.0,36.0,56.0,-20.0,-0.62,-0.62,34.5,57.7,-23.2,-0.71,-0.37
84,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35.0,1983.0,23,1622.0,71.0,47.4,18.0,19,82.0,12,4,18.0,0,2.0,45.0,22.0,23.0,1.28,-1.08,42.4,19.9,22.5,1.25,-0.19
85,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18.0,1999.0,1,9.0,9.0,0.3,0.1,0,0.0,0,1,8.0,1,0.0,0.0,2.0,-2.0,-20.0,-20.59,0.1,1.2,-1.1,-11.2,-11.92
86,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25.0,1993.0,17,762.0,45.0,22.3,8.5,7,79.0,4,10,21.0,10,1.41,9.0,14.0,-5.0,-0.59,-1.27,13.7,13.0,0.7,0.09,-0.61
87,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28.0,1989.0,32,2522.0,79.0,73.7,28.0,30,82.0,21,2,25.0,2,0.88,20.0,46.0,-26.0,-0.93,-0.63,25.9,43.2,-17.3,-0.62,-0.51
88,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23.0,1994.0,9,641.0,71.0,18.7,7.1,7,86.0,6,2,19.0,1,1.44,10.0,9.0,1.0,0.14,0.08,7.0,8.2,-1.2,-0.17,-0.5
89,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26.0,1992.0,31,2763.0,89.0,80.8,30.7,31,89.0,30,0,0.0,3,0.77,34.0,60.0,-26.0,-0.85,-0.44,38.2,48.0,-9.8,-0.32,-0.11
90,Amath,sn SEN,CC,Getafe,es La Liga,22.0,1996.0,15,1002.0,67.0,29.3,11.1,13,72.0,2,2,32.0,0,1.4,13.0,10.0,3.0,0.27,-0.1,15.1,10.7,4.4,0.4,0.46
91,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24.0,1994.0,28,2177.0,78.0,63.7,24.2,24,87.0,20,4,20.0,4,1.39,40.0,34.0,6.0,0.25,0.1,33.1,31.0,2.1,0.09,-0.28
92,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20.0,1998.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,0.0,1,1.09,31.0,47.0,-16.0,-0.5,0.5,40.8,47.8,-7.1,-0.22,0.38
93,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21.0,1996.0,13,754.0,58.0,24.6,8.4,10,69.0,2,3,22.0,4,1.85,22.0,8.0,14.0,1.67,1.51,22.2,9.3,12.9,1.54,1.13
94,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19.0,1999.0,1,2.0,2.0,0.1,0.0,0,0.0,0,1,2.0,2,3.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.1,-0.1,-4.9,-5.12
95,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21.0,1997.0,1,3.0,3.0,0.1,0.0,0,0.0,0,1,2.0,1,3.0,0.0,0.0,0.0,0.0,-0.74,0.0,0.0,0.0,0.0,-0.2
96,Ethan Ampadu,wls WAL,"DF,CC",Chelsea,eng Premier League,17.0,2000.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,28.0,1989.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22.0,1996.0,32,2880.0,90.0,84.2,32.0,32,90.0,32,0,0.0,1,1.5,52.0,42.0,10.0,0.31,0.48,41.3,46.2,-5.0,-0.16,-0.24
99,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,25.0,1993.0,36,3043.0,85.0,89.0,33.8,36,85.0,25,0,0.0,0,1.36,48.0,49.0,-1.0,-0.03,0.45,43.5,54.6,-11.0,-0.33,0.45
100,Florin Andone,ro ROU,DL,Brighton,eng Premier League,25.0,1993.0,23,881.0,38.0,25.8,9.8,8,68.0,0,15,23.0,5,0.78,7.0,14.0,-7.0,-0.72,-0.08,8.2,14.4,-6.2,-0.63,-0.01
101,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,30.0,1988.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,27.0,1990.0,30,2495.0,83.0,73.0,27.7,28,87.0,24,2,35.0,0,1.2,37.0,40.0,-3.0,-0.11,-0.69,38.5,34.2,4.3,0.16,-0.2
207,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32.0,1986.0,11,752.0,116.0,22.0,8.4,8,180.0,7,3,25.0,24,0.5800000000000001,3.0,22.0,-19.0,-4.779999999999999,-3.27,3.4,13.4,-10.100000000000001,-2.65,-1.63
105,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29.0,1989.0,1,4.0,4.0,0.1,0.0,0,0.0,0,1,4.0,2,0.0,0.0,1.0,-1.0,-22.5,-22.39,0.0,0.4,-0.4,-9.27,-9.36
106,Yhoan Andzouana,cg CGO,"DF,CC",Girona,es La Liga,21.0,1996.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,José Ángel,es ESP,DF,Eibar,es La Liga,28.0,1989.0,35,3028.0,87.0,88.5,33.6,34,88.0,27,1,45.0,1,1.31,40.0,43.0,-3.0,-0.09,0.14,49.7,41.3,8.4,0.25,0.13
108,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,34.0,1984.0,11,990.0,90.0,28.9,11.0,11,90.0,11,0,0.0,22,1.0,9.0,11.0,-2.0,-0.18,-0.22,13.7,10.2,3.6,0.32,0.41
109,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,20.0,1998.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,31.0,1986.0,24,1807.0,75.0,52.8,20.1,23,77.0,13,1,25.0,4,1.71,23.0,15.0,8.0,0.4,0.01,20.9,26.2,-5.3,-0.26,-0.5
111,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,33.0,1984.0,35,2133.0,61.0,62.4,23.7,22,88.0,19,13,15.0,3,1.0,26.0,35.0,-9.0,-0.38,-0.17,27.8,35.0,-7.2,-0.31,-0.3
112,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22.0,1996.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,0.0,0,0.62,31.0,71.0,-40.0,-1.18,0.0,37.2,67.8,-30.6,-0.9,0.0
