Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Unnamed: 11_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Unnamed: 27_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Partidos
159,Joel Robles,es ESP,PO,Betis,es La Liga,29,1990,33,33,2887,32.1,48,1.50,130,83,71.5,9,11,13,5,15.2,11,11,0,0,0.0,Partidos
160,Antonio Rosati,it ITA,PO,Torino,it Serie A,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Partidos
161,Francesco Rossi,it ITA,PO,Atalanta,it Serie A,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,,Partidos
162,Rubén,es ESP,PO,Osasuna,es La Liga,35,1984,19,18,1583,17.6,24,1.36,54,30,61.1,5,9,4,4,22.2,3,3,0,0,0.0,Partidos
163,Stéphane Ruffier,fr FRA,PO,Saint-Étienne,fr Ligue 1,32,1986,22,22,1980,22.0,40,1.82,100,60,63.0,6,4,12,3,13.6,4,3,0,1,0.0,Partidos
164,Gerónimo Rulli,ar ARG,PO,Montpellier,fr Ligue 1,27,1992,25,25,2250,25.0,27,1.08,119,91,79.8,11,7,7,8,32.0,5,3,2,0,40.0,Partidos
165,Mathew Ryan,au AUS,PO,Brighton,eng Premier League,27,1992,38,38,3420,38.0,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0,Partidos
166,Frederik Rønnow,dk DEN,PO,Eint Frankfurt,de Bundesliga,26,1992,9,9,810,9.0,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0,Partidos
167,Romain Salin,fr FRA,PO,Rennes,fr Ligue 1,35,1984,5,4,360,4.0,5,1.25,19,13,73.7,2,0,2,1,25.0,1,0,1,0,100.0,Partidos
168,Kasper Schmeichel,dk DEN,PO,Leicester City,eng Premier League,32,1986,38,38,3420,38.0,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0,Partidos
169,Markus Schubert,de GER,PO,Schalke 04,de Bundesliga,21,1998,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0,Partidos
170,Alexander Schwolow,de GER,PO,Freiburg,de Bundesliga,27,1992,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,0.0,Partidos
171,Matz Sels,be BEL,PO,Strasbourg,fr Ligue 1,27,1992,27,27,2430,27.0,32,1.19,104,71,75.0,11,5,11,8,29.6,7,6,1,0,14.3,Partidos
172,Luigi Sepe,it ITA,PO,Parma,it Serie A,28,1991,34,34,3060,34.0,53,1.56,193,137,75.6,13,6,15,5,14.7,9,6,3,0,33.3,Partidos
173,Rui Silva,pt POR,PO,Granada,es La Liga,25,1994,35,35,3150,35.0,42,1.20,142,99,73.2,15,8,12,12,34.3,5,4,1,0,20.0,Partidos
174,Marco Silvestri,it ITA,PO,Hellas Verona,it Serie A,28,1991,35,35,3150,35.0,43,1.23,159,117,77.4,11,13,11,9,25.7,7,7,0,0,0.0,Partidos
175,Unai Simón,es ESP,PO,Athletic Club,es La Liga,22,1997,34,34,2991,33.2,29,0.87,109,82,78.0,13,9,12,12,35.3,7,5,0,2,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
176,Salvatore Sirigu,it ITA,PO,Torino,it Serie A,32,1987,36,36,3240,36.0,64,1.78,197,135,72.1,11,6,19,7,19.4,10,9,1,0,10.0,Partidos
177,Antonio Sivera,es ESP,PO,Alavés,es La Liga,22,1996,3,3,270,3.0,3,1.00,5,2,60.0,1,1,1,1,33.3,1,1,0,0,0.0,Partidos
178,Łukasz Skorupski,pl POL,PO,Bologna,it Serie A,28,1991,37,37,3330,37.0,64,1.73,187,123,69.0,12,10,15,2,5.4,8,6,1,1,14.3,Partidos
179,Dennis Smarsch,de GER,PO,Hertha BSC,de Bundesliga,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,,Partidos
180,Yann Sommer,ch SUI,PO,M'Gladbach,de Bundesliga,30,1988,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0,Partidos
