Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1,Partidos
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,Partidos
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Partidos
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0,Partidos
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0,Partidos
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,7,0.79,7,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Partidos
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,8,1.03,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Partidos
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,38,2.52,19,1,3,8,4,3,7,0.46,5,1,0,1,0,0,Partidos
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,20,0.57,17,0,0,3,0,0,1,0.03,1,0,0,0,0,0,Partidos
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,18,2.90,13,0,3,1,0,1,3,0.48,2,0,1,0,0,0,Partidos
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,78,3.15,56,10,2,1,7,2,7,0.28,4,1,1,0,1,0,Partidos
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,12,1.20,9,0,0,0,2,1,0,0.00,0,0,0,0,0,0,Partidos
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,33,1.38,25,0,1,2,3,2,4,0.17,2,0,0,1,0,1,Partidos
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,10,0.70,7,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Partidos
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,27,0.91,23,3,0,0,1,0,4,0.14,4,0,0,0,0,0,Partidos
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,Partidos
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,10,4.84,8,0,2,0,0,0,2,0.97,1,0,1,0,0,0,Partidos
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,14,0.45,13,0,1,0,0,0,2,0.06,2,0,0,0,0,0,Partidos
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,77,2.34,55,0,1,12,9,0,8,0.24,4,0,1,1,2,0,Partidos
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,22,0.84,16,1,0,3,1,1,2,0.08,2,0,0,0,0,0,Partidos
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,7,0.73,4,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,2,1.23,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Partidos
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,6,1.43,5,0,0,0,0,1,1,0.24,1,0,0,0,0,0,Partidos
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,19,1.62,16,0,1,0,0,2,1,0.09,1,0,0,0,0,0,Partidos
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,7,0.53,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,60,2.02,55,1,0,3,0,1,7,0.24,6,1,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,21,1.25,14,2,2,0,3,0,3,0.18,2,0,0,0,1,0,Partidos
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,Partidos
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,30,2.17,22,0,2,3,3,0,3,0.22,2,0,0,1,0,0,Partidos
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,96,2.86,93,2,1,0,0,0,9,0.27,8,0,1,0,0,0,Partidos
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,157,5.40,118,25,7,4,2,1,7,0.24,6,0,1,0,0,0,Partidos
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,18,0.52,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Partidos
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,Partidos
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,27,1.57,20,1,3,2,1,0,9,0.52,6,0,2,1,0,0,Partidos
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,81,3.93,69,2,2,3,3,2,3,0.15,2,0,0,1,0,0,Partidos
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,28,1.16,23,0,0,1,3,1,2,0.08,2,0,0,0,0,0,Partidos
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,22,0.88,19,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Partidos
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,21,2.29,17,1,1,1,1,0,2,0.22,1,0,0,1,0,0,Partidos
