RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
152,Christian Puggioni,it ITA,PO,Benevento,it Serie A,36,1981,13.1,26.0,5.0,0.0,3.0,0.0,24.8,0.31,-1.2,-0.09,84.0,194.0,43.3,359.0,88.0,32.6,32.9,120.0,64.2,44.0,206.0,18.0,8.7,15.0,1.15,14.1
153,Christian Puggioni,it ITA,PO,Sampdoria,it Serie A,36,1981,9.0,12.0,3.0,0.0,1.0,0.0,16.4,0.27,4.4,0.49,52.0,128.0,40.6,234.0,58.0,38.9,34.4,78.0,47.4,41.3,148.0,10.0,6.8,21.0,2.33,16.6
154,Rafael,br BRA,PO,Cagliari,it Serie A,35,1982,8.8,11.0,1.0,0.0,3.0,0.0,12.1,0.29,1.1,0.13,64.0,157.0,40.8,158.0,25.0,53.8,40.1,91.0,79.1,49.1,153.0,4.0,2.6,3.0,0.34,9.5
155,Toño Ramírez,es ESP,PO,Real Sociedad,es La Liga,30,1986,3.5,6.0,0.0,0.0,1.0,0.0,4.8,0.44,-1.2,-0.35,15.0,51.0,29.4,106.0,11.0,29.2,31.0,25.0,80.0,53.0,42.0,1.0,2.4,0.0,0.0,7.8
156,Pepe Reina,es ESP,PO,Napoli,it Serie A,34,1982,37.0,29.0,2.0,2.0,3.0,0.0,26.3,0.25,-2.7,-0.07,147.0,333.0,44.1,950.0,177.0,26.0,30.0,235.0,36.6,36.5,353.0,8.0,2.3,57.0,1.54,18.8
157,Baptiste Reynet,fr FRA,PO,Dijon,fr Ligue 1,26,1990,38.0,73.0,11.0,2.0,6.0,3.0,67.2,0.27,-2.8,-0.07,313.0,727.0,43.1,1322.0,227.0,41.4,36.2,323.0,55.7,44.8,643.0,48.0,7.5,83.0,2.18,16.8
158,Sergio Rico,es ESP,PO,Sevilla,es La Liga,23,1993,24.0,39.0,3.0,1.0,5.0,0.0,34.3,0.34,-4.7,-0.2,96.0,305.0,31.5,475.0,118.0,37.3,33.6,192.0,66.7,49.9,349.0,18.0,5.2,13.0,0.54,12.0
159,Asier Riesgo,es ESP,PO,Eibar,es La Liga,33,1983,1.0,1.0,0.0,0.0,1.0,0.0,1.8,0.36,0.8,0.81,12.0,31.0,38.7,22.0,2.0,95.5,53.9,11.0,90.9,59.0,21.0,2.0,9.5,0.0,0.0,7.8
160,Roberto,es ESP,PO,Málaga,es La Liga,31,1986,34.0,51.0,4.0,1.0,3.0,0.0,56.3,0.35,5.3,0.16,278.0,733.0,37.9,717.0,88.0,66.4,46.6,279.0,92.1,60.6,480.0,28.0,5.8,20.0,0.59,11.8
161,Sergio Romero,ar ARG,PO,Manchester Utd,eng Premier League,30,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.31,0.9,0.93,6.0,14.0,42.9,18.0,5.0,44.4,37.4,7.0,85.7,58.3,18.0,1.0,5.6,0.0,0.0,4.0
