RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
35,Kiko Casilla,es ESP,PO,Real Madrid,es La Liga,30,1986,10,10,900.0,10.0,11.0,1.1,29.0,19.0,62.1,6.0,2.0,2.0,3.0,30.0,0.0,0.0,0.0,0.0,
36,Koen Casteels,be BEL,PO,Wolfsburg,de Bundesliga,25,1992,34,34,3060.0,34.0,48.0,1.41,153.0,104.0,72.5,6.0,15.0,13.0,8.0,23.5,9.0,6.0,3.0,0.0,33.3
37,Petr Čech,cz CZE,PO,Arsenal,eng Premier League,35,1982,34,34,3039.0,33.8,48.0,1.42,135.0,85.0,68.1,16.0,6.0,12.0,11.0,32.4,6.0,5.0,1.0,0.0,16.7
38,Nereo Champagne,ar ARG,PO,Leganés,es La Liga,32,1985,2,2,180.0,2.0,6.0,3.0,9.0,3.0,44.4,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
39,Leandro Chichizola,ar ARG,PO,Las Palmas,es La Liga,27,1990,27,27,2430.0,27.0,47.0,1.74,149.0,103.0,70.5,4.0,5.0,18.0,4.0,14.8,3.0,3.0,0.0,0.0,0.0
40,Jasper Cillessen,nl NED,PO,Barcelona,es La Liga,28,1989,1,1,90.0,1.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,Andrea Consigli,it ITA,PO,Sassuolo,it Serie A,30,1987,37,37,3316.0,36.8,58.0,1.57,172.0,114.0,67.4,11.0,10.0,16.0,10.0,27.0,3.0,2.0,1.0,0.0,33.3
42,Alex Cordaz,it ITA,PO,Crotone,it Serie A,34,1983,38,38,3420.0,38.0,66.0,1.74,200.0,133.0,70.0,9.0,8.0,21.0,5.0,13.2,8.0,6.0,1.0,1.0,14.3
43,Angelo da Costa Júnior,br BRA,PO,Bologna,it Serie A,33,1983,4,4,360.0,4.0,5.0,1.25,17.0,12.0,76.5,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0
44,Benoît Costil,fr FRA,PO,Bordeaux,fr Ligue 1,30,1987,36,36,3240.0,36.0,45.0,1.25,123.0,75.0,66.7,16.0,7.0,13.0,10.0,27.8,8.0,4.0,4.0,0.0,50.0
45,Thibaut Courtois,be BEL,PO,Chelsea,eng Premier League,25,1992,35,35,3150.0,35.0,34.0,0.97,106.0,74.0,69.8,20.0,6.0,9.0,15.0,42.9,2.0,2.0,0.0,0.0,0.0
46,Alessio Cragno,it ITA,PO,Cagliari,it Serie A,23,1994,29,29,2536.0,28.2,47.0,1.67,130.0,82.0,68.5,7.0,5.0,17.0,7.0,24.1,10.0,6.0,2.0,2.0,25.0
47,Luca Crosta,it ITA,PO,Cagliari,it Serie A,19,1998,1,1,90.0,1.0,3.0,3.0,3.0,0.0,33.3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
48,Iván Cuéllar,es ESP,PO,Leganés,es La Liga,33,1984,35,35,3150.0,35.0,43.0,1.23,139.0,95.0,72.7,11.0,7.0,17.0,14.0,40.0,6.0,5.0,1.0,0.0,16.7
49,Karl Darlow,eng ENG,PO,Newcastle Utd,eng Premier League,26,1990,10,10,900.0,10.0,15.0,1.5,47.0,34.0,74.5,1.0,5.0,4.0,2.0,20.0,3.0,3.0,0.0,0.0,0.0
50,Abdoulaye Diallo,sn SEN,PO,Rennes,fr Ligue 1,25,1992,3,3,270.0,3.0,5.0,1.67,15.0,10.0,73.3,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
51,Thomas Didillon,fr FRA,PO,Metz,fr Ligue 1,21,1995,9,9,810.0,9.0,14.0,1.56,35.0,22.0,68.6,1.0,1.0,7.0,2.0,22.2,3.0,3.0,0.0,0.0,0.0
52,Marko Dmitrović,rs SRB,PO,Eibar,es La Liga,25,1992,36,36,3240.0,36.0,49.0,1.36,124.0,78.0,63.7,13.0,8.0,15.0,10.0,27.8,4.0,4.0,0.0,0.0,0.0
53,Jaume Doménech,es ESP,PO,Valencia,es La Liga,26,1990,5,5,450.0,5.0,5.0,1.0,21.0,16.0,76.2,4.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,
54,Gianluigi Donnarumma,it ITA,PO,Milan,it Serie A,18,1999,38,38,3420.0,38.0,42.0,1.11,132.0,91.0,69.7,18.0,10.0,10.0,12.0,31.6,3.0,2.0,0.0,1.0,0.0
55,Bartłomiej Drągowski,pl POL,PO,Fiorentina,it Serie A,19,1997,3,1,217.0,2.4,8.0,3.32,17.0,9.0,52.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,Martin Dúbravka,sk SVK,PO,Newcastle Utd,eng Premier League,28,1989,12,12,1080.0,12.0,11.0,0.92,37.0,25.0,70.3,6.0,1.0,5.0,4.0,33.3,1.0,0.0,1.0,0.0,100.0
57,Maxime Dupé,fr FRA,PO,Nantes,fr Ligue 1,24,1993,1,1,90.0,1.0,3.0,3.0,5.0,2.0,60.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
58,Ederson,br BRA,PO,Manchester City,eng Premier League,23,1993,36,36,3194.0,35.5,26.0,0.73,80.0,54.0,67.5,30.0,4.0,2.0,16.0,44.4,2.0,0.0,2.0,0.0,100.0
59,Rob Elliot,ie IRL,PO,Newcastle Utd,eng Premier League,31,1986,16,16,1440.0,16.0,21.0,1.31,64.0,43.0,68.8,5.0,2.0,9.0,3.0,18.8,2.0,1.0,1.0,0.0,50.0
60,Michael Esser,de GER,PO,Hannover 96,de Bundesliga,29,1987,3,3,270.0,3.0,9.0,3.0,20.0,11.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,
61,Łukasz Fabiański,pl POL,PO,Swansea City,eng Premier League,32,1985,38,38,3420.0,38.0,56.0,1.47,190.0,133.0,72.1,8.0,9.0,21.0,9.0,23.7,6.0,3.0,3.0,0.0,50.0
62,Ralf Fährmann,de GER,PO,Schalke 04,de Bundesliga,28,1988,34,34,3015.0,33.5,37.0,1.1,127.0,89.0,73.2,18.0,9.0,7.0,12.0,35.3,6.0,3.0,2.0,1.0,40.0
63,Andrés Fernández,es ESP,PO,Villarreal,es La Liga,30,1986,3,3,225.0,2.5,6.0,2.4,16.0,10.0,68.8,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64,Raúl Fernández,es ESP,PO,Levante,es La Liga,29,1988,11,11,990.0,11.0,15.0,1.36,53.0,38.0,71.7,2.0,6.0,3.0,3.0,27.3,0.0,0.0,0.0,0.0,
65,Fraser Forster,eng ENG,PO,Southampton,eng Premier League,29,1988,20,20,1800.0,20.0,30.0,1.5,97.0,66.0,69.1,4.0,7.0,9.0,4.0,20.0,1.0,0.0,1.0,0.0,100.0
66,Ben Foster,eng ENG,PO,West Brom,eng Premier League,34,1983,37,37,3330.0,37.0,55.0,1.49,151.0,98.0,64.2,6.0,12.0,19.0,10.0,27.0,1.0,1.0,0.0,0.0,0.0
67,Paulo Gazzaniga,ar ARG,PO,Tottenham,eng Premier League,25,1992,1,1,90.0,1.0,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
68,David de Gea,es ESP,PO,Manchester Utd,eng Premier League,26,1990,37,37,3330.0,37.0,28.0,0.76,140.0,114.0,80.7,24.0,6.0,7.0,18.0,48.6,1.0,1.0,0.0,0.0,0.0
69,Rafał Gikiewicz,pl POL,PO,Freiburg,de Bundesliga,29,1987,2,1,154.0,1.7,3.0,1.75,7.0,4.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,Dani Giménez,es ESP,PO,Betis,es La Liga,34,1983,4,4,309.0,3.4,0.0,0.0,8.0,8.0,100.0,3.0,1.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,
71,Pierluigi Gollini,it ITA,PO,Atalanta,it Serie A,22,1995,7,7,622.0,6.9,4.0,0.58,17.0,13.0,76.5,3.0,2.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0,
72,Heurelho Gomes,br BRA,PO,Watford,eng Premier League,36,1981,24,24,2128.0,23.6,40.0,1.69,100.0,61.0,63.0,7.0,5.0,12.0,5.0,20.8,3.0,3.0,0.0,0.0,0.0
73,Alfred Gomis,sn SEN,PO,SPAL,it Serie A,23,1993,26,25,2261.0,25.1,43.0,1.71,140.0,98.0,73.6,6.0,7.0,12.0,3.0,12.0,7.0,6.0,1.0,0.0,14.3
74,Mathieu Gorgelin,fr FRA,PO,Lyon,fr Ligue 1,26,1990,4,4,360.0,4.0,6.0,1.5,13.0,7.0,53.8,2.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,
75,Lee Grant,eng ENG,PO,Stoke City,eng Premier League,34,1983,3,3,270.0,3.0,7.0,2.33,15.0,8.0,53.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
76,Vicente Guaita,es ESP,PO,Getafe,es La Liga,30,1987,33,33,2970.0,33.0,26.0,0.79,111.0,84.0,77.5,13.0,9.0,11.0,12.0,36.4,3.0,1.0,1.0,1.0,50.0
77,Péter Gulácsi,hu HUN,PO,RB Leipzig,de Bundesliga,27,1990,33,33,2970.0,33.0,52.0,1.58,147.0,95.0,68.0,15.0,8.0,10.0,6.0,18.2,5.0,5.0,0.0,0.0,0.0
78,Régis Gurtner,fr FRA,PO,Amiens,fr Ligue 1,30,1986,37,37,3330.0,37.0,41.0,1.11,171.0,130.0,78.4,12.0,9.0,16.0,11.0,29.7,4.0,4.0,0.0,0.0,0.0
79,Ben Hamer,eng ENG,PO,Leicester City,eng Premier League,29,1987,4,3,275.0,3.1,7.0,2.29,13.0,6.0,53.8,0.0,1.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
80,Samir Handanović,si SVN,PO,Inter,it Serie A,33,1984,38,38,3420.0,38.0,30.0,0.79,117.0,91.0,76.1,20.0,12.0,6.0,17.0,44.7,2.0,2.0,0.0,0.0,0.0
81,Joe Hart,eng ENG,PO,West Ham,eng Premier League,30,1987,19,19,1710.0,19.0,39.0,2.05,91.0,51.0,61.5,3.0,6.0,10.0,4.0,21.1,5.0,4.0,1.0,0.0,20.0
82,Tom Heaton,eng ENG,PO,Burnley,eng Premier League,31,1986,4,4,305.0,3.4,4.0,1.18,12.0,8.0,66.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,Wayne Hennessey,wls WAL,PO,Crystal Palace,eng Premier League,30,1987,27,27,2430.0,27.0,41.0,1.52,127.0,88.0,68.5,8.0,6.0,13.0,7.0,25.9,1.0,1.0,0.0,0.0,0.0
84,Iago Herrerín,es ESP,PO,Athletic Club,es La Liga,29,1988,8,8,720.0,8.0,6.0,0.75,30.0,23.0,86.7,3.0,4.0,1.0,4.0,50.0,3.0,2.0,1.0,0.0,33.3
85,Marwin Hitz,ch SUI,PO,Augsburg,de Bundesliga,29,1987,32,32,2880.0,32.0,42.0,1.31,159.0,116.0,74.2,10.0,10.0,12.0,9.0,28.1,2.0,1.0,1.0,0.0,50.0
86,Timo Horn,de GER,PO,Köln,de Bundesliga,24,1993,34,34,3060.0,34.0,70.0,2.06,201.0,130.0,69.2,5.0,7.0,22.0,5.0,14.7,9.0,8.0,1.0,0.0,11.1
87,Lukáš Hrádecký,fi FIN,PO,Eint Frankfurt,de Bundesliga,27,1989,34,34,3060.0,34.0,45.0,1.32,133.0,90.0,67.7,14.0,7.0,13.0,7.0,20.6,3.0,2.0,0.0,1.0,0.0
88,Gorka Iraizoz,es ESP,PO,Girona,es La Liga,36,1981,9,8,765.0,8.5,13.0,1.53,36.0,25.0,63.9,1.0,3.0,4.0,2.0,25.0,0.0,0.0,0.0,0.0,
89,Eldin Jakupović,ch SUI,PO,Leicester City,eng Premier League,32,1984,2,2,180.0,2.0,6.0,3.0,13.0,8.0,53.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,Rune Jarstein,no NOR,PO,Hertha BSC,de Bundesliga,32,1984,31,31,2790.0,31.0,44.0,1.42,140.0,97.0,72.1,10.0,10.0,11.0,7.0,22.6,6.0,5.0,0.0,1.0,0.0
91,Karl-Johan Johnsson,se SWE,PO,Guingamp,fr Ligue 1,27,1990,38,38,3420.0,38.0,59.0,1.55,171.0,111.0,68.4,12.0,11.0,15.0,11.0,28.9,7.0,5.0,2.0,0.0,28.6
92,Bingourou Kamara,sn SEN,PO,Strasbourg,fr Ligue 1,20,1996,19,19,1692.0,18.8,32.0,1.7,86.0,54.0,65.1,4.0,6.0,9.0,2.0,10.5,2.0,2.0,0.0,0.0,0.0
93,Loris Karius,de GER,PO,Liverpool,eng Premier League,24,1993,19,19,1710.0,19.0,14.0,0.74,45.0,30.0,73.3,11.0,5.0,3.0,10.0,52.6,3.0,2.0,1.0,0.0,33.3
94,Orestis Karnezis,gr GRE,PO,Watford,eng Premier League,32,1985,15,14,1292.0,14.4,24.0,1.67,56.0,32.0,62.5,4.0,3.0,7.0,4.0,28.6,3.0,3.0,0.0,0.0,0.0
95,Eiji Kawashima,jp JPN,PO,Metz,fr Ligue 1,34,1983,29,29,2569.0,28.5,60.0,2.1,167.0,106.0,64.1,5.0,7.0,17.0,2.0,6.9,2.0,0.0,2.0,0.0,100.0
96,Hervé Koffi,bf BFA,PO,Lille,fr Ligue 1,20,1996,4,4,360.0,4.0,11.0,2.75,20.0,10.0,50.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
97,Tomáš Koubek,cz CZE,PO,Rennes,fr Ligue 1,24,1992,34,34,3060.0,34.0,36.0,1.06,127.0,91.0,73.2,16.0,8.0,10.0,10.0,29.4,5.0,2.0,2.0,1.0,50.0
98,Maksym Koval,ua UKR,PO,La Coruña,es La Liga,24,1992,2,2,121.0,1.3,3.0,2.23,5.0,2.0,40.0,,1.0,1.0,,,,,,,
99,Thomas Kraft,de GER,PO,Hertha BSC,de Bundesliga,29,1988,3,3,270.0,3.0,2.0,0.67,14.0,12.0,92.9,0.0,3.0,0.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
100,Alban Lafont,fr FRA,PO,Toulouse,fr Ligue 1,18,1999,38,38,3420.0,38.0,54.0,1.42,158.0,106.0,69.6,9.0,10.0,19.0,12.0,31.6,6.0,6.0,0.0,0.0,0.0
101,Eugenio Lamanna,it ITA,PO,Genoa,it Serie A,27,1989,1,1,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,Benjamin Lecomte,fr FRA,PO,Montpellier,fr Ligue 1,26,1991,38,38,3420.0,38.0,33.0,0.87,117.0,84.0,76.1,11.0,18.0,9.0,14.0,36.8,6.0,5.0,0.0,1.0,0.0
103,Bernd Leno,de GER,PO,Leverkusen,de Bundesliga,25,1992,33,33,2970.0,33.0,40.0,1.21,110.0,70.0,68.2,15.0,10.0,8.0,10.0,30.3,5.0,5.0,0.0,0.0,0.0
104,Alexandre Letellier,fr FRA,PO,Angers,fr Ligue 1,26,1990,13,13,1170.0,13.0,17.0,1.31,44.0,28.0,65.9,2.0,7.0,4.0,1.0,7.7,2.0,2.0,0.0,0.0,0.0
105,Raúl Lizoain,es ESP,PO,Las Palmas,es La Liga,26,1991,11,11,990.0,11.0,27.0,2.45,66.0,39.0,62.1,1.0,2.0,8.0,1.0,9.1,2.0,2.0,0.0,0.0,0.0
106,Hugo Lloris,fr FRA,PO,Tottenham,eng Premier League,30,1986,36,36,3240.0,36.0,35.0,0.97,117.0,82.0,71.8,22.0,7.0,7.0,15.0,41.7,3.0,2.0,0.0,1.0,0.0
107,Anthony Lopes,pt POR,PO,Lyon,fr Ligue 1,26,1990,34,34,3060.0,34.0,37.0,1.09,137.0,101.0,76.6,21.0,8.0,5.0,14.0,41.2,8.0,5.0,2.0,1.0,28.6
108,Diego López,es ESP,PO,Espanyol,es La Liga,35,1981,10,10,854.0,9.5,11.0,1.16,40.0,30.0,75.0,3.0,5.0,2.0,3.0,30.0,2.0,1.0,1.0,0.0,50.0
109,Pau López,es ESP,PO,Espanyol,es La Liga,22,1994,29,28,2566.0,28.5,31.0,1.09,124.0,92.0,77.4,9.0,8.0,11.0,9.0,32.1,4.0,3.0,1.0,0.0,25.0
110,Pedro López,es ESP,PO,Betis,es La Liga,22,1995,5,4,411.0,4.6,8.0,1.75,16.0,8.0,50.0,1.0,1.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,
111,Jonas Lössl,dk DEN,PO,Huddersfield,eng Premier League,28,1989,38,38,3420.0,38.0,58.0,1.53,158.0,99.0,65.8,9.0,10.0,19.0,10.0,26.3,6.0,4.0,2.0,0.0,33.3
112,Andreas Luthe,de GER,PO,Augsburg,de Bundesliga,30,1987,2,2,180.0,2.0,4.0,2.0,7.0,3.0,57.1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
113,Raïs M'Bolhi,dz ALG,PO,Rennes,fr Ligue 1,31,1986,1,1,90.0,1.0,3.0,3.0,6.0,3.0,83.3,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
114,Mike Maignan,fr FRA,PO,Lille,fr Ligue 1,22,1995,34,34,3032.0,33.7,53.0,1.57,160.0,107.0,68.8,10.0,7.0,17.0,5.0,14.7,5.0,3.0,2.0,0.0,40.0
115,Steve Mandanda,fr FRA,PO,Marseille,fr Ligue 1,32,1985,31,31,2706.0,30.0,37.0,1.23,114.0,77.0,70.2,18.0,9.0,4.0,11.0,35.5,5.0,3.0,1.0,1.0,25.0
116,Gabriele Marchegiani,it ITA,PO,SPAL,it Serie A,21,1996,1,0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
117,Emiliano Martínez,ar ARG,PO,Getafe,es La Liga,24,1992,5,5,450.0,5.0,7.0,1.4,19.0,12.0,68.4,2.0,1.0,2.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0
118,Christian Mathenia,de GER,PO,Hamburger SV,de Bundesliga,25,1992,24,24,2160.0,24.0,38.0,1.58,95.0,58.0,63.2,4.0,6.0,14.0,6.0,25.0,4.0,3.0,0.0,1.0,0.0
119,Alex McCarthy,eng ENG,PO,Southampton,eng Premier League,27,1989,18,18,1620.0,18.0,26.0,1.44,68.0,42.0,63.2,3.0,8.0,7.0,4.0,22.2,1.0,1.0,0.0,0.0,0.0
120,Brais Méndez,es ESP,"CC,DL",Celta Vigo,es La Liga,20,1997,1,0,,10.5,,,,,,,,,,,,,,,
121,Alex Meret,it ITA,PO,SPAL,it Serie A,20,1997,13,13,1158.0,12.9,16.0,1.24,60.0,44.0,78.3,2.0,7.0,4.0,4.0,30.8,5.0,3.0,2.0,0.0,40.0
122,Mathieu Michel,fr FRA,PO,Angers,fr Ligue 1,25,1991,7,6,597.0,6.6,13.0,1.96,26.0,14.0,57.7,1.0,2.0,3.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0
123,Simon Mignolet,be BEL,PO,Liverpool,eng Premier League,29,1988,19,19,1710.0,19.0,24.0,1.26,59.0,34.0,62.7,10.0,7.0,2.0,7.0,36.8,3.0,2.0,1.0,0.0,33.3
124,Vanja Milinković-Savić,rs SRB,PO,Torino,it Serie A,20,1997,1,1,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
125,Antonio Mirante,it ITA,PO,Bologna,it Serie A,34,1983,33,33,2970.0,33.0,46.0,1.39,144.0,101.0,69.4,10.0,5.0,18.0,7.0,21.2,3.0,2.0,0.0,1.0,0.0
126,Jessy Moulin,fr FRA,PO,Saint-Étienne,fr Ligue 1,31,1986,4,3,304.0,3.4,6.0,1.78,29.0,23.0,82.8,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
