RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
187,Léo Baptistão,br BRA,"DL,CC",Espanyol,es La Liga,24.0,1992.0,29.7,8,79.0,26,32.9,2.66,0.87,0.1,0.31,16.0,0.0,0,0,10.2,10.2,0.13,-2.2,-2.2
188,Sekou Baradji,fr FRA,CC,Amiens,fr Ligue 1,33.0,1984.0,0.1,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
189,Antonín Barák,cz CZE,CC,Udinese,it Serie A,22.0,1994.0,30.1,7,38.0,22,57.9,1.26,0.73,0.18,0.32,20.7,0.0,0,0,2.8,2.8,0.07,4.2,4.2
190,Andrea Barberis,it ITA,CC,Crotone,it Serie A,23.0,1993.0,33.7,2,23.0,8,34.8,0.68,0.24,0.09,0.25,24.5,9.0,0,0,1.5,1.5,0.07,0.5,0.5
191,Mariano Barbosa,ar ARG,PO,Villarreal,es La Liga,33.0,1984.0,12.5,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
192,Enis Bardhi,mk MKD,CC,Levante,es La Liga,22.0,1995.0,17.6,9,37.0,13,35.1,2.11,0.74,0.24,0.69,24.6,16.0,0,0,3.1,3.1,0.08,5.9,5.9
193,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,32.0,1985.0,12.5,0,2.0,2,100.0,0.16,0.16,0.0,0.0,32.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0
194,Nicolò Barella,it ITA,CC,Cagliari,it Serie A,20.0,1997.0,32.8,6,31.0,8,25.8,0.94,0.24,0.1,0.38,27.1,0.0,3,3,3.6,1.2,0.04,2.4,1.8
195,Philipp Bargfrede,de GER,CC,Werder Bremen,de Bundesliga,28.0,1989.0,20.7,1,16.0,5,31.3,0.77,0.24,0.06,0.2,27.4,0.0,0,0,0.6,0.6,0.04,0.4,0.4
196,Ross Barkley,eng ENG,CC,Chelsea,eng Premier League,23.0,1993.0,1.4,0,2.0,1,50.0,1.4,0.7,0.0,0.0,13.1,0.0,0,0,0.8,0.8,0.38,-0.8,-0.8
197,Aymen Barkok,ma MAR,"DL,CC",Eint Frankfurt,de Bundesliga,19.0,1998.0,3.5,0,3.0,0,0.0,0.86,0.0,0.0,,23.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
198,Ashley Barnes,eng ENG,DL,Burnley,eng Premier League,27.0,1989.0,24.1,9,60.0,22,36.7,2.49,0.91,0.15,0.41,15.4,0.0,0,0,6.7,6.7,0.11,2.3,2.3
