RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
77,Marcos Alonso,es ESP,"DF,CC",Chelsea,eng Premier League,26.0,1990.0,33,2855.0,87.0,83.5,31.7,33,,28.0,0,,1,1.85,48.0,30.0,18.0,0.57,-0.39,44.0,26.7,17.3,0.54,0.02
78,Ricky Álvarez,ar ARG,CC,Sampdoria,it Serie A,29.0,1988.0,12,267.0,22.0,7.8,3.0,2,,0.0,10,,21,1.83,5.0,5.0,0.0,0.0,0.11,4.1,4.3,-0.2,-0.06,0.13
79,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30.0,1986.0,17,1476.0,87.0,43.2,16.4,16,90.0,16.0,1,36.0,21,1.06,22.0,29.0,-7.0,-0.43,-0.7,24.0,24.2,-0.3,-0.02,-0.01
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22.0,1995.0,8,675.0,84.0,19.7,7.5,7,90.0,7.0,1,45.0,6,0.88,7.0,10.0,-3.0,-0.4,-0.24,6.7,8.5,-1.9,-0.25,-0.29
81,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34.0,1983.0,25,2063.0,83.0,60.3,22.9,23,87.0,21.0,2,27.0,7,2.6,65.0,17.0,48.0,2.09,0.04,52.2,20.2,32.1,1.4,0.09
82,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24.0,1993.0,30,2405.0,80.0,70.3,26.7,30,80.0,22.0,0,,0,1.0,29.0,45.0,-16.0,-0.6,0.29,21.8,40.8,-19.0,-0.71,-0.49
83,Eloi Amagat,es ESP,CC,Girona,es La Liga,32.0,1985.0,2,15.0,8.0,0.4,0.2,0,,0.0,2,8.0,2,1.5,1.0,0.0,1.0,6.0,6.26,0.4,0.1,0.4,2.23,2.24
84,Morgan Amalfitano,fr FRA,"CC,DL",Rennes,fr Ligue 1,32.0,1985.0,14,746.0,53.0,21.8,8.3,10,68.0,2.0,4,18.0,3,0.71,8.0,16.0,-8.0,-0.97,-1.44,8.3,17.2,-8.8,-1.07,-1.38
85,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,27.0,1989.0,33,2703.0,82.0,79.0,30.0,31,87.0,26.0,2,9.0,0,1.33,47.0,55.0,-8.0,-0.27,0.99,32.2,49.1,-16.9,-0.56,0.1
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22.0,1994.0,8,487.0,61.0,14.2,5.4,6,,4.0,2,,11,1.13,7.0,7.0,0.0,0.0,0.12,6.8,6.9,-0.1,-0.02,-0.09
87,Jordi Amat,id IDN,"DF,CC",Betis,es La Liga,25.0,1992.0,25,2045.0,82.0,59.8,22.7,24,84.0,16.0,1,28.0,9,1.6,33.0,31.0,2.0,0.09,0.28,25.4,27.2,-1.8,-0.08,0.0
88,Amath,sn SEN,"CC,DL",Getafe,es La Liga,21.0,1996.0,37,2859.0,77.0,83.6,31.8,36,79.0,10.0,1,22.0,0,1.49,34.0,24.0,10.0,0.31,0.48,37.6,32.1,5.5,0.17,-0.3
89,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23.0,1994.0,27,2193.0,81.0,64.1,24.4,24,87.0,22.0,3,35.0,2,1.89,49.0,31.0,18.0,0.74,-0.36,46.9,25.5,21.4,0.88,-0.22
90,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18.0,1998.0,1,45.0,45.0,1.5,0.5,1,,0.0,0,,5,1.0,1.0,1.0,0.0,0.0,0.72,0.7,0.8,0.0,-0.09,0.45
91,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19.0,1998.0,36,3154.0,88.0,92.2,35.0,35,89.0,33.0,1,24.0,0,1.03,34.0,47.0,-13.0,-0.37,0.64,40.5,46.8,-6.3,-0.18,-0.07
92,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,20.0,1996.0,28,1744.0,62.0,57.0,19.4,19,,8.0,9,,3,1.64,35.0,31.0,4.0,0.21,-0.75,30.6,28.9,1.8,0.09,-0.01
93,Yanis Ammour,fr FRA,DL,Montpellier,fr Ligue 1,18.0,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
94,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16.0,2000.0,1,11.0,11.0,0.3,0.1,0,,0.0,1,,11,3.0,0.0,1.0,-1.0,-8.18,-8.84,0.0,0.2,-0.2,-1.26,-1.81
95,Nordin Amrabat,ma MAR,DL,Watford,eng Premier League,30.0,1987.0,3,198.0,66.0,5.8,2.2,3,,1.0,0,,0,1.67,4.0,3.0,1.0,0.45,1.04,4.4,3.8,0.6,0.27,0.47
96,Nordin Amrabat,ma MAR,"DL,CC",Leganés,es La Liga,30.0,1987.0,30,1623.0,54.0,47.5,18.0,17,77.0,6.0,13,24.0,0,1.03,18.0,26.0,-8.0,-0.44,0.01,20.4,23.1,-2.7,-0.15,0.1
97,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27.0,1989.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,2,3.0,3.0,2.0,1.0,1.0,1.49,1.4,2.2,-0.8,-0.77,-0.58
98,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21.0,1996.0,7,546.0,78.0,16.0,6.1,6,,6.0,1,,25,1.29,7.0,13.0,-6.0,-0.99,-1.05,6.5,9.0,-2.5,-0.41,-0.27
99,Felipe Anderson,br BRA,"DL,CC",Lazio,it Serie A,24.0,1993.0,21,1162.0,55.0,34.0,12.9,9,,6.0,12,,2,1.62,33.0,16.0,17.0,1.32,0.4,20.3,15.5,4.8,0.37,-0.23
100,Keshi Anderson,eng ENG,"DL,CC",Crystal Palace,eng Premier League,22.0,1995.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
101,Florin Andone,ro ROU,DL,La Coruña,es La Liga,24.0,1993.0,29,1636.0,56.0,47.8,18.2,16,86.0,10.0,13,20.0,5,0.66,17.0,30.0,-13.0,-0.72,0.55,24.0,23.0,1.0,0.06,0.47
102,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29.0,1988.0,36,3240.0,90.0,94.7,36.0,36,,35.0,0,,1,0.69,29.0,71.0,-42.0,-1.17,1.83,32.4,65.9,-33.5,-0.93,0.88
103,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,26.0,1990.0,34,3011.0,89.0,88.0,33.5,34,89.0,29.0,0,,0,1.59,45.0,36.0,9.0,0.27,0.93,43.8,40.6,3.2,0.1,0.7
104,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31.0,1986.0,23,1829.0,80.0,53.5,20.3,20,,19.0,3,,14,0.91,16.0,33.0,-17.0,-0.84,-0.21,19.1,29.4,-10.2,-0.5,0.02
105,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28.0,1989.0,23,2070.0,90.0,60.5,23.0,23,90.0,23.0,0,,2,1.17,25.0,26.0,-1.0,-0.04,0.56,29.1,25.7,3.3,0.14,0.24
106,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,27.0,1990.0,22,1442.0,66.0,42.2,16.0,15,87.0,12.0,7,20.0,2,1.05,17.0,24.0,-7.0,-0.44,0.02,16.4,23.1,-6.7,-0.42,-0.38
107,José Ángel,es ESP,DF,Eibar,es La Liga,27.0,1989.0,30,2426.0,81.0,70.9,27.0,28,85.0,21.0,2,30.0,5,1.37,31.0,35.0,-4.0,-0.15,0.03,29.6,32.5,-2.9,-0.11,-0.05
108,Miguel Ángel Moyá,es ESP,PO,Atlético Madrid,es La Liga,33.0,1984.0,0,,,,,0,,0.0,0,,25,,,,,,,,,,,
109,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33.0,1984.0,9,764.0,85.0,22.3,8.5,9,85.0,8.0,0,,2,1.22,9.0,8.0,1.0,0.12,-0.09,8.9,9.2,-0.3,-0.03,-0.15
110,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19.0,1998.0,1,29.0,29.0,0.8,0.3,0,,0.0,1,29.0,0,3.0,1.0,0.0,1.0,3.1,2.89,1.3,0.6,0.7,2.1,1.9
111,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28.0,1989.0,12,893.0,74.0,26.1,9.9,9,,7.0,3,,7,0.75,15.0,16.0,-1.0,-0.1,0.4,12.5,14.2,-1.8,-0.18,-0.02
112,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30.0,1986.0,25,1872.0,75.0,54.7,20.8,20,,17.0,5,,3,1.48,26.0,27.0,-1.0,-0.05,-0.57,26.1,28.8,-2.7,-0.13,-0.23
113,Cristian Ansaldi,ar ARG,"DF,CC",Inter,it Serie A,30.0,1986.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
114,Luca Antei,it ITA,DF,Benevento,it Serie A,25.0,1992.0,8,592.0,74.0,17.3,6.6,8,,5.0,0,,2,0.0,4.0,18.0,-14.0,-2.13,-0.95,5.8,15.1,-9.2,-1.41,-0.59
115,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,32.0,1984.0,33,2571.0,78.0,75.2,28.6,28,,21.0,5,,2,1.09,33.0,40.0,-7.0,-0.25,1.13,27.2,42.4,-15.2,-0.53,0.19
116,Waldemar Anton,de GER,"DF,CC",Hannover 96,de Bundesliga,21.0,1996.0,27,2278.0,84.0,74.4,25.3,26,,25.0,1,,1,1.26,32.0,35.0,-3.0,-0.12,0.69,33.6,39.7,-6.1,-0.24,0.32
117,Luca Antonelli,it ITA,"DF,DL",Milan,it Serie A,30.0,1987.0,6,144.0,24.0,4.2,1.6,1,,0.0,5,,24,2.17,2.0,3.0,-1.0,-0.62,-1.04,1.8,1.4,0.4,0.28,-0.1
118,Michail Antonio,jm JAM,"DL,CC",West Ham,eng Premier League,27.0,1990.0,21,1354.0,64.0,39.6,15.0,16,,8.0,5,,0,1.05,13.0,23.0,-10.0,-0.66,-0.23,13.1,20.3,-7.2,-0.48,0.01
