Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
313,Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,1993,10.9,4,0.37,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
314,Luis Binks,eng ENG,DF,Bologna,it Serie A,19,2001,7.2,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
315,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,1992,35.0,126,3.59,64,55,0,6,1,0,8,0.23,5,3,0,0,0,0,Partidos
316,Davide Biraschi,it ITA,DF,Genoa,it Serie A,27,1994,10.3,5,0.48,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
317,Tom Bischof,de GER,CC,Hoffenheim,de Bundesliga,16,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
318,Yves Bissouma,ml MLI,CC,Brighton,eng Premier League,24,1996,23.5,31,1.32,24,0,4,1,0,2,4,0.17,3,0,0,0,0,1,Partidos
319,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,fr Ligue 1,18,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
320,Marco Bizot,nl NED,PO,Brest,fr Ligue 1,30,1991,38.0,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Partidos
321,Bjarki Bjarkason,is ISL,CC,Venezia,it Serie A,21,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
322,Ludovic Blas,fr FRA,"CC,DL",Nantes,fr Ligue 1,23,1997,32.9,107,3.25,77,2,7,11,8,2,17,0.52,12,0,2,1,2,0,Partidos
