RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
2120,Maxime Poundjé,fr FRA,DF,Bordeaux,fr Ligue 1,27,1992,5.5,10.0,7,9.0,1.0,0.0,2.0,6.0,33.3,4.0,7.0,3.0,4.0,11,21.0,5.0,0.0
2121,Darío Poveda,es ESP,DL,Getafe,es La Liga,23,1997,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
2122,Alejandro Pozo Pozo,es ESP,"DF,CC",Eibar,es La Liga,21,1999,24.3,38.0,22,17.0,15.0,6.0,17.0,38.0,44.7,21.0,35.0,2.0,33.0,27,65.0,40.0,1.0
2123,Dennis Praet,be BEL,CC,Leicester City,eng Premier League,26,1994,8.0,14.0,7,4.0,7.0,3.0,6.0,15.0,40.0,9.0,12.0,2.0,10.0,7,21.0,3.0,0.0
2124,Sanjin Prcić,ba BIH,CC,Strasbourg,fr Ligue 1,26,1993,3.9,3.0,2,0.0,3.0,0.0,2.0,5.0,40.0,3.0,4.0,3.0,1.0,4,7.0,2.0,1.0
2125,Nicolas de Préville,fr FRA,"DL,CC",Bordeaux,fr Ligue 1,29,1991,17.9,19.0,14,7.0,6.0,6.0,9.0,42.0,21.4,33.0,15.0,0.0,15.0,13,32.0,7.0,0.0
2126,Manuel Prietl,at AUT,CC,Arminia,de Bundesliga,28,1991,28.0,65.0,44,33.0,28.0,4.0,12.0,73.0,16.4,61.0,34.0,7.0,27.0,45,110.0,24.0,0.0
2127,Grischa Prömel,de GER,CC,Union Berlin,de Bundesliga,25,1995,20.2,39.0,23,14.0,23.0,2.0,18.0,34.0,52.9,16.0,20.0,2.0,18.0,24,63.0,22.0,0.0
2128,Davy Pröpper,nl NED,CC,Brighton,eng Premier League,28,1991,2.4,6.0,5,0.0,6.0,0.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,1,7.0,0.0,0.0
2129,Ivan Provedel,it ITA,PO,Spezia,it Serie A,26,1994,29.0,2.0,0,2.0,0.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,2,4.0,20.0,1.0
2130,Antonio Puertas,es ESP,"DL,CC",Granada,es La Liga,28,1992,24.1,27.0,13,9.0,12.0,6.0,10.0,32.0,31.3,22.0,24.0,5.0,19.0,12,39.0,25.0,0.0
2131,Riqui Puig,es ESP,"CC,DL",Barcelona,es La Liga,20,1999,3.2,5.0,3,1.0,3.0,1.0,4.0,8.0,50.0,4.0,0.0,0.0,0.0,1,6.0,0.0,0.0
2132,Erick Pulgar,cl CHI,CC,Fiorentina,it Serie A,26,1994,22.2,41.0,18,17.0,23.0,1.0,22.0,49.0,44.9,27.0,24.0,10.0,14.0,41,82.0,45.0,1.0
2133,Jorge Pulido,es ESP,DF,Huesca,es La Liga,29,1991,32.1,39.0,24,31.0,8.0,0.0,17.0,29.0,58.6,12.0,32.0,18.0,14.0,52,91.0,98.0,0.0
2134,Christian Pulisic,us USA,"DL,CC",Chelsea,eng Premier League,21,1998,19.3,19.0,11,8.0,10.0,1.0,8.0,21.0,38.1,13.0,25.0,2.0,23.0,12,31.0,9.0,0.0
2135,Ignacio Pussetto,ar ARG,DL,Udinese,it Serie A,24,1995,8.4,16.0,8,5.0,6.0,5.0,6.0,17.0,35.3,11.0,14.0,0.0,14.0,13,29.0,6.0,0.0
2136,Fabio Quagliarella,it ITA,DL,Sampdoria,it Serie A,37,1983,24.5,12.0,8,4.0,4.0,4.0,2.0,19.0,10.5,17.0,14.0,1.0,13.0,7,19.0,10.0,0.0
2137,Robin Quaison,se SWE,"DL,CC",Mainz 05,de Bundesliga,26,1993,16.4,14.0,6,3.0,6.0,5.0,7.0,14.0,50.0,7.0,10.0,0.0,10.0,13,27.0,10.0,0.0
2138,Domingos Quina,pt POR,CC,Granada,es La Liga,20,1999,3.8,5.0,5,1.0,3.0,1.0,3.0,6.0,50.0,3.0,8.0,0.0,8.0,2,7.0,0.0,0.0
2139,Quini,es ESP,DF,Granada,es La Liga,30,1989,13.2,33.0,22,23.0,7.0,3.0,19.0,36.0,52.8,17.0,15.0,6.0,9.0,15,48.0,39.0,0.0
2140,Quique,es ESP,"DL,CC",Eibar,es La Liga,30,1990,1.9,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0
2141,Dani Raba,es ESP,"CC,DL",Villarreal,es La Liga,24,1995,1.7,2.0,1,0.0,1.0,1.0,2.0,8.0,25.0,6.0,1.0,0.0,1.0,0,2.0,0.0,0.0
2142,Simone Rabbi,it ITA,"DL,DF",Bologna,it Serie A,18,2001,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2143,Adrien Rabiot,fr FRA,CC,Juventus,it Serie A,25,1995,25.7,72.0,42,24.0,41.0,7.0,28.0,60.0,46.7,32.0,32.0,11.0,21.0,43,115.0,29.0,1.0
2144,Uroš Račić,rs SRB,CC,Valencia,es La Liga,22,1998,24.3,38.0,22,16.0,16.0,6.0,16.0,54.0,29.6,38.0,33.0,11.0,22.0,26,64.0,54.0,0.0
2145,Anthony Racioppi,ch SUI,PO,Dijon,fr Ligue 1,21,1998,21.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2,2.0,12.0,4.0
2146,Nemanja Radoja,rs SRB,CC,Levante,es La Liga,27,1993,12.5,23.0,15,12.0,10.0,1.0,5.0,19.0,26.3,14.0,9.0,3.0,6.0,19,42.0,12.0,1.0
2147,Nemanja Radonjić,rs SRB,DL,Marseille,fr Ligue 1,24,1996,4.4,6.0,5,1.0,2.0,3.0,2.0,12.0,16.7,10.0,8.0,0.0,8.0,3,9.0,1.0,0.0
2148,Nemanja Radonjić,rs SRB,"DL,CC",Hertha BSC,de Bundesliga,24,1996,6.8,5.0,3,2.0,2.0,1.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,2,7.0,1.0,0.0
2149,Aleksandar Radovanović,rs SRB,DF,Lens,fr Ligue 1,26,1993,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,0,1.0,2.0,0.0
2150,Ivan Radovanović,rs SRB,"DF,CC",Genoa,it Serie A,31,1988,24.8,18.0,15,13.0,5.0,0.0,12.0,31.0,38.7,19.0,39.0,21.0,18.0,37,55.0,114.0,2.0
2151,Ionuț Radu,ro ROU,PO,Inter,it Serie A,23,1997,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
2152,Ștefan Radu,ro ROU,DF,Lazio,it Serie A,33,1986,27.3,43.0,24,20.0,19.0,4.0,25.0,40.0,62.5,15.0,27.0,14.0,13.0,45,88.0,73.0,1.0
2153,Rafael,br BRA,PO,Spezia,it Serie A,38,1982,2.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2154,Rafinha,br BRA,"CC,DL",Paris S-G,fr Ligue 1,27,1993,15.1,54.0,26,18.0,28.0,8.0,28.0,49.0,57.1,21.0,18.0,3.0,15.0,13,67.0,6.0,0.0
2155,Antonio Raimondo,it ITA,DL,Bologna,it Serie A,16,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2156,Predrag Rajković,rs SRB,PO,Reims,fr Ligue 1,24,1995,36.5,2.0,1,2.0,0.0,0.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,2,4.0,17.0,3.0
2157,Ivan Rakitić,hr CRO,CC,Sevilla,es La Liga,32,1988,24.8,32.0,18,18.0,10.0,4.0,12.0,41.0,29.3,29.0,19.0,4.0,15.0,26,58.0,29.0,1.0
2158,Jonás Ramalho,es ESP,DF,Osasuna,es La Liga,27,1993,3.4,5.0,4,4.0,0.0,1.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,2,7.0,7.0,0.0
2159,Benito Raman,be BEL,"DL,CC",Schalke 04,de Bundesliga,25,1994,13.8,19.0,13,11.0,6.0,2.0,6.0,29.0,20.7,23.0,11.0,0.0,11.0,5,24.0,5.0,0.0
2160,Gastón Ramírez,uy URU,"DL,CC",Sampdoria,it Serie A,29,1990,10.8,31.0,15,10.0,17.0,4.0,8.0,27.0,29.6,19.0,19.0,3.0,16.0,4,35.0,13.0,0.0
2161,Sandro Ramírez,es ESP,DL,Huesca,es La Liga,25,1995,14.3,13.0,9,3.0,8.0,2.0,4.0,11.0,36.4,7.0,11.0,1.0,10.0,10,23.0,2.0,0.0
2162,Sergio Ramos,es ESP,DF,Real Madrid,es La Liga,34,1986,14.2,15.0,12,8.0,6.0,1.0,6.0,10.0,60.0,4.0,9.0,5.0,4.0,19,34.0,39.0,1.0
2163,Aaron Ramsdale,eng ENG,PO,Sheffield Utd,eng Premier League,22,1998,38.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2,3.0,22.0,6.0
2164,Aaron Ramsey,wls WAL,CC,Juventus,it Serie A,29,1990,12.1,22.0,14,8.0,13.0,1.0,8.0,25.0,32.0,17.0,13.0,2.0,11.0,7,29.0,8.0,2.0
2165,Jacob Ramsey,eng ENG,CC,Aston Villa,eng Premier League,19,2001,7.0,10.0,5,3.0,4.0,3.0,2.0,12.0,16.7,10.0,13.0,6.0,7.0,4,14.0,5.0,0.0
2166,Kayne Ramsey,eng ENG,DF,Southampton,eng Premier League,19,2000,1.0,5.0,2,4.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0,5.0,3.0,0.0
2167,Darren Randolph,ie IRL,PO,West Ham,eng Premier League,33,1987,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
2168,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,32,1988,7.8,13.0,10,6.0,6.0,1.0,7.0,8.0,87.5,1.0,5.0,3.0,2.0,12,25.0,19.0,0.0
2169,Raphinha,br BRA,"CC,DL",Leeds United,eng Premier League,23,1996,26.2,34.0,17,13.0,16.0,5.0,12.0,58.0,20.7,46.0,31.0,1.0,30.0,29,63.0,27.0,0.0
2170,Raphinha,br BRA,"DL,CC",Rennes,fr Ligue 1,23,1996,4.5,5.0,2,1.0,3.0,1.0,1.0,4.0,25.0,3.0,5.0,0.0,5.0,3,8.0,4.0,0.0
2171,Marcus Rashford,eng ENG,DL,Manchester Utd,eng Premier League,22,1997,32.4,18.0,9,2.0,8.0,8.0,7.0,27.0,25.9,20.0,22.0,2.0,20.0,8,26.0,10.0,0.0
2172,Milot Rashica,xk KVX,"DL,CC",Werder Bremen,de Bundesliga,24,1996,16.2,24.0,12,11.0,11.0,2.0,12.0,23.0,52.2,11.0,7.0,0.0,7.0,4,28.0,6.0,0.0
2173,Giacomo Raspadori,it ITA,"DL,CC",Sassuolo,it Serie A,20,2000,13.7,5.0,3,1.0,1.0,3.0,0.0,4.0,0.0,4.0,13.0,5.0,8.0,2,7.0,9.0,0.0
2174,Federico Ravaglia,it ITA,PO,Bologna,it Serie A,20,1999,4.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0
2175,Tim Ream,us USA,DF,Fulham,eng Premier League,32,1987,7.0,12.0,5,9.0,3.0,0.0,8.0,11.0,72.7,3.0,8.0,5.0,3.0,6,18.0,26.0,1.0
2176,Ante Rebić,hr CRO,DL,Milan,it Serie A,26,1993,19.7,26.0,9,4.0,8.0,14.0,8.0,37.0,21.6,29.0,21.0,1.0,20.0,7,33.0,17.0,0.0
2177,Arkadiusz Reca,pl POL,DF,Crotone,it Serie A,25,1995,25.7,34.0,16,15.0,11.0,8.0,10.0,45.0,22.2,35.0,30.0,3.0,27.0,50,84.0,64.0,0.0
2178,Recio,es ESP,CC,Eibar,es La Liga,29,1991,8.2,17.0,5,4.0,8.0,5.0,8.0,18.0,44.4,10.0,6.0,0.0,6.0,4,21.0,1.0,0.0
2179,Daishawn Redan,nl NED,"DL,CC",Hertha BSC,de Bundesliga,19,2001,1.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
