RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Toques2020-2021,Def. pen.2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Ataq. pen.2020-2021,Balón vivo2020-2021,Att2020-2021,Succ2020-2021,Exitosa%2020-2021,Tkld2020-2021,Tkld%2020-2021,Transportes2020-2021,Dist. tot.2020-2021,Dist. prg.2020-2021,PrgC2020-2021,1/32020-2021,TAP2020-2021,Errores de control2020-2021,Des2020-2021,Rec2020-2021,PrgR2020-2021
522,Luca Cigarini,it ITA,CC,Crotone,it Serie A,34,1986,10.3,858.0,31.0,194.0,529.0,141.0,4.0,858.0,12.0,8.0,66.7,4.0,33.3,443.0,1865.0,1016.0,14.0,7.0,2.0,10.0,10.0,618.0,8.0
523,Jasper Cillessen,nl NED,PO,Valencia,es La Liga,31,1989,10.0,349.0,320.0,347.0,2.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,167.0,884.0,636.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0
524,Antonio Cioffi,it ITA,DL,Napoli,it Serie A,17,2002,0.1,13.0,0.0,3.0,8.0,3.0,0.0,13.0,1.0,1.0,100.0,0.0,0.0,9.0,36.0,12.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0
525,Tim Civeja,al ALB,CC,Augsburg,de Bundesliga,18,2002,0.4,27.0,1.0,10.0,15.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,9.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
526,Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,30,1989,21.0,1026.0,179.0,610.0,374.0,48.0,16.0,1026.0,8.0,4.0,50.0,4.0,50.0,520.0,2406.0,1090.0,9.0,4.0,0.0,11.0,1.0,568.0,4.0
527,Alexis Claude-Maurice,fr FRA,"CC,DL",Nice,fr Ligue 1,22,1998,21.2,996.0,12.0,139.0,465.0,414.0,55.0,996.0,73.0,48.0,65.8,25.0,34.2,681.0,3938.0,2119.0,61.0,45.0,20.0,62.0,43.0,751.0,116.0
528,Jonathan Clauss,fr FRA,DF,Lens,fr Ligue 1,27,1992,28.0,1713.0,54.0,322.0,679.0,735.0,61.0,1713.0,49.0,22.0,44.9,27.0,55.1,826.0,5075.0,3085.0,102.0,69.0,19.0,52.0,13.0,906.0,235.0
529,Carlos Clerc,es ESP,DF,Levante,es La Liga,28,1992,30.9,1982.0,83.0,622.0,831.0,551.0,33.0,1982.0,55.0,36.0,65.5,18.0,32.7,1060.0,5948.0,3239.0,87.0,55.0,6.0,36.0,17.0,1160.0,196.0
530,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,29,1991,12.7,698.0,35.0,227.0,331.0,142.0,6.0,698.0,6.0,4.0,66.7,2.0,33.3,346.0,1638.0,820.0,18.0,10.0,0.0,8.0,2.0,364.0,20.0
531,Conor Coady,eng ENG,DF,Wolves,eng Premier League,27,1993,36.7,2137.0,402.0,1320.0,809.0,17.0,12.0,2137.0,8.0,6.0,75.0,2.0,25.0,1282.0,5200.0,2411.0,4.0,5.0,0.0,9.0,3.0,1494.0,2.0
