RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,ACT2020-2021,SCA902020-2021,PassLive2020-2021,PassDead2020-2021,HASTA2020-2021,Dis2020-2021,FR2020-2021,Def2020-2021,ACG2020-2021,GCA902020-2021,PassLive.12020-2021,PassDead.12020-2021,HASTA.12020-2021,Dis.12020-2021,FR.12020-2021,Def.12020-2021
2287,Frederik Rønnow,dk DEN,PO,Schalke 04,de Bundesliga,27,1992,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,João Victor Santos Sá,br BRA,DL,Wolfsburg,de Bundesliga,26,1994,5.2,21.0,4.02,15.0,0.0,2.0,3.0,0.0,1.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0
2289,Roli Pereira de Sa,fr FRA,"DL,CC",Nantes,fr Ligue 1,23,1996,0.6,8.0,12.63,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,Idriss Saadi,dz ALG,"CC,DL",Strasbourg,fr Ligue 1,28,1992,1.4,2.0,1.44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2291,Youssouf Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,27,1993,32.3,68.0,2.1,42.0,4.0,8.0,4.0,8.0,2.0,14.0,0.43,6.0,2.0,1.0,1.0,3.0,1.0
2292,Mathys Saban,fr FRA,DL,Saint-Étienne,fr Ligue 1,18,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2293,Marcel Sabitzer,at AUT,CC,RB Leipzig,de Bundesliga,26,1994,22.5,69.0,3.06,62.0,0.0,0.0,5.0,2.0,0.0,7.0,0.31,6.0,0.0,0.0,1.0,0.0,0.0
2294,Alexis Saelemaekers,be BEL,DL,Milan,it Serie A,21,1999,22.4,86.0,3.84,66.0,0.0,8.0,1.0,10.0,1.0,9.0,0.4,7.0,0.0,0.0,0.0,2.0,0.0
2295,Modibo Sagnan,fr FRA,DF,Real Sociedad,es La Liga,21,1999,6.9,6.0,0.87,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2296,Allan Saint-Maximin,fr FRA,"DL,CC",Newcastle Utd,eng Premier League,23,1997,17.3,69.0,3.98,44.0,1.0,17.0,1.0,6.0,0.0,10.0,0.58,7.0,0.0,3.0,0.0,0.0,0.0
2297,Borja Sainz,es ESP,"CC,DL",Alavés,es La Liga,19,2001,5.0,6.0,1.19,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298,Romain Saïss,ma MAR,DF,Wolves,eng Premier League,30,1990,26.7,19.0,0.71,16.0,1.0,1.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
