Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Expectativa,Expectativa,Expectativa,Expectativa,Expectativa,Unnamed: 26_level_0
303,Leonardo Bittencourt,de GER,CC,Hoffenheim,de Bundesliga,25,1993,0.0,0,1,0,0.0,30.00,0.00,0.00,,20.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
304,Leonardo Bittencourt,de GER,"DL,CC",Werder Bremen,de Bundesliga,25,1993,21.0,4,42,11,26.2,2.00,0.52,0.10,0.36,18.2,0,0,0,2.9,2.9,0.07,+1.1,+1.1,Partidos
305,Birkir Bjarnason,is ISL,"CC,DL",Brescia,it Serie A,31,1988,8.9,0,8,3,37.5,0.90,0.34,0.00,0.00,20.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Partidos
306,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,24,1995,32.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
307,Ludovic Blas,fr FRA,"DL,CC",Nantes,fr Ligue 1,21,1997,20.5,5,46,19,41.3,2.24,0.93,0.11,0.26,22.3,0,0,0,4.0,4.0,0.09,+1.0,+1.0,Partidos
308,Pablo de Blasis,ar ARG,"DF,CC",Eibar,es La Liga,31,1988,17.8,2,14,4,28.6,0.79,0.22,0.07,0.25,18.2,1,1,1,2.8,2.0,0.16,-0.8,-1.0,Partidos
309,Alejandro Blesa,es ESP,CC,Levante,es La Liga,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
310,Alexis Blin,fr FRA,CC,Amiens,fr Ligue 1,22,1996,20.5,0,2,0,0.0,0.10,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
311,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20.0,0,6,2,33.3,0.30,0.10,0.00,0.00,25.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
312,Kevin-Prince Boateng,gh GHA,DL,Fiorentina,it Serie A,32,1987,6.7,1,18,3,16.7,2.70,0.45,0.06,0.33,14.3,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Partidos
313,Antonin Bobichon,fr FRA,CC,Nîmes,fr Ligue 1,23,1995,2.0,0,2,0,0.0,1.00,0.00,0.00,,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
314,Antonin Bobichon,fr FRA,CC,Angers,fr Ligue 1,23,1995,7.2,2,20,5,25.0,2.77,0.69,0.10,0.40,21.4,1,0,0,1.0,1.0,0.05,+1.0,+1.0,Partidos
