Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,453,11,24,213,221,78,452,18,13,72.2,5,27.8,247,1027,231,7,5,8,35,17,341,63,Partidos
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2307,66,459,1074,782,64,2307,21,12,57.1,9,42.9,1399,5468,2912,42,28,8,17,6,1734,244,Partidos
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,2653,14,260,1371,1086,98,2652,107,73,68.2,34,31.8,1620,11683,7365,203,171,29,51,47,1901,163,Partidos
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,2282,336,1270,971,52,21,2282,3,3,100.0,0,0.0,1193,6416,3896,11,8,1,9,2,1497,4,Partidos
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,618,12,102,245,284,20,618,33,14,42.4,19,57.6,393,1968,822,20,19,4,12,9,423,94,Partidos
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,306,11,29,137,143,36,306,7,3,42.9,4,57.1,159,597,270,13,7,9,15,8,213,50,Partidos
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,163,2,9,75,79,26,163,5,2,40.0,3,60.0,78,207,55,1,2,1,12,5,110,37,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,2029,47,358,1364,334,23,2029,83,71,85.5,12,14.5,1250,5577,2677,27,35,7,28,19,1507,43,Partidos
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,1340,73,341,848,167,10,1340,28,23,82.1,5,17.9,663,3258,1591,26,15,1,23,15,734,21,Partidos
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2349,344,1183,1068,101,22,2349,1,0,0.0,1,100.0,1460,5973,2949,11,18,1,9,5,1566,10,Partidos
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426,21,17,4,23,22,756,72,Partidos
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,45,0,2,22,21,6,45,2,0,0.0,2,100.0,21,80,36,1,1,1,2,1,39,6,Partidos
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,168,1,13,101,55,2,168,3,2,66.7,1,33.3,121,508,218,4,3,0,3,1,143,2,Partidos
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,466,5,55,291,128,9,466,22,12,54.5,10,45.5,332,1908,876,15,17,0,11,9,381,25,Partidos
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,350,304,349,1,0,0,350,0,0,,0,,157,734,504,0,0,0,0,0,147,0,Partidos
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3582,99,825,1590,1193,54,3582,51,21,41.2,30,58.8,2136,9096,5332,98,113,16,47,12,2281,226,Partidos
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,85,67,85,0,0,0,85,0,0,,0,,27,144,109,0,0,0,0,0,26,0,Partidos
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704,24,18,12,40,17,496,108,Partidos
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,992,792,983,10,0,0,992,0,0,,0,,600,2483,1531,0,1,1,0,0,495,0,Partidos
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,1001,23,167,626,217,13,1001,28,19,67.9,9,32.1,638,3107,1489,25,27,2,30,15,725,53,Partidos
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,1128,36,156,558,427,76,1127,66,29,43.9,36,54.5,707,3569,1684,56,37,14,50,41,760,152,Partidos
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,1291,34,260,538,537,81,1291,93,46,49.5,47,50.5,929,7715,3823,120,82,19,80,35,881,160,Partidos
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1341,27,335,536,477,59,1341,19,12,63.2,7,36.8,787,4088,2269,62,42,6,33,10,833,155,Partidos
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458,37,26,3,19,10,472,45,Partidos
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,558,27,138,358,71,5,558,9,8,88.9,1,11.1,277,1277,456,6,12,0,6,4,272,6,Partidos
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,56,50,56,0,0,0,56,0,0,,0,,23,94,64,0,0,0,0,0,22,0,Partidos
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1821,180,818,947,74,17,1821,17,14,82.4,3,17.6,852,4757,2863,29,18,1,14,5,998,4,Partidos
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1625,280,878,666,86,34,1625,1,1,100.0,0,0.0,922,4801,2509,6,4,0,6,4,987,11,Partidos
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,831,32,190,397,251,36,831,47,35,74.5,12,25.5,456,2796,1437,34,34,11,25,28,545,92,Partidos
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,480,100,331,138,13,4,480,2,2,100.0,0,0.0,290,1128,545,4,0,0,1,3,303,1,Partidos
