RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
38,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28.0,1993.0,28,2140.0,76.0,62.6,23.8,22,88.0,19,6,33.0,8,1.96,44.0,24.0,20.0,0.84,0.49,37.2,25.0,12.2,0.51,0.04
39,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21.0,2000.0,1,9.0,9.0,0.3,0.1,0,,0,1,9.0,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.1,0.0,-0.43,-0.29
40,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19.0,2002.0,3,61.0,20.0,2.0,0.7,0,,0,3,20.0,9,0.0,1.0,1.0,0.0,0.0,0.54,0.8,0.7,0.1,0.17,0.48
41,Aymeric Ahmed,km COM,CC,Strasbourg,fr Ligue 1,17.0,2003.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
42,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22.0,1999.0,15,1350.0,90.0,39.5,15.0,15,90.0,15,0,,0,0.67,18.0,38.0,-20.0,-1.33,-0.51,20.0,22.9,-2.9,-0.19,0.63
43,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27.0,1994.0,25,1004.0,40.0,29.4,11.2,11,64.0,0,14,22.0,6,1.76,17.0,12.0,5.0,0.45,0.0,16.5,12.7,3.7,0.33,0.02
44,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25.0,1995.0,32,2637.0,82.0,77.1,29.3,30,87.0,24,2,7.0,3,1.22,35.0,31.0,4.0,0.14,0.6,34.1,33.1,1.0,0.03,0.44
45,Ola Aina,ng NGA,DF,Torino,it Serie A,24.0,1996.0,21,1437.0,68.0,42.0,16.0,17,80.0,7,4,19.0,12,1.29,17.0,19.0,-2.0,-0.13,-0.44,19.9,16.5,3.5,0.22,-0.07
46,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20.0,2001.0,23,1828.0,79.0,53.5,20.3,20,89.0,17,3,13.0,12,1.13,25.0,26.0,-1.0,-0.05,0.18,18.6,33.6,-15.0,-0.74,-0.49
47,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23.0,1998.0,24,1995.0,83.0,58.3,22.2,23,85.0,17,1,45.0,3,1.29,28.0,31.0,-3.0,-0.14,0.18,27.7,29.8,-2.1,-0.09,-0.05
48,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27.0,1994.0,36,2738.0,76.0,80.1,30.4,31,84.0,20,5,26.0,0,1.64,46.0,36.0,10.0,0.33,-0.6,44.6,34.1,10.5,0.35,0.13
49,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26.0,1995.0,26,2261.0,87.0,73.9,25.1,25,89.0,23,1,45.0,0,2.0,64.0,44.0,20.0,0.8,-0.67,47.9,38.0,10.0,0.4,-0.48
50,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28.0,1993.0,25,1844.0,74.0,53.9,20.5,21,84.0,14,4,21.0,5,1.08,15.0,27.0,-12.0,-0.59,-0.36,21.0,25.1,-4.1,-0.2,0.07
51,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20.0,2001.0,4,77.0,19.0,2.3,0.9,0,,0,4,19.0,8,0.5,1.0,4.0,-3.0,-3.51,-4.13,0.7,3.4,-2.7,-3.16,-3.59
52,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26.0,1995.0,14,923.0,66.0,27.0,10.3,10,82.0,8,4,25.0,22,2.64,19.0,3.0,16.0,1.56,-0.49,20.3,5.3,15.0,1.46,-0.31
53,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17.0,2004.0,2,124.0,62.0,3.6,1.4,2,62.0,0,0,,3,3.0,1.0,0.0,1.0,0.73,-0.07,1.8,0.3,1.4,1.04,0.29
54,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19.0,2002.0,7,54.0,8.0,1.6,0.6,0,,0,7,8.0,4,1.57,1.0,2.0,-1.0,-1.67,-2.36,1.0,1.2,-0.2,-0.37,-0.88
55,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23.0,1997.0,8,516.0,65.0,15.1,5.7,6,82.0,2,2,11.0,19,1.38,7.0,3.0,4.0,0.7,0.14,5.8,4.6,1.3,0.22,-0.06
56,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28.0,1992.0,10,315.0,32.0,9.2,3.5,4,62.0,0,6,11.0,21,1.5,6.0,8.0,-2.0,-0.57,-1.18,2.5,6.0,-3.5,-1.01,-1.33
57,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26.0,1995.0,26,1527.0,59.0,49.9,17.0,19,71.0,5,7,24.0,4,1.5,33.0,30.0,3.0,0.18,0.47,28.4,26.6,1.8,0.11,0.0
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,29.0,1992.0,30,2642.0,88.0,77.3,29.4,30,88.0,27,0,,0,2.3,60.0,26.0,34.0,1.16,-0.58,53.3,31.4,21.9,0.75,0.06
59,Sofiane Alakouch,ma MAR,"DF,CC",Metz,fr Ligue 1,23.0,1998.0,4,158.0,40.0,4.6,1.8,0,,0,4,40.0,13,1.0,0.0,2.0,-2.0,-1.14,-0.26,1.6,3.2,-1.6,-0.92,-0.04
60,Jony Álamo,es ESP,CC,Elche,es La Liga,19.0,2001.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
61,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,22.0,1999.0,23,1425.0,62.0,41.7,15.8,16,81.0,9,7,19.0,5,0.96,12.0,23.0,-11.0,-0.69,-0.47,12.8,21.4,-8.6,-0.54,-0.54
62,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,28.0,1992.0,27,655.0,24.0,21.4,7.3,5,79.0,3,22,12.0,2,1.74,17.0,9.0,8.0,1.1,0.16,16.8,8.5,8.3,1.13,0.75
63,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32.0,1989.0,30,2644.0,88.0,77.3,29.4,30,88.0,26,0,,1,2.0,54.0,32.0,22.0,0.75,-0.18,50.4,28.2,22.2,0.76,-0.03
64,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29.0,1992.0,2,22.0,11.0,0.6,0.2,0,,0,2,11.0,15,0.5,0.0,1.0,-1.0,-4.09,-3.3,1.0,0.3,0.7,2.85,3.08
65,Luis Alberto,es ESP,CC,Lazio,it Serie A,28.0,1992.0,34,2353.0,69.0,68.8,26.1,27,80.0,11,7,29.0,1,1.74,51.0,35.0,16.0,0.61,0.36,37.3,29.0,8.2,0.32,0.37
66,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35.0,1985.0,28,2465.0,88.0,72.1,27.4,28,88.0,26,0,,6,1.5,42.0,25.0,17.0,0.62,-0.23,42.3,29.6,12.8,0.47,-0.16
67,Julian Albrecht,de GER,CC,Hertha BSC,de Bundesliga,19.0,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
68,Marc Albrighton,eng ENG,"DL,DF",Leicester City,eng Premier League,31.0,1989.0,17,1132.0,67.0,33.1,12.6,11,90.0,11,6,24.0,17,1.35,17.0,24.0,-7.0,-0.56,-0.95,13.3,24.6,-11.3,-0.9,-0.89
69,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,27.0,1993.0,18,787.0,44.0,23.0,8.7,10,65.0,0,8,17.0,8,1.44,16.0,11.0,5.0,0.57,-0.15,13.9,10.9,3.1,0.35,-0.21
70,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,30.0,1991.0,25,1534.0,61.0,44.9,17.0,17,80.0,5,8,22.0,1,2.64,43.0,7.0,36.0,2.11,0.59,42.7,10.9,31.9,1.87,0.77
71,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,30.0,1991.0,14,1105.0,79.0,32.3,12.3,12,87.0,10,2,31.0,0,1.21,10.0,12.0,-2.0,-0.16,0.38,14.6,12.7,1.9,0.15,0.56
72,Omar Alderete,py PAR,DF,Valencia,es La Liga,24.0,1996.0,29,2403.0,83.0,70.3,26.7,28,84.0,20,1,45.0,3,1.21,32.0,34.0,-2.0,-0.07,0.19,26.7,32.1,-5.4,-0.2,0.1
73,Ryan Alebiosu,eng ENG,DF,Arsenal,eng Premier League,19.0,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
74,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,26.0,1995.0,20,1065.0,53.0,31.1,11.8,11,73.0,2,9,29.0,7,1.2,14.0,9.0,5.0,0.42,1.23,11.8,12.4,-0.6,-0.05,0.26
75,Pedro Alemañ,es ESP,CC,Valencia,es La Liga,19.0,2002.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
76,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18.0,2002.0,12,1080.0,90.0,31.6,12.0,12,90.0,12,0,,7,1.58,29.0,13.0,16.0,1.33,0.33,20.4,14.0,6.4,0.53,0.01
77,Carles Aleñá,es ESP,CC,Getafe,es La Liga,23.0,1998.0,33,2320.0,70.0,67.8,25.8,30,76.0,6,3,15.0,1,1.12,23.0,20.0,3.0,0.12,1.02,18.0,23.5,-5.6,-0.22,0.09
78,Ajibola Alese,eng ENG,DF,West Ham,eng Premier League,20.0,2001.0,0,,,,,0,,0,0,,11,,,,,,,,,,,
79,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22.0,1998.0,32,2853.0,89.0,83.4,31.7,32,89.0,30,0,,2,2.38,80.0,22.0,58.0,1.83,0.24,74.1,30.0,44.1,1.39,-0.32
80,Alfon,es ESP,DL,Celta Vigo,es La Liga,22.0,1999.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
81,Ángel Algobia,es ESP,CC,Getafe,es La Liga,22.0,1999.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
82,Mohamed Ali Cho,fr FRA,DL,Angers,fr Ligue 1,17.0,2004.0,32,1837.0,57.0,53.7,20.4,21,76.0,0,11,23.0,0,1.19,27.0,25.0,2.0,0.1,0.84,26.2,23.8,2.4,0.12,0.45
83,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,29.0,1992.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
84,Alisson,br BRA,PO,Liverpool,eng Premier League,28.0,1992.0,36,3240.0,90.0,94.7,36.0,36,90.0,36,0,,0,2.44,87.0,24.0,63.0,1.75,-0.75,84.1,32.1,52.0,1.44,-0.02
85,Allan,br BRA,CC,Everton,eng Premier League,30.0,1991.0,28,2183.0,78.0,63.8,24.3,25,85.0,17,3,23.0,5,1.14,26.0,38.0,-12.0,-0.49,0.31,27.5,32.8,-5.4,-0.22,0.42
86,Jim Allevinah,ga GAB,DL,Clermont Foot,fr Ligue 1,26.0,1995.0,30,1488.0,50.0,43.5,16.5,13,77.0,3,17,29.0,1,0.93,15.0,32.0,-17.0,-1.03,-0.38,18.8,23.4,-4.5,-0.27,-0.11
87,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,25.0,1996.0,10,657.0,66.0,19.2,7.3,8,80.0,5,2,11.0,9,1.4,6.0,13.0,-7.0,-0.96,-2.13,8.6,11.2,-2.6,-0.35,-1.15
88,Dele Alli,eng ENG,"CC,DL",Everton,eng Premier League,25.0,1996.0,11,338.0,31.0,9.9,3.8,1,66.0,0,10,27.0,7,0.91,7.0,10.0,-3.0,-0.8,-0.21,3.7,8.5,-4.7,-1.26,-0.98
89,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,27.0,1994.0,30,1716.0,57.0,50.2,19.1,19,78.0,5,11,21.0,6,1.2,16.0,32.0,-16.0,-0.84,-0.73,16.6,30.6,-14.0,-0.73,-0.47
90,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30.0,1990.0,28,2167.0,77.0,63.4,24.1,25,83.0,16,3,28.0,6,1.64,42.0,22.0,20.0,0.83,-0.82,37.0,21.2,15.9,0.66,-0.36
91,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22.0,1998.0,19,1466.0,77.0,42.9,16.3,17,82.0,12,2,34.0,18,0.95,14.0,23.0,-9.0,-0.55,0.6,17.6,24.8,-7.2,-0.44,0.23
92,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,21.0,2000.0,0,,,,,0,,0,0,,15,,,,,,,,,,,
93,Hugo Álvarez,es ESP,DL,Celta Vigo,es La Liga,18.0,2003.0,1,11.0,11.0,0.3,0.1,0,,0,1,11.0,5,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,2.18,2.26
94,Iker Álvarez,ad AND,PO,Villarreal,es La Liga,20.0,2001.0,0,,,,,0,,0,0,,10,,,,,,,,,,,
95,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26.0,1995.0,22,1860.0,85.0,54.4,20.7,21,88.0,20,1,15.0,6,1.23,20.0,20.0,0.0,0.0,-0.4,27.4,19.5,7.9,0.38,0.19
96,Dani Alves,br BRA,DF,Barcelona,es La Liga,38.0,1983.0,14,1098.0,78.0,32.1,12.2,13,84.0,6,1,5.0,3,2.5,26.0,10.0,16.0,1.31,0.77,20.1,10.7,9.3,0.76,0.0
97,Steven Alzate,co COL,CC,Brighton,eng Premier League,22.0,1998.0,9,404.0,45.0,11.8,4.5,5,69.0,1,4,15.0,18,1.11,3.0,7.0,-4.0,-0.89,-0.95,3.5,7.0,-3.5,-0.78,-0.98
98,Ibrahim Amadou,fr FRA,"DF,CC",Metz,fr Ligue 1,28.0,1993.0,10,812.0,81.0,23.7,9.0,10,81.0,7,0,,1,0.4,3.0,13.0,-10.0,-1.11,-0.28,5.4,13.2,-7.8,-0.86,0.02
99,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19.0,2001.0,3,79.0,26.0,2.3,0.9,1,63.0,0,2,8.0,8,1.0,2.0,1.0,1.0,1.14,1.38,0.6,1.0,-0.4,-0.42,-0.18
100,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26.0,1994.0,28,2123.0,76.0,62.1,23.6,23,88.0,22,5,20.0,6,1.5,35.0,40.0,-5.0,-0.21,-0.77,26.0,36.3,-10.3,-0.44,-0.35
101,Amath,sn SEN,"DL,CC",Mallorca,es La Liga,25.0,1996.0,19,884.0,47.0,25.8,9.8,9,68.0,1,10,27.0,4,0.89,10.0,13.0,-3.0,-0.31,0.55,11.3,11.9,-0.7,-0.07,0.28
102,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27.0,1994.0,8,413.0,52.0,12.1,4.6,4,77.0,1,4,27.0,5,2.25,9.0,3.0,6.0,1.31,1.01,8.6,2.3,6.2,1.35,1.14
103,Jordan Amavi,fr FRA,"DF,DL",Marseille,fr Ligue 1,27.0,1994.0,2,128.0,64.0,3.7,1.4,2,64.0,0,0,,14,1.0,1.0,1.0,0.0,0.0,-0.68,0.3,1.4,-1.2,-0.82,-1.38
104,Giuseppe Ambrosino,it ITA,DL,Napoli,it Serie A,17.0,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
105,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15.0,2005.0,1,71.0,71.0,2.1,0.8,1,71.0,0,0,,4,3.0,1.0,0.0,1.0,1.27,1.59,0.7,0.6,0.1,0.12,0.33
106,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23.0,1998.0,32,2646.0,83.0,77.4,29.4,31,84.0,26,1,45.0,1,1.0,36.0,56.0,-20.0,-0.68,0.48,32.4,48.0,-15.6,-0.53,0.48
107,Nadiem Amiri,de GER,"CC,DL",Genoa,it Serie A,24.0,1996.0,13,683.0,53.0,20.0,7.6,9,65.0,2,4,25.0,0,1.0,4.0,10.0,-6.0,-0.79,0.1,7.6,10.3,-2.7,-0.35,0.12
108,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,24.0,1996.0,13,369.0,28.0,12.1,4.1,3,80.0,1,10,13.0,5,2.0,6.0,6.0,0.0,0.0,-1.1,7.3,6.0,1.3,0.33,-0.25
109,Ethan Ampadu,wls WAL,"CC,DF",Venezia,it Serie A,20.0,2000.0,29,2282.0,79.0,66.7,25.4,26,84.0,18,3,34.0,0,0.69,20.0,44.0,-24.0,-0.95,-0.08,22.2,47.5,-25.3,-1.0,-0.2
110,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,24.0,1996.0,23,944.0,41.0,27.6,10.5,8,84.0,6,15,18.0,8,1.78,12.0,13.0,-1.0,-0.1,-0.42,11.5,11.0,0.5,0.05,-0.64
111,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25.0,1996.0,34,2916.0,86.0,85.3,32.4,32,90.0,31,2,22.0,0,1.32,44.0,37.0,7.0,0.22,0.75,40.4,35.8,4.6,0.14,-0.04
112,Elliot Anderson,sct SCO,CC,Newcastle Utd,eng Premier League,18.0,2002.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
113,Felipe Anderson,br BRA,DL,Lazio,it Serie A,28.0,1993.0,38,2888.0,76.0,84.4,32.1,33,82.0,16,5,36.0,0,1.68,61.0,50.0,11.0,0.34,-1.01,47.6,39.9,7.7,0.24,0.24
114,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,30.0,1991.0,26,1257.0,48.0,41.1,14.0,13,77.0,3,13,20.0,1,1.38,15.0,17.0,-2.0,-0.14,-0.39,19.2,20.8,-1.6,-0.12,-0.17
115,Florin Andone,ro ROU,DL,Brighton,eng Premier League,28.0,1993.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
116,Florin Andone,ro ROU,DL,Cádiz,es La Liga,28.0,1993.0,5,176.0,35.0,5.1,2.0,1,66.0,0,4,28.0,14,0.2,1.0,7.0,-6.0,-3.07,-2.79,1.2,4.4,-3.2,-1.63,-1.48
117,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22.0,1998.0,17,1046.0,62.0,34.2,11.6,12,81.0,9,5,15.0,9,1.0,12.0,18.0,-6.0,-0.52,0.38,8.2,21.4,-13.2,-1.14,-0.09
118,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,30.0,1990.0,33,2752.0,83.0,80.5,30.6,33,83.0,21,0,,0,1.36,35.0,41.0,-6.0,-0.2,-1.0,40.5,30.4,10.1,0.33,0.27
119,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22.0,1998.0,9,353.0,39.0,11.5,3.9,2,90.0,2,7,25.0,1,0.56,4.0,16.0,-12.0,-3.06,-2.33,4.4,11.7,-7.3,-1.87,-1.41
120,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,24.0,1996.0,29,973.0,34.0,28.5,10.8,8,76.0,2,21,18.0,3,1.31,19.0,16.0,3.0,0.28,0.57,13.6,12.9,0.8,0.07,0.42
121,Lorenzo Andrenacci,it ITA,PO,Genoa,it Serie A,26.0,1995.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
122,Lluis Andreu,es ESP,PO,Elche,es La Liga,22.0,1999.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
