RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive.1,PassDead.1,HASTA.1,Dis.1,FR.1,Def.1
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,37.0,1.28,31.0,0.0,1.0,2.0,2.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,31,1990,33.0,97.0,2.94,65.0,1.0,11.0,11.0,9.0,0.0,17.0,0.51,10.0,0.0,1.0,4.0,2.0,0.0
106,Christopher Antwi-Adjei,gh GHA,"DL,CC",Bochum,de Bundesliga,27,1994,12.6,26.0,2.25,15.0,1.0,1.0,3.0,6.0,0.0,2.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0
107,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,23,1998,27.8,101.0,3.63,77.0,3.0,6.0,9.0,4.0,2.0,6.0,0.22,5.0,0.0,0.0,1.0,0.0,0.0
108,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,19,2002,12.0,38.0,3.17,21.0,10.0,1.0,1.0,5.0,0.0,5.0,0.42,3.0,2.0,0.0,0.0,0.0,0.0
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,15.0,0.64,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,25,1995,29.6,75.0,2.53,35.0,31.0,2.0,2.0,3.0,2.0,10.0,0.34,4.0,4.0,1.0,0.0,0.0,1.0
111,Mattia Aramu,it ITA,"CC,DL",Venezia,it Serie A,26,1995,23.3,75.0,3.21,31.0,22.0,2.0,5.0,15.0,0.0,11.0,0.47,7.0,1.0,0.0,0.0,3.0,0.0
112,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,32,1989,17.5,41.0,2.34,35.0,3.0,1.0,1.0,1.0,0.0,6.0,0.34,5.0,0.0,1.0,0.0,0.0,0.0
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,14.0,0.48,12.0,0.0,1.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,15.0,0.59,12.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Cameron Archer,eng ENG,"DL,CC",Aston Villa,eng Premier League,20,2001,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,28,1993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,4.0,1.91,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Matias Arezo,uy URU,"DL,CC",Granada,es La Liga,18,2002,1.8,6.0,3.33,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.56,0.0,0.0,0.0,1.0,0.0,0.0
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,9.0,1.84,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Adam Armstrong,eng ENG,DL,Southampton,eng Premier League,24,1997,15.7,36.0,2.29,22.0,0.0,5.0,6.0,3.0,0.0,3.0,0.19,2.0,0.0,0.0,0.0,1.0,0.0
121,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,29,1992,16.4,54.0,3.3,42.0,2.0,2.0,3.0,4.0,1.0,3.0,0.18,1.0,0.0,1.0,0.0,1.0,0.0
122,Marko Arnautović,at AUT,DL,Bologna,it Serie A,32,1989,29.9,89.0,2.97,71.0,0.0,7.0,9.0,2.0,0.0,7.0,0.23,5.0,0.0,1.0,1.0,0.0,0.0
123,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,27,1994,33.3,106.0,3.19,56.0,45.0,2.0,0.0,3.0,0.0,4.0,0.12,2.0,1.0,0.0,0.0,1.0,0.0
124,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,26,1994,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Tolgay Arslan,de GER,CC,Udinese,it Serie A,30,1990,18.4,48.0,2.6,30.0,5.0,1.0,4.0,7.0,1.0,8.0,0.43,3.0,0.0,0.0,2.0,3.0,0.0
126,Arthur,br BRA,DL,Fiorentina,it Serie A,23,1998,8.3,17.0,2.05,10.0,0.0,3.0,1.0,2.0,1.0,5.0,0.6,3.0,0.0,1.0,1.0,0.0,0.0
127,Santiago Arzamendia,py PAR,CC,Cádiz,es La Liga,23,1998,5.2,5.0,0.96,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
