RL2019-2020,Jugador2019-2020,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Dist. tot.2019-2020,Dist. prg.2019-2020,Cmp.12019-2020,Int..12019-2020,% Cmp.12019-2020,Cmp.22019-2020,Int..22019-2020,% Cmp.22019-2020,Cmp.32019-2020,Int..32019-2020,% Cmp.32019-2020,Ass2019-2020,xAG2019-2020,xA2019-2020,A-xAG2019-2020,PC2019-2020,1/32019-2020,PPA2019-2020,CrAP2019-2020,PrgP2019-2020
200,Ashley Barnes,eng ENG,DL,Burnley,eng Premier League,29,1989,15.0,138.0,259.0,53.3,1684.0,364.0,83.0,120.0,69.2,37.0,74.0,50.0,4.0,18.0,22.2,0,0.3,0.4,-0.3,5.0,5.0,8.0,0.0,18.0
201,Harvey Barnes,eng ENG,"CC,DL",Leicester City,eng Premier League,21,1997,23.1,562.0,745.0,75.4,7466.0,1731.0,352.0,418.0,84.2,150.0,194.0,77.3,21.0,39.0,53.8,8,4.1,3.0,3.9,35.0,30.0,34.0,2.0,90.0
202,Antonio Barragán,es ESP,DF,Betis,es La Liga,32,1987,7.1,377.0,468.0,80.6,6000.0,2033.0,186.0,202.0,92.1,152.0,186.0,81.7,25.0,55.0,45.5,1,0.6,1.1,0.4,7.0,29.0,19.0,4.0,49.0
203,Antonio Barreca,it ITA,"DF,DL",Genoa,it Serie A,24,1995,12.2,260.0,396.0,65.7,4205.0,1707.0,133.0,161.0,82.6,97.0,141.0,68.8,21.0,57.0,36.8,1,0.7,0.4,0.3,4.0,13.0,11.0,7.0,25.0
204,Leandro Barreiro Martins,lu LUX,CC,Mainz 05,de Bundesliga,19,2000,10.4,276.0,364.0,75.8,4448.0,1410.0,138.0,168.0,82.1,93.0,117.0,79.5,28.0,48.0,58.3,2,0.3,0.4,1.7,6.0,30.0,1.0,0.0,41.0
205,Ander Barrenetxea,es ESP,"DL,CC",Real Sociedad,es La Liga,17,2001,4.9,134.0,186.0,72.0,2043.0,491.0,74.0,88.0,84.1,43.0,61.0,70.5,9.0,15.0,60.0,0,0.5,1.0,-0.5,8.0,9.0,8.0,1.0,20.0
206,Édgar Barreto,py PAR,CC,Sampdoria,it Serie A,35,1984,1.0,27.0,31.0,87.1,469.0,84.0,14.0,14.0,100.0,11.0,12.0,91.7,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
415,Musa Barrow,gm GAM,"DL,CC",Bologna,it Serie A,20,1998,17.1,466.0,649.0,145.2,7168.0,1987.0,294.0,341.0,176.1,111.0,153.0,152.0,41.0,98.0,140.6,4,4.1,2.6,-0.10000000000000009,38.0,37.0,16.0,3.0,69.0
209,Fin Bartels,de GER,"CC,DL",Werder Bremen,de Bundesliga,32,1987,3.8,110.0,153.0,71.9,1760.0,536.0,52.0,69.0,75.4,46.0,57.0,80.7,8.0,13.0,61.5,0,0.3,0.9,-0.3,4.0,10.0,3.0,1.0,20.0
210,Marc Bartra,es ESP,"DF,CC",Betis,es La Liga,28,1991,28.0,1426.0,1681.0,84.8,27857.0,9473.0,488.0,538.0,90.7,759.0,842.0,90.1,161.0,255.0,63.1,1,2.0,0.9,-1.0,5.0,79.0,6.0,1.0,90.0
211,Daniele Baselli,it ITA,CC,Torino,it Serie A,27,1992,14.2,576.0,723.0,79.7,10139.0,3088.0,255.0,283.0,90.1,238.0,274.0,86.9,64.0,124.0,51.6,2,0.9,1.3,1.1,18.0,40.0,19.0,13.0,72.0
212,Chris Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31,1988,36.0,1091.0,1546.0,70.6,18241.0,6389.0,531.0,614.0,86.5,434.0,638.0,68.0,91.0,198.0,46.0,1,1.3,1.3,-0.3,12.0,83.0,8.0,4.0,82.0
213,Toma Bašić,hr CRO,CC,Bordeaux,fr Ligue 1,22,1996,11.0,457.0,590.0,77.5,8541.0,2357.0,172.0,207.0,83.1,224.0,265.0,84.5,53.0,97.0,54.6,3,2.7,2.0,0.3,23.0,52.0,7.0,0.0,77.0
214,Thomas Basila,fr FRA,DF,Nantes,fr Ligue 1,20,1999,4.6,205.0,255.0,80.4,3747.0,1336.0,84.0,96.0,87.5,98.0,116.0,84.5,21.0,37.0,56.8,0,0.2,0.2,-0.2,1.0,11.0,1.0,1.0,13.0
