RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,631.0,9.0,29.0,300.0,306.0,67.0,631.0,22.0,16.0,72.7,6.0,27.3,353.0,1638.0,704.0,24.0,18.0,12.0,40.0,17.0,496.0,108.0
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,992.0,792.0,983.0,10.0,0.0,0.0,992.0,0.0,0.0,,0.0,,600.0,2483.0,1531.0,0.0,1.0,1.0,0.0,0.0,495.0,0.0
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,1001.0,23.0,167.0,626.0,217.0,13.0,1001.0,28.0,19.0,67.9,9.0,32.1,638.0,3107.0,1489.0,25.0,27.0,2.0,30.0,15.0,725.0,53.0
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,1128.0,36.0,156.0,558.0,427.0,76.0,1127.0,66.0,29.0,43.9,36.0,54.5,707.0,3569.0,1684.0,56.0,37.0,14.0,50.0,41.0,760.0,152.0
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,1291.0,34.0,260.0,538.0,537.0,81.0,1291.0,93.0,46.0,49.5,47.0,50.5,929.0,7715.0,3823.0,120.0,82.0,19.0,80.0,35.0,881.0,160.0
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1341.0,27.0,335.0,536.0,477.0,59.0,1341.0,19.0,12.0,63.2,7.0,36.8,787.0,4088.0,2269.0,62.0,42.0,6.0,33.0,10.0,833.0,155.0
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,935.0,58.0,330.0,437.0,173.0,11.0,935.0,22.0,15.0,68.2,7.0,31.8,400.0,2485.0,1458.0,37.0,26.0,3.0,19.0,10.0,472.0,45.0
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,558.0,27.0,138.0,358.0,71.0,5.0,558.0,9.0,8.0,88.9,1.0,11.1,277.0,1277.0,456.0,6.0,12.0,0.0,6.0,4.0,272.0,6.0
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,56.0,50.0,56.0,0.0,0.0,0.0,56.0,0.0,0.0,,0.0,,23.0,94.0,64.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1821.0,180.0,818.0,947.0,74.0,17.0,1821.0,17.0,14.0,82.4,3.0,17.6,852.0,4757.0,2863.0,29.0,18.0,1.0,14.0,5.0,998.0,4.0
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1625.0,280.0,878.0,666.0,86.0,34.0,1625.0,1.0,1.0,100.0,0.0,0.0,922.0,4801.0,2509.0,6.0,4.0,0.0,6.0,4.0,987.0,11.0
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,831.0,32.0,190.0,397.0,251.0,36.0,831.0,47.0,35.0,74.5,12.0,25.5,456.0,2796.0,1437.0,34.0,34.0,11.0,25.0,28.0,545.0,92.0
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,480.0,100.0,331.0,138.0,13.0,4.0,480.0,2.0,2.0,100.0,0.0,0.0,290.0,1128.0,545.0,4.0,0.0,0.0,1.0,3.0,303.0,1.0
