RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
138,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,17.0,2002.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,
139,Cristian Ansaldi,ar ARG,"DF,DL",Torino,it Serie A,33.0,1986.0,31,1947.0,63.0,56.9,21.6,20,88.0,16.0,11,17.0,3,1.03,26.0,38.0,-12.0,-0.55,-0.13,30.7,36.9,-6.1,-0.28,0.07
140,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24.0,1996.0,31,2711.0,87.0,88.6,30.1,30,90.0,29.0,1,18.0,1,1.29,50.0,52.0,-2.0,-0.07,-0.84,45.8,45.2,0.7,0.02,0.4
141,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,30.0,1990.0,26,1974.0,76.0,57.7,21.9,24,80.0,12.0,2,23.0,0,1.85,37.0,25.0,12.0,0.55,0.36,38.5,23.2,15.3,0.7,1.23
142,José Antonio Miranda,gq EQG,"CC,DF",Getafe,es La Liga,22.0,1998.0,4,26.0,7.0,0.8,0.3,0,,0.0,4,7.0,4,0.5,0.0,2.0,-2.0,-6.92,-6.58,0.4,1.2,-0.8,-2.88,-2.75
143,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,21.0,1999.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
144,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19.0,2000.0,5,232.0,46.0,6.8,2.6,2,82.0,1.0,3,23.0,13,0.6,1.0,6.0,-5.0,-1.94,-1.69,2.6,5.7,-3.1,-1.19,-1.06
145,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,22.0,1998.0,30,1781.0,59.0,52.1,19.8,23,71.0,6.0,7,21.0,1,1.97,48.0,27.0,21.0,1.06,0.13,46.8,24.7,22.0,1.11,0.13
146,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,18.0,2002.0,34,1731.0,51.0,50.6,19.2,21,66.0,2.0,13,27.0,2,1.21,24.0,25.0,-1.0,-0.05,0.53,25.6,23.9,1.6,0.08,0.24
147,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28.0,1992.0,22,1556.0,71.0,45.5,17.3,16,87.0,13.0,6,28.0,13,1.14,27.0,28.0,-1.0,-0.06,0.28,25.1,28.6,-3.6,-0.21,-0.16
148,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22.0,1998.0,1,26.0,26.0,0.8,0.3,0,,0.0,1,26.0,8,3.0,1.0,1.0,0.0,0.0,-0.56,0.6,0.9,-0.3,-1.17,-1.75
149,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,24.0,1995.0,34,2983.0,88.0,87.2,33.1,33,89.0,26.0,1,45.0,2,1.09,26.0,35.0,-9.0,-0.27,0.96,30.7,35.4,-4.7,-0.14,0.1
150,Aranda,es ESP,CC,Granada,es La Liga,19.0,2000.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
151,Óscar Aranda,es ESP,DL,Real Madrid,es La Liga,18.0,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
152,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,31.0,1989.0,21,1669.0,79.0,54.5,18.5,20,82.0,13.0,1,21.0,2,1.19,20.0,24.0,-4.0,-0.22,-1.38,24.9,23.3,1.6,0.08,-0.28
153,Luiz Araújo,br BRA,CC,Lille,fr Ligue 1,24.0,1996.0,28,1496.0,53.0,43.7,16.6,17,74.0,2.0,11,21.0,2,2.18,33.0,6.0,27.0,1.62,0.97,22.9,11.3,11.6,0.7,0.37
154,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28.0,1991.0,33,2426.0,74.0,70.9,27.0,26,86.0,21.0,7,29.0,3,1.39,35.0,39.0,-4.0,-0.15,-0.33,34.5,36.7,-2.2,-0.08,-0.22
155,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21.0,1999.0,24,1510.0,63.0,44.2,16.8,16,80.0,12.0,8,29.0,5,2.33,34.0,16.0,18.0,1.07,-0.29,34.0,16.5,17.5,1.04,0.33
156,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33.0,1987.0,34,2807.0,83.0,82.1,31.2,30,90.0,30.0,4,27.0,0,0.79,23.0,46.0,-23.0,-0.74,-0.74,37.8,36.9,0.9,0.03,0.22
157,Roberto Olabe del Arco,es ESP,CC,Eibar,es La Liga,24.0,1996.0,0,,,,,0,,0.0,0,,13,,,,,,,,,,,
158,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27.0,1993.0,36,3240.0,90.0,94.7,36.0,36,90.0,36.0,0,,2,0.78,27.0,48.0,-21.0,-0.58,1.92,39.4,49.4,-10.0,-0.28,0.75
159,Simone Aresti,it ITA,PO,Cagliari,it Serie A,34.0,1986.0,0,,,,,0,,0.0,0,,35,,,,,,,,,,,
160,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28.0,1992.0,1,90.0,90.0,2.9,1.0,1,90.0,1.0,0,,0,1.0,1.0,1.0,0.0,0.0,-0.42,1.5,0.8,0.7,0.69,0.49
161,Karim Aribi,dz ALG,DL,Nîmes,fr Ligue 1,26.0,1994.0,13,294.0,23.0,8.6,3.3,2,55.0,0.0,11,17.0,5,0.92,3.0,9.0,-6.0,-1.84,-1.12,4.1,8.2,-4.0,-1.22,-0.74
162,Unai Arietaleanizbeaskoa,es ESP,"DL,CC",Eibar,es La Liga,21.0,1999.0,4,47.0,12.0,1.4,0.5,0,,0.0,4,12.0,12,0.0,0.0,1.0,-1.0,-1.91,-1.33,0.6,0.8,-0.2,-0.4,-0.39
163,Amir Arli,,CC,Dijon,fr Ligue 1,17.0,2003.0,0,,,,,0,,,0,,5,,,,,,,,,,,
164,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19.0,2001.0,1,5.0,5.0,0.1,0.1,0,,0.0,1,5.0,22,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.3,-0.3,-6.19,-6.48
165,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,28.0,1992.0,33,2764.0,84.0,80.8,30.7,32,86.0,21.0,1,13.0,1,1.24,39.0,56.0,-17.0,-0.55,0.0,32.8,44.2,-11.4,-0.37,-0.31
166,Alex Arnofoli,it ITA,DF,Bologna,it Serie A,17.0,2003.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
