RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
69,Alfon,es ESP,CC,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,4,0,0,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0
70,Mohamed Ali Cho,fr FRA,"DL,CC",Angers,fr Ligue 1,16,2004,3.9,1,0,0,8,8,0,11,3,7,0.0,0.0,0,20.0,7.0,9.0,43.8
71,Ezgjan Alioski,mk MKD,"DF,CC",Leeds United,eng Premier League,28,1992,27.3,7,0,0,39,44,6,62,23,31,0.0,2.0,0,146.0,39.0,44.0,47.0
72,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,
73,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33.0,1,0,0,1,6,0,0,2,2,0.0,1.0,0,74.0,12.0,1.0,92.3
74,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12.0,2,0,0,2,1,0,0,0,0,0.0,1.0,0,14.0,3.0,1.0,75.0
75,Allan,br BRA,CC,Everton,eng Premier League,29,1991,22.8,6,0,0,37,30,0,4,19,45,0.0,0.0,0,187.0,4.0,11.0,26.7
76,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,24,1996,6.9,0,0,0,10,12,1,10,7,11,0.0,0.0,0,50.0,8.0,11.0,42.1
77,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,26,1994,27.0,3,0,0,18,39,6,39,25,29,0.0,0.0,0,163.0,8.0,17.0,32.0
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,2,0,0,13,12,2,24,12,3,0.0,0.0,0,59.0,23.0,15.0,60.5
