RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,211.0,195.0,16.0,2.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,149.0,0.0,9.0
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,23.0,23.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,223.0,216.0,5.0,4.0,0.0,6.0,7,0.0,1.0,0.0,0.0,0.0,185.0,2.0,1.0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2097.0,1974.0,119.0,73.0,0.0,24.0,32,22.0,0.0,0.0,0.0,0.0,1854.0,4.0,11.0
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,32.0,32.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1767.0,1487.0,277.0,46.0,0.0,21.0,119,206.0,25.0,2.0,20.0,0.0,1415.0,3.0,30.0
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,622.0,615.0,2.0,1.0,7.0,3.0,6,1.0,0.0,0.0,0.0,0.0,431.0,5.0,19.0
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1375.0,1273.0,100.0,22.0,0.0,2.0,19,78.0,0.0,0.0,0.0,0.0,1173.0,2.0,17.0
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,156.0,151.0,5.0,0.0,0.0,2.0,10,3.0,0.0,0.0,0.0,0.0,103.0,0.0,10.0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1918.0,1872.0,42.0,35.0,0.0,8.0,2,7.0,0.0,0.0,0.0,0.0,1647.0,4.0,11.0
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,10.0,10.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,1631.0,1559.0,65.0,40.0,6.0,25.0,53,6.0,18.0,7.0,8.0,0.0,1327.0,7.0,22.0
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,100.0,70.0,29.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.0,1.0,0.0
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,751.0,563.0,183.0,16.0,0.0,9.0,32,165.0,2.0,0.0,0.0,0.0,534.0,5.0,17.0
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,487.0,472.0,12.0,11.0,1.0,5.0,1,1.0,0.0,0.0,0.0,0.0,434.0,3.0,2.0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,299.0,231.0,68.0,0.0,0.0,1.0,12,68.0,0.0,0.0,0.0,0.0,210.0,0.0,9.0
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,328.0,310.0,16.0,0.0,1.0,1.0,11,2.0,2.0,0.0,0.0,0.0,228.0,2.0,25.0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2712.0,2631.0,80.0,79.0,0.0,30.0,1,1.0,0.0,0.0,0.0,0.0,2449.0,1.0,7.0
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,173.0,163.0,10.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,140.0,0.0,7.0
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,1568.0,1341.0,221.0,32.0,1.0,14.0,118,167.0,22.0,8.0,11.0,0.0,1265.0,6.0,24.0
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,125.0,122.0,3.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,4.0
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,322.0,316.0,5.0,5.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,258.0,1.0,10.0
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,851.0,835.0,15.0,13.0,1.0,6.0,8,1.0,1.0,0.0,1.0,0.0,701.0,1.0,10.0
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,629.0,608.0,16.0,15.0,0.0,2.0,1,1.0,0.0,0.0,0.0,0.0,511.0,5.0,8.0
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1769.0,1486.0,282.0,28.0,0.0,13.0,52,254.0,0.0,0.0,0.0,0.0,1352.0,1.0,34.0
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,805.0,675.0,129.0,6.0,0.0,3.0,61,116.0,7.0,1.0,6.0,0.0,662.0,1.0,20.0
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,147.0,126.0,21.0,1.0,0.0,1.0,4,20.0,0.0,0.0,0.0,0.0,132.0,0.0,1.0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,999.0,931.0,61.0,13.0,0.0,10.0,7,48.0,0.0,0.0,0.0,0.0,719.0,7.0,7.0
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,927.0,875.0,52.0,0.0,0.0,25.0,27,4.0,0.0,0.0,0.0,0.0,620.0,0.0,30.0
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2137.0,2076.0,56.0,44.0,1.0,25.0,2,12.0,0.0,0.0,0.0,0.0,1961.0,5.0,8.0
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,356.0,245.0,109.0,7.0,0.0,0.0,18,102.0,0.0,0.0,0.0,0.0,229.0,2.0,6.0
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,31.0,28.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,763.0,741.0,22.0,11.0,0.0,0.0,1,11.0,0.0,0.0,0.0,0.0,709.0,0.0,5.0
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,187.0,186.0,1.0,1.0,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,361.0,340.0,20.0,5.0,0.0,2.0,4,12.0,0.0,0.0,0.0,0.0,293.0,1.0,11.0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,735.0,684.0,50.0,20.0,0.0,3.0,8,30.0,0.0,0.0,0.0,0.0,600.0,1.0,7.0
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,2290.0,2181.0,99.0,55.0,0.0,16.0,37,41.0,2.0,0.0,1.0,0.0,1929.0,10.0,28.0
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,913.0,719.0,191.0,14.0,0.0,3.0,19,176.0,0.0,0.0,0.0,0.0,718.0,3.0,26.0
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,16.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,308.0,294.0,12.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,226.0,2.0,8.0
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,2929.0,2647.0,276.0,38.0,0.0,14.0,119,235.0,3.0,0.0,0.0,0.0,2479.0,6.0,45.0
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,1946.0,1664.0,266.0,71.0,9.0,14.0,150,22.0,119.0,63.0,38.0,1.0,1493.0,16.0,43.0
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,2065.0,1994.0,68.0,62.0,0.0,19.0,6,5.0,0.0,0.0,0.0,0.0,1829.0,3.0,14.0
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,933.0,830.0,97.0,8.0,1.0,9.0,118,60.0,29.0,6.0,15.0,0.0,627.0,6.0,53.0
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,270.0,229.0,37.0,0.0,1.0,0.0,3,1.0,0.0,0.0,0.0,0.0,193.0,4.0,7.0
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,282.0,266.0,14.0,14.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,205.0,2.0,4.0
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,1735.0,1686.0,44.0,30.0,3.0,19.0,7,3.0,0.0,0.0,0.0,0.0,1545.0,5.0,12.0
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,1131.0,1076.0,48.0,43.0,0.0,39.0,10,5.0,0.0,0.0,0.0,0.0,930.0,7.0,14.0
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,916.0,878.0,32.0,31.0,0.0,5.0,2,1.0,0.0,0.0,0.0,0.0,732.0,6.0,4.0
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1453.0,1377.0,74.0,61.0,2.0,16.0,1,13.0,0.0,0.0,0.0,0.0,1199.0,2.0,9.0
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,229.0,217.0,12.0,1.0,0.0,0.0,63,7.0,3.0,1.0,2.0,0.0,127.0,0.0,20.0
