RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1351,Moise Kean,it ITA,DL,Juventus,it Serie A,21,2000,12.2,9.0,4,2.0,5.0,2.0,6.0,16.0,37.5,10.0,5.0,0.0,5.0,3,12.0,8.0,1.0
1352,Michael Keane,eng ENG,DF,Everton,eng Premier League,28,1993,31.0,46.0,25,32.0,13.0,1.0,28.0,45.0,62.2,17.0,33.0,28.0,5.0,62,108.0,128.0,2.0
1353,Ilan Kebbal,dz ALG,"CC,DL",Reims,fr Ligue 1,23,1998,19.7,31.0,15,13.0,10.0,8.0,12.0,44.0,27.3,32.0,16.0,0.0,16.0,13,44.0,3.0,0.0
1354,Wajdi Kechrida,tn TUN,"DF,CC",Salernitana,it Serie A,25,1995,10.6,9.0,6,6.0,3.0,0.0,8.0,13.0,61.5,5.0,10.0,2.0,8.0,8,17.0,15.0,0.0
1355,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24,1996,16.8,21.0,14,9.0,11.0,1.0,9.0,21.0,42.9,12.0,19.0,11.0,8.0,24,45.0,29.0,0.0
1356,Habib Keita,ml MLI,"CC,DL",Lyon,fr Ligue 1,19,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1357,Naby Keïta,gn GUI,CC,Liverpool,eng Premier League,26,1995,13.0,46.0,23,17.0,19.0,10.0,26.0,42.0,61.9,16.0,33.0,2.0,31.0,14,60.0,8.0,0.0
1358,Yannik Keitel,de GER,CC,Freiburg,de Bundesliga,21,2000,5.6,11.0,4,5.0,4.0,2.0,5.0,15.0,33.3,10.0,7.0,1.0,6.0,1,12.0,8.0,0.0
1359,Caoimhín Kelleher,ie IRL,PO,Liverpool,eng Premier League,22,1998,2.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
1360,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,11.7,10.0,9,9.0,1.0,0.0,5.0,14.0,35.7,9.0,14.0,7.0,7.0,25,35.0,49.0,1.0
1361,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,9.3,13.0,8,7.0,4.0,2.0,3.0,10.0,30.0,7.0,16.0,14.0,2.0,16,29.0,26.0,2.0
1362,Kenedy,br BRA,DF,Chelsea,eng Premier League,25,1996,0.6,5.0,2,1.0,2.0,2.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0,5.0,0.0,0.0
1363,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,24,1997,11.3,17.0,7,11.0,6.0,0.0,13.0,21.0,61.9,8.0,8.0,1.0,7.0,20,37.0,31.0,0.0
1364,Dimitrios Keramitsis,gr GRE,CC,Roma,it Serie A,17,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1365,Franck Kessié,ci CIV,CC,Milan,it Serie A,24,1996,25.6,41.0,23,12.0,24.0,5.0,17.0,26.0,65.4,9.0,39.0,10.0,29.0,23,64.0,22.0,0.0
1366,Saîf-Eddine Khaoui,tn TUN,"CC,DL",Clermont Foot,fr Ligue 1,26,1995,10.3,19.0,10,5.0,10.0,4.0,9.0,18.0,50.0,9.0,9.0,0.0,9.0,14,33.0,5.0,0.0
1367,Wahbi Khazri,tn TUN,"DL,CC",Saint-Étienne,fr Ligue 1,30,1991,24.7,33.0,18,7.0,17.0,9.0,9.0,34.0,26.5,25.0,21.0,0.0,21.0,12,45.0,7.0,0.0
1368,Rani Khedira,de GER,CC,Union Berlin,de Bundesliga,27,1994,30.6,75.0,38,25.0,42.0,8.0,32.0,66.0,48.5,34.0,21.0,8.0,13.0,50,125.0,27.0,1.0
1369,Kiké,es ESP,DL,Osasuna,es La Liga,31,1989,20.7,11.0,7,3.0,4.0,4.0,3.0,23.0,13.0,20.0,10.0,1.0,9.0,3,14.0,12.0,0.0
1370,Luca Kilian,de GER,DL,Mainz 05,de Bundesliga,21,1999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1371,Luca Kilian,de GER,DF,Köln,de Bundesliga,21,1999,25.3,42.0,24,30.0,9.0,3.0,21.0,41.0,51.2,20.0,31.0,13.0,18.0,46,88.0,109.0,3.0
1372,Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,29.9,50.0,26,38.0,10.0,2.0,24.0,37.0,64.9,13.0,36.0,21.0,15.0,45,95.0,113.0,3.0
1373,Joshua Kimmich,de GER,CC,Bayern Munich,de Bundesliga,26,1995,27.5,39.0,20,14.0,17.0,8.0,18.0,58.0,31.0,40.0,34.0,8.0,26.0,52,91.0,29.0,1.0
1374,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,28.6,34.0,19,18.0,15.0,1.0,14.0,23.0,60.9,9.0,20.0,14.0,6.0,38,72.0,73.0,1.0
1375,Joshua King,no NOR,DL,Watford,eng Premier League,29,1992,25.0,19.0,15,7.0,6.0,6.0,4.0,17.0,23.5,13.0,15.0,4.0,11.0,8,27.0,31.0,0.0
1376,Jakub Kiwior,pl POL,CC,Spezia,it Serie A,21,2000,21.8,50.0,27,25.0,19.0,6.0,26.0,57.0,45.6,31.0,38.0,15.0,23.0,40,90.0,53.0,0.0
1377,Sofian Kiyine,ma MAR,"CC,DL",Venezia,it Serie A,23,1997,13.8,24.0,14,9.0,11.0,4.0,12.0,32.0,37.5,20.0,15.0,1.0,14.0,10,34.0,9.0,0.0
1378,Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,8.9,20.0,12,9.0,8.0,3.0,6.0,12.0,50.0,6.0,17.0,13.0,4.0,9,29.0,39.0,0.0
1379,Kristoffer Klaesson,no NOR,PO,Leeds United,eng Premier League,20,2000,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1380,Philipp Klement,de GER,CC,Stuttgart,de Bundesliga,28,1992,3.8,7.0,3,1.0,4.0,2.0,3.0,3.0,100.0,0.0,6.0,1.0,5.0,1,8.0,0.0,0.0
1381,Mateusz Klich,pl POL,CC,Leeds United,eng Premier League,31,1990,23.0,47.0,25,18.0,23.0,6.0,25.0,66.0,37.9,41.0,22.0,4.0,18.0,11,58.0,20.0,0.0
1382,Thibault Klidje,tg TOG,"CC,DL",Bordeaux,fr Ligue 1,20,2001,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2,2.0,0.0,0.0
1383,Mateo Klimowicz,de GER,"CC,DL",Stuttgart,de Bundesliga,21,2000,6.7,13.0,6,6.0,7.0,0.0,5.0,16.0,31.3,11.0,2.0,0.0,2.0,4,17.0,3.0,0.0
1384,Fabian Klos,de GER,DL,Arminia,de Bundesliga,33,1987,15.8,7.0,5,0.0,5.0,2.0,2.0,10.0,20.0,8.0,17.0,4.0,13.0,0,7.0,31.0,0.0
1385,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,18.3,29.0,16,11.0,15.0,3.0,13.0,19.0,68.4,6.0,16.0,3.0,13.0,26,55.0,58.0,0.0
1386,Justin Kluivert,nl NED,CC,Nice,fr Ligue 1,22,1999,20.8,19.0,9,6.0,12.0,1.0,5.0,21.0,23.8,16.0,13.0,1.0,12.0,14,33.0,6.0,0.0
1387,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,2.2,1.0,1,1.0,0.0,0.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,2,3.0,2.0,0.0
1388,Ansgar Knauff,de GER,"DL,CC",Dortmund,de Bundesliga,19,2002,1.3,3.0,1,1.0,1.0,1.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,0,3.0,4.0,0.0
1389,Ansgar Knauff,de GER,"DF,CC",Eint Frankfurt,de Bundesliga,19,2002,8.4,18.0,14,8.0,5.0,5.0,8.0,15.0,53.3,7.0,11.0,1.0,10.0,8,26.0,6.0,0.0
1390,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33.0,50.0,24,38.0,12.0,0.0,30.0,53.0,56.6,23.0,45.0,26.0,19.0,49,99.0,151.0,1.0
1391,Gregor Kobel,ch SUI,PO,Dortmund,de Bundesliga,23,1997,28.5,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,20.0,0.0
1392,Robin Koch,de GER,"CC,DF",Leeds United,eng Premier League,25,1996,17.5,21.0,13,9.0,10.0,2.0,9.0,34.0,26.5,25.0,26.0,10.0,16.0,20,41.0,44.0,0.0
1393,Samuel Koeberlé,fr FRA,DL,Reims,fr Ligue 1,16,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1394,Philippe Koffi,ci CIV,DL,Reims,fr Ligue 1,19,2002,4.2,4.0,0,0.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,3,7.0,3.0,0.0
1395,Dominik Kohr,de GER,CC,Mainz 05,de Bundesliga,27,1994,17.9,40.0,20,18.0,19.0,3.0,16.0,42.0,38.1,26.0,21.0,2.0,19.0,35,75.0,22.0,0.0
1396,Koba Koindredi,fr FRA,CC,Valencia,es La Liga,19,2001,2.0,4.0,3,2.0,1.0,1.0,2.0,6.0,33.3,4.0,3.0,0.0,3.0,4,8.0,5.0,0.0
1397,Koke,es ESP,CC,Atlético Madrid,es La Liga,29,1992,27.9,55.0,30,19.0,29.0,7.0,26.0,63.0,41.3,37.0,21.0,5.0,16.0,24,79.0,31.0,1.0
1398,Aleksandr Kokorin,ru RUS,"DL,CC",Fiorentina,it Serie A,30,1991,0.6,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,1.0,0.0,0.0
1399,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,0.5,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0.0
1400,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,4.0,1.0,0.0
1401,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,4.9,7.0,6,2.0,3.0,2.0,5.0,8.0,62.5,3.0,4.0,0.0,4.0,0,7.0,7.0,1.0
