Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
2037,Rafael,br BRA,DF,Lyon,fr Ligue 1,27,1990,20.1,1250,1019,226,15,0,5,63,211,0,0,0,0,990,5,30,Partidos
2038,Raffael,br BRA,DL,M'Gladbach,de Bundesliga,32,1985,23.0,807,762,42,8,2,5,15,5,0,0,0,0,665,3,34,Partidos
2039,Rafinha,br BRA,CC,Inter,it Serie A,24,1993,11.6,759,729,26,9,0,3,17,5,1,0,1,0,665,4,9,Partidos
2040,Rafinha,br BRA,DF,Bayern Munich,de Bundesliga,31,1985,20.6,1798,1607,190,29,0,13,59,159,2,0,2,0,1574,1,24,Partidos
2041,Andrea Raggi,it ITA,DF,Monaco,fr Ligue 1,33,1984,17.9,766,614,150,21,0,5,23,129,0,0,0,0,571,2,14,Partidos
2042,Antonino Ragusa,it ITA,"DL,CC",Sassuolo,it Serie A,27,1990,9.2,254,237,17,2,2,0,21,9,3,1,1,0,167,0,13,Partidos
2043,Baba Rahman,gh GHA,DF,Schalke 04,de Bundesliga,23,1994,0.4,21,16,4,0,0,0,0,4,0,0,0,0,14,1,0,Partidos
2044,Ivan Rakitić,hr CRO,CC,Barcelona,es La Liga,29,1988,31.5,2575,2460,104,40,11,19,54,15,49,17,19,0,2282,11,22,Partidos
2045,André Ramalho,br BRA,"DF,DL",Leverkusen,de Bundesliga,25,1992,0.4,14,12,2,2,0,0,0,0,0,0,0,0,11,0,0,Partidos
2046,Jonás Ramalho,es ESP,DF,Girona,es La Liga,24,1993,25.5,903,861,38,23,0,20,7,15,0,0,0,0,668,4,16,Partidos
2047,Adil Rami,fr FRA,DF,Marseille,fr Ligue 1,31,1985,32.8,1875,1799,72,69,2,32,2,2,0,0,0,0,1618,4,14,Partidos
2048,Benito Ramírez,es ESP,"DL,DF",Las Palmas,es La Liga,22,1995,1.8,73,68,5,0,0,0,16,2,3,0,2,0,41,0,7,Partidos
2049,Gastón Ramírez,uy URU,CC,Sampdoria,it Serie A,26,1990,24.6,1096,992,100,27,9,7,122,5,67,50,14,0,769,4,31,Partidos
2050,Sandro Ramírez,es ESP,"DL,CC",Everton,eng Premier League,22,1995,3.1,90,81,7,0,0,1,6,0,2,0,0,0,66,2,5,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
2051,Sandro Ramírez,es ESP,"DL,CC",Sevilla,es La Liga,22,1995,8.0,259,243,16,0,1,2,18,3,10,9,1,0,198,0,7,Partidos
2052,Toño Ramírez,es ESP,PO,Real Sociedad,es La Liga,30,1986,3.5,131,101,30,5,0,0,0,0,0,0,0,0,91,0,0,Partidos
2053,Iván Ramis,es ESP,DF,Eibar,es La Liga,32,1984,14.5,700,669,28,27,0,33,0,1,0,0,0,0,578,3,5,Partidos
2054,Omar Ramos,es ESP,"DL,CC",Leganés,es La Liga,29,1988,16.1,512,457,52,21,3,7,76,7,24,11,7,1,362,3,12,Partidos
2055,Sergio Ramos,es ESP,DF,Real Madrid,es La Liga,31,1986,25.4,1921,1834,75,61,5,40,9,14,0,0,0,0,1717,12,7,Partidos
2056,Aaron Ramsey,wls WAL,CC,Arsenal,eng Premier League,26,1990,20.5,1277,1236,32,20,10,12,17,12,0,0,0,0,1065,9,24,Partidos
2057,Àngel Rangel,es ESP,DF,Swansea City,eng Premier League,34,1982,1.7,118,99,18,2,0,0,6,16,0,0,0,0,99,1,1,Partidos
2058,Andrea Ranocchia,it ITA,DF,Inter,it Serie A,29,1988,7.0,315,310,4,4,0,1,1,0,0,0,0,0,283,1,0,Partidos
2059,Marcus Rashford,eng ENG,"DL,CC",Manchester Utd,eng Premier League,19,1997,20.1,674,599,68,7,8,8,81,10,41,24,10,0,470,7,28,Partidos
2060,Milot Rashica,xk KVX,"DL,CC",Werder Bremen,de Bundesliga,21,1996,4.3,116,112,4,0,0,3,20,4,0,0,0,0,72,0,9,Partidos
2061,Konstantin Rausch,ru RUS,DF,Köln,de Bundesliga,27,1990,10.3,557,394,160,19,0,3,70,119,22,11,11,0,384,3,26,Partidos
2062,Yoric Ravet,fr FRA,"DL,CC",Freiburg,de Bundesliga,27,1989,5.5,199,164,34,14,0,1,46,1,19,9,8,0,112,1,6,Partidos
2063,Ante Rebić,hr CRO,DL,Eint Frankfurt,de Bundesliga,23,1993,19.5,490,479,6,1,2,2,36,4,0,0,0,0,266,5,46,Partidos
2064,Pedro Rebocho,pt POR,DF,Guingamp,fr Ligue 1,22,1995,19.1,1031,802,220,22,0,4,59,195,3,0,3,0,784,9,35,Partidos
2065,Recio,es ESP,CC,Málaga,es La Liga,26,1991,20.4,1027,905,115,73,5,13,68,0,40,21,14,0,812,7,18,Partidos
2066,Nathan Redmond,eng ENG,"DL,CC",Southampton,eng Premier League,23,1994,21.6,888,826,57,9,5,11,69,15,26,15,5,3,644,5,30,Partidos
2067,Alberto Redondo,es ESP,DF,Getafe,es La Liga,20,1997,1.0,33,23,10,0,0,0,2,10,0,0,0,0,14,0,1,Partidos
2068,Fabian Reese,de GER,"DL,CC",Schalke 04,de Bundesliga,19,1997,0.8,23,20,3,0,0,0,0,2,0,0,0,0,20,0,1,Partidos
2069,Vasco Regini,it ITA,DF,Sampdoria,it Serie A,26,1990,12.0,677,607,70,18,1,2,14,52,0,0,0,0,581,0,5,Partidos
2070,Xesc Regis,es ESP,DL,Eibar,es La Liga,20,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
2071,Winston Reid,nz NZL,DF,West Ham,eng Premier League,29,1988,16.1,664,646,14,14,0,10,1,0,0,0,0,0,539,4,2,Partidos
2072,Pepe Reina,es ESP,PO,Napoli,it Serie A,34,1982,37.0,1188,877,308,73,0,7,0,0,0,0,0,0,985,3,0,Partidos
2073,Jeff Reine-Adélaïde,fr FRA,CC,Angers,fr Ligue 1,19,1998,4.9,158,150,7,2,1,1,0,4,0,0,0,0,126,1,4,Partidos
2074,Karim Rekik,nl NED,DF,Hertha BSC,de Bundesliga,22,1994,25.6,1349,1307,37,36,0,14,1,1,0,0,0,0,1129,5,10,Partidos
2075,Loïc Rémy,fr FRA,DL,Las Palmas,es La Liga,30,1987,8.5,243,238,4,0,1,5,7,4,0,0,0,0,189,1,3,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
2076,Loïc Rémy,fr FRA,"DL,CC",Getafe,es La Liga,30,1987,5.1,124,121,3,0,0,1,5,1,0,0,0,0,85,0,3,Partidos
2077,Jan Repas,si SVN,"CC,DL",Caen,fr Ligue 1,20,1997,10.0,237,223,13,0,0,3,16,5,0,0,0,0,166,1,9,Partidos
2078,Panagiotis Retsos,gr GRE,DF,Leverkusen,de Bundesliga,18,1998,19.1,1208,1049,153,28,1,13,16,125,0,0,0,0,1006,6,19,Partidos
2079,Marco Reus,de GER,"CC,DL",Dortmund,de Bundesliga,28,1989,10.3,384,344,36,11,1,2,31,1,23,5,14,1,292,4,10,Partidos
2080,Elvis Rexhbeçaj,de GER,"DF,CC",Wolfsburg,de Bundesliga,19,1997,1.4,59,50,9,1,0,1,1,8,0,0,0,0,44,0,2,Partidos
2081,Baptiste Reynet,fr FRA,PO,Dijon,fr Ligue 1,26,1990,38.0,1651,1158,487,164,0,3,0,0,0,0,0,0,1202,6,0,Partidos
2082,Franck Ribéry,fr FRA,"DL,CC",Bayern Munich,de Bundesliga,34,1983,13.4,821,779,38,4,1,11,39,19,15,14,0,0,687,4,31,Partidos
2083,Federico Ricca,uy URU,DF,Málaga,es La Liga,22,1994,12.3,607,459,145,7,0,1,32,138,0,0,0,0,396,3,29,Partidos
2084,Federico Ricci,it ITA,DL,Crotone,it Serie A,23,1994,10.2,382,341,38,14,0,7,63,2,22,10,9,0,232,3,21,Partidos
2085,Federico Ricci,it ITA,CC,Genoa,it Serie A,23,1994,2.4,76,70,6,1,0,1,14,2,3,1,2,0,49,0,5,Partidos
2086,Declan Rice,eng ENG,"DF,CC",West Ham,eng Premier League,18,1999,15.9,588,568,17,9,1,1,5,7,0,0,0,0,457,3,9,Partidos
2087,Richarlison,br BRA,"DL,CC",Watford,eng Premier League,20,1997,31.4,861,853,6,0,2,3,51,4,1,0,1,0,524,2,67,Partidos
