Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
33,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29,1988,25,1963,79,57.4,21.8,22,,13,3,,4,2.52,63,12,+51,+2.34,+0.61,45.8,13.1,+32.7,+1.50,+0.13,Partidos
34,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,31,2459,79,71.9,27.3,27,88,25,4,22,3,1.45,30,20,+10,+0.37,+1.02,32.2,25.4,+6.8,+0.25,+0.55,Partidos
35,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,15,1153,77,33.7,12.8,14,81,10,1,17,2,0.53,7,17,-10,-0.78,+0.81,10.9,23.1,-12.2,-0.95,-0.16,Partidos
36,Matteo Ahlinvi,bj BEN,CC,Guingamp,fr Ligue 1,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
37,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23,1994,35,3006,86,87.9,33.4,35,86,30,0,,0,1.09,41,58,-17,-0.51,+0.80,41.1,52.3,-11.3,-0.34,+0.01,Partidos
38,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22,1995,5,108,22,3.5,1.2,1,,0,4,,7,0.80,1,2,-1,-0.83,-0.86,1.1,0.8,+0.3,+0.26,+0.37,Partidos
39,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21,1996,27,2047,76,59.9,22.7,25,80,16,2,30,0,1.22,17,28,-11,-0.48,+0.43,23.7,26.9,-3.2,-0.14,-0.01,Partidos
40,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,16,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
41,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,21,1271,61,37.2,14.1,15,,11,6,,15,0.95,12,28,-16,-1.13,-0.71,12.6,27.4,-14.8,-1.05,-0.67,Partidos
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,11,904,82,29.5,10.0,10,,10,1,,4,1.82,15,15,0,0.00,-0.71,17.8,14.6,+3.1,+0.31,-0.55,Partidos
43,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,38,3353,88,98.0,37.3,37,,36,1,,0,1.16,44,59,-15,-0.40,+0.94,37.9,56.9,-19.0,-0.51,+1.46,Partidos
44,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23,1993,3,37,12,1.1,0.4,0,,0,3,12,6,1.67,1,0,+1,+2.43,+2.67,1.0,0.7,+0.4,+0.92,+0.95,Partidos
45,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22,1995,22,1102,50,36.0,12.2,13,,1,9,,7,1.45,14,17,-3,-0.25,-0.38,14.5,16.5,-1.9,-0.16,-0.10,Partidos
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,22,1690,77,55.2,18.8,17,,16,5,,3,1.64,42,27,+15,+0.80,+0.60,32.1,23.6,+8.5,+0.45,+0.79,Partidos
47,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,23,1551,67,50.7,17.2,17,,14,6,,0,2.70,51,10,+41,+2.38,+1.01,41.5,13.8,+27.7,+1.60,+0.62,Partidos
48,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24,1992,23,1550,67,50.7,17.2,17,,12,6,,3,1.70,27,21,+6,+0.35,-0.13,32.8,19.8,+13.0,+0.75,+0.42,Partidos
49,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,1,61,61,1.8,0.7,1,61,0,0,,2,3.00,0,0,0,0.00,-0.24,0.0,1.0,-0.9,-1.39,-1.64,Partidos
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,33,2744,83,80.2,30.5,30,89,27,3,24,3,2.48,81,21,+60,+1.97,+0.64,70.9,31.7,+39.2,+1.29,+0.97,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
51,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,20,1748,87,51.1,19.4,19,90,18,1,45,8,0.70,19,34,-15,-0.77,+0.47,27.7,27.6,+0.1,+0.01,+0.40,Partidos
52,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24,1992,34,2669,79,78.0,29.7,32,,19,2,,1,1.91,73,41,+32,+1.08,+0.12,51.3,32.6,+18.7,+0.63,+0.49,Partidos
53,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,31,2742,88,80.2,30.5,30,,29,1,,5,2.26,58,21,+37,+1.21,-0.25,52.8,21.4,+31.4,+1.03,-0.11,Partidos
54,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26,1990,10,703,70,23.0,7.8,7,,7,3,,10,0.70,10,17,-7,-0.90,-0.78,10.1,14.5,-4.4,-0.57,-0.32,Partidos
55,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27,1989,34,2538,75,74.2,28.2,30,,19,4,,1,1.29,35,39,-4,-0.14,-0.14,35.6,34.9,+0.7,+0.02,-0.10,Partidos
56,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23,1993,17,695,41,20.3,7.7,8,67,1,9,18,11,2.12,19,3,+16,+2.07,+0.29,20.0,8.1,+11.9,+1.54,+0.56,Partidos
57,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,8,689,86,20.1,7.7,8,86,7,0,,4,1.25,10,13,-3,-0.39,-0.19,11.6,10.1,+1.5,+0.20,+0.24,Partidos
58,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26,1991,19,1247,66,40.8,13.9,12,,9,7,,1,2.47,39,10,+29,+2.09,+0.36,33.1,10.2,+22.9,+1.66,+0.61,Partidos
59,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,3,208,69,6.1,2.3,2,90,2,1,28,6,2.33,3,2,+1,+0.43,+0.60,3.2,1.8,+1.5,+0.63,+0.57,Partidos
60,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,14,1178,84,34.4,13.1,13,,13,1,,1,1.93,25,13,+12,+0.92,-0.13,20.7,10.1,+10.6,+0.81,0.00,Partidos
61,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1,90,90,2.6,1.0,1,90,1,0,,1,0.00,1,7,-6,-6.00,-5.14,1.8,2.5,-0.7,-0.71,-0.54,Partidos
62,Álex Alegría,es ESP,DL,Levante,es La Liga,24,1992,9,628,70,18.4,7.0,8,74,3,1,38,1,1.22,9,12,-3,-0.43,-0.08,7.7,10.5,-2.8,-0.40,+0.12,Partidos
63,Iván Alejo,es ESP,"CC,DL",Eibar,es La Liga,22,1995,22,1102,50,32.2,12.2,14,69,1,8,16,6,1.50,16,11,+5,+0.41,+0.84,13.1,13.6,-0.5,-0.04,+0.07,Partidos
64,Carles Aleñá,es ESP,"DL,CC",Barcelona,es La Liga,19,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
65,Diego Alende,es ESP,DF,Celta Vigo,es La Liga,19,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
66,Alex,es ESP,PO,Atlético Madrid,es La Liga,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
67,Alexander,ar ARG,"CC,DL",Leganés,es La Liga,28,1988,13,1060,82,31.0,11.8,13,82,9,0,,0,1.31,8,12,-4,-0.34,+0.16,13.8,14.7,-0.9,-0.08,+0.18,Partidos
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,19,1573,83,46.0,17.5,18,,14,1,,16,1.89,39,17,+22,+1.26,+0.09,33.8,15.7,+18.1,+1.03,+0.01,Partidos
69,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,28,2184,78,63.9,24.3,25,85,23,3,18,7,1.32,26,33,-7,-0.29,-0.07,26.4,37.2,-10.8,-0.45,+0.04,Partidos
70,Alisson,br BRA,PO,Roma,it Serie A,24,1992,37,3330,90,97.4,37.0,37,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,62.2,36.1,+26.2,+0.71,+0.70,Partidos
71,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,25,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,,Partidos
72,Allan,br BRA,CC,Napoli,it Serie A,26,1991,38,2850,75,83.3,31.7,32,,19,6,,0,2.39,62,21,+41,+1.29,+0.19,57.8,21.9,+35.9,+1.13,+0.48,Partidos
73,Joe Allen,wls WAL,CC,Stoke City,eng Premier League,27,1990,36,3139,87,91.8,34.9,36,,33,0,,1,0.92,30,55,-25,-0.72,+1.85,33.6,52.2,-18.6,-0.53,+1.87,Partidos
74,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,21,1996,36,2958,82,86.5,32.9,34,,18,2,,0,2.03,63,28,+35,+1.06,+0.48,54.1,25.7,+28.5,+0.87,+0.41,Partidos
75,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,34,2781,82,81.3,30.9,30,88,28,4,39,3,0.91,31,53,-22,-0.71,-0.15,26.1,48.4,-22.3,-0.72,-0.84,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
76,José Alonso Lara,es ESP,CC,Sevilla,es La Liga,17,2000,1,10,10,0.3,0.1,0,,0,1,10,0,3.00,0,0,0,0.00,+0.24,0.4,0.1,+0.3,+2.68,+2.55,Partidos
77,Marcos Alonso,es ESP,"DF,CC",Chelsea,eng Premier League,26,1990,33,2855,87,83.5,31.7,33,,28,0,,1,1.85,48,30,+18,+0.57,-0.39,44.0,26.7,+17.3,+0.54,+0.02,Partidos
78,Ricky Álvarez,ar ARG,CC,Sampdoria,it Serie A,29,1988,12,267,22,7.8,3.0,2,,0,10,,21,1.83,5,5,0,0.00,+0.11,4.1,4.3,-0.2,-0.06,+0.13,Partidos
79,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30,1986,17,1476,87,43.2,16.4,16,90,16,1,36,21,1.06,22,29,-7,-0.43,-0.70,24.0,24.2,-0.3,-0.02,-0.01,Partidos
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,8,675,84,19.7,7.5,7,90,7,1,45,6,0.88,7,10,-3,-0.40,-0.24,6.7,8.5,-1.9,-0.25,-0.29,Partidos
81,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,25,2063,83,60.3,22.9,23,87,21,2,27,7,2.60,65,17,+48,+2.09,+0.04,52.2,20.2,+32.1,+1.40,+0.09,Partidos
82,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24,1993,30,2405,80,70.3,26.7,30,80,22,0,,0,1.00,29,45,-16,-0.60,+0.29,21.8,40.8,-19.0,-0.71,-0.49,Partidos
83,Eloi Amagat,es ESP,CC,Girona,es La Liga,32,1985,2,15,8,0.4,0.2,0,,0,2,8,2,1.50,1,0,+1,+6.00,+6.26,0.4,0.1,+0.4,+2.23,+2.24,Partidos
84,Morgan Amalfitano,fr FRA,"CC,DL",Rennes,fr Ligue 1,32,1985,14,746,53,21.8,8.3,10,68,2,4,18,3,0.71,8,16,-8,-0.97,-1.44,8.3,17.2,-8.8,-1.07,-1.38,Partidos
85,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,27,1989,33,2703,82,79.0,30.0,31,87,26,2,9,0,1.33,47,55,-8,-0.27,+0.99,32.2,49.1,-16.9,-0.56,+0.10,Partidos
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,8,487,61,14.2,5.4,6,,4,2,,11,1.13,7,7,0,0.00,+0.12,6.8,6.9,-0.1,-0.02,-0.09,Partidos
87,Jordi Amat,id IDN,"DF,CC",Betis,es La Liga,25,1992,25,2045,82,59.8,22.7,24,84,16,1,28,9,1.60,33,31,+2,+0.09,+0.28,25.4,27.2,-1.8,-0.08,0.00,Partidos
88,Amath,sn SEN,"CC,DL",Getafe,es La Liga,21,1996,37,2859,77,83.6,31.8,36,79,10,1,22,0,1.49,34,24,+10,+0.31,+0.48,37.6,32.1,+5.5,+0.17,-0.30,Partidos
89,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,27,2193,81,64.1,24.4,24,87,22,3,35,2,1.89,49,31,+18,+0.74,-0.36,46.9,25.5,+21.4,+0.88,-0.22,Partidos
90,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,1,45,45,1.5,0.5,1,,0,0,,5,1.00,1,1,0,0.00,+0.72,0.7,0.8,0.0,-0.09,+0.45,Partidos
91,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,36,3154,88,92.2,35.0,35,89,33,1,24,0,1.03,34,47,-13,-0.37,+0.64,40.5,46.8,-6.3,-0.18,-0.07,Partidos
92,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,20,1996,28,1744,62,57.0,19.4,19,,8,9,,3,1.64,35,31,+4,+0.21,-0.75,30.6,28.9,+1.8,+0.09,-0.01,Partidos
93,Yanis Ammour,fr FRA,DL,Montpellier,fr Ligue 1,18,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
94,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,1,11,11,0.3,0.1,0,,0,1,,11,3.00,0,1,-1,-8.18,-8.84,0.0,0.2,-0.2,-1.26,-1.81,Partidos
95,Nordin Amrabat,ma MAR,DL,Watford,eng Premier League,30,1987,3,198,66,5.8,2.2,3,,1,0,,0,1.67,4,3,+1,+0.45,+1.04,4.4,3.8,+0.6,+0.27,+0.47,Partidos
96,Nordin Amrabat,ma MAR,"DL,CC",Leganés,es La Liga,30,1987,30,1623,54,47.5,18.0,17,77,6,13,24,0,1.03,18,26,-8,-0.44,+0.01,20.4,23.1,-2.7,-0.15,+0.10,Partidos
97,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27,1989,1,90,90,2.6,1.0,1,90,1,0,,2,3.00,3,2,+1,+1.00,+1.49,1.4,2.2,-0.8,-0.77,-0.58,Partidos
98,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,7,546,78,16.0,6.1,6,,6,1,,25,1.29,7,13,-6,-0.99,-1.05,6.5,9.0,-2.5,-0.41,-0.27,Partidos
99,Felipe Anderson,br BRA,"DL,CC",Lazio,it Serie A,24,1993,21,1162,55,34.0,12.9,9,,6,12,,2,1.62,33,16,+17,+1.32,+0.40,20.3,15.5,+4.8,+0.37,-0.23,Partidos
100,Keshi Anderson,eng ENG,"DL,CC",Crystal Palace,eng Premier League,22,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
101,Florin Andone,ro ROU,DL,La Coruña,es La Liga,24,1993,29,1636,56,47.8,18.2,16,86,10,13,20,5,0.66,17,30,-13,-0.72,+0.55,24.0,23.0,+1.0,+0.06,+0.47,Partidos
102,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29,1988,36,3240,90,94.7,36.0,36,,35,0,,1,0.69,29,71,-42,-1.17,+1.83,32.4,65.9,-33.5,-0.93,+0.88,Partidos
103,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,26,1990,34,3011,89,88.0,33.5,34,89,29,0,,0,1.59,45,36,+9,+0.27,+0.93,43.8,40.6,+3.2,+0.10,+0.70,Partidos
104,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,23,1829,80,53.5,20.3,20,,19,3,,14,0.91,16,33,-17,-0.84,-0.21,19.1,29.4,-10.2,-0.50,+0.02,Partidos
105,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,2070,90,60.5,23.0,23,90,23,0,,2,1.17,25,26,-1,-0.04,+0.56,29.1,25.7,+3.3,+0.14,+0.24,Partidos
106,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,27,1990,22,1442,66,42.2,16.0,15,87,12,7,20,2,1.05,17,24,-7,-0.44,+0.02,16.4,23.1,-6.7,-0.42,-0.38,Partidos
107,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,30,2426,81,70.9,27.0,28,85,21,2,30,5,1.37,31,35,-4,-0.15,+0.03,29.6,32.5,-2.9,-0.11,-0.05,Partidos
108,Miguel Ángel Moyá,es ESP,PO,Atlético Madrid,es La Liga,33,1984,0,,,,,0,,0,0,,25,,,,,,,,,,,,Partidos
109,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33,1984,9,764,85,22.3,8.5,9,85,8,0,,2,1.22,9,8,+1,+0.12,-0.09,8.9,9.2,-0.3,-0.03,-0.15,Partidos
110,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,1,29,29,0.8,0.3,0,,0,1,29,0,3.00,1,0,+1,+3.10,+2.89,1.3,0.6,+0.7,+2.10,+1.90,Partidos
111,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,12,893,74,26.1,9.9,9,,7,3,,7,0.75,15,16,-1,-0.10,+0.40,12.5,14.2,-1.8,-0.18,-0.02,Partidos
112,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30,1986,25,1872,75,54.7,20.8,20,,17,5,,3,1.48,26,27,-1,-0.05,-0.57,26.1,28.8,-2.7,-0.13,-0.23,Partidos
113,Cristian Ansaldi,ar ARG,"DF,CC",Inter,it Serie A,30,1986,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
114,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,8,592,74,17.3,6.6,8,,5,0,,2,0.00,4,18,-14,-2.13,-0.95,5.8,15.1,-9.2,-1.41,-0.59,Partidos
115,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,32,1984,33,2571,78,75.2,28.6,28,,21,5,,2,1.09,33,40,-7,-0.25,+1.13,27.2,42.4,-15.2,-0.53,+0.19,Partidos
116,Waldemar Anton,de GER,"DF,CC",Hannover 96,de Bundesliga,21,1996,27,2278,84,74.4,25.3,26,,25,1,,1,1.26,32,35,-3,-0.12,+0.69,33.6,39.7,-6.1,-0.24,+0.32,Partidos
