RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
330,Yassine Bounou,ma MAR,PO,Girona,es La Liga,27,1991,31.8,0,1,0,0.0,0.03,0.0,0.0,,7.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1
331,Mehdi Bourabia,ma MAR,CC,Sassuolo,it Serie A,26,1991,22.3,1,34,6,17.6,1.52,0.27,0.03,0.17,21.7,2,0,0,2.3,2.3,0.07,-1.3,-1.3
332,Benjamin Bourigeaud,fr FRA,"CC,DL",Rennes,fr Ligue 1,24,1994,26.9,6,44,14,31.8,1.63,0.52,0.09,0.29,22.9,8,2,3,6.5,4.2,0.1,-0.5,-0.2
333,Bilal Boutobba,fr FRA,"DL,CC",Montpellier,fr Ligue 1,19,1998,0.4,0,3,0,0.0,8.44,0.0,0.0,,25.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
334,Umut Bozok,tr TUR,DL,Nîmes,fr Ligue 1,21,1996,13.7,2,28,9,32.1,2.04,0.66,0.07,0.22,19.8,0,0,2,4.3,2.7,0.1,-2.3,-0.7
335,Filip Bradarić,hr CRO,CC,Cagliari,it Serie A,26,1992,16.6,0,14,0,0.0,0.84,0.0,0.0,,25.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
336,Robbie Brady,ie IRL,CC,Burnley,eng Premier League,26,1992,8.0,0,12,2,16.7,1.5,0.25,0.0,0.0,22.2,2,0,0,0.6,0.6,0.05,-0.6,-0.6
337,Martin Braithwaite,dk DEN,DL,Leganés,es La Liga,27,1991,15.6,4,29,8,27.6,1.86,0.51,0.14,0.5,12.2,0,0,0,5.1,5.1,0.19,-1.1,-1.1
338,Julian Brandt,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,29.6,7,65,25,38.5,2.19,0.84,0.11,0.28,18.6,3,0,0,8.0,8.0,0.12,-1.0,-1.0
339,Darko Brašanac,rs SRB,CC,Alavés,es La Liga,26,1992,17.6,0,9,1,11.1,0.51,0.06,0.0,0.0,16.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6
