RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018
2182,Adrián Sahibeddine,fr FRA,"DL,CC",Dijon,fr Ligue 1,22.0,1994.0,0.4,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2183,Nuri Şahin,tr TUR,CC,Dortmund,de Bundesliga,28.0,1988.0,13.6,1106.0,1044.0,58.0,49.0,2.0,2.0,24.0,3.0,6.0,6.0,0.0,0.0,922.0,4.0,9.0
2184,Wesley Saïd,fr FRA,"DL,CC",Dijon,fr Ligue 1,22.0,1995.0,20.4,506.0,466.0,36.0,3.0,4.0,0.0,19.0,6.0,2.0,1.0,0.0,0.0,376.0,4.0,9.0
4371,Allan Saint-Maximin,fr FRA,"DL,CC",Nice,fr Ligue 1,20.0,1997.0,25.2,922.0,904.0,9.0,0.0,1.0,22.0,71.0,7.0,2.0,0.0,2.0,0.0,677.0,9.0,38.0
2187,Henri Saivet,sn SEN,CC,Newcastle Utd,eng Premier League,26.0,1990.0,0.9,26.0,24.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,15.0,0.0,1.0
2188,Gōtoku Sakai,jp JPN,"DF,CC",Hamburger SV,de Bundesliga,26.0,1991.0,25.4,1368.0,1167.0,199.0,22.0,0.0,18.0,40.0,174.0,3.0,1.0,0.0,0.0,1036.0,2.0,45.0
2189,Hiroki Sakai,jp JPN,DF,Marseille,fr Ligue 1,27.0,1990.0,28.0,1560.0,1258.0,300.0,12.0,2.0,1.0,46.0,288.0,0.0,0.0,0.0,0.0,1248.0,2.0,42.0
4381,Diafra Sakho,sn SEN,DL,West Ham,eng Premier League,27.0,1989.0,12.0,217.0,194.0,19.0,0.0,2.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,137.0,4.0,11.0
2192,Mamadou Sakho,fr FRA,DF,Crystal Palace,eng Premier League,27.0,1990.0,17.8,744.0,720.0,20.0,19.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,632.0,4.0,4.0
2193,Bakary Sako,ml MLI,"DL,CC",Crystal Palace,eng Premier League,29.0,1988.0,5.3,159.0,150.0,9.0,3.0,0.0,2.0,27.0,1.0,4.0,0.0,2.0,1.0,94.0,0.0,9.0
2194,Emiliano Sala,ar ARG,DL,Nantes,fr Ligue 1,26.0,1990.0,33.7,846.0,812.0,23.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,519.0,11.0,35.0
2195,Jacopo Sala,it ITA,DF,Sampdoria,it Serie A,25.0,1991.0,11.0,749.0,651.0,98.0,14.0,0.0,4.0,24.0,84.0,0.0,0.0,0.0,0.0,632.0,0.0,19.0
2196,Mohamed Salah,eg EGY,DL,Liverpool,eng Premier League,25.0,1992.0,32.3,1055.0,955.0,96.0,12.0,8.0,4.0,86.0,19.0,62.0,43.0,9.0,0.0,772.0,4.0,32.0
2197,Bartosz Salamon,pl POL,DF,SPAL,it Serie A,26.0,1991.0,19.2,867.0,819.0,44.0,42.0,1.0,21.0,11.0,2.0,0.0,0.0,0.0,0.0,699.0,4.0,8.0
2198,Carlos Salcedo,mx MEX,DF,Eint Frankfurt,de Bundesliga,23.0,1993.0,17.9,973.0,904.0,66.0,48.0,0.0,25.0,6.0,18.0,0.0,0.0,0.0,0.0,778.0,3.0,18.0
2199,Eddie Salcedo,it ITA,DL,Genoa,it Serie A,15.0,2001.0,0.4,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2200,Yannis Salibur,fr FRA,"DL,CC",Guingamp,fr Ligue 1,26.0,1991.0,16.9,627.0,573.0,53.0,14.0,1.0,2.0,79.0,7.0,30.0,19.0,7.0,2.0,472.0,1.0,26.0
2201,Sejad Salihović,ba BIH,CC,Hamburger SV,de Bundesliga,32.0,1984.0,4.1,244.0,201.0,43.0,17.0,0.0,5.0,33.0,7.0,19.0,10.0,6.0,0.0,174.0,0.0,6.0
2202,Yoann Salmier,gf GUF,DF,Strasbourg,fr Ligue 1,24.0,1992.0,12.3,540.0,523.0,15.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,2.0,1.0
2203,Mamadou Samassa,ml MLI,PO,Troyes,fr Ligue 1,27.0,1990.0,21.0,664.0,364.0,295.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,5.0,0.0
2204,Brice Samba,fr FRA,PO,Caen,fr Ligue 1,23.0,1994.0,3.5,103.0,65.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0
