Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,0,Partidos
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Partidos
97,Elliot Anderson,sct SCO,CC,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
98,Felipe Anderson,br BRA,"DL,CC",West Ham,eng Premier League,27,1993,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Partidos
99,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,29,1991,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0,Partidos
100,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
101,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,29,1990,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0,Partidos
102,Marcos André,br BRA,DL,Valladolid,es La Liga,23,1996,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,0,Partidos
103,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,25,1994,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2,Partidos
104,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,23,1996,18.6,36,24,17,15,4,17,42,40.5,25,17,4,13,19,55,9,1,Partidos
105,Ángel,es ESP,PO,Granada,es La Liga,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Partidos
106,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,1,Partidos
107,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0,0,0,0,0,0,,0,2,2,0,3,3,11,0,Partidos
108,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,23,1997,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,0,Partidos
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Partidos
110,Philip Ankhrah,gh GHA,CC,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Partidos
111,Cristian Ansaldi,ar ARG,"DF,DL",Torino,it Serie A,33,1986,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0,Partidos
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0,Partidos
113,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,30,1990,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0,Partidos
114,José Antonio Miranda,gq EQG,"CC,DF",Getafe,es La Liga,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Partidos
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0,Partidos
116,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,22,1998,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,0,Partidos
117,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,18,2002,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0,Partidos
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,0,Partidos
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,Partidos
120,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,24,1995,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0,Partidos
121,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,31,1989,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0,Partidos
122,Luiz Araújo,br BRA,CC,Lille,fr Ligue 1,24,1996,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0,Partidos
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2,Partidos
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1,Partidos
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
126,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27,1993,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3,Partidos
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0,Partidos
128,Karim Aribi,dz ALG,DL,Nîmes,fr Ligue 1,26,1994,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,0,Partidos
129,Unai Arietaleanizbeaskoa,es ESP,"DL,CC",Eibar,es La Liga,21,1999,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Partidos
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
131,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,28,1992,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0,Partidos
132,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,26,1994,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0,Partidos
133,Toluwalase Arokodare,ng NGA,"DL,CC",Köln,de Bundesliga,19,2000,1.2,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,Partidos
134,Sergio Arribas,es ESP,"CC,DL",Real Madrid,es La Liga,18,2001,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,0,Partidos
135,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3,Partidos
136,Tolgay Arslan,de GER,CC,Udinese,it Serie A,29,1990,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1,Partidos
137,Kwadwo Asamoah,gh GHA,"DF,CC",Cagliari,it Serie A,31,1988,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1,Partidos
138,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,23,1997,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0,Partidos
139,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,2,Partidos
140,Marco Asensio,es ESP,"DL,CC",Real Madrid,es La Liga,24,1996,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,0,Partidos
141,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,19,2001,1.1,0,0,0,0,0,0,0,,0,2,0,2,3,3,3,0,Partidos
142,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,32,1987,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0,Partidos
143,Roger Assalé,ci CIV,"DL,CC",Dijon,fr Ligue 1,26,1993,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0,Partidos
144,Youcef Atal,dz ALG,"DF,DL",Nice,fr Ligue 1,24,1996,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,0,Partidos
145,Miguel Atienza,es ESP,CC,Eibar,es La Liga,21,1999,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,0,Partidos
146,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,31,1989,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0,Partidos
147,Emil Audero,it ITA,PO,Sampdoria,it Serie A,23,1997,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0,Partidos
148,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1,Partidos
149,Jean-Kévin Augustin,fr FRA,DL,Nantes,fr Ligue 1,23,1997,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,Partidos
150,Ludwig Augustinsson,se SWE,"DF,DL",Werder Bremen,de Bundesliga,26,1994,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
151,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3,Partidos
